Date,Vanguard FTSE Developed Markets_etf_Open_average,Vanguard FTSE Developed Markets_etf_Open_max,Vanguard FTSE Developed Markets_etf_Open_min,Vanguard FTSE Developed Markets_etf_Open_volatility,Vanguard FTSE Developed Markets_etf_Open_change,Vanguard FTSE Developed Markets_etf_High_average,Vanguard FTSE Developed Markets_etf_High_max,Vanguard FTSE Developed Markets_etf_High_min,Vanguard FTSE Developed Markets_etf_High_volatility,Vanguard FTSE Developed Markets_etf_High_change,Vanguard FTSE Developed Markets_etf_Low_average,Vanguard FTSE Developed Markets_etf_Low_max,Vanguard FTSE Developed Markets_etf_Low_min,Vanguard FTSE Developed Markets_etf_Low_volatility,Vanguard FTSE Developed Markets_etf_Low_change,Vanguard FTSE Developed Markets_etf_Close_average,Vanguard FTSE Developed Markets_etf_Close_max,Vanguard FTSE Developed Markets_etf_Close_min,Vanguard FTSE Developed Markets_etf_Close_volatility,Vanguard FTSE Developed Markets_etf_Close_change
2018-01-14,47.12,47.12,47.12,0.0,0.0,47.13,47.13,47.13,0.0,0.0,46.97,46.97,46.97,0.0,0.0,47.1,47.1,47.1,0.0,0.0
2018-01-21,47.67,47.67,47.67,0.0,0.0,47.89,47.89,47.89,0.0,0.0,47.66,47.66,47.66,0.0,0.0,47.88,47.88,47.88,0.0,0.0
2018-01-28,46.63,46.63,46.63,0.0,0.0,46.63,46.63,46.63,0.0,0.0,46.02,46.02,46.02,0.0,0.0,46.09,46.09,46.09,0.0,0.0
2018-02-04,43.68,43.68,43.68,0.0,0.0,43.84,43.84,43.84,0.0,0.0,42.53,42.53,42.53,0.0,0.0,43.66,43.66,43.66,0.0,0.0
2018-02-11,45.27,45.27,45.27,0.0,0.0,45.59,45.59,45.59,0.0,0.0,45.25,45.25,45.25,0.0,0.0,45.39,45.39,45.39,0.0,0.0
2018-02-18,45.16,45.16,45.16,0.0,0.0,45.42,45.42,45.42,0.0,0.0,45.08,45.08,45.08,0.0,0.0,45.4,45.4,45.4,0.0,0.0
2018-02-25,43.78,43.78,43.78,0.0,0.0,44.15,44.15,44.15,0.0,0.0,43.6,43.6,43.6,0.0,0.0,44.14,44.14,44.14,0.0,0.0
2018-03-04,44.89,44.89,44.89,0.0,0.0,45.12,45.12,45.12,0.0,0.0,44.8,44.8,44.8,0.0,0.0,45.1,45.1,45.1,0.0,0.0
2018-03-11,44.84,44.84,44.84,0.0,0.0,45.01,45.01,45.01,0.0,0.0,44.84,44.84,44.84,0.0,0.0,44.89,44.89,44.89,0.0,0.0
2018-03-18,43.93,43.93,43.93,0.0,0.0,44.0,44.0,44.0,0.0,0.0,43.29,43.29,43.29,0.0,0.0,43.31,43.31,43.31,0.0,0.0
2018-03-25,44.1,44.1,44.1,0.0,0.0,44.41,44.41,44.41,0.0,0.0,44.0,44.0,44.0,0.0,0.0,44.25,44.25,44.25,0.0,0.0
2018-04-01,44.29,44.29,44.29,0.0,0.0,44.45,44.45,44.45,0.0,0.0,43.86,43.86,43.86,0.0,0.0,44.0,44.0,44.0,0.0,0.0
2018-04-08,44.99,44.99,44.99,0.0,0.0,45.01,45.01,45.01,0.0,0.0,44.73,44.73,44.73,0.0,0.0,44.87,44.87,44.87,0.0,0.0
2018-04-15,45.08,45.08,45.08,0.0,0.0,45.11,45.11,45.11,0.0,0.0,44.95,44.95,44.95,0.0,0.0,45.02,45.02,45.02,0.0,0.0
2018-04-22,45.01,45.01,45.01,0.0,0.0,45.08,45.08,45.08,0.0,0.0,44.88,44.88,44.88,0.0,0.0,45.05,45.05,45.05,0.0,0.0
2018-04-29,44.52,44.52,44.52,0.0,0.0,45.02,45.02,45.02,0.0,0.0,44.47,44.47,44.47,0.0,0.0,44.97,44.97,44.97,0.0,0.0
2018-05-06,45.58,45.58,45.58,0.0,0.0,45.63,45.63,45.63,0.0,0.0,45.49,45.49,45.49,0.0,0.0,45.51,45.51,45.51,0.0,0.0
2018-05-13,45.28,45.28,45.28,0.0,0.0,45.31,45.31,45.31,0.0,0.0,45.19,45.19,45.19,0.0,0.0,45.25,45.25,45.25,0.0,0.0
2018-05-20,44.69,44.69,44.69,0.0,0.0,44.75,44.75,44.75,0.0,0.0,44.58,44.58,44.58,0.0,0.0,44.68,44.68,44.68,0.0,0.0
2018-05-27,44.51,44.51,44.51,0.0,0.0,44.56,44.56,44.56,0.0,0.0,44.35,44.35,44.35,0.0,0.0,44.5,44.5,44.5,0.0,0.0
2018-06-03,44.78,44.78,44.78,0.0,0.0,44.9,44.9,44.9,0.0,0.0,44.63,44.63,44.63,0.0,0.0,44.85,44.85,44.85,0.0,0.0
2018-06-10,44.47,44.47,44.47,0.0,0.0,44.5,44.5,44.5,0.0,0.0,44.27,44.27,44.27,0.0,0.0,44.46,44.46,44.46,0.0,0.0
2018-06-17,43.49,43.49,43.49,0.0,0.0,43.55,43.55,43.55,0.0,0.0,43.28,43.28,43.28,0.0,0.0,43.38,43.38,43.38,0.0,0.0
2018-06-24,42.91,42.91,42.91,0.0,0.0,43.07,43.07,43.07,0.0,0.0,42.81,42.81,42.81,0.0,0.0,42.9,42.9,42.9,0.0,0.0
2018-07-01,42.9,42.9,42.9,0.0,0.0,43.17,43.17,43.17,0.0,0.0,42.86,42.86,42.86,0.0,0.0,43.09,43.09,43.09,0.0,0.0
2018-07-08,43.1,43.1,43.1,0.0,0.0,43.25,43.25,43.25,0.0,0.0,43.04,43.04,43.04,0.0,0.0,43.25,43.25,43.25,0.0,0.0
2018-07-15,43.21,43.21,43.21,0.0,0.0,43.44,43.44,43.44,0.0,0.0,43.21,43.21,43.21,0.0,0.0,43.41,43.41,43.41,0.0,0.0
