Date,AdvisorShares Vice ETFEtf_Open_average,AdvisorShares Vice ETFEtf_Open_max,AdvisorShares Vice ETFEtf_Open_min,AdvisorShares Vice ETFEtf_Open_volatility,AdvisorShares Vice ETFEtf_Open_change,AdvisorShares Vice ETFEtf_High_average,AdvisorShares Vice ETFEtf_High_max,AdvisorShares Vice ETFEtf_High_min,AdvisorShares Vice ETFEtf_High_volatility,AdvisorShares Vice ETFEtf_High_change,AdvisorShares Vice ETFEtf_Low_average,AdvisorShares Vice ETFEtf_Low_max,AdvisorShares Vice ETFEtf_Low_min,AdvisorShares Vice ETFEtf_Low_volatility,AdvisorShares Vice ETFEtf_Low_change,AdvisorShares Vice ETFEtf_Close_average,AdvisorShares Vice ETFEtf_Close_max,AdvisorShares Vice ETFEtf_Close_min,AdvisorShares Vice ETFEtf_Close_volatility,AdvisorShares Vice ETFEtf_Close_change
2018-01-14,26.46,26.46,26.46,0.0,0.0,26.5,26.5,26.5,0.0,0.0,26.22,26.22,26.22,0.0,0.0,26.44,26.44,26.44,0.0,0.0
2018-01-21,27.25,27.25,27.25,0.0,0.0,27.28,27.28,27.28,0.0,0.0,26.9,26.9,26.9,0.0,0.0,27.28,27.28,27.28,0.0,0.0
2018-01-28,26.69,26.69,26.69,0.0,0.0,26.69,26.69,26.69,0.0,0.0,26.15,26.15,26.15,0.0,0.0,26.22,26.22,26.22,0.0,0.0
2018-02-04,25.0,25.0,25.0,0.0,0.0,25.0,25.0,25.0,0.0,0.0,24.45,24.45,24.45,0.0,0.0,24.95,24.95,24.95,0.0,0.0
2018-02-11,26.19,26.19,26.19,0.0,0.0,26.19,26.19,26.19,0.0,0.0,25.91,25.91,25.91,0.0,0.0,26.01,26.01,26.01,0.0,0.0
2018-02-18,25.64,25.64,25.64,0.0,0.0,25.8,25.8,25.8,0.0,0.0,25.42,25.42,25.42,0.0,0.0,25.8,25.8,25.8,0.0,0.0
2018-02-25,24.72,24.72,24.72,0.0,0.0,25.16,25.16,25.16,0.0,0.0,24.59,24.59,24.59,0.0,0.0,25.16,25.16,25.16,0.0,0.0
2018-03-04,25.73,25.73,25.73,0.0,0.0,25.86,25.86,25.86,0.0,0.0,25.73,25.73,25.73,0.0,0.0,25.84,25.84,25.84,0.0,0.0
2018-03-11,25.59,25.59,25.59,0.0,0.0,25.59,25.59,25.59,0.0,0.0,25.36,25.36,25.36,0.0,0.0,25.39,25.39,25.39,0.0,0.0
2018-03-18,24.46,24.46,24.46,0.0,0.0,24.77,24.77,24.77,0.0,0.0,24.37,24.37,24.37,0.0,0.0,24.37,24.37,24.37,0.0,0.0
2018-03-25,24.79,24.79,24.79,0.0,0.0,25.04,25.04,25.04,0.0,0.0,24.79,24.79,24.79,0.0,0.0,25.04,25.04,25.04,0.0,0.0
2018-04-01,25.45,25.45,25.45,0.0,0.0,25.45,25.45,25.45,0.0,0.0,24.85,24.85,24.85,0.0,0.0,25.06,25.06,25.06,0.0,0.0
2018-04-08,25.2,25.2,25.2,0.0,0.0,25.3,25.3,25.3,0.0,0.0,25.2,25.2,25.2,0.0,0.0,25.3,25.3,25.3,0.0,0.0
2018-04-15,25.55,25.55,25.55,0.0,0.0,25.55,25.55,25.55,0.0,0.0,25.0,25.0,25.0,0.0,0.0,25.03,25.03,25.03,0.0,0.0
2018-04-22,25.06,25.06,25.06,0.0,0.0,25.41,25.41,25.41,0.0,0.0,25.06,25.06,25.06,0.0,0.0,25.31,25.31,25.31,0.0,0.0
2018-04-29,24.81,24.81,24.81,0.0,0.0,25.0,25.0,25.0,0.0,0.0,24.7,24.7,24.7,0.0,0.0,24.82,24.82,24.82,0.0,0.0
2018-05-06,25.27,25.27,25.27,0.0,0.0,25.27,25.27,25.27,0.0,0.0,24.94,24.94,24.94,0.0,0.0,24.95,24.95,24.95,0.0,0.0
2018-05-13,25.13,25.13,25.13,0.0,0.0,25.2,25.2,25.2,0.0,0.0,25.09,25.09,25.09,0.0,0.0,25.11,25.11,25.11,0.0,0.0
2018-05-20,25.37,25.37,25.37,0.0,0.0,25.43,25.43,25.43,0.0,0.0,25.28,25.28,25.28,0.0,0.0,25.28,25.28,25.28,0.0,0.0
2018-05-27,25.67,25.67,25.67,0.0,0.0,25.67,25.67,25.67,0.0,0.0,25.3,25.3,25.3,0.0,0.0,25.34,25.34,25.34,0.0,0.0
2018-06-03,25.24,25.24,25.24,0.0,0.0,25.64,25.64,25.64,0.0,0.0,25.24,25.24,25.24,0.0,0.0,25.55,25.55,25.55,0.0,0.0
2018-06-10,25.92,25.92,25.92,0.0,0.0,26.12,26.12,26.12,0.0,0.0,25.92,25.92,25.92,0.0,0.0,26.04,26.04,26.04,0.0,0.0
