Date,FONR_stock_Open_average,FONR_stock_Open_max,FONR_stock_Open_min,FONR_stock_Open_volatility,FONR_stock_Open_change,FONR_stock_High_average,FONR_stock_High_max,FONR_stock_High_min,FONR_stock_High_volatility,FONR_stock_High_change,FONR_stock_Low_average,FONR_stock_Low_max,FONR_stock_Low_min,FONR_stock_Low_volatility,FONR_stock_Low_change,FONR_stock_Close_average,FONR_stock_Close_max,FONR_stock_Close_min,FONR_stock_Close_volatility,FONR_stock_Close_change,FONR_stock_Volume_average,FONR_stock_Volume_max,FONR_stock_Volume_min,FONR_stock_Volume_volatility,FONR_stock_Volume_change
2018-01-14,23.7875,24.25,23.5,0.75,-0.6000000000000014,24.175,24.4,23.85,0.5499999999999972,0.0,23.325,23.6,23.2,0.40000000000000213,0.40000000000000213,23.7,24.25,23.3,0.9499999999999993,0.9499999999999993,30092,34743,24583,10160,-4060
2018-01-21,24.11,24.8,23.75,1.0500000000000007,0.6000000000000014,24.56,25.75,24.05,1.6999999999999993,1.4499999999999993,23.88,24.45,23.6,0.8499999999999979,0.8000000000000007,24.29,25.35,23.8,1.5500000000000007,1.5,32426,47421,19660,27761,26145
2018-01-28,24.93,25.75,24.35,1.3999999999999986,-0.9499999999999993,25.21,25.75,24.45,1.3000000000000007,-1.3000000000000007,24.334,24.9,23.6,1.2999999999999972,-1.2999999999999972,24.67,25.7,23.75,1.9499999999999993,-1.9499999999999993,27039,37364,18910,18454,-6224
2018-02-04,23.31,24.05,22.55,1.5,-1.1499999999999986,24.034,24.6,23.5,1.1000000000000014,-0.8200000000000003,22.822,23.3,22.15,1.1500000000000021,-1.0,23.44,24.4,22.95,1.4499999999999993,-0.09999999999999787,37375,65020,23137,41883,30798
2018-02-11,24.6,25.3,23.95,1.3500000000000014,1.0,25.468,26.0,24.9,1.1000000000000014,0.05000000000000071,24.29,25.3,23.9,1.4000000000000021,1.0,24.93,25.8,24.1,1.6999999999999993,0.75,52670,87332,20371,66961,-56308
2018-02-18,25.7875,26.0,25.5,0.5,0.05000000000000071,26.2,26.3,26.0,0.3000000000000007,0.25,25.5375,25.6,25.5,0.10000000000000142,0.05000000000000071,25.825,26.2,25.6,0.5999999999999979,0.5500000000000007,27965,31702,24055,7647,-2095
2018-02-25,25.3,26.25,23.95,2.3000000000000007,-2.3000000000000007,25.614,26.25,24.75,1.5,-1.1499999999999986,24.59,25.45,23.9,1.5500000000000007,-1.25,25.09,25.85,24.2,1.6500000000000021,-0.8000000000000007,23842,39116,14873,24243,-21333
2018-03-04,25.15,25.75,24.75,1.0,0.8500000000000014,25.52,25.75,25.1,0.6499999999999986,0.6499999999999986,24.88,25.35,24.65,0.7000000000000028,0.15000000000000213,25.14,25.5,24.85,0.6499999999999986,0.09999999999999787,21882,36723,11741,24982,13634
2018-03-11,25.27,25.6,24.9,0.7000000000000028,-0.20000000000000284,25.618000000000002,25.8,25.44,0.35999999999999943,0.1999999999999993,24.91,25.2,24.7,0.5,-0.3000000000000007,25.24,25.4,24.9,0.5,0.09999999999999787,23732,43770,13888,29882,23497
2018-03-18,25.98,26.65,25.2,1.4499999999999993,1.4499999999999993,26.47,26.95,26.05,0.8999999999999986,0.8499999999999979,25.804,26.52,25.2,1.3200000000000003,1.3200000000000003,26.33,26.75,25.9,0.8500000000000014,0.6999999999999993,32236,50773,15576,35197,-12969
2018-03-25,27.0125,27.45,26.0,1.4499999999999993,0.3000000000000007,28.0875,29.95,27.4,2.5500000000000007,2.5,26.6,27.45,26.0,1.4499999999999993,0.6999999999999993,27.7375,29.8,26.4,3.400000000000002,2.400000000000002,60562,135160,32358,102802,102802
2018-04-01,28.49,29.65,27.65,2.0,-1.9499999999999993,28.86,29.85,28.0,1.8500000000000014,-1.8500000000000014,27.902,28.85,27.51,1.3399999999999999,-1.3000000000000007,28.13,28.9,27.6,1.2999999999999972,-1.2999999999999972,30697,37475,22788,14687,-2192
2018-04-08,28.63,29.55,27.75,1.8000000000000007,0.8999999999999986,29.2,29.95,28.2,1.75,0.9000000000000021,28.04,28.95,27.0,1.9499999999999993,1.25,28.77,29.6,27.75,1.8500000000000014,1.25,50331,80536,23647,56889,-48639
2018-04-15,29.54,29.95,29.2,0.75,0.10000000000000142,29.919999999999998,30.1,29.65,0.45000000000000284,0.10000000000000142,28.91,29.3,28.3,1.0,0.4499999999999993,29.580000000000002,29.8,29.3,0.5,0.10000000000000142,44476,60181,19507,40674,32630
2018-04-22,29.55,30.0,29.05,0.9499999999999993,-0.9499999999999993,29.67,30.0,29.05,0.9499999999999993,-0.9499999999999993,28.875999999999998,29.33,28.0,1.3299999999999983,-1.3299999999999983,29.14,29.7,28.1,1.5999999999999979,-1.5499999999999972,21513,25040,19620,5420,-4089
2018-04-29,28.84,29.35,28.15,1.2000000000000028,0.9000000000000021,29.349999999999998,29.7,28.65,1.0500000000000007,1.0,28.566,29.13,27.95,1.1799999999999997,0.6999999999999993,29.169999999999998,29.5,28.45,1.0500000000000007,1.0500000000000007,25940,35186,16908,18278,-16271
2018-05-06,28.61,29.55,26.5,3.0500000000000007,-3.0500000000000007,29.05,29.6,28.15,1.4500000000000028,-1.4500000000000028,27.502,28.9,25.31,3.59,-2.8500000000000014,27.976,29.35,26.08,3.270000000000003,-3.270000000000003,53933,151103,12804,138299,32213
2018-05-13,26.64,27.05,26.1,0.9499999999999993,0.9499999999999993,27.37,27.95,26.9,1.0500000000000007,0.3500000000000014,26.419999999999998,26.75,25.6,1.1499999999999986,1.1499999999999986,26.81,26.95,26.65,0.3000000000000007,0.10000000000000142,29466,48770,15158,33612,-13804
2018-05-20,26.98,27.15,26.8,0.34999999999999787,0.3000000000000007,27.344,27.62,27.25,0.370000000000001,0.370000000000001,26.85,26.95,26.75,0.1999999999999993,0.1999999999999993,27.06,27.2,26.9,0.3000000000000007,0.05000000000000071,14971,20983,11227,9756,3812
2018-05-27,27.0875,27.35,26.7,0.6500000000000021,-0.40000000000000213,27.4125,27.8,26.95,0.8500000000000014,-0.6999999999999993,26.677500000000002,26.8,26.6,0.1999999999999993,-0.14000000000000057,26.9625,27.15,26.7,0.4499999999999993,-0.25,28954,38761,11563,27198,-20242
2018-06-03,27.349999999999998,27.75,26.95,0.8000000000000007,0.8000000000000007,27.694,27.92,27.45,0.4700000000000024,0.3500000000000014,27.124,27.55,26.85,0.6999999999999993,0.2700000000000031,27.38,27.75,27.15,0.6000000000000014,0.05000000000000071,18998,23305,14108,9197,8097
