Date,Fidelity MSCI Consumer Staples_Open_average,Fidelity MSCI Consumer Staples_Open_max,Fidelity MSCI Consumer Staples_Open_min,Fidelity MSCI Consumer Staples_Open_volatility,Fidelity MSCI Consumer Staples_Open_change,Fidelity MSCI Consumer Staples_High_average,Fidelity MSCI Consumer Staples_High_max,Fidelity MSCI Consumer Staples_High_min,Fidelity MSCI Consumer Staples_High_volatility,Fidelity MSCI Consumer Staples_High_change,Fidelity MSCI Consumer Staples_Low_average,Fidelity MSCI Consumer Staples_Low_max,Fidelity MSCI Consumer Staples_Low_min,Fidelity MSCI Consumer Staples_Low_volatility,Fidelity MSCI Consumer Staples_Low_change,Fidelity MSCI Consumer Staples_Close_average,Fidelity MSCI Consumer Staples_Close_max,Fidelity MSCI Consumer Staples_Close_min,Fidelity MSCI Consumer Staples_Close_volatility,Fidelity MSCI Consumer Staples_Close_change
2018-01-14,35.0,35.0,35.0,0.0,0.0,35.25,35.25,35.25,0.0,0.0,35.0,35.0,35.0,0.0,0.0,35.25,35.25,35.25,0.0,0.0
2018-01-21,35.45,35.45,35.45,0.0,0.0,35.47,35.47,35.47,0.0,0.0,35.23,35.23,35.23,0.0,0.0,35.25,35.25,35.25,0.0,0.0
2018-01-28,33.84,33.84,33.84,0.0,0.0,34.02,34.02,34.02,0.0,0.0,32.79,32.79,32.79,0.0,0.0,32.84,32.84,32.84,0.0,0.0
2018-02-04,32.54,32.54,32.54,0.0,0.0,32.8,32.8,32.8,0.0,0.0,32.46,32.46,32.46,0.0,0.0,32.63,32.63,32.63,0.0,0.0
2018-02-11,33.31,33.31,33.31,0.0,0.0,33.61,33.61,33.61,0.0,0.0,33.19,33.19,33.19,0.0,0.0,33.53,33.53,33.53,0.0,0.0
2018-02-18,32.8,32.8,32.8,0.0,0.0,32.96,32.96,32.96,0.0,0.0,32.73,32.73,32.73,0.0,0.0,32.9,32.9,32.9,0.0,0.0
2018-02-25,32.27,32.27,32.27,0.0,0.0,32.7,32.7,32.7,0.0,0.0,32.27,32.27,32.27,0.0,0.0,32.7,32.7,32.7,0.0,0.0
2018-03-04,32.97,32.97,32.97,0.0,0.0,33.15,33.15,33.15,0.0,0.0,32.83,32.83,32.83,0.0,0.0,32.88,32.88,32.88,0.0,0.0
2018-03-11,32.03,32.03,32.03,0.0,0.0,32.08,32.08,32.08,0.0,0.0,31.69,31.69,31.69,0.0,0.0,31.8,31.8,31.8,0.0,0.0
2018-03-18,30.9,30.9,30.9,0.0,0.0,31.12,31.12,31.12,0.0,0.0,30.82,30.82,30.82,0.0,0.0,31.05,31.05,31.05,0.0,0.0
2018-03-25,31.64,31.64,31.64,0.0,0.0,31.64,31.64,31.64,0.0,0.0,30.85,30.85,30.85,0.0,0.0,30.92,30.92,30.92,0.0,0.0
2018-04-01,31.76,31.76,31.76,0.0,0.0,31.93,31.93,31.93,0.0,0.0,31.53,31.53,31.53,0.0,0.0,31.6,31.6,31.6,0.0,0.0
2018-04-08,31.88,31.88,31.88,0.0,0.0,32.26,32.26,32.26,0.0,0.0,31.78,31.78,31.78,0.0,0.0,32.1,32.1,32.1,0.0,0.0
2018-04-15,30.47,30.47,30.47,0.0,0.0,30.54,30.54,30.54,0.0,0.0,30.34,30.34,30.34,0.0,0.0,30.44,30.44,30.44,0.0,0.0
2018-04-22,30.73,30.73,30.73,0.0,0.0,30.84,30.84,30.84,0.0,0.0,30.41,30.41,30.41,0.0,0.0,30.48,30.48,30.48,0.0,0.0
2018-04-29,30.11,30.11,30.11,0.0,0.0,30.12,30.12,30.12,0.0,0.0,29.82,29.82,29.82,0.0,0.0,29.89,29.89,29.89,0.0,0.0
2018-05-06,30.03,30.03,30.03,0.0,0.0,30.05,30.05,30.05,0.0,0.0,29.91,29.91,29.91,0.0,0.0,29.93,29.93,29.93,0.0,0.0
