Date,Wisdom Tree International Dividend Ex-Financials_Open_average,Wisdom Tree International Dividend Ex-Financials_Open_max,Wisdom Tree International Dividend Ex-Financials_Open_min,Wisdom Tree International Dividend Ex-Financials_Open_volatility,Wisdom Tree International Dividend Ex-Financials_Open_change,Wisdom Tree International Dividend Ex-Financials_High_average,Wisdom Tree International Dividend Ex-Financials_High_max,Wisdom Tree International Dividend Ex-Financials_High_min,Wisdom Tree International Dividend Ex-Financials_High_volatility,Wisdom Tree International Dividend Ex-Financials_High_change,Wisdom Tree International Dividend Ex-Financials_Low_average,Wisdom Tree International Dividend Ex-Financials_Low_max,Wisdom Tree International Dividend Ex-Financials_Low_min,Wisdom Tree International Dividend Ex-Financials_Low_volatility,Wisdom Tree International Dividend Ex-Financials_Low_change,Wisdom Tree International Dividend Ex-Financials_Close_average,Wisdom Tree International Dividend Ex-Financials_Close_max,Wisdom Tree International Dividend Ex-Financials_Close_min,Wisdom Tree International Dividend Ex-Financials_Close_volatility,Wisdom Tree International Dividend Ex-Financials_Close_change
2018-01-14,45.73,45.73,45.73,0.0,0.0,46.01,46.01,46.01,0.0,0.0,45.73,45.73,45.73,0.0,0.0,45.97,45.97,45.97,0.0,0.0
2018-01-21,46.03,46.03,46.03,0.0,0.0,46.15,46.15,46.15,0.0,0.0,45.88,45.88,45.88,0.0,0.0,46.07,46.07,46.07,0.0,0.0
2018-01-28,44.33,44.33,44.33,0.0,0.0,44.43,44.43,44.43,0.0,0.0,42.77,42.77,42.77,0.0,0.0,42.87,42.87,42.87,0.0,0.0
2018-02-04,42.53,42.53,42.53,0.0,0.0,42.99,42.99,42.99,0.0,0.0,42.53,42.53,42.53,0.0,0.0,42.9,42.9,42.9,0.0,0.0
2018-02-11,43.75,43.75,43.75,0.0,0.0,44.03,44.03,44.03,0.0,0.0,43.75,43.75,43.75,0.0,0.0,43.91,43.91,43.91,0.0,0.0
2018-02-18,44.1,44.1,44.1,0.0,0.0,44.35,44.35,44.35,0.0,0.0,44.0,44.0,44.0,0.0,0.0,44.35,44.35,44.35,0.0,0.0
2018-02-25,42.55,42.55,42.55,0.0,0.0,43.09,43.09,43.09,0.0,0.0,42.55,42.55,42.55,0.0,0.0,43.09,43.09,43.09,0.0,0.0
2018-03-04,43.74,43.74,43.74,0.0,0.0,43.85,43.85,43.85,0.0,0.0,43.72,43.72,43.72,0.0,0.0,43.83,43.83,43.83,0.0,0.0
2018-03-11,43.33,43.33,43.33,0.0,0.0,43.33,43.33,43.33,0.0,0.0,43.06,43.06,43.06,0.0,0.0,43.12,43.12,43.12,0.0,0.0
2018-03-18,42.84,42.84,42.84,0.0,0.0,42.95,42.95,42.95,0.0,0.0,42.53,42.53,42.53,0.0,0.0,42.94,42.94,42.94,0.0,0.0
2018-03-25,43.05,43.05,43.05,0.0,0.0,43.11,43.11,43.11,0.0,0.0,42.46,42.46,42.46,0.0,0.0,42.73,42.73,42.73,0.0,0.0
2018-04-01,43.65,43.65,43.65,0.0,0.0,43.8,43.8,43.8,0.0,0.0,43.58,43.58,43.58,0.0,0.0,43.64,43.64,43.64,0.0,0.0
2018-04-08,44.24,44.24,44.24,0.0,0.0,44.24,44.24,44.24,0.0,0.0,44.12,44.12,44.12,0.0,0.0,44.17,44.17,44.17,0.0,0.0
2018-04-15,44.31,44.31,44.31,0.0,0.0,44.37,44.37,44.37,0.0,0.0,44.19,44.19,44.19,0.0,0.0,44.19,44.19,44.19,0.0,0.0
2018-04-22,44.5,44.5,44.5,0.0,0.0,44.55,44.55,44.55,0.0,0.0,44.37,44.37,44.37,0.0,0.0,44.37,44.37,44.37,0.0,0.0
2018-04-29,44.5,44.5,44.5,0.0,0.0,44.62,44.62,44.62,0.0,0.0,44.44,44.44,44.44,0.0,0.0,44.5,44.5,44.5,0.0,0.0
2018-05-06,44.86,44.86,44.86,0.0,0.0,44.97,44.97,44.97,0.0,0.0,44.83,44.83,44.83,0.0,0.0,44.85,44.85,44.85,0.0,0.0
2018-05-13,44.63,44.63,44.63,0.0,0.0,44.67,44.67,44.67,0.0,0.0,44.54,44.54,44.54,0.0,0.0,44.67,44.67,44.67,0.0,0.0
2018-05-20,43.13,43.13,43.13,0.0,0.0,43.32,43.32,43.32,0.0,0.0,43.13,43.13,43.13,0.0,0.0,43.22,43.22,43.22,0.0,0.0
2018-05-27,43.66,43.66,43.66,0.0,0.0,43.66,43.66,43.66,0.0,0.0,43.44,43.44,43.44,0.0,0.0,43.44,43.44,43.44,0.0,0.0
2018-06-03,43.79,43.79,43.79,0.0,0.0,44.01,44.01,44.01,0.0,0.0,43.77,43.77,43.77,0.0,0.0,43.94,43.94,43.94,0.0,0.0
2018-06-10,42.79,42.79,42.79,0.0,0.0,42.94,42.94,42.94,0.0,0.0,42.79,42.79,42.79,0.0,0.0,42.94,42.94,42.94,0.0,0.0
2018-06-17,41.71,41.71,41.71,0.0,0.0,41.81,41.81,41.81,0.0,0.0,41.67,41.67,41.67,0.0,0.0,41.78,41.78,41.78,0.0,0.0
