Date,AAPStock_Open_average,AAPStock_Open_max,AAPStock_Open_min,AAPStock_Open_volatility,AAPStock_Open_change,AAPStock_High_average,AAPStock_High_max,AAPStock_High_min,AAPStock_High_volatility,AAPStock_High_change,AAPStock_Low_average,AAPStock_Low_max,AAPStock_Low_min,AAPStock_Low_volatility,AAPStock_Low_change,AAPStock_Close_average,AAPStock_Close_max,AAPStock_Close_min,AAPStock_Close_volatility,AAPStock_Close_change,AAPStock_Volume_average,AAPStock_Volume_max,AAPStock_Volume_min,AAPStock_Volume_volatility,AAPStock_Volume_change
2018-01-14,115.85249999999999,116.76,114.74,2.0200000000000102,-0.5200000000000102,116.6125,117.51,115.86,1.6500000000000057,0.6700000000000017,113.6775,115.21,112.86,2.3499999999999943,2.3499999999999943,115.45,117.02,113.9,3.1199999999999903,3.1199999999999903,1235774,1498101,920874,577227,-328152
2018-01-21,119.668,123.34,116.88,6.460000000000008,6.460000000000008,120.762,123.9,118.19,5.710000000000008,5.710000000000008,118.41,121.66,115.9,5.759999999999991,5.759999999999991,120.536,123.64,118.03,5.609999999999999,5.609999999999999,1365373,1612108,1198596,413512,-123718
2018-01-28,119.422,123.52,115.92,7.599999999999994,-7.599999999999994,120.562,123.63,117.18,6.449999999999989,-6.449999999999989,117.016,122.72,113.12,9.599999999999994,-9.599999999999994,118.074,122.89,113.93,8.959999999999994,-8.959999999999994,1276413,1889671,760629,1129042,-311366
2018-02-04,110.748,113.05,108.28,4.769999999999996,-2.6599999999999966,113.692,115.35,110.45,4.8999999999999915,-4.519999999999996,107.82000000000001,109.9,103.34,6.560000000000002,-6.469999999999999,110.152,112.2,109.14,3.0600000000000023,-0.7199999999999989,1562739,2163545,1240784,922761,296303
2018-02-11,108.484,109.8,105.5,4.299999999999997,-1.0799999999999983,110.082,110.8,109.34,1.4599999999999937,-1.4599999999999937,106.524,108.05,105.26,2.789999999999992,-2.269999999999996,108.214,109.48,106.22,3.260000000000005,-1.9100000000000108,1089050,1392064,818447,573617,-234638
2018-02-18,112.6525,116.96,107.4,9.559999999999988,3.75,115.0625,119.3,108.38,10.920000000000002,8.689999999999998,109.5575,113.23,103.72,9.510000000000005,7.359999999999999,111.53999999999999,116.32,105.35,10.969999999999999,10.969999999999999,2721101,5545204,1465787,4079417,-865028
2018-02-25,114.276,116.67,110.71,5.960000000000008,0.1700000000000017,116.488,117.89,113.91,3.980000000000004,-0.9499999999999886,111.44200000000001,113.43,108.9,4.530000000000001,1.0400000000000063,114.496,117.51,109.8,7.710000000000008,1.2199999999999989,1799415,2161269,1409612,751657,52452
2018-03-04,116.638,117.43,115.45,1.980000000000004,0.9899999999999949,118.234,119.04,117.33,1.710000000000008,1.3900000000000006,114.998,115.8,114.4,1.3999999999999915,-0.7199999999999989,117.266,118.86,115.75,3.1099999999999994,2.5,912255,1088501,672194,416307,-201
2018-03-11,118.188,119.16,116.93,2.2299999999999898,-1.6299999999999955,119.074,120.1,117.81,2.289999999999992,-1.4399999999999977,116.45,117.26,115.47,1.7900000000000063,-1.4499999999999886,117.64,119.0,116.63,2.3700000000000045,-1.7800000000000011,890963,1354443,672891,681552,551327
2018-03-18,114.854,116.79,112.41,4.38000000000001,-4.38000000000001,115.788,117.56,113.26,4.299999999999997,-4.299999999999997,112.92999999999999,114.7,110.34,4.359999999999999,-4.359999999999999,113.582,115.87,110.84,5.030000000000001,-5.030000000000001,853404,1085896,636041,449855,272867
