Date,MNOV_Open_average,MNOV_Open_max,MNOV_Open_volatility,MNOV_Open_change,MNOV_High_average,MNOV_High_max,MNOV_High_volatility,MNOV_High_change,MNOV_Low_average,MNOV_Low_max,MNOV_Low_volatility,MNOV_Low_change,MNOV_Close_average,MNOV_Close_max,MNOV_Close_volatility,MNOV_Close_change,MNOV_Volume_average,MNOV_Volume_max,MNOV_Volume_volatility,MNOV_Volume_change
2016-01-03,3.8083333333333336,4.0,0.3999999999999999,0.3599999999999999,3.86,4.0,0.3500000000000001,0.3200000000000003,3.7183333333333333,3.86,0.2999999999999998,0.14000000000000012,3.8233333333333333,3.93,0.31000000000000005,0.31000000000000005,79254,166524,145557,34171
2016-01-10,3.7975,4.0,0.3500000000000001,-0.3500000000000001,3.8425,4.0,0.25,-0.25,3.665,3.8,0.2599999999999998,-0.2599999999999998,3.7775,3.85,0.1299999999999999,-0.1299999999999999,51165,76417,35944,-1973
2016-01-17,3.702,3.9,0.3700000000000001,0.14000000000000012,3.7319999999999998,3.92,0.33000000000000007,0.08999999999999986,3.604,3.76,0.2599999999999998,0.09999999999999964,3.68,3.86,0.27,0.17999999999999972,42163,82514,69324,28604
2016-01-24,3.992,4.07,0.17000000000000037,0.1499999999999999,4.05,4.12,0.1299999999999999,0.1299999999999999,3.942,4.02,0.16999999999999948,0.16999999999999948,4.016,4.1,0.17999999999999972,0.17999999999999972,74952,116938,76807,-54133
2016-01-31,4.296,4.45,0.29000000000000004,-0.019999999999999574,4.394,4.49,0.1900000000000004,-0.04999999999999982,4.144,4.32,0.27000000000000046,-0.1200000000000001,4.2620000000000005,4.4,0.25,-0.1299999999999999,131515,173573,135158,-29434
2016-02-07,4.1925,4.22,0.09999999999999964,0.08999999999999986,4.3275,4.38,0.16000000000000014,0.010000000000000675,4.1325,4.18,0.08000000000000007,-0.020000000000000462,4.2025,4.22,0.040000000000000036,0.010000000000000675,81343,124347,107631,-45678
2016-02-14,4.616,5.0,0.7599999999999998,0.7599999999999998,4.806,5.15,0.7800000000000002,0.7800000000000002,4.564,4.93,0.6999999999999993,0.6999999999999993,4.72,5.14,0.79,0.79,152279,268626,212631,116617
2016-02-21,5.9239999999999995,6.42,0.9199999999999999,0.20999999999999996,6.15,6.82,1.1900000000000004,0.3799999999999999,5.638,6.15,0.9000000000000004,0.45999999999999996,5.852,6.42,1.12,0.7000000000000002,574872,1193344,924926,25841
2016-02-28,5.936,6.06,0.25,-0.04999999999999982,6.256,6.42,0.2699999999999996,0.04999999999999982,5.482,5.84,1.29,0.1899999999999995,6.014,6.19,0.33000000000000007,0.33000000000000007,515704,1409429,1245074,-215560
2016-03-06,5.97,6.4,0.7800000000000002,-0.6100000000000003,6.126,6.4,0.40000000000000036,-0.39000000000000057,5.732,5.9,0.40000000000000036,-0.05999999999999961,5.892,6.09,0.5300000000000002,-0.10999999999999943,188505,315408,235825,45284
2016-03-13,5.91,6.02,0.1899999999999995,-0.13999999999999968,6.016,6.1,0.13999999999999968,-0.04999999999999982,5.74,5.87,0.4299999999999997,0.04999999999999982,5.898,5.95,0.10000000000000053,-0.07000000000000028,233812,500898,377559,-89442
2016-03-20,5.9725,6.06,0.1899999999999995,-0.04999999999999982,6.195,6.85,0.9799999999999995,0.7599999999999998,5.7875,6.01,0.35999999999999943,0.22999999999999954,5.9225,6.34,0.6399999999999997,0.5099999999999998,332617,646205,495426,495426
2016-03-27,7.624,8.65,1.9800000000000004,1.9800000000000004,8.11,9.37,2.369999999999999,2.369999999999999,7.396,8.62,1.9499999999999993,1.9499999999999993,7.774,9.0,2.0700000000000003,2.0700000000000003,650349,1100016,713342,439080
2016-04-03,8.574,8.98,0.9800000000000004,-0.3999999999999986,8.82,9.43,1.17,-0.7699999999999996,8.288,8.75,0.9400000000000004,-0.5899999999999999,8.45,8.92,0.9100000000000001,-0.6699999999999999,264168,436801,286386,-28867
2016-04-10,8.636,9.43,1.2400000000000002,1.2400000000000002,8.94,10.16,1.7599999999999998,1.7599999999999998,8.466,8.9,0.7100000000000009,0.7100000000000009,8.684000000000001,9.39,1.08,1.0300000000000011,298653,725324,638838,628768
2016-04-17,8.764,9.4,1.67,-1.67,8.9,9.71,1.9200000000000008,-1.9200000000000008,8.36,9.36,2.0599999999999996,-2.0599999999999996,8.56,9.38,1.7200000000000006,-1.7200000000000006,280316,440584,313451,-80038
2016-04-24,7.07,7.34,0.4299999999999997,-0.4299999999999997,7.176,7.34,0.3700000000000001,-0.2999999999999998,6.878,7.02,0.35999999999999943,-0.009999999999999787,6.972,7.05,0.16999999999999993,0.04999999999999982,215449,475722,377072,-377072
2016-05-01,6.818,7.01,0.33000000000000007,-0.16999999999999993,7.028,7.25,0.46999999999999975,0.03000000000000025,6.6979999999999995,6.84,0.28000000000000025,0.03000000000000025,6.858,7.18,0.5,0.33999999999999986,112636,145929,55135,16754
2016-05-08,6.758,6.97,0.3799999999999999,-0.1299999999999999,6.872,7.2,0.6100000000000003,-0.6100000000000003,6.526,6.84,0.71,-0.5899999999999999,6.694,7.02,0.7999999999999998,-0.7999999999999998,94817,138431,68365,46347
2016-05-15,6.146,6.6,0.8399999999999999,0.34999999999999964,6.322,6.73,0.79,0.4300000000000006,6.026,6.51,0.8499999999999996,0.4299999999999997,6.146,6.6,0.8499999999999996,0.39999999999999947,162190,255957,181976,17332
2016-05-22,6.705,6.76,0.17999999999999972,0.15000000000000036,6.795,6.84,0.08000000000000007,0.019999999999999574,6.59,6.65,0.13000000000000078,0.03000000000000025,6.7325,6.76,0.04999999999999982,0.03000000000000025,61328,71913,31466,23335
