Date,AlphaClone Alternative Alpha_etf_Open_average,AlphaClone Alternative Alpha_etf_Open_max,AlphaClone Alternative Alpha_etf_Open_min,AlphaClone Alternative Alpha_etf_Open_volatility,AlphaClone Alternative Alpha_etf_Open_change,AlphaClone Alternative Alpha_etf_High_average,AlphaClone Alternative Alpha_etf_High_max,AlphaClone Alternative Alpha_etf_High_min,AlphaClone Alternative Alpha_etf_High_volatility,AlphaClone Alternative Alpha_etf_High_change,AlphaClone Alternative Alpha_etf_Low_average,AlphaClone Alternative Alpha_etf_Low_max,AlphaClone Alternative Alpha_etf_Low_min,AlphaClone Alternative Alpha_etf_Low_volatility,AlphaClone Alternative Alpha_etf_Low_change,AlphaClone Alternative Alpha_etf_Close_average,AlphaClone Alternative Alpha_etf_Close_max,AlphaClone Alternative Alpha_etf_Close_min,AlphaClone Alternative Alpha_etf_Close_volatility,AlphaClone Alternative Alpha_etf_Close_change
2018-01-14,45.47,45.47,45.47,0.0,0.0,45.53,45.53,45.53,0.0,0.0,45.47,45.47,45.47,0.0,0.0,45.53,45.53,45.53,0.0,0.0
2018-01-21,46.69,46.69,46.69,0.0,0.0,46.69,46.69,46.69,0.0,0.0,46.69,46.69,46.69,0.0,0.0,46.69,46.69,46.69,0.0,0.0
2018-01-28,45.65,45.65,45.65,0.0,0.0,45.65,45.65,45.65,0.0,0.0,45.65,45.65,45.65,0.0,0.0,45.65,45.65,45.65,0.0,0.0
2018-02-04,42.63,42.63,42.63,0.0,0.0,42.68,42.68,42.68,0.0,0.0,41.85,41.85,41.85,0.0,0.0,42.68,42.68,42.68,0.0,0.0
2018-02-11,45.53,45.53,45.53,0.0,0.0,45.63,45.63,45.63,0.0,0.0,45.21,45.21,45.21,0.0,0.0,45.43,45.43,45.43,0.0,0.0
2018-02-18,45.56,45.56,45.56,0.0,0.0,46.03,46.03,46.03,0.0,0.0,45.56,45.56,45.56,0.0,0.0,46.03,46.03,46.03,0.0,0.0
2018-02-25,44.63,44.63,44.63,0.0,0.0,44.84,44.84,44.84,0.0,0.0,44.63,44.63,44.63,0.0,0.0,44.84,44.84,44.84,0.0,0.0
2018-03-04,46.66,46.66,46.66,0.0,0.0,46.66,46.66,46.66,0.0,0.0,46.58,46.58,46.58,0.0,0.0,46.58,46.58,46.58,0.0,0.0
2018-03-11,46.12,46.12,46.12,0.0,0.0,46.21,46.21,46.21,0.0,0.0,46.05,46.05,46.05,0.0,0.0,46.21,46.21,46.21,0.0,0.0
2018-03-18,43.8,43.8,43.8,0.0,0.0,43.8,43.8,43.8,0.0,0.0,43.08,43.08,43.08,0.0,0.0,43.08,43.08,43.08,0.0,0.0
2018-03-25,43.49,43.49,43.49,0.0,0.0,43.67,43.67,43.67,0.0,0.0,43.46,43.46,43.46,0.0,0.0,43.46,43.46,43.46,0.0,0.0
2018-04-01,42.61,42.61,42.61,0.0,0.0,42.61,42.61,42.61,0.0,0.0,41.89,41.89,41.89,0.0,0.0,41.89,41.89,41.89,0.0,0.0
2018-04-08,44.67,44.67,44.67,0.0,0.0,44.67,44.67,44.67,0.0,0.0,44.67,44.67,44.67,0.0,0.0,44.67,44.67,44.67,0.0,0.0
2018-04-15,45.06,45.06,45.06,0.0,0.0,45.06,45.06,45.06,0.0,0.0,44.92,44.92,44.92,0.0,0.0,44.92,44.92,44.92,0.0,0.0
2018-04-22,44.49,44.49,44.49,0.0,0.0,44.61,44.61,44.61,0.0,0.0,44.36,44.36,44.36,0.0,0.0,44.53,44.53,44.53,0.0,0.0
2018-04-29,44.68,44.68,44.68,0.0,0.0,44.91,44.91,44.91,0.0,0.0,44.68,44.68,44.68,0.0,0.0,44.79,44.79,44.79,0.0,0.0
2018-05-06,46.36,46.36,46.36,0.0,0.0,46.36,46.36,46.36,0.0,0.0,46.2,46.2,46.2,0.0,0.0,46.26,46.26,46.26,0.0,0.0
2018-05-13,46.81,46.81,46.81,0.0,0.0,46.81,46.81,46.81,0.0,0.0,46.73,46.73,46.73,0.0,0.0,46.74,46.74,46.74,0.0,0.0
2018-05-20,46.7,46.7,46.7,0.0,0.0,46.7,46.7,46.7,0.0,0.0,46.7,46.7,46.7,0.0,0.0,46.7,46.7,46.7,0.0,0.0
2018-05-27,47.07,47.07,47.07,0.0,0.0,47.27,47.27,47.27,0.0,0.0,47.06,47.06,47.06,0.0,0.0,47.27,47.27,47.27,0.0,0.0
2018-06-03,47.49,47.49,47.49,0.0,0.0,48.2,48.2,48.2,0.0,0.0,47.49,47.49,47.49,0.0,0.0,48.18,48.18,48.18,0.0,0.0
2018-06-10,48.83,48.83,48.83,0.0,0.0,48.97,48.97,48.97,0.0,0.0,48.77,48.77,48.77,0.0,0.0,48.97,48.97,48.97,0.0,0.0
2018-06-17,48.36,48.36,48.36,0.0,0.0,48.36,48.36,48.36,0.0,0.0,47.86,47.86,47.86,0.0,0.0,47.97,47.97,47.97,0.0,0.0
2018-06-24,46.89,46.89,46.89,0.0,0.0,47.21,47.21,47.21,0.0,0.0,46.89,46.89,46.89,0.0,0.0,47.08,47.08,47.08,0.0,0.0
2018-07-01,47.97,47.97,47.97,0.0,0.0,48.58,48.58,48.58,0.0,0.0,47.97,47.97,47.97,0.0,0.0,48.58,48.58,48.58,0.0,0.0
2018-07-08,49.0,49.0,49.0,0.0,0.0,49.24,49.24,49.24,0.0,0.0,48.96,48.96,48.96,0.0,0.0,49.24,49.24,49.24,0.0,0.0
2018-07-15,48.66,48.66,48.66,0.0,0.0,49.44,49.44,49.44,0.0,0.0,48.66,48.66,48.66,0.0,0.0,49.44,49.44,49.44,0.0,0.0
