Date,iShares MSCI EAFE Growth_etf_Open_average,iShares MSCI EAFE Growth_etf_Open_max,iShares MSCI EAFE Growth_etf_Open_min,iShares MSCI EAFE Growth_etf_Open_volatility,iShares MSCI EAFE Growth_etf_Open_change,iShares MSCI EAFE Growth_etf_High_average,iShares MSCI EAFE Growth_etf_High_max,iShares MSCI EAFE Growth_etf_High_min,iShares MSCI EAFE Growth_etf_High_volatility,iShares MSCI EAFE Growth_etf_High_change,iShares MSCI EAFE Growth_etf_Low_average,iShares MSCI EAFE Growth_etf_Low_max,iShares MSCI EAFE Growth_etf_Low_min,iShares MSCI EAFE Growth_etf_Low_volatility,iShares MSCI EAFE Growth_etf_Low_change,iShares MSCI EAFE Growth_etf_Close_average,iShares MSCI EAFE Growth_etf_Close_max,iShares MSCI EAFE Growth_etf_Close_min,iShares MSCI EAFE Growth_etf_Close_volatility,iShares MSCI EAFE Growth_etf_Close_change
2018-01-14,84.61,84.61,84.61,0.0,0.0,84.67,84.67,84.67,0.0,0.0,84.33,84.33,84.33,0.0,0.0,84.61,84.61,84.61,0.0,0.0
2018-01-21,85.49,85.49,85.49,0.0,0.0,85.81,85.81,85.81,0.0,0.0,85.36,85.36,85.36,0.0,0.0,85.74,85.74,85.74,0.0,0.0
2018-01-28,83.65,83.65,83.65,0.0,0.0,83.65,83.65,83.65,0.0,0.0,82.6,82.6,82.6,0.0,0.0,82.6,82.6,82.6,0.0,0.0
2018-02-04,78.31,78.31,78.31,0.0,0.0,78.47,78.47,78.47,0.0,0.0,76.26,76.26,76.26,0.0,0.0,78.16,78.16,78.16,0.0,0.0
2018-02-11,81.51,81.51,81.51,0.0,0.0,82.06,82.06,82.06,0.0,0.0,81.47,81.47,81.47,0.0,0.0,81.71,81.71,81.71,0.0,0.0
2018-02-18,81.29,81.29,81.29,0.0,0.0,81.68,81.68,81.68,0.0,0.0,81.09,81.09,81.09,0.0,0.0,81.68,81.68,81.68,0.0,0.0
2018-02-25,78.91,78.91,78.91,0.0,0.0,79.55,79.55,79.55,0.0,0.0,78.54,78.54,78.54,0.0,0.0,79.46,79.46,79.46,0.0,0.0
2018-03-04,81.28,81.28,81.28,0.0,0.0,81.71,81.71,81.71,0.0,0.0,81.16,81.16,81.16,0.0,0.0,81.69,81.69,81.69,0.0,0.0
2018-03-11,81.32,81.32,81.32,0.0,0.0,81.57,81.57,81.57,0.0,0.0,81.17,81.17,81.17,0.0,0.0,81.31,81.31,81.31,0.0,0.0
2018-03-18,79.48,79.48,79.48,0.0,0.0,79.5,79.5,79.5,0.0,0.0,78.32,78.32,78.32,0.0,0.0,78.38,78.38,78.38,0.0,0.0
