Date,iShares Core 5-10_Open_average,iShares Core 5-10_Open_max,iShares Core 5-10_Open_min,iShares Core 5-10_Open_volatility,iShares Core 5-10_Open_change,iShares Core 5-10_High_average,iShares Core 5-10_High_max,iShares Core 5-10_High_min,iShares Core 5-10_High_volatility,iShares Core 5-10_High_change,iShares Core 5-10_Low_average,iShares Core 5-10_Low_max,iShares Core 5-10_Low_min,iShares Core 5-10_Low_volatility,iShares Core 5-10_Low_change,iShares Core 5-10_Close_average,iShares Core 5-10_Close_max,iShares Core 5-10_Close_min,iShares Core 5-10_Close_volatility,iShares Core 5-10_Close_change
2018-01-14,49.45,49.45,49.45,0.0,0.0,49.45,49.45,49.45,0.0,0.0,48.87,48.87,48.87,0.0,0.0,48.91,48.91,48.91,0.0,0.0
2018-01-21,49.14,49.14,49.14,0.0,0.0,49.14,49.14,49.14,0.0,0.0,48.79,48.79,48.79,0.0,0.0,48.82,48.82,48.82,0.0,0.0
2018-01-28,48.51,48.51,48.51,0.0,0.0,48.51,48.51,48.51,0.0,0.0,48.2,48.2,48.2,0.0,0.0,48.4,48.4,48.4,0.0,0.0
2018-02-04,48.21,48.21,48.21,0.0,0.0,48.33,48.33,48.33,0.0,0.0,48.1,48.1,48.1,0.0,0.0,48.1,48.1,48.1,0.0,0.0
2018-02-11,48.44,48.44,48.44,0.0,0.0,48.44,48.44,48.44,0.0,0.0,48.04,48.04,48.04,0.0,0.0,48.29,48.29,48.29,0.0,0.0
2018-02-18,48.15,48.15,48.15,0.0,0.0,48.35,48.35,48.35,0.0,0.0,48.15,48.15,48.15,0.0,0.0,48.33,48.33,48.33,0.0,0.0
2018-02-25,48.06,48.06,48.06,0.0,0.0,48.06,48.06,48.06,0.0,0.0,48.0,48.0,48.0,0.0,0.0,48.06,48.06,48.06,0.0,0.0
2018-03-04,48.36,48.36,48.36,0.0,0.0,48.36,48.36,48.36,0.0,0.0,48.01,48.01,48.01,0.0,0.0,48.1,48.1,48.1,0.0,0.0
2018-03-11,48.36,48.36,48.36,0.0,0.0,48.36,48.36,48.36,0.0,0.0,48.04,48.04,48.04,0.0,0.0,48.06,48.06,48.06,0.0,0.0
2018-03-18,48.36,48.36,48.36,0.0,0.0,48.36,48.36,48.36,0.0,0.0,48.1,48.1,48.1,0.0,0.0,48.1,48.1,48.1,0.0,0.0
2018-03-25,48.45,48.45,48.45,0.0,0.0,48.45,48.45,48.45,0.0,0.0,48.18,48.18,48.18,0.0,0.0,48.27,48.27,48.27,0.0,0.0
2018-04-01,48.3,48.3,48.3,0.0,0.0,48.3,48.3,48.3,0.0,0.0,48.08,48.08,48.08,0.0,0.0,48.25,48.25,48.25,0.0,0.0
2018-04-08,47.8,47.8,47.8,0.0,0.0,48.15,48.15,48.15,0.0,0.0,47.8,47.8,47.8,0.0,0.0,48.09,48.09,48.09,0.0,0.0
2018-04-15,47.82,47.82,47.82,0.0,0.0,47.82,47.82,47.82,0.0,0.0,47.64,47.64,47.64,0.0,0.0,47.67,47.67,47.67,0.0,0.0
2018-04-22,47.82,47.82,47.82,0.0,0.0,47.95,47.95,47.95,0.0,0.0,47.82,47.82,47.82,0.0,0.0,47.95,47.95,47.95,0.0,0.0
2018-04-29,47.7,47.7,47.7,0.0,0.0,47.75,47.75,47.75,0.0,0.0,47.62,47.62,47.62,0.0,0.0,47.75,47.75,47.75,0.0,0.0
2018-05-06,47.37,47.37,47.37,0.0,0.0,47.64,47.64,47.64,0.0,0.0,47.37,47.37,47.37,0.0,0.0,47.59,47.59,47.59,0.0,0.0
2018-05-13,47.42,47.42,47.42,0.0,0.0,47.45,47.45,47.45,0.0,0.0,47.42,47.42,47.42,0.0,0.0,47.45,47.45,47.45,0.0,0.0
2018-05-20,47.74,47.74,47.74,0.0,0.0,47.74,47.74,47.74,0.0,0.0,47.74,47.74,47.74,0.0,0.0,47.74,47.74,47.74,0.0,0.0
2018-05-27,48.02,48.02,48.02,0.0,0.0,48.02,48.02,48.02,0.0,0.0,47.66,47.66,47.66,0.0,0.0,47.72,47.72,47.72,0.0,0.0
