Date,Elkhorn S&P High Quality Preferred_Open_average,Elkhorn S&P High Quality Preferred_Open_max,Elkhorn S&P High Quality Preferred_Open_min,Elkhorn S&P High Quality Preferred_Open_volatility,Elkhorn S&P High Quality Preferred_Open_change,Elkhorn S&P High Quality Preferred_High_average,Elkhorn S&P High Quality Preferred_High_max,Elkhorn S&P High Quality Preferred_High_min,Elkhorn S&P High Quality Preferred_High_volatility,Elkhorn S&P High Quality Preferred_High_change,Elkhorn S&P High Quality Preferred_Low_average,Elkhorn S&P High Quality Preferred_Low_max,Elkhorn S&P High Quality Preferred_Low_min,Elkhorn S&P High Quality Preferred_Low_volatility,Elkhorn S&P High Quality Preferred_Low_change,Elkhorn S&P High Quality Preferred_Close_average,Elkhorn S&P High Quality Preferred_Close_max,Elkhorn S&P High Quality Preferred_Close_min,Elkhorn S&P High Quality Preferred_Close_volatility,Elkhorn S&P High Quality Preferred_Close_change
2018-01-14,23.74,23.74,23.74,0.0,0.0,23.75,23.75,23.75,0.0,0.0,23.66,23.66,23.66,0.0,0.0,23.72,23.72,23.72,0.0,0.0
2018-01-21,23.47,23.47,23.47,0.0,0.0,23.47,23.47,23.47,0.0,0.0,23.13,23.13,23.13,0.0,0.0,23.13,23.13,23.13,0.0,0.0
2018-01-28,22.88,22.88,22.88,0.0,0.0,22.88,22.88,22.88,0.0,0.0,22.88,22.88,22.88,0.0,0.0,22.88,22.88,22.88,0.0,0.0
2018-02-04,23.37,23.37,23.37,0.0,0.0,23.37,23.37,23.37,0.0,0.0,23.07,23.07,23.07,0.0,0.0,23.1,23.1,23.1,0.0,0.0
2018-02-11,23.01,23.01,23.01,0.0,0.0,23.01,23.01,23.01,0.0,0.0,23.0,23.0,23.0,0.0,0.0,23.0,23.0,23.0,0.0,0.0
2018-02-18,23.6,23.6,23.6,0.0,0.0,23.6,23.6,23.6,0.0,0.0,23.25,23.25,23.25,0.0,0.0,23.25,23.25,23.25,0.0,0.0
2018-02-25,23.43,23.43,23.43,0.0,0.0,23.5,23.5,23.5,0.0,0.0,23.29,23.29,23.29,0.0,0.0,23.29,23.29,23.29,0.0,0.0
2018-03-04,23.47,23.47,23.47,0.0,0.0,23.48,23.48,23.48,0.0,0.0,23.36,23.36,23.36,0.0,0.0,23.36,23.36,23.36,0.0,0.0
2018-03-11,23.61,23.61,23.61,0.0,0.0,23.61,23.61,23.61,0.0,0.0,23.49,23.49,23.49,0.0,0.0,23.5,23.5,23.5,0.0,0.0
2018-03-18,23.78,23.78,23.78,0.0,0.0,23.78,23.78,23.78,0.0,0.0,23.78,23.78,23.78,0.0,0.0,23.78,23.78,23.78,0.0,0.0
2018-03-25,23.4,23.4,23.4,0.0,0.0,23.5,23.5,23.5,0.0,0.0,23.4,23.4,23.4,0.0,0.0,23.48,23.48,23.48,0.0,0.0
2018-04-01,23.25,23.25,23.25,0.0,0.0,23.33,23.33,23.33,0.0,0.0,23.22,23.22,23.22,0.0,0.0,23.27,23.27,23.27,0.0,0.0
2018-04-08,23.19,23.19,23.19,0.0,0.0,23.27,23.27,23.27,0.0,0.0,23.17,23.17,23.17,0.0,0.0,23.24,23.24,23.24,0.0,0.0
2018-04-15,23.27,23.27,23.27,0.0,0.0,23.27,23.27,23.27,0.0,0.0,23.27,23.27,23.27,0.0,0.0,23.27,23.27,23.27,0.0,0.0
2018-04-22,22.96,22.96,22.96,0.0,0.0,22.96,22.96,22.96,0.0,0.0,22.9,22.9,22.9,0.0,0.0,22.91,22.91,22.91,0.0,0.0
2018-04-29,23.38,23.38,23.38,0.0,0.0,23.49,23.49,23.49,0.0,0.0,23.37,23.37,23.37,0.0,0.0,23.42,23.42,23.42,0.0,0.0
2018-05-06,23.18,23.18,23.18,0.0,0.0,23.19,23.19,23.19,0.0,0.0,23.09,23.09,23.09,0.0,0.0,23.1,23.1,23.1,0.0,0.0
2018-05-13,23.0,23.0,23.0,0.0,0.0,23.23,23.23,23.23,0.0,0.0,22.99,22.99,22.99,0.0,0.0,22.99,22.99,22.99,0.0,0.0
2018-05-20,23.17,23.17,23.17,0.0,0.0,23.24,23.24,23.24,0.0,0.0,23.04,23.04,23.04,0.0,0.0,23.04,23.04,23.04,0.0,0.0
2018-05-27,23.38,23.38,23.38,0.0,0.0,23.4,23.4,23.4,0.0,0.0,23.38,23.38,23.38,0.0,0.0,23.4,23.4,23.4,0.0,0.0
2018-06-03,22.8,22.8,22.8,0.0,0.0,23.65,23.65,23.65,0.0,0.0,22.8,22.8,22.8,0.0,0.0,23.48,23.48,23.48,0.0,0.0
2018-06-10,23.64,23.64,23.64,0.0,0.0,23.67,23.67,23.67,0.0,0.0,23.57,23.57,23.57,0.0,0.0,23.57,23.57,23.57,0.0,0.0
2018-06-17,23.95,23.95,23.95,0.0,0.0,23.95,23.95,23.95,0.0,0.0,23.64,23.64,23.64,0.0,0.0,23.65,23.65,23.65,0.0,0.0
2018-06-24,23.68,23.68,23.68,0.0,0.0,23.77,23.77,23.77,0.0,0.0,23.68,23.68,23.68,0.0,0.0,23.74,23.74,23.74,0.0,0.0
2018-07-01,23.94,23.94,23.94,0.0,0.0,24.03,24.03,24.03,0.0,0.0,23.91,23.91,23.91,0.0,0.0,24.03,24.03,24.03,0.0,0.0
2018-07-08,23.92,23.92,23.92,0.0,0.0,23.92,23.92,23.92,0.0,0.0,23.76,23.76,23.76,0.0,0.0,23.76,23.76,23.76,0.0,0.0
2018-07-15,23.73,23.73,23.73,0.0,0.0,23.77,23.77,23.77,0.0,0.0,23.73,23.73,23.73,0.0,0.0,23.77,23.77,23.77,0.0,0.0
2018-07-22,23.49,23.49,23.49,0.0,0.0,23.5,23.5,23.5,0.0,0.0,23.44,23.44,23.44,0.0,0.0,23.44,23.44,23.44,0.0,0.0
2018-07-29,23.42,23.42,23.42,0.0,0.0,23.45,23.45,23.45,0.0,0.0,23.39,23.39,23.39,0.0,0.0,23.4,23.4,23.4,0.0,0.0
2018-08-05,23.3,23.3,23.3,0.0,0.0,23.44,23.44,23.44,0.0,0.0,23.3,23.3,23.3,0.0,0.0,23.44,23.44,23.44,0.0,0.0
2018-08-12,23.48,23.48,23.48,0.0,0.0,23.6,23.6,23.6,0.0,0.0,23.48,23.48,23.48,0.0,0.0,23.55,23.55,23.55,0.0,0.0
2018-08-19,23.4,23.4,23.4,0.0,0.0,23.49,23.49,23.49,0.0,0.0,23.4,23.4,23.4,0.0,0.0,23.49,23.49,23.49,0.0,0.0
2018-08-26,23.59,23.59,23.59,0.0,0.0,23.66,23.66,23.66,0.0,0.0,23.59,23.59,23.59,0.0,0.0,23.66,23.66,23.66,0.0,0.0
