Date,Direxion Daily SP 500 Bull_Open_average,Direxion Daily SP 500 Bull_Open_max,Direxion Daily SP 500 Bull_Open_min,Direxion Daily SP 500 Bull_Open_volatility,Direxion Daily SP 500 Bull_Open_change,Direxion Daily SP 500 Bull_High_average,Direxion Daily SP 500 Bull_High_max,Direxion Daily SP 500 Bull_High_min,Direxion Daily SP 500 Bull_High_volatility,Direxion Daily SP 500 Bull_High_change,Direxion Daily SP 500 Bull_Low_average,Direxion Daily SP 500 Bull_Low_max,Direxion Daily SP 500 Bull_Low_min,Direxion Daily SP 500 Bull_Low_volatility,Direxion Daily SP 500 Bull_Low_change,Direxion Daily SP 500 Bull_Close_average,Direxion Daily SP 500 Bull_Close_max,Direxion Daily SP 500 Bull_Close_min,Direxion Daily SP 500 Bull_Close_volatility,Direxion Daily SP 500 Bull_Close_change
2018-01-14,39.89,39.89,39.89,0.0,0.0,39.89,39.89,39.89,0.0,0.0,38.06,38.06,38.06,0.0,0.0,38.19,38.19,38.19,0.0,0.0
2018-01-21,38.96,38.96,38.96,0.0,0.0,39.19,39.19,39.19,0.0,0.0,38.94,38.94,38.94,0.0,0.0,39.19,39.19,39.19,0.0,0.0
2018-01-28,38.06,38.06,38.06,0.0,0.0,38.19,38.19,38.19,0.0,0.0,36.59,36.59,36.59,0.0,0.0,37.38,37.38,37.38,0.0,0.0
2018-02-04,34.88,34.88,34.88,0.0,0.0,35.23,35.23,35.23,0.0,0.0,33.69,33.69,33.69,0.0,0.0,35.02,35.02,35.02,0.0,0.0
2018-02-11,36.82,36.82,36.82,0.0,0.0,37.93,37.93,37.93,0.0,0.0,36.82,36.82,36.82,0.0,0.0,37.01,37.01,37.01,0.0,0.0
2018-02-18,36.75,36.75,36.75,0.0,0.0,37.15,37.15,37.15,0.0,0.0,36.75,36.75,36.75,0.0,0.0,37.15,37.15,37.15,0.0,0.0
2018-02-25,35.67,35.67,35.67,0.0,0.0,36.1,36.1,36.1,0.0,0.0,35.67,35.67,35.67,0.0,0.0,35.96,35.96,35.96,0.0,0.0
2018-03-04,37.65,37.65,37.65,0.0,0.0,37.79,37.79,37.79,0.0,0.0,37.64,37.64,37.64,0.0,0.0,37.79,37.79,37.79,0.0,0.0
2018-03-11,37.3,37.3,37.3,0.0,0.0,37.3,37.3,37.3,0.0,0.0,37.3,37.3,37.3,0.0,0.0,37.3,37.3,37.3,0.0,0.0
2018-03-18,35.49,35.49,35.49,0.0,0.0,35.54,35.54,35.54,0.0,0.0,34.68,34.68,34.68,0.0,0.0,34.68,34.68,34.68,0.0,0.0
2018-03-25,35.55,35.55,35.55,0.0,0.0,35.55,35.55,35.55,0.0,0.0,35.53,35.53,35.53,0.0,0.0,35.55,35.55,35.55,0.0,0.0
2018-04-01,35.24,35.24,35.24,0.0,0.0,35.34,35.34,35.34,0.0,0.0,35.22,35.22,35.22,0.0,0.0,35.22,35.22,35.22,0.0,0.0
2018-04-08,35.96,35.96,35.96,0.0,0.0,35.96,35.96,35.96,0.0,0.0,35.57,35.57,35.57,0.0,0.0,35.58,35.58,35.58,0.0,0.0
2018-04-15,35.85,35.85,35.85,0.0,0.0,35.85,35.85,35.85,0.0,0.0,35.85,35.85,35.85,0.0,0.0,35.85,35.85,35.85,0.0,0.0
2018-04-22,36.02,36.02,36.02,0.0,0.0,36.02,36.02,36.02,0.0,0.0,35.89,35.89,35.89,0.0,0.0,35.89,35.89,35.89,0.0,0.0
2018-04-29,35.57,35.57,35.57,0.0,0.0,35.89,35.89,35.89,0.0,0.0,35.57,35.57,35.57,0.0,0.0,35.89,35.89,35.89,0.0,0.0
2018-05-06,36.98,36.98,36.98,0.0,0.0,36.99,36.99,36.99,0.0,0.0,36.98,36.98,36.98,0.0,0.0,36.99,36.99,36.99,0.0,0.0
2018-05-13,36.79,36.79,36.79,0.0,0.0,36.84,36.84,36.84,0.0,0.0,36.69,36.69,36.69,0.0,0.0,36.76,36.76,36.76,0.0,0.0
