Date,Global X China ConsumerEtf_Open_average,Global X China ConsumerEtf_Open_max,Global X China ConsumerEtf_Open_min,Global X China ConsumerEtf_Open_volatility,Global X China ConsumerEtf_Open_change,Global X China ConsumerEtf_High_average,Global X China ConsumerEtf_High_max,Global X China ConsumerEtf_High_min,Global X China ConsumerEtf_High_volatility,Global X China ConsumerEtf_High_change,Global X China ConsumerEtf_Low_average,Global X China ConsumerEtf_Low_max,Global X China ConsumerEtf_Low_min,Global X China ConsumerEtf_Low_volatility,Global X China ConsumerEtf_Low_change,Global X China ConsumerEtf_Close_average,Global X China ConsumerEtf_Close_max,Global X China ConsumerEtf_Close_min,Global X China ConsumerEtf_Close_volatility,Global X China ConsumerEtf_Close_change
2018-01-14,19.4,19.4,19.4,0.0,0.0,19.4,19.4,19.4,0.0,0.0,19.17,19.17,19.17,0.0,0.0,19.37,19.37,19.37,0.0,0.0
2018-01-21,19.63,19.63,19.63,0.0,0.0,19.88,19.88,19.88,0.0,0.0,19.62,19.62,19.62,0.0,0.0,19.87,19.87,19.87,0.0,0.0
2018-01-28,19.28,19.28,19.28,0.0,0.0,19.3,19.3,19.3,0.0,0.0,18.85,18.85,18.85,0.0,0.0,18.86,18.86,18.86,0.0,0.0
2018-02-04,17.64,17.64,17.64,0.0,0.0,17.82,17.82,17.82,0.0,0.0,17.17,17.17,17.17,0.0,0.0,17.7,17.7,17.7,0.0,0.0
2018-02-11,19.21,19.21,19.21,0.0,0.0,19.32,19.32,19.32,0.0,0.0,19.19,19.19,19.19,0.0,0.0,19.19,19.19,19.19,0.0,0.0
2018-02-18,19.53,19.53,19.53,0.0,0.0,19.78,19.78,19.78,0.0,0.0,19.5,19.5,19.5,0.0,0.0,19.78,19.78,19.78,0.0,0.0
2018-02-25,18.82,18.82,18.82,0.0,0.0,18.97,18.97,18.97,0.0,0.0,18.55,18.55,18.55,0.0,0.0,18.92,18.92,18.92,0.0,0.0
2018-03-04,19.55,19.55,19.55,0.0,0.0,19.84,19.84,19.84,0.0,0.0,19.55,19.55,19.55,0.0,0.0,19.84,19.84,19.84,0.0,0.0
2018-03-11,19.58,19.58,19.58,0.0,0.0,19.58,19.58,19.58,0.0,0.0,19.45,19.45,19.45,0.0,0.0,19.56,19.56,19.56,0.0,0.0
2018-03-18,18.75,18.75,18.75,0.0,0.0,18.77,18.77,18.77,0.0,0.0,18.34,18.34,18.34,0.0,0.0,18.39,18.39,18.39,0.0,0.0
2018-03-25,18.49,18.49,18.49,0.0,0.0,18.79,18.79,18.79,0.0,0.0,18.48,18.48,18.48,0.0,0.0,18.71,18.71,18.71,0.0,0.0
2018-04-01,18.42,18.42,18.42,0.0,0.0,18.56,18.56,18.56,0.0,0.0,18.22,18.22,18.22,0.0,0.0,18.31,18.31,18.31,0.0,0.0
