Date,iShares Intermediate Credit Bond_Open_average,iShares Intermediate Credit Bond_Open_max,iShares Intermediate Credit Bond_Open_min,iShares Intermediate Credit Bond_Open_volatility,iShares Intermediate Credit Bond_Open_change,iShares Intermediate Credit Bond_High_average,iShares Intermediate Credit Bond_High_max,iShares Intermediate Credit Bond_High_min,iShares Intermediate Credit Bond_High_volatility,iShares Intermediate Credit Bond_High_change,iShares Intermediate Credit Bond_Low_average,iShares Intermediate Credit Bond_Low_max,iShares Intermediate Credit Bond_Low_min,iShares Intermediate Credit Bond_Low_volatility,iShares Intermediate Credit Bond_Low_change,iShares Intermediate Credit Bond_Close_average,iShares Intermediate Credit Bond_Close_max,iShares Intermediate Credit Bond_Close_min,iShares Intermediate Credit Bond_Close_volatility,iShares Intermediate Credit Bond_Close_change
2018-01-14,54.23,54.23,54.23,0.0,0.0,54.26,54.26,54.26,0.0,0.0,54.19,54.19,54.19,0.0,0.0,54.2,54.2,54.2,0.0,0.0
2018-01-21,54.23,54.23,54.23,0.0,0.0,54.26,54.26,54.26,0.0,0.0,54.2,54.2,54.2,0.0,0.0,54.24,54.24,54.24,0.0,0.0
2018-01-28,53.91,53.91,53.91,0.0,0.0,54.11,54.11,54.11,0.0,0.0,53.88,53.88,53.88,0.0,0.0,54.03,54.03,54.03,0.0,0.0
2018-02-04,53.78,53.78,53.78,0.0,0.0,53.8,53.8,53.8,0.0,0.0,53.74,53.74,53.74,0.0,0.0,53.76,53.76,53.76,0.0,0.0
2018-02-11,53.68,53.68,53.68,0.0,0.0,53.73,53.73,53.73,0.0,0.0,53.67,53.67,53.67,0.0,0.0,53.71,53.71,53.71,0.0,0.0
2018-02-18,53.76,53.76,53.76,0.0,0.0,53.76,53.76,53.76,0.0,0.0,53.68,53.68,53.68,0.0,0.0,53.7,53.7,53.7,0.0,0.0
2018-02-25,53.54,53.54,53.54,0.0,0.0,53.55,53.55,53.55,0.0,0.0,53.45,53.45,53.45,0.0,0.0,53.5,53.5,53.5,0.0,0.0
2018-03-04,53.44,53.44,53.44,0.0,0.0,53.48,53.48,53.48,0.0,0.0,53.43,53.43,53.43,0.0,0.0,53.45,53.45,53.45,0.0,0.0
2018-03-11,53.42,53.42,53.42,0.0,0.0,53.49,53.49,53.49,0.0,0.0,53.41,53.41,53.41,0.0,0.0,53.44,53.44,53.44,0.0,0.0
2018-03-18,53.41,53.41,53.41,0.0,0.0,53.45,53.45,53.45,0.0,0.0,53.36,53.36,53.36,0.0,0.0,53.37,53.37,53.37,0.0,0.0
2018-03-25,53.44,53.44,53.44,0.0,0.0,53.54,53.54,53.54,0.0,0.0,53.44,53.44,53.44,0.0,0.0,53.49,53.49,53.49,0.0,0.0
2018-04-01,53.47,53.47,53.47,0.0,0.0,53.52,53.52,53.52,0.0,0.0,53.46,53.46,53.46,0.0,0.0,53.52,53.52,53.52,0.0,0.0
2018-04-08,53.41,53.41,53.41,0.0,0.0,53.46,53.46,53.46,0.0,0.0,53.4,53.4,53.4,0.0,0.0,53.44,53.44,53.44,0.0,0.0
2018-04-15,53.2,53.2,53.2,0.0,0.0,53.2,53.2,53.2,0.0,0.0,53.14,53.14,53.14,0.0,0.0,53.18,53.18,53.18,0.0,0.0
2018-04-22,53.17,53.17,53.17,0.0,0.0,53.21,53.21,53.21,0.0,0.0,53.17,53.17,53.17,0.0,0.0,53.19,53.19,53.19,0.0,0.0
2018-04-29,53.08,53.08,53.08,0.0,0.0,53.09,53.09,53.09,0.0,0.0,53.06,53.06,53.06,0.0,0.0,53.06,53.06,53.06,0.0,0.0
2018-05-06,53.06,53.06,53.06,0.0,0.0,53.09,53.09,53.09,0.0,0.0,53.05,53.05,53.05,0.0,0.0,53.06,53.06,53.06,0.0,0.0
2018-05-13,52.94,52.94,52.94,0.0,0.0,52.99,52.99,52.99,0.0,0.0,52.94,52.94,52.94,0.0,0.0,52.99,52.99,52.99,0.0,0.0
2018-05-20,53.23,53.23,53.23,0.0,0.0,53.26,53.26,53.26,0.0,0.0,53.23,53.23,53.23,0.0,0.0,53.26,53.26,53.26,0.0,0.0
2018-05-27,53.1,53.1,53.1,0.0,0.0,53.1,53.1,53.1,0.0,0.0,53.02,53.02,53.02,0.0,0.0,53.04,53.04,53.04,0.0,0.0
2018-06-03,52.99,52.99,52.99,0.0,0.0,53.03,53.03,53.03,0.0,0.0,52.98,52.98,52.98,0.0,0.0,53.03,53.03,53.03,0.0,0.0
2018-06-10,53.09,53.09,53.09,0.0,0.0,53.09,53.09,53.09,0.0,0.0,53.05,53.05,53.05,0.0,0.0,53.06,53.06,53.06,0.0,0.0
