Date,DNBF_Open_average,DNBF_Open_max,DNBF_Open_min,DNBF_Open_volatility,DNBF_Open_change,DNBF_High_average,DNBF_High_max,DNBF_High_min,DNBF_High_volatility,DNBF_High_change,DNBF_Low_average,DNBF_Low_max,DNBF_Low_min,DNBF_Low_volatility,DNBF_Low_change,DNBF_Close_average,DNBF_Close_max,DNBF_Close_min,DNBF_Close_volatility,DNBF_Close_change,DNBF_Volume_average,DNBF_Volume_max,DNBF_Volume_min,DNBF_Volume_volatility,DNBF_Volume_change
2016-01-03,28.32,28.8,28.0,0.8000000000000007,-0.8000000000000007,28.7725,29.42,28.12,1.3000000000000007,-1.3000000000000007,27.7825,28.05,27.08,0.9700000000000024,0.870000000000001,28.45,29.25,27.95,1.3000000000000007,-0.5600000000000023,1300,2269,846,1423,-1369
2016-01-10,28.2325,28.5,27.6,0.8999999999999986,-0.8999999999999986,28.6525,29.0,28.5,0.5,0.48999999999999844,28.0875,28.5,27.6,0.8999999999999986,-0.8999999999999986,28.2875,28.5,28.15,0.3500000000000014,-0.25,8078,26310,1668,24642,24569
2016-01-17,28.524,29.32,27.66,1.6600000000000001,1.1999999999999993,28.86,29.32,28.45,0.870000000000001,0.5,28.296,28.78,27.66,1.120000000000001,0.7899999999999991,28.646,28.8,28.42,0.379999999999999,0.029999999999997584,10295,32402,101,32301,-14747
2016-01-24,28.958,29.4,28.0,1.3999999999999986,-1.3999999999999986,29.116,29.4,28.74,0.6600000000000001,-0.6600000000000001,28.746,29.4,27.93,1.4699999999999989,-1.4699999999999989,28.898,29.4,28.45,0.9499999999999993,-0.8999999999999986,2433,7570,165,7405,6202
2016-01-31,28.198,28.34,28.0,0.33999999999999986,0.14999999999999858,28.37,28.75,28.15,0.6000000000000014,0.6000000000000014,28.198,28.34,28.0,0.33999999999999986,0.14999999999999858,28.368,28.75,28.15,0.6000000000000014,0.6000000000000014,1404,3210,439,2771,111
2016-02-07,28.7975,29.15,28.39,0.759999999999998,0.25,28.8725,29.15,28.39,0.759999999999998,-0.05000000000000071,28.535,29.15,28.1,1.0499999999999972,-0.3999999999999986,28.634999999999998,29.15,28.39,0.759999999999998,0.0,25562,75192,20,75172,-48461
2016-02-14,28.852,29.3,28.4,0.9000000000000021,0.010000000000001563,29.317999999999998,29.4,29.05,0.34999999999999787,0.34999999999999787,28.824,29.3,28.26,1.0399999999999991,0.010000000000001563,29.317999999999998,29.4,29.05,0.34999999999999787,0.34999999999999787,1276,3971,63,3908,800
2016-02-21,29.279999999999998,29.4,29.04,0.35999999999999943,-0.35999999999999943,29.279999999999998,29.4,29.04,0.35999999999999943,-0.35999999999999943,28.803333333333335,29.4,28.41,0.9899999999999984,-0.19000000000000128,28.933333333333334,29.4,28.6,0.7999999999999972,0.1999999999999993,839,1771,93,1678,560
2016-02-28,29.112,29.4,28.75,0.6499999999999986,0.6499999999999986,29.118,29.4,28.76,0.639999999999997,0.6199999999999974,28.738,29.25,28.17,1.0799999999999983,-0.5799999999999983,28.974,29.35,28.75,0.6000000000000014,0.6000000000000014,1461,4941,164,4777,3306
2016-03-06,29.43,29.5,29.4,0.10000000000000142,0.0,29.43,29.5,29.4,0.10000000000000142,0.0,29.116,29.36,28.8,0.5599999999999987,-0.36999999999999744,29.394,29.4,29.38,0.019999999999999574,0.0,3603,4449,2965,1484,-1019
2016-03-13,29.174,29.45,28.85,0.5999999999999979,-0.5399999999999991,29.288,29.45,29.05,0.3999999999999986,-0.3999999999999986,28.526,28.96,28.0,0.9600000000000009,0.19000000000000128,29.052,29.4,28.59,0.8099999999999987,-0.34999999999999787,12508,34350,3503,30847,7655
2016-03-20,28.895,29.34,28.22,1.120000000000001,-1.0,29.197499999999998,29.4,29.0,0.3999999999999986,-0.3999999999999986,28.455,28.8,28.16,0.6400000000000006,0.05999999999999872,29.1375,29.3,29.0,0.3000000000000007,-0.1999999999999993,2126,6837,466,6371,-6200
2016-03-27,29.12,29.43,28.5,0.9299999999999997,0.9299999999999997,29.376,29.5,29.25,0.25,0.0799999999999983,28.848,29.43,28.5,0.9299999999999997,0.9299999999999997,29.142,29.5,28.52,0.9800000000000004,0.41999999999999815,1279,2611,191,2420,-1551
