Date,Swedish Export Credit ELEMENTS Linked to MLCX Grai_Open_average,Swedish Export Credit ELEMENTS Linked to MLCX Grai_Open_max,Swedish Export Credit ELEMENTS Linked to MLCX Grai_Open_min,Swedish Export Credit ELEMENTS Linked to MLCX Grai_Open_volatility,Swedish Export Credit ELEMENTS Linked to MLCX Grai_Open_change,Swedish Export Credit ELEMENTS Linked to MLCX Grai_High_average,Swedish Export Credit ELEMENTS Linked to MLCX Grai_High_max,Swedish Export Credit ELEMENTS Linked to MLCX Grai_High_min,Swedish Export Credit ELEMENTS Linked to MLCX Grai_High_volatility,Swedish Export Credit ELEMENTS Linked to MLCX Grai_High_change,Swedish Export Credit ELEMENTS Linked to MLCX Grai_Low_average,Swedish Export Credit ELEMENTS Linked to MLCX Grai_Low_max,Swedish Export Credit ELEMENTS Linked to MLCX Grai_Low_min,Swedish Export Credit ELEMENTS Linked to MLCX Grai_Low_volatility,Swedish Export Credit ELEMENTS Linked to MLCX Grai_Low_change,Swedish Export Credit ELEMENTS Linked to MLCX Grai_Close_average,Swedish Export Credit ELEMENTS Linked to MLCX Grai_Close_max,Swedish Export Credit ELEMENTS Linked to MLCX Grai_Close_min,Swedish Export Credit ELEMENTS Linked to MLCX Grai_Close_volatility,Swedish Export Credit ELEMENTS Linked to MLCX Grai_Close_change
2018-01-14,3.36,3.36,3.36,0.0,0.0,3.43,3.43,3.43,0.0,0.0,3.36,3.36,3.36,0.0,0.0,3.38,3.38,3.38,0.0,0.0
2018-01-21,3.45,3.45,3.45,0.0,0.0,3.5,3.5,3.5,0.0,0.0,3.45,3.45,3.45,0.0,0.0,3.48,3.48,3.48,0.0,0.0
2018-01-28,3.47,3.47,3.47,0.0,0.0,3.47,3.47,3.47,0.0,0.0,3.42,3.42,3.42,0.0,0.0,3.42,3.42,3.42,0.0,0.0
2018-02-04,3.51,3.51,3.51,0.0,0.0,3.54,3.54,3.54,0.0,0.0,3.51,3.51,3.51,0.0,0.0,3.54,3.54,3.54,0.0,0.0
2018-02-11,3.58,3.58,3.58,0.0,0.0,3.59,3.59,3.59,0.0,0.0,3.58,3.58,3.58,0.0,0.0,3.59,3.59,3.59,0.0,0.0
2018-02-18,3.65,3.65,3.65,0.0,0.0,3.68,3.68,3.68,0.0,0.0,3.62,3.62,3.62,0.0,0.0,3.66,3.66,3.66,0.0,0.0
2018-02-25,3.77,3.77,3.77,0.0,0.0,3.83,3.83,3.83,0.0,0.0,3.77,3.77,3.77,0.0,0.0,3.83,3.83,3.83,0.0,0.0
2018-03-04,3.7,3.7,3.7,0.0,0.0,3.71,3.71,3.71,0.0,0.0,3.7,3.7,3.7,0.0,0.0,3.7,3.7,3.7,0.0,0.0
2018-03-11,3.54,3.54,3.54,0.0,0.0,3.6,3.6,3.6,0.0,0.0,3.52,3.52,3.52,0.0,0.0,3.52,3.52,3.52,0.0,0.0
2018-03-18,3.56,3.56,3.56,0.0,0.0,3.6,3.6,3.6,0.0,0.0,3.56,3.56,3.56,0.0,0.0,3.58,3.58,3.58,0.0,0.0
