Date,ETFS Physical Platinum Shares_Open_average,ETFS Physical Platinum Shares_Open_max,ETFS Physical Platinum Shares_Open_min,ETFS Physical Platinum Shares_Open_volatility,ETFS Physical Platinum Shares_Open_change,ETFS Physical Platinum Shares_High_average,ETFS Physical Platinum Shares_High_max,ETFS Physical Platinum Shares_High_min,ETFS Physical Platinum Shares_High_volatility,ETFS Physical Platinum Shares_High_change,ETFS Physical Platinum Shares_Low_average,ETFS Physical Platinum Shares_Low_max,ETFS Physical Platinum Shares_Low_min,ETFS Physical Platinum Shares_Low_volatility,ETFS Physical Platinum Shares_Low_change,ETFS Physical Platinum Shares_Close_average,ETFS Physical Platinum Shares_Close_max,ETFS Physical Platinum Shares_Close_min,ETFS Physical Platinum Shares_Close_volatility,ETFS Physical Platinum Shares_Close_change
2018-01-14,96.7,96.7,96.7,0.0,0.0,96.92,96.92,96.92,0.0,0.0,94.42,94.42,94.42,0.0,0.0,94.9,94.9,94.9,0.0,0.0
2018-01-21,96.2,96.2,96.2,0.0,0.0,96.32,96.32,96.32,0.0,0.0,95.45,95.45,95.45,0.0,0.0,95.91,95.91,95.91,0.0,0.0
2018-01-28,94.7,94.7,94.7,0.0,0.0,94.77,94.77,94.77,0.0,0.0,94.22,94.22,94.22,0.0,0.0,94.33,94.33,94.33,0.0,0.0
2018-02-04,91.7,91.7,91.7,0.0,0.0,92.62,92.62,92.62,0.0,0.0,91.69,91.69,91.69,0.0,0.0,92.55,92.55,92.55,0.0,0.0
2018-02-11,95.65,95.65,95.65,0.0,0.0,96.36,96.36,96.36,0.0,0.0,95.64,95.64,95.64,0.0,0.0,95.77,95.77,95.77,0.0,0.0
2018-02-18,95.05,95.05,95.05,0.0,0.0,95.2,95.2,95.2,0.0,0.0,94.8,94.8,94.8,0.0,0.0,95.12,95.12,95.12,0.0,0.0
2018-02-25,91.42,91.42,91.42,0.0,0.0,91.65,91.65,91.65,0.0,0.0,91.1,91.1,91.1,0.0,0.0,91.51,91.51,91.51,0.0,0.0
2018-03-04,91.4,91.4,91.4,0.0,0.0,91.78,91.78,91.78,0.0,0.0,91.22,91.22,91.22,0.0,0.0,91.75,91.75,91.75,0.0,0.0
2018-03-11,90.35,90.35,90.35,0.0,0.0,91.02,91.02,91.02,0.0,0.0,90.35,90.35,90.35,0.0,0.0,90.72,90.72,90.72,0.0,0.0
2018-03-18,90.7,90.7,90.7,0.0,0.0,91.13,91.13,91.13,0.0,0.0,90.49,90.49,90.49,0.0,0.0,90.67,90.67,90.67,0.0,0.0
2018-03-25,88.9,88.9,88.9,0.0,0.0,89.03,89.03,89.03,0.0,0.0,88.67,88.67,88.67,0.0,0.0,89.0,89.0,89.0,0.0,0.0
2018-04-01,88.4,88.4,88.4,0.0,0.0,89.1,89.1,89.1,0.0,0.0,88.04,88.04,88.04,0.0,0.0,88.8,88.8,88.8,0.0,0.0
2018-04-08,88.55,88.55,88.55,0.0,0.0,88.88,88.88,88.88,0.0,0.0,88.22,88.22,88.22,0.0,0.0,88.34,88.34,88.34,0.0,0.0
2018-04-15,87.8,87.8,87.8,0.0,0.0,87.95,87.95,87.95,0.0,0.0,87.5,87.5,87.5,0.0,0.0,87.7,87.7,87.7,0.0,0.0
2018-04-22,86.06,86.06,86.06,0.0,0.0,86.46,86.46,86.46,0.0,0.0,85.89,85.89,85.89,0.0,0.0,85.98,85.98,85.98,0.0,0.0
2018-04-29,87.0,87.0,87.0,0.0,0.0,87.15,87.15,87.15,0.0,0.0,86.6,86.6,86.6,0.0,0.0,86.62,86.62,86.62,0.0,0.0
2018-05-06,87.8,87.8,87.8,0.0,0.0,87.86,87.86,87.86,0.0,0.0,86.58,86.58,86.58,0.0,0.0,86.61,86.61,86.61,0.0,0.0
2018-05-13,84.22,84.22,84.22,0.0,0.0,85.73,85.73,85.73,0.0,0.0,84.06,84.06,84.06,0.0,0.0,85.49,85.49,85.49,0.0,0.0
2018-05-20,86.3,86.3,86.3,0.0,0.0,86.3,86.3,86.3,0.0,0.0,85.5,85.5,85.5,0.0,0.0,85.62,85.62,85.62,0.0,0.0
2018-05-27,86.2,86.2,86.2,0.0,0.0,86.34,86.34,86.34,0.0,0.0,85.59,85.59,85.59,0.0,0.0,85.6,85.6,85.6,0.0,0.0
2018-06-03,86.2,86.2,86.2,0.0,0.0,86.35,86.35,86.35,0.0,0.0,85.87,85.87,85.87,0.0,0.0,86.04,86.04,86.04,0.0,0.0
2018-06-10,84.28,84.28,84.28,0.0,0.0,84.7,84.7,84.7,0.0,0.0,83.88,83.88,83.88,0.0,0.0,84.0,84.0,84.0,0.0,0.0
