Date,ALPS Sector Dividend Dogs_Open_average,ALPS Sector Dividend Dogs_Open_max,ALPS Sector Dividend Dogs_Open_min,ALPS Sector Dividend Dogs_Open_volatility,ALPS Sector Dividend Dogs_Open_change,ALPS Sector Dividend Dogs_High_average,ALPS Sector Dividend Dogs_High_max,ALPS Sector Dividend Dogs_High_min,ALPS Sector Dividend Dogs_High_volatility,ALPS Sector Dividend Dogs_High_change,ALPS Sector Dividend Dogs_Low_average,ALPS Sector Dividend Dogs_Low_max,ALPS Sector Dividend Dogs_Low_min,ALPS Sector Dividend Dogs_Low_volatility,ALPS Sector Dividend Dogs_Low_change,ALPS Sector Dividend Dogs_Close_average,ALPS Sector Dividend Dogs_Close_max,ALPS Sector Dividend Dogs_Close_min,ALPS Sector Dividend Dogs_Close_volatility,ALPS Sector Dividend Dogs_Close_change
2018-01-14,48.19,48.19,48.19,0.0,0.0,48.58,48.58,48.58,0.0,0.0,48.19,48.19,48.19,0.0,0.0,48.58,48.58,48.58,0.0,0.0
2018-01-21,49.14,49.14,49.14,0.0,0.0,49.22,49.22,49.22,0.0,0.0,48.95,48.95,48.95,0.0,0.0,48.96,48.96,48.96,0.0,0.0
2018-01-28,46.38,46.38,46.38,0.0,0.0,46.71,46.71,46.71,0.0,0.0,44.92,44.92,44.92,0.0,0.0,44.92,44.92,44.92,0.0,0.0
2018-02-04,44.7,44.7,44.7,0.0,0.0,45.14,45.14,45.14,0.0,0.0,44.38,44.38,44.38,0.0,0.0,44.85,44.85,44.85,0.0,0.0
2018-02-11,45.88,45.88,45.88,0.0,0.0,46.5,46.5,46.5,0.0,0.0,45.88,45.88,45.88,0.0,0.0,46.09,46.09,46.09,0.0,0.0
2018-02-18,46.23,46.23,46.23,0.0,0.0,46.39,46.39,46.39,0.0,0.0,45.87,45.87,45.87,0.0,0.0,46.37,46.37,46.37,0.0,0.0
2018-02-25,45.0,45.0,45.0,0.0,0.0,45.78,45.78,45.78,0.0,0.0,45.0,45.0,45.0,0.0,0.0,45.68,45.68,45.68,0.0,0.0
2018-03-04,45.84,45.84,45.84,0.0,0.0,46.07,46.07,46.07,0.0,0.0,45.76,45.76,45.76,0.0,0.0,45.87,45.87,45.87,0.0,0.0
2018-03-11,45.37,45.37,45.37,0.0,0.0,45.37,45.37,45.37,0.0,0.0,44.6,44.6,44.6,0.0,0.0,44.8,44.8,44.8,0.0,0.0
2018-03-18,42.89,42.89,42.89,0.0,0.0,43.31,43.31,43.31,0.0,0.0,42.63,42.63,42.63,0.0,0.0,43.27,43.27,43.27,0.0,0.0
2018-03-25,43.61,43.61,43.61,0.0,0.0,43.65,43.65,43.65,0.0,0.0,42.41,42.41,42.41,0.0,0.0,42.78,42.78,42.78,0.0,0.0
2018-04-01,43.57,43.57,43.57,0.0,0.0,43.97,43.97,43.97,0.0,0.0,43.35,43.35,43.35,0.0,0.0,43.35,43.35,43.35,0.0,0.0
2018-04-08,44.18,44.18,44.18,0.0,0.0,44.56,44.56,44.56,0.0,0.0,44.08,44.08,44.08,0.0,0.0,44.45,44.45,44.45,0.0,0.0
2018-04-15,44.12,44.12,44.12,0.0,0.0,44.34,44.34,44.34,0.0,0.0,44.06,44.06,44.06,0.0,0.0,44.26,44.26,44.26,0.0,0.0
