Date,iShares North American Tech-Multimedia Networking_Open_average,iShares North American Tech-Multimedia Networking_Open_max,iShares North American Tech-Multimedia Networking_Open_min,iShares North American Tech-Multimedia Networking_Open_volatility,iShares North American Tech-Multimedia Networking_Open_change,iShares North American Tech-Multimedia Networking_High_average,iShares North American Tech-Multimedia Networking_High_max,iShares North American Tech-Multimedia Networking_High_min,iShares North American Tech-Multimedia Networking_High_volatility,iShares North American Tech-Multimedia Networking_High_change,iShares North American Tech-Multimedia Networking_Low_average,iShares North American Tech-Multimedia Networking_Low_max,iShares North American Tech-Multimedia Networking_Low_min,iShares North American Tech-Multimedia Networking_Low_volatility,iShares North American Tech-Multimedia Networking_Low_change,iShares North American Tech-Multimedia Networking_Close_average,iShares North American Tech-Multimedia Networking_Close_max,iShares North American Tech-Multimedia Networking_Close_min,iShares North American Tech-Multimedia Networking_Close_volatility,iShares North American Tech-Multimedia Networking_Close_change
2018-01-14,50.24,50.24,50.24,0.0,0.0,50.24,50.24,50.24,0.0,0.0,49.83,49.83,49.83,0.0,0.0,49.99,49.99,49.99,0.0,0.0
2018-01-21,50.24,50.24,50.24,0.0,0.0,50.4,50.4,50.4,0.0,0.0,50.12,50.12,50.12,0.0,0.0,50.14,50.14,50.14,0.0,0.0
2018-01-28,49.87,49.87,49.87,0.0,0.0,50.2,50.2,50.2,0.0,0.0,48.39,48.39,48.39,0.0,0.0,48.39,48.39,48.39,0.0,0.0
2018-02-04,49.41,49.41,49.41,0.0,0.0,50.01,50.01,50.01,0.0,0.0,49.28,49.28,49.28,0.0,0.0,49.68,49.68,49.68,0.0,0.0
2018-02-11,51.32,51.32,51.32,0.0,0.0,51.72,51.72,51.72,0.0,0.0,51.32,51.32,51.32,0.0,0.0,51.46,51.46,51.46,0.0,0.0
2018-02-18,51.36,51.36,51.36,0.0,0.0,51.94,51.94,51.94,0.0,0.0,51.36,51.36,51.36,0.0,0.0,51.86,51.86,51.86,0.0,0.0
2018-02-25,51.55,51.55,51.55,0.0,0.0,52.37,52.37,52.37,0.0,0.0,51.55,51.55,51.55,0.0,0.0,52.3,52.3,52.3,0.0,0.0
2018-03-04,54.87,54.87,54.87,0.0,0.0,55.18,55.18,55.18,0.0,0.0,54.87,54.87,54.87,0.0,0.0,54.92,54.92,54.92,0.0,0.0
2018-03-11,53.59,53.59,53.59,0.0,0.0,53.79,53.79,53.79,0.0,0.0,52.75,52.75,52.75,0.0,0.0,53.27,53.27,53.27,0.0,0.0
2018-03-18,52.02,52.02,52.02,0.0,0.0,52.59,52.59,52.59,0.0,0.0,51.8,51.8,51.8,0.0,0.0,52.57,52.57,52.57,0.0,0.0
2018-03-25,51.23,51.23,51.23,0.0,0.0,51.23,51.23,51.23,0.0,0.0,50.21,50.21,50.21,0.0,0.0,50.57,50.57,50.57,0.0,0.0
2018-04-01,51.36,51.36,51.36,0.0,0.0,51.55,51.55,51.55,0.0,0.0,51.01,51.01,51.01,0.0,0.0,51.01,51.01,51.01,0.0,0.0
2018-04-08,52.08,52.08,52.08,0.0,0.0,52.08,52.08,52.08,0.0,0.0,51.61,51.61,51.61,0.0,0.0,51.88,51.88,51.88,0.0,0.0
2018-04-15,52.96,52.96,52.96,0.0,0.0,53.03,53.03,53.03,0.0,0.0,52.4,52.4,52.4,0.0,0.0,52.48,52.48,52.48,0.0,0.0
2018-04-22,52.05,52.05,52.05,0.0,0.0,52.05,52.05,52.05,0.0,0.0,51.65,51.65,51.65,0.0,0.0,51.75,51.75,51.75,0.0,0.0
2018-04-29,51.51,51.51,51.51,0.0,0.0,52.35,52.35,52.35,0.0,0.0,51.51,51.51,51.51,0.0,0.0,52.08,52.08,52.08,0.0,0.0
2018-05-06,52.81,52.81,52.81,0.0,0.0,52.95,52.95,52.95,0.0,0.0,52.1,52.1,52.1,0.0,0.0,52.21,52.21,52.21,0.0,0.0
2018-05-13,52.16,52.16,52.16,0.0,0.0,52.46,52.46,52.46,0.0,0.0,52.12,52.12,52.12,0.0,0.0,52.33,52.33,52.33,0.0,0.0
2018-05-20,52.09,52.09,52.09,0.0,0.0,52.5,52.5,52.5,0.0,0.0,52.09,52.09,52.09,0.0,0.0,52.38,52.38,52.38,0.0,0.0
2018-05-27,52.2,52.2,52.2,0.0,0.0,52.31,52.31,52.31,0.0,0.0,51.79,51.79,51.79,0.0,0.0,52.3,52.3,52.3,0.0,0.0
2018-06-03,52.53,52.53,52.53,0.0,0.0,52.82,52.82,52.82,0.0,0.0,52.53,52.53,52.53,0.0,0.0,52.73,52.73,52.73,0.0,0.0
2018-06-10,53.47,53.47,53.47,0.0,0.0,53.55,53.55,53.55,0.0,0.0,53.14,53.14,53.14,0.0,0.0,53.55,53.55,53.55,0.0,0.0
2018-06-17,52.41,52.41,52.41,0.0,0.0,52.41,52.41,52.41,0.0,0.0,51.35,51.35,51.35,0.0,0.0,51.63,51.63,51.63,0.0,0.0
2018-06-24,52.05,52.05,52.05,0.0,0.0,52.78,52.78,52.78,0.0,0.0,51.85,51.85,51.85,0.0,0.0,52.77,52.77,52.77,0.0,0.0
2018-07-01,53.87,53.87,53.87,0.0,0.0,53.97,53.97,53.97,0.0,0.0,53.48,53.48,53.48,0.0,0.0,53.87,53.87,53.87,0.0,0.0
2018-07-08,54.17,54.17,54.17,0.0,0.0,54.46,54.46,54.46,0.0,0.0,53.89,53.89,53.89,0.0,0.0,53.95,53.95,53.95,0.0,0.0
