Date,Direxion Daily Natural Gas Related Bear 3XEtf_Open_average,Direxion Daily Natural Gas Related Bear 3XEtf_Open_max,Direxion Daily Natural Gas Related Bear 3XEtf_Open_min,Direxion Daily Natural Gas Related Bear 3XEtf_Open_volatility,Direxion Daily Natural Gas Related Bear 3XEtf_Open_change,Direxion Daily Natural Gas Related Bear 3XEtf_High_average,Direxion Daily Natural Gas Related Bear 3XEtf_High_max,Direxion Daily Natural Gas Related Bear 3XEtf_High_min,Direxion Daily Natural Gas Related Bear 3XEtf_High_volatility,Direxion Daily Natural Gas Related Bear 3XEtf_High_change,Direxion Daily Natural Gas Related Bear 3XEtf_Low_average,Direxion Daily Natural Gas Related Bear 3XEtf_Low_max,Direxion Daily Natural Gas Related Bear 3XEtf_Low_min,Direxion Daily Natural Gas Related Bear 3XEtf_Low_volatility,Direxion Daily Natural Gas Related Bear 3XEtf_Low_change,Direxion Daily Natural Gas Related Bear 3XEtf_Close_average,Direxion Daily Natural Gas Related Bear 3XEtf_Close_max,Direxion Daily Natural Gas Related Bear 3XEtf_Close_min,Direxion Daily Natural Gas Related Bear 3XEtf_Close_volatility,Direxion Daily Natural Gas Related Bear 3XEtf_Close_change
2018-01-14,20.6,20.6,20.6,0.0,0.0,21.06,21.06,21.06,0.0,0.0,20.5,20.5,20.5,0.0,0.0,20.7,20.7,20.7,0.0,0.0
2018-01-21,19.24,19.24,19.24,0.0,0.0,19.58,19.58,19.58,0.0,0.0,19.01,19.01,19.01,0.0,0.0,19.45,19.45,19.45,0.0,0.0
2018-01-28,22.8,22.8,22.8,0.0,0.0,25.42,25.42,25.42,0.0,0.0,22.8,22.8,22.8,0.0,0.0,25.26,25.26,25.26,0.0,0.0
2018-02-04,31.6,31.6,31.6,0.0,0.0,36.51,36.51,36.51,0.0,0.0,31.23,31.23,31.23,0.0,0.0,32.82,32.82,32.82,0.0,0.0
2018-02-11,28.41,28.41,28.41,0.0,0.0,29.18,29.18,29.18,0.0,0.0,27.78,27.78,27.78,0.0,0.0,29.05,29.05,29.05,0.0,0.0
2018-02-18,29.77,29.77,29.77,0.0,0.0,30.1,30.1,30.1,0.0,0.0,28.32,28.32,28.32,0.0,0.0,28.32,28.32,28.32,0.0,0.0
2018-02-25,31.28,31.28,31.28,0.0,0.0,31.85,31.85,31.85,0.0,0.0,28.66,28.66,28.66,0.0,0.0,28.66,28.66,28.66,0.0,0.0
2018-03-04,28.42,28.42,28.42,0.0,0.0,28.45,28.45,28.45,0.0,0.0,27.5,27.5,27.5,0.0,0.0,27.56,27.56,27.56,0.0,0.0
2018-03-11,29.44,29.44,29.44,0.0,0.0,29.44,29.44,29.44,0.0,0.0,28.09,28.09,28.09,0.0,0.0,28.55,28.55,28.55,0.0,0.0
2018-03-18,27.06,27.06,27.06,0.0,0.0,28.52,28.52,28.52,0.0,0.0,26.5,26.5,26.5,0.0,0.0,28.48,28.48,28.48,0.0,0.0
2018-03-25,30.27,30.27,30.27,0.0,0.0,30.27,30.27,30.27,0.0,0.0,28.0,28.0,28.0,0.0,0.0,28.24,28.24,28.24,0.0,0.0
2018-04-01,27.9,27.9,27.9,0.0,0.0,30.93,30.93,30.93,0.0,0.0,27.9,27.9,27.9,0.0,0.0,29.86,29.86,29.86,0.0,0.0
2018-04-08,25.34,25.34,25.34,0.0,0.0,25.34,25.34,25.34,0.0,0.0,23.9,23.9,23.9,0.0,0.0,24.39,24.39,24.39,0.0,0.0
2018-04-15,22.1,22.1,22.1,0.0,0.0,23.04,23.04,23.04,0.0,0.0,22.06,22.06,22.06,0.0,0.0,22.34,22.34,22.34,0.0,0.0
2018-04-22,21.89,21.89,21.89,0.0,0.0,22.06,22.06,22.06,0.0,0.0,21.3,21.3,21.3,0.0,0.0,21.99,21.99,21.99,0.0,0.0
2018-04-29,23.4,23.4,23.4,0.0,0.0,23.66,23.66,23.66,0.0,0.0,22.22,22.22,22.22,0.0,0.0,22.38,22.38,22.38,0.0,0.0
2018-05-06,19.75,19.75,19.75,0.0,0.0,20.4,20.4,20.4,0.0,0.0,19.51,19.51,19.51,0.0,0.0,20.34,20.34,20.34,0.0,0.0
2018-05-13,17.73,17.73,17.73,0.0,0.0,18.43,18.43,18.43,0.0,0.0,17.73,17.73,17.73,0.0,0.0,18.21,18.21,18.21,0.0,0.0
2018-05-20,20.23,20.23,20.23,0.0,0.0,21.8,21.8,21.8,0.0,0.0,20.23,20.23,20.23,0.0,0.0,20.73,20.73,20.73,0.0,0.0
2018-05-27,19.28,19.28,19.28,0.0,0.0,19.78,19.78,19.78,0.0,0.0,18.5,18.5,18.5,0.0,0.0,19.4,19.4,19.4,0.0,0.0
2018-06-03,19.45,19.45,19.45,0.0,0.0,20.26,20.26,20.26,0.0,0.0,19.25,19.25,19.25,0.0,0.0,19.68,19.68,19.68,0.0,0.0
2018-06-10,19.61,19.61,19.61,0.0,0.0,21.0,21.0,21.0,0.0,0.0,19.61,19.61,19.61,0.0,0.0,20.87,20.87,20.87,0.0,0.0
2018-06-17,18.0,18.0,18.0,0.0,0.0,18.05,18.05,18.05,0.0,0.0,17.2,17.2,17.2,0.0,0.0,18.0,18.0,18.0,0.0,0.0
2018-06-24,17.34,17.34,17.34,0.0,0.0,17.39,17.39,17.39,0.0,0.0,16.36,16.36,16.36,0.0,0.0,17.19,17.19,17.19,0.0,0.0
