Date,PowerShares KBW Bank Portfolio_Open_average,PowerShares KBW Bank Portfolio_Open_max,PowerShares KBW Bank Portfolio_Open_min,PowerShares KBW Bank Portfolio_Open_volatility,PowerShares KBW Bank Portfolio_Open_change,PowerShares KBW Bank Portfolio_High_average,PowerShares KBW Bank Portfolio_High_max,PowerShares KBW Bank Portfolio_High_min,PowerShares KBW Bank Portfolio_High_volatility,PowerShares KBW Bank Portfolio_High_change,PowerShares KBW Bank Portfolio_Low_average,PowerShares KBW Bank Portfolio_Low_max,PowerShares KBW Bank Portfolio_Low_min,PowerShares KBW Bank Portfolio_Low_volatility,PowerShares KBW Bank Portfolio_Low_change,PowerShares KBW Bank Portfolio_Close_average,PowerShares KBW Bank Portfolio_Close_max,PowerShares KBW Bank Portfolio_Close_min,PowerShares KBW Bank Portfolio_Close_volatility,PowerShares KBW Bank Portfolio_Close_change
2018-01-14,58.29,58.29,58.29,0.0,0.0,58.86,58.86,58.86,0.0,0.0,58.09,58.09,58.09,0.0,0.0,58.86,58.86,58.86,0.0,0.0
2018-01-21,59.75,59.75,59.75,0.0,0.0,59.99,59.99,59.99,0.0,0.0,59.35,59.35,59.35,0.0,0.0,59.99,59.99,59.99,0.0,0.0
2018-01-28,60.06,60.06,60.06,0.0,0.0,60.24,60.24,60.24,0.0,0.0,58.9,58.9,58.9,0.0,0.0,59.0,59.0,59.0,0.0,0.0
2018-02-04,55.55,55.55,55.55,0.0,0.0,56.24,56.24,56.24,0.0,0.0,53.97,53.97,53.97,0.0,0.0,55.86,55.86,55.86,0.0,0.0
2018-02-11,58.35,58.35,58.35,0.0,0.0,59.18,59.18,59.18,0.0,0.0,58.35,58.35,58.35,0.0,0.0,58.71,58.71,58.71,0.0,0.0
2018-02-18,58.21,58.21,58.21,0.0,0.0,58.97,58.97,58.97,0.0,0.0,58.16,58.16,58.16,0.0,0.0,58.96,58.96,58.96,0.0,0.0
2018-02-25,57.1,57.1,57.1,0.0,0.0,57.93,57.93,57.93,0.0,0.0,56.33,56.33,56.33,0.0,0.0,57.83,57.83,57.83,0.0,0.0
2018-03-04,59.3,59.3,59.3,0.0,0.0,60.02,60.02,60.02,0.0,0.0,59.07,59.07,59.07,0.0,0.0,59.99,59.99,59.99,0.0,0.0
2018-03-11,58.31,58.31,58.31,0.0,0.0,58.97,58.97,58.97,0.0,0.0,58.28,58.28,58.28,0.0,0.0,58.37,58.37,58.37,0.0,0.0
2018-03-18,55.56,55.56,55.56,0.0,0.0,55.78,55.78,55.78,0.0,0.0,53.47,53.47,53.47,0.0,0.0,53.55,53.55,53.55,0.0,0.0
2018-03-25,54.44,54.44,54.44,0.0,0.0,55.27,55.27,55.27,0.0,0.0,54.14,54.14,54.14,0.0,0.0,54.98,54.98,54.98,0.0,0.0
2018-04-01,55.06,55.06,55.06,0.0,0.0,55.31,55.31,55.31,0.0,0.0,53.65,53.65,53.65,0.0,0.0,54.21,54.21,54.21,0.0,0.0
2018-04-08,56.51,56.51,56.51,0.0,0.0,56.51,56.51,56.51,0.0,0.0,54.6,54.6,54.6,0.0,0.0,54.87,54.87,54.87,0.0,0.0
2018-04-15,55.36,55.36,55.36,0.0,0.0,55.71,55.71,55.71,0.0,0.0,55.09,55.09,55.09,0.0,0.0,55.42,55.42,55.42,0.0,0.0
2018-04-22,55.58,55.58,55.58,0.0,0.0,55.97,55.97,55.97,0.0,0.0,55.5,55.5,55.5,0.0,0.0,55.89,55.89,55.89,0.0,0.0
2018-04-29,54.05,54.05,54.05,0.0,0.0,55.36,55.36,55.36,0.0,0.0,53.82,53.82,53.82,0.0,0.0,54.99,54.99,54.99,0.0,0.0
2018-05-06,57.24,57.24,57.24,0.0,0.0,57.58,57.58,57.58,0.0,0.0,57.12,57.12,57.12,0.0,0.0,57.26,57.26,57.26,0.0,0.0
2018-05-13,57.26,57.26,57.26,0.0,0.0,57.26,57.26,57.26,0.0,0.0,56.57,56.57,56.57,0.0,0.0,56.57,56.57,56.57,0.0,0.0
2018-05-20,56.27,56.27,56.27,0.0,0.0,56.47,56.47,56.47,0.0,0.0,56.09,56.09,56.09,0.0,0.0,56.31,56.31,56.31,0.0,0.0
2018-05-27,55.5,55.5,55.5,0.0,0.0,55.92,55.92,55.92,0.0,0.0,55.38,55.38,55.38,0.0,0.0,55.59,55.59,55.59,0.0,0.0
2018-06-03,56.75,56.75,56.75,0.0,0.0,56.93,56.93,56.93,0.0,0.0,56.37,56.37,56.37,0.0,0.0,56.88,56.88,56.88,0.0,0.0
2018-06-10,55.37,55.37,55.37,0.0,0.0,55.91,55.91,55.91,0.0,0.0,54.88,54.88,54.88,0.0,0.0,55.71,55.71,55.71,0.0,0.0
2018-06-17,55.86,55.86,55.86,0.0,0.0,55.97,55.97,55.97,0.0,0.0,54.93,54.93,54.93,0.0,0.0,55.0,55.0,55.0,0.0,0.0
2018-06-24,54.36,54.36,54.36,0.0,0.0,54.81,54.81,54.81,0.0,0.0,53.6,53.6,53.6,0.0,0.0,53.61,53.61,53.61,0.0,0.0
2018-07-01,53.38,53.38,53.38,0.0,0.0,54.01,54.01,54.01,0.0,0.0,53.1,53.1,53.1,0.0,0.0,53.85,53.85,53.85,0.0,0.0
2018-07-08,54.21,54.21,54.21,0.0,0.0,54.29,54.29,54.29,0.0,0.0,53.43,53.43,53.43,0.0,0.0,53.9,53.9,53.9,0.0,0.0
2018-07-15,54.97,54.97,54.97,0.0,0.0,55.41,55.41,55.41,0.0,0.0,54.71,54.71,54.71,0.0,0.0,55.16,55.16,55.16,0.0,0.0
2018-07-22,56.32,56.32,56.32,0.0,0.0,56.74,56.74,56.74,0.0,0.0,56.13,56.13,56.13,0.0,0.0,56.55,56.55,56.55,0.0,0.0
2018-07-29,56.7,56.7,56.7,0.0,0.0,57.0,57.0,57.0,0.0,0.0,56.68,56.68,56.68,0.0,0.0,56.95,56.95,56.95,0.0,0.0
2018-08-05,56.4,56.4,56.4,0.0,0.0,56.62,56.62,56.62,0.0,0.0,56.1,56.1,56.1,0.0,0.0,56.42,56.42,56.42,0.0,0.0
2018-08-12,56.68,56.68,56.68,0.0,0.0,56.98,56.98,56.98,0.0,0.0,56.66,56.66,56.66,0.0,0.0,56.9,56.9,56.9,0.0,0.0
2018-08-19,57.17,57.17,57.17,0.0,0.0,57.28,57.28,57.28,0.0,0.0,56.97,56.97,56.97,0.0,0.0,57.0,57.0,57.0,0.0,0.0
2018-08-26,56.78,56.78,56.78,0.0,0.0,57.03,57.03,57.03,0.0,0.0,56.57,56.57,56.57,0.0,0.0,57.02,57.02,57.02,0.0,0.0
2018-09-02,57.09,57.09,57.09,0.0,0.0,57.24,57.24,57.24,0.0,0.0,56.65,56.65,56.65,0.0,0.0,56.87,56.87,56.87,0.0,0.0
2018-09-09,55.64,55.64,55.64,0.0,0.0,55.86,55.86,55.86,0.0,0.0,55.61,55.61,55.61,0.0,0.0,55.7,55.7,55.7,0.0,0.0
2018-09-16,57.46,57.46,57.46,0.0,0.0,57.46,57.46,57.46,0.0,0.0,56.94,56.94,56.94,0.0,0.0,56.94,56.94,56.94,0.0,0.0
2018-09-23,54.24,54.24,54.24,0.0,0.0,54.43,54.43,54.43,0.0,0.0,53.97,53.97,53.97,0.0,0.0,54.06,54.06,54.06,0.0,0.0
2018-09-30,55.46,55.46,55.46,0.0,0.0,55.64,55.64,55.64,0.0,0.0,54.79,54.79,54.79,0.0,0.0,54.96,54.96,54.96,0.0,0.0
2018-10-07,53.04,53.04,53.04,0.0,0.0,53.09,53.09,53.09,0.0,0.0,50.83,50.83,50.83,0.0,0.0,51.79,51.79,51.79,0.0,0.0
2018-10-14,51.4,51.4,51.4,0.0,0.0,51.99,51.99,51.99,0.0,0.0,51.11,51.11,51.11,0.0,0.0,51.45,51.45,51.45,0.0,0.0
2018-10-21,48.84,48.84,48.84,0.0,0.0,49.38,49.38,49.38,0.0,0.0,48.46,48.46,48.46,0.0,0.0,48.92,48.92,48.92,0.0,0.0
2018-10-28,51.73,51.73,51.73,0.0,0.0,52.19,52.19,52.19,0.0,0.0,50.94,50.94,50.94,0.0,0.0,51.31,51.31,51.31,0.0,0.0
2018-11-04,52.48,52.48,52.48,0.0,0.0,52.69,52.69,52.69,0.0,0.0,52.01,52.01,52.01,0.0,0.0,52.36,52.36,52.36,0.0,0.0
2018-11-11,51.69,51.69,51.69,0.0,0.0,52.17,52.17,52.17,0.0,0.0,51.47,51.47,51.47,0.0,0.0,51.92,51.92,51.92,0.0,0.0
2018-11-18,50.69,50.69,50.69,0.0,0.0,51.13,51.13,51.13,0.0,0.0,50.4,50.4,50.4,0.0,0.0,50.75,50.75,50.75,0.0,0.0
2018-11-25,51.85,51.85,51.85,0.0,0.0,52.74,52.74,52.74,0.0,0.0,51.84,51.84,51.84,0.0,0.0,52.57,52.57,52.57,0.0,0.0
2018-12-02,49.22,49.22,49.22,0.0,0.0,49.84,49.84,49.84,0.0,0.0,48.08,48.08,48.08,0.0,0.0,48.32,48.32,48.32,0.0,0.0
2018-12-09,45.62,45.62,45.62,0.0,0.0,46.48,46.48,46.48,0.0,0.0,45.54,45.54,45.54,0.0,0.0,45.65,45.65,45.65,0.0,0.0
2018-12-16,43.59,43.59,43.59,0.0,0.0,44.19,44.19,44.19,0.0,0.0,42.57,42.57,42.57,0.0,0.0,42.8,42.8,42.8,0.0,0.0
2018-12-23,43.89,43.89,43.89,0.0,0.0,44.34,44.34,44.34,0.0,0.0,43.6,43.6,43.6,0.0,0.0,43.74,43.74,43.74,0.0,0.0
2018-12-30,45.31,45.31,45.31,0.0,0.0,45.96,45.96,45.96,0.0,0.0,45.09,45.09,45.09,0.0,0.0,45.86,45.86,45.86,0.0,0.0
2019-01-06,46.14,46.14,46.14,0.0,0.0,46.75,46.75,46.75,0.0,0.0,45.87,45.87,45.87,0.0,0.0,46.58,46.58,46.58,0.0,0.0
2019-01-13,49.7,49.7,49.7,0.0,0.0,50.28,50.28,50.28,0.0,0.0,49.24,49.24,49.24,0.0,0.0,50.19,50.19,50.19,0.0,0.0
2019-01-20,50.39,50.39,50.39,0.0,0.0,50.84,50.84,50.84,0.0,0.0,50.19,50.19,50.19,0.0,0.0,50.5,50.5,50.5,0.0,0.0
2019-01-27,49.92,49.92,49.92,0.0,0.0,50.14,50.14,50.14,0.0,0.0,49.7,49.7,49.7,0.0,0.0,49.85,49.85,49.85,0.0,0.0
2019-02-03,49.93,49.93,49.93,0.0,0.0,50.06,50.06,50.06,0.0,0.0,49.13,49.13,49.13,0.0,0.0,49.74,49.74,49.74,0.0,0.0
2019-02-10,50.43,50.43,50.43,0.0,0.0,51.35,51.35,51.35,0.0,0.0,50.43,50.43,50.43,0.0,0.0,51.28,51.28,51.28,0.0,0.0
2019-02-17,51.76,51.76,51.76,0.0,0.0,51.83,51.83,51.83,0.0,0.0,51.36,51.36,51.36,0.0,0.0,51.55,51.55,51.55,0.0,0.0
2019-02-24,52.0,52.0,52.0,0.0,0.0,52.5,52.5,52.5,0.0,0.0,51.71,51.71,51.71,0.0,0.0,51.91,51.91,51.91,0.0,0.0
2019-03-03,49.7,49.7,49.7,0.0,0.0,50.38,50.38,50.38,0.0,0.0,49.65,49.65,49.65,0.0,0.0,50.35,50.35,50.35,0.0,0.0
2019-03-10,51.56,51.56,51.56,0.0,0.0,51.94,51.94,51.94,0.0,0.0,51.45,51.45,51.45,0.0,0.0,51.68,51.68,51.68,0.0,0.0
2019-03-17,48.58,48.58,48.58,0.0,0.0,48.67,48.67,48.67,0.0,0.0,46.92,46.92,46.92,0.0,0.0,47.17,47.17,47.17,0.0,0.0
