Date,ProShares K-1 Free Crude Oil StrategyEtf_Open_average,ProShares K-1 Free Crude Oil StrategyEtf_Open_max,ProShares K-1 Free Crude Oil StrategyEtf_Open_min,ProShares K-1 Free Crude Oil StrategyEtf_Open_volatility,ProShares K-1 Free Crude Oil StrategyEtf_Open_change,ProShares K-1 Free Crude Oil StrategyEtf_High_average,ProShares K-1 Free Crude Oil StrategyEtf_High_max,ProShares K-1 Free Crude Oil StrategyEtf_High_min,ProShares K-1 Free Crude Oil StrategyEtf_High_volatility,ProShares K-1 Free Crude Oil StrategyEtf_High_change,ProShares K-1 Free Crude Oil StrategyEtf_Low_average,ProShares K-1 Free Crude Oil StrategyEtf_Low_max,ProShares K-1 Free Crude Oil StrategyEtf_Low_min,ProShares K-1 Free Crude Oil StrategyEtf_Low_volatility,ProShares K-1 Free Crude Oil StrategyEtf_Low_change,ProShares K-1 Free Crude Oil StrategyEtf_Close_average,ProShares K-1 Free Crude Oil StrategyEtf_Close_max,ProShares K-1 Free Crude Oil StrategyEtf_Close_min,ProShares K-1 Free Crude Oil StrategyEtf_Close_volatility,ProShares K-1 Free Crude Oil StrategyEtf_Close_change
2018-01-14,22.76,22.76,22.76,0.0,0.0,22.76,22.76,22.76,0.0,0.0,22.75,22.75,22.75,0.0,0.0,22.75,22.75,22.75,0.0,0.0
2018-01-21,23.59,23.59,23.59,0.0,0.0,23.82,23.82,23.82,0.0,0.0,23.59,23.59,23.59,0.0,0.0,23.82,23.82,23.82,0.0,0.0
2018-01-28,23.58,23.58,23.58,0.0,0.0,23.58,23.58,23.58,0.0,0.0,23.28,23.28,23.28,0.0,0.0,23.46,23.46,23.46,0.0,0.0
2018-02-04,21.65,21.65,21.65,0.0,0.0,21.65,21.65,21.65,0.0,0.0,21.26,21.26,21.26,0.0,0.0,21.26,21.26,21.26,0.0,0.0
2018-02-11,22.02,22.02,22.02,0.0,0.0,22.02,22.02,22.02,0.0,0.0,22.02,22.02,22.02,0.0,0.0,22.02,22.02,22.02,0.0,0.0
2018-02-18,22.7,22.7,22.7,0.0,0.0,22.7,22.7,22.7,0.0,0.0,22.7,22.7,22.7,0.0,0.0,22.7,22.7,22.7,0.0,0.0
2018-02-25,21.88,21.88,21.88,0.0,0.0,22.1,22.1,22.1,0.0,0.0,21.81,21.81,21.81,0.0,0.0,22.1,22.1,22.1,0.0,0.0
2018-03-04,22.02,22.02,22.02,0.0,0.0,22.29,22.29,22.29,0.0,0.0,22.02,22.02,22.02,0.0,0.0,22.29,22.29,22.29,0.0,0.0
2018-03-11,22.27,22.27,22.27,0.0,0.0,22.28,22.28,22.28,0.0,0.0,22.27,22.27,22.27,0.0,0.0,22.28,22.28,22.28,0.0,0.0
2018-03-18,23.48,23.48,23.48,0.0,0.0,23.84,23.84,23.84,0.0,0.0,23.48,23.48,23.48,0.0,0.0,23.83,23.83,23.83,0.0,0.0
