Date,BioShares Biotechnology Clinical Trials_Open_average,BioShares Biotechnology Clinical Trials_Open_max,BioShares Biotechnology Clinical Trials_Open_min,BioShares Biotechnology Clinical Trials_Open_volatility,BioShares Biotechnology Clinical Trials_Open_change,BioShares Biotechnology Clinical Trials_High_average,BioShares Biotechnology Clinical Trials_High_max,BioShares Biotechnology Clinical Trials_High_min,BioShares Biotechnology Clinical Trials_High_volatility,BioShares Biotechnology Clinical Trials_High_change,BioShares Biotechnology Clinical Trials_Low_average,BioShares Biotechnology Clinical Trials_Low_max,BioShares Biotechnology Clinical Trials_Low_min,BioShares Biotechnology Clinical Trials_Low_volatility,BioShares Biotechnology Clinical Trials_Low_change,BioShares Biotechnology Clinical Trials_Close_average,BioShares Biotechnology Clinical Trials_Close_max,BioShares Biotechnology Clinical Trials_Close_min,BioShares Biotechnology Clinical Trials_Close_volatility,BioShares Biotechnology Clinical Trials_Close_change
2018-01-14,31.87,31.87,31.87,0.0,0.0,32.57,32.57,32.57,0.0,0.0,31.39,31.39,31.39,0.0,0.0,32.56,32.56,32.56,0.0,0.0
2018-01-21,33.54,33.54,33.54,0.0,0.0,33.88,33.88,33.88,0.0,0.0,33.33,33.33,33.33,0.0,0.0,33.61,33.61,33.61,0.0,0.0
2018-01-28,31.29,31.29,31.29,0.0,0.0,32.3,32.3,32.3,0.0,0.0,30.7,30.7,30.7,0.0,0.0,30.94,30.94,30.94,0.0,0.0
2018-02-04,31.1,31.1,31.1,0.0,0.0,31.89,31.89,31.89,0.0,0.0,30.75,30.75,30.75,0.0,0.0,31.5,31.5,31.5,0.0,0.0
2018-02-11,32.78,32.78,32.78,0.0,0.0,33.59,33.59,33.59,0.0,0.0,32.78,32.78,32.78,0.0,0.0,33.19,33.19,33.19,0.0,0.0
2018-02-18,34.03,34.03,34.03,0.0,0.0,34.35,34.35,34.35,0.0,0.0,33.75,33.75,33.75,0.0,0.0,34.28,34.28,34.28,0.0,0.0
2018-02-25,34.26,34.26,34.26,0.0,0.0,34.87,34.87,34.87,0.0,0.0,34.26,34.26,34.26,0.0,0.0,34.66,34.66,34.66,0.0,0.0
2018-03-04,35.99,35.99,35.99,0.0,0.0,35.99,35.99,35.99,0.0,0.0,35.14,35.14,35.14,0.0,0.0,35.79,35.79,35.79,0.0,0.0
2018-03-11,34.23,34.23,34.23,0.0,0.0,34.3,34.3,34.3,0.0,0.0,33.5,33.5,33.5,0.0,0.0,33.9,33.9,33.9,0.0,0.0
2018-03-18,33.58,33.58,33.58,0.0,0.0,34.15,34.15,34.15,0.0,0.0,33.14,33.14,33.14,0.0,0.0,34.15,34.15,34.15,0.0,0.0
2018-03-25,31.91,31.91,31.91,0.0,0.0,31.91,31.91,31.91,0.0,0.0,30.42,30.42,30.42,0.0,0.0,30.67,30.67,30.67,0.0,0.0
2018-04-01,29.96,29.96,29.96,0.0,0.0,30.99,30.99,30.99,0.0,0.0,29.96,29.96,29.96,0.0,0.0,30.43,30.43,30.43,0.0,0.0
2018-04-08,32.44,32.44,32.44,0.0,0.0,32.44,32.44,32.44,0.0,0.0,31.7,31.7,31.7,0.0,0.0,31.97,31.97,31.97,0.0,0.0
2018-04-15,31.88,31.88,31.88,0.0,0.0,31.88,31.88,31.88,0.0,0.0,31.09,31.09,31.09,0.0,0.0,31.33,31.33,31.33,0.0,0.0
2018-04-22,31.88,31.88,31.88,0.0,0.0,31.88,31.88,31.88,0.0,0.0,31.02,31.02,31.02,0.0,0.0,31.06,31.06,31.06,0.0,0.0
2018-04-29,31.36,31.36,31.36,0.0,0.0,32.15,32.15,32.15,0.0,0.0,31.36,31.36,31.36,0.0,0.0,31.94,31.94,31.94,0.0,0.0
2018-05-06,32.59,32.59,32.59,0.0,0.0,33.0,33.0,33.0,0.0,0.0,32.56,32.56,32.56,0.0,0.0,32.95,32.95,32.95,0.0,0.0
2018-05-13,34.0,34.0,34.0,0.0,0.0,34.04,34.04,34.04,0.0,0.0,33.05,33.05,33.05,0.0,0.0,33.13,33.13,33.13,0.0,0.0
2018-05-20,33.8,33.8,33.8,0.0,0.0,34.15,34.15,34.15,0.0,0.0,33.66,33.66,33.66,0.0,0.0,33.92,33.92,33.92,0.0,0.0
2018-05-27,35.38,35.38,35.38,0.0,0.0,35.49,35.49,35.49,0.0,0.0,33.67,33.67,33.67,0.0,0.0,34.43,34.43,34.43,0.0,0.0
2018-06-03,34.33,34.33,34.33,0.0,0.0,34.93,34.93,34.93,0.0,0.0,34.21,34.21,34.21,0.0,0.0,34.41,34.41,34.41,0.0,0.0
2018-06-10,35.0,35.0,35.0,0.0,0.0,35.16,35.16,35.16,0.0,0.0,34.69,34.69,34.69,0.0,0.0,34.74,34.74,34.74,0.0,0.0
2018-06-17,34.32,34.32,34.32,0.0,0.0,34.32,34.32,34.32,0.0,0.0,33.51,33.51,33.51,0.0,0.0,33.74,33.74,33.74,0.0,0.0
2018-06-24,32.56,32.56,32.56,0.0,0.0,33.24,33.24,33.24,0.0,0.0,32.48,32.48,32.48,0.0,0.0,33.24,33.24,33.24,0.0,0.0
2018-07-01,34.92,34.92,34.92,0.0,0.0,35.26,35.26,35.26,0.0,0.0,34.45,34.45,34.45,0.0,0.0,34.79,34.79,34.79,0.0,0.0
2018-07-08,34.49,34.49,34.49,0.0,0.0,34.55,34.55,34.55,0.0,0.0,33.63,33.63,33.63,0.0,0.0,33.89,33.89,33.89,0.0,0.0
2018-07-15,33.85,33.85,33.85,0.0,0.0,34.09,34.09,34.09,0.0,0.0,33.63,33.63,33.63,0.0,0.0,34.03,34.03,34.03,0.0,0.0
2018-07-22,32.05,32.05,32.05,0.0,0.0,32.2,32.2,32.2,0.0,0.0,31.64,31.64,31.64,0.0,0.0,31.79,31.79,31.79,0.0,0.0
2018-07-29,32.12,32.12,32.12,0.0,0.0,32.34,32.34,32.34,0.0,0.0,32.04,32.04,32.04,0.0,0.0,32.26,32.26,32.26,0.0,0.0
2018-08-05,32.87,32.87,32.87,0.0,0.0,32.87,32.87,32.87,0.0,0.0,32.42,32.42,32.42,0.0,0.0,32.58,32.58,32.58,0.0,0.0
2018-08-12,32.42,32.42,32.42,0.0,0.0,32.42,32.42,32.42,0.0,0.0,32.11,32.11,32.11,0.0,0.0,32.12,32.12,32.12,0.0,0.0
2018-08-19,33.5,33.5,33.5,0.0,0.0,34.32,34.32,34.32,0.0,0.0,33.5,33.5,33.5,0.0,0.0,34.12,34.12,34.12,0.0,0.0
2018-08-26,35.4,35.4,35.4,0.0,0.0,35.86,35.86,35.86,0.0,0.0,35.31,35.31,35.31,0.0,0.0,35.77,35.77,35.77,0.0,0.0
2018-09-02,34.09,34.09,34.09,0.0,0.0,34.33,34.33,34.33,0.0,0.0,34.0,34.0,34.0,0.0,0.0,34.33,34.33,34.33,0.0,0.0
2018-09-09,33.53,33.53,33.53,0.0,0.0,33.9,33.9,33.9,0.0,0.0,33.06,33.06,33.06,0.0,0.0,33.07,33.07,33.07,0.0,0.0
2018-09-16,34.62,34.62,34.62,0.0,0.0,35.29,35.29,35.29,0.0,0.0,34.62,34.62,34.62,0.0,0.0,35.28,35.28,35.28,0.0,0.0
2018-09-23,34.76,34.76,34.76,0.0,0.0,34.85,34.85,34.85,0.0,0.0,33.71,33.71,33.71,0.0,0.0,33.77,33.77,33.77,0.0,0.0
2018-09-30,31.57,31.57,31.57,0.0,0.0,31.57,31.57,31.57,0.0,0.0,30.53,30.53,30.53,0.0,0.0,30.95,30.95,30.95,0.0,0.0
2018-10-07,29.3,29.3,29.3,0.0,0.0,29.38,29.38,29.38,0.0,0.0,28.57,28.57,28.57,0.0,0.0,29.18,29.18,29.18,0.0,0.0
2018-10-14,29.18,29.18,29.18,0.0,0.0,29.18,29.18,29.18,0.0,0.0,28.0,28.0,28.0,0.0,0.0,28.34,28.34,28.34,0.0,0.0
2018-10-21,27.52,27.52,27.52,0.0,0.0,27.52,27.52,27.52,0.0,0.0,25.53,25.53,25.53,0.0,0.0,25.94,25.94,25.94,0.0,0.0
2018-10-28,28.97,28.97,28.97,0.0,0.0,28.97,28.97,28.97,0.0,0.0,28.39,28.39,28.39,0.0,0.0,28.4,28.4,28.4,0.0,0.0
2018-11-04,27.54,27.54,27.54,0.0,0.0,27.54,27.54,27.54,0.0,0.0,26.35,26.35,26.35,0.0,0.0,26.41,26.41,26.41,0.0,0.0
2018-11-11,26.99,26.99,26.99,0.0,0.0,26.99,26.99,26.99,0.0,0.0,25.98,25.98,25.98,0.0,0.0,26.11,26.11,26.11,0.0,0.0
2018-11-18,27.34,27.34,27.34,0.0,0.0,27.43,27.43,27.43,0.0,0.0,26.89,26.89,26.89,0.0,0.0,27.15,27.15,27.15,0.0,0.0
2018-11-25,28.46,28.46,28.46,0.0,0.0,28.46,28.46,28.46,0.0,0.0,27.84,27.84,27.84,0.0,0.0,28.1,28.1,28.1,0.0,0.0
2018-12-02,25.42,25.42,25.42,0.0,0.0,26.53,26.53,26.53,0.0,0.0,25.42,25.42,25.42,0.0,0.0,26.52,26.52,26.52,0.0,0.0
2018-12-09,25.08,25.08,25.08,0.0,0.0,25.54,25.54,25.54,0.0,0.0,24.47,24.47,24.47,0.0,0.0,24.47,24.47,24.47,0.0,0.0
2018-12-16,20.22,20.22,20.22,0.0,0.0,21.44,21.44,21.44,0.0,0.0,20.22,20.22,20.22,0.0,0.0,21.23,21.23,21.23,0.0,0.0
