Date,PowerShares Dynamic Oil & Gas Services_Open_average,PowerShares Dynamic Oil & Gas Services_Open_max,PowerShares Dynamic Oil & Gas Services_Open_min,PowerShares Dynamic Oil & Gas Services_Open_volatility,PowerShares Dynamic Oil & Gas Services_Open_change,PowerShares Dynamic Oil & Gas Services_High_average,PowerShares Dynamic Oil & Gas Services_High_max,PowerShares Dynamic Oil & Gas Services_High_min,PowerShares Dynamic Oil & Gas Services_High_volatility,PowerShares Dynamic Oil & Gas Services_High_change,PowerShares Dynamic Oil & Gas Services_Low_average,PowerShares Dynamic Oil & Gas Services_Low_max,PowerShares Dynamic Oil & Gas Services_Low_min,PowerShares Dynamic Oil & Gas Services_Low_volatility,PowerShares Dynamic Oil & Gas Services_Low_change,PowerShares Dynamic Oil & Gas Services_Close_average,PowerShares Dynamic Oil & Gas Services_Close_max,PowerShares Dynamic Oil & Gas Services_Close_min,PowerShares Dynamic Oil & Gas Services_Close_volatility,PowerShares Dynamic Oil & Gas Services_Close_change
2018-01-14,10.36,10.36,10.36,0.0,0.0,10.59,10.59,10.59,0.0,0.0,10.35,10.35,10.35,0.0,0.0,10.59,10.59,10.59,0.0,0.0
2018-01-21,10.2,10.2,10.2,0.0,0.0,10.21,10.21,10.21,0.0,0.0,9.98,9.98,9.98,0.0,0.0,10.0,10.0,10.0,0.0,0.0
2018-01-28,9.35,9.35,9.35,0.0,0.0,9.49,9.49,9.49,0.0,0.0,9.1,9.1,9.1,0.0,0.0,9.1,9.1,9.1,0.0,0.0
2018-02-04,8.64,8.64,8.64,0.0,0.0,8.77,8.77,8.77,0.0,0.0,8.56,8.56,8.56,0.0,0.0,8.72,8.72,8.72,0.0,0.0
2018-02-11,8.68,8.68,8.68,0.0,0.0,8.85,8.85,8.85,0.0,0.0,8.68,8.68,8.68,0.0,0.0,8.75,8.75,8.75,0.0,0.0
2018-02-18,9.13,9.13,9.13,0.0,0.0,9.13,9.13,9.13,0.0,0.0,9.0,9.0,9.0,0.0,0.0,9.04,9.04,9.04,0.0,0.0
2018-02-25,8.65,8.65,8.65,0.0,0.0,8.89,8.89,8.89,0.0,0.0,8.65,8.65,8.65,0.0,0.0,8.86,8.86,8.86,0.0,0.0
2018-03-04,9.0,9.0,9.0,0.0,0.0,9.11,9.11,9.11,0.0,0.0,9.0,9.0,9.0,0.0,0.0,9.08,9.08,9.08,0.0,0.0
2018-03-11,8.7,8.7,8.7,0.0,0.0,8.71,8.71,8.71,0.0,0.0,8.58,8.58,8.58,0.0,0.0,8.64,8.64,8.64,0.0,0.0
2018-03-18,8.84,8.84,8.84,0.0,0.0,8.84,8.84,8.84,0.0,0.0,8.62,8.62,8.62,0.0,0.0,8.81,8.81,8.81,0.0,0.0
2018-03-25,8.52,8.52,8.52,0.0,0.0,8.52,8.52,8.52,0.0,0.0,8.24,8.24,8.24,0.0,0.0,8.37,8.37,8.37,0.0,0.0
2018-04-01,8.67,8.67,8.67,0.0,0.0,8.67,8.67,8.67,0.0,0.0,8.57,8.57,8.57,0.0,0.0,8.58,8.58,8.58,0.0,0.0
2018-04-08,9.38,9.38,9.38,0.0,0.0,9.45,9.45,9.45,0.0,0.0,9.35,9.35,9.35,0.0,0.0,9.4,9.4,9.4,0.0,0.0
2018-04-15,9.58,9.58,9.58,0.0,0.0,9.69,9.69,9.69,0.0,0.0,9.55,9.55,9.55,0.0,0.0,9.65,9.65,9.65,0.0,0.0
2018-04-22,9.67,9.67,9.67,0.0,0.0,9.82,9.82,9.82,0.0,0.0,9.67,9.67,9.67,0.0,0.0,9.69,9.69,9.69,0.0,0.0
2018-04-29,9.82,9.82,9.82,0.0,0.0,9.97,9.97,9.97,0.0,0.0,9.77,9.77,9.77,0.0,0.0,9.77,9.77,9.77,0.0,0.0
2018-05-06,10.15,10.15,10.15,0.0,0.0,10.2,10.2,10.2,0.0,0.0,10.11,10.11,10.11,0.0,0.0,10.14,10.14,10.14,0.0,0.0
2018-05-13,10.68,10.68,10.68,0.0,0.0,10.69,10.69,10.69,0.0,0.0,10.59,10.59,10.59,0.0,0.0,10.67,10.67,10.67,0.0,0.0
2018-05-20,9.97,9.97,9.97,0.0,0.0,10.01,10.01,10.01,0.0,0.0,9.73,9.73,9.73,0.0,0.0,9.85,9.85,9.85,0.0,0.0
2018-05-27,9.91,9.91,9.91,0.0,0.0,9.91,9.91,9.91,0.0,0.0,9.64,9.64,9.64,0.0,0.0,9.68,9.68,9.68,0.0,0.0
2018-06-03,9.75,9.75,9.75,0.0,0.0,9.81,9.81,9.81,0.0,0.0,9.7,9.7,9.7,0.0,0.0,9.79,9.79,9.79,0.0,0.0
2018-06-10,9.34,9.34,9.34,0.0,0.0,9.54,9.54,9.54,0.0,0.0,9.34,9.34,9.34,0.0,0.0,9.49,9.49,9.49,0.0,0.0
2018-06-17,9.63,9.63,9.63,0.0,0.0,9.63,9.63,9.63,0.0,0.0,9.36,9.36,9.36,0.0,0.0,9.4,9.4,9.4,0.0,0.0
2018-06-24,9.7,9.7,9.7,0.0,0.0,9.7,9.7,9.7,0.0,0.0,9.49,9.49,9.49,0.0,0.0,9.53,9.53,9.53,0.0,0.0
2018-07-01,9.91,9.91,9.91,0.0,0.0,10.03,10.03,10.03,0.0,0.0,9.91,9.91,9.91,0.0,0.0,10.0,10.0,10.0,0.0,0.0
2018-07-08,9.7,9.7,9.7,0.0,0.0,9.72,9.72,9.72,0.0,0.0,9.64,9.64,9.64,0.0,0.0,9.68,9.68,9.68,0.0,0.0
2018-07-15,9.54,9.54,9.54,0.0,0.0,9.54,9.54,9.54,0.0,0.0,9.35,9.35,9.35,0.0,0.0,9.41,9.41,9.41,0.0,0.0
2018-07-22,9.79,9.79,9.79,0.0,0.0,9.99,9.99,9.99,0.0,0.0,9.79,9.79,9.79,0.0,0.0,9.92,9.92,9.92,0.0,0.0
2018-07-29,9.74,9.74,9.74,0.0,0.0,9.81,9.81,9.81,0.0,0.0,9.73,9.73,9.73,0.0,0.0,9.78,9.78,9.78,0.0,0.0
2018-08-05,9.71,9.71,9.71,0.0,0.0,9.72,9.72,9.72,0.0,0.0,9.5,9.5,9.5,0.0,0.0,9.51,9.51,9.51,0.0,0.0
2018-08-12,9.23,9.23,9.23,0.0,0.0,9.42,9.42,9.42,0.0,0.0,9.23,9.23,9.23,0.0,0.0,9.39,9.39,9.39,0.0,0.0
2018-08-19,9.68,9.68,9.68,0.0,0.0,9.75,9.75,9.75,0.0,0.0,9.68,9.68,9.68,0.0,0.0,9.72,9.72,9.72,0.0,0.0
2018-08-26,9.56,9.56,9.56,0.0,0.0,9.56,9.56,9.56,0.0,0.0,9.45,9.45,9.45,0.0,0.0,9.55,9.55,9.55,0.0,0.0
2018-09-02,9.14,9.14,9.14,0.0,0.0,9.14,9.14,9.14,0.0,0.0,9.1,9.1,9.1,0.0,0.0,9.1,9.1,9.1,0.0,0.0
2018-09-09,9.57,9.57,9.57,0.0,0.0,9.62,9.62,9.62,0.0,0.0,9.48,9.48,9.48,0.0,0.0,9.49,9.49,9.49,0.0,0.0
2018-09-16,10.15,10.15,10.15,0.0,0.0,10.25,10.25,10.25,0.0,0.0,10.07,10.07,10.07,0.0,0.0,10.11,10.11,10.11,0.0,0.0
2018-09-23,10.13,10.13,10.13,0.0,0.0,10.25,10.25,10.25,0.0,0.0,10.13,10.13,10.13,0.0,0.0,10.21,10.21,10.21,0.0,0.0
2018-09-30,10.17,10.17,10.17,0.0,0.0,10.4,10.4,10.4,0.0,0.0,10.15,10.15,10.15,0.0,0.0,10.4,10.4,10.4,0.0,0.0
2018-10-07,9.79,9.79,9.79,0.0,0.0,9.89,9.89,9.89,0.0,0.0,9.69,9.69,9.69,0.0,0.0,9.83,9.83,9.83,0.0,0.0
2018-10-14,9.4,9.4,9.4,0.0,0.0,9.4,9.4,9.4,0.0,0.0,9.15,9.15,9.15,0.0,0.0,9.24,9.24,9.24,0.0,0.0
2018-10-21,8.6,8.6,8.6,0.0,0.0,8.6,8.6,8.6,0.0,0.0,8.17,8.17,8.17,0.0,0.0,8.24,8.24,8.24,0.0,0.0
2018-10-28,8.67,8.67,8.67,0.0,0.0,8.79,8.79,8.79,0.0,0.0,8.63,8.63,8.63,0.0,0.0,8.77,8.77,8.77,0.0,0.0
2018-11-04,8.53,8.53,8.53,0.0,0.0,8.53,8.53,8.53,0.0,0.0,8.05,8.05,8.05,0.0,0.0,8.06,8.06,8.06,0.0,0.0
2018-11-11,7.98,7.98,7.98,0.0,0.0,8.11,8.11,8.11,0.0,0.0,7.98,7.98,7.98,0.0,0.0,8.09,8.09,8.09,0.0,0.0
2018-11-18,7.7,7.7,7.7,0.0,0.0,7.75,7.75,7.75,0.0,0.0,7.62,7.62,7.62,0.0,0.0,7.65,7.65,7.65,0.0,0.0
2018-11-25,7.79,7.79,7.79,0.0,0.0,7.83,7.83,7.83,0.0,0.0,7.69,7.69,7.69,0.0,0.0,7.81,7.81,7.81,0.0,0.0
2018-12-02,6.81,6.81,6.81,0.0,0.0,6.85,6.85,6.85,0.0,0.0,6.6,6.6,6.6,0.0,0.0,6.7,6.7,6.7,0.0,0.0
2018-12-09,6.34,6.34,6.34,0.0,0.0,6.5,6.5,6.5,0.0,0.0,6.3,6.3,6.3,0.0,0.0,6.31,6.31,6.31,0.0,0.0
2018-12-16,5.48,5.48,5.48,0.0,0.0,5.63,5.63,5.63,0.0,0.0,5.44,5.44,5.44,0.0,0.0,5.44,5.44,5.44,0.0,0.0
2018-12-23,5.81,5.81,5.81,0.0,0.0,5.81,5.81,5.81,0.0,0.0,5.58,5.58,5.58,0.0,0.0,5.7,5.7,5.7,0.0,0.0
2018-12-30,6.3,6.3,6.3,0.0,0.0,6.5,6.5,6.5,0.0,0.0,6.28,6.28,6.28,0.0,0.0,6.48,6.48,6.48,0.0,0.0
2019-01-06,6.6,6.6,6.6,0.0,0.0,6.75,6.75,6.75,0.0,0.0,6.6,6.6,6.6,0.0,0.0,6.66,6.66,6.66,0.0,0.0
2019-01-13,6.92,6.92,6.92,0.0,0.0,7.01,7.01,7.01,0.0,0.0,6.92,6.92,6.92,0.0,0.0,7.01,7.01,7.01,0.0,0.0
2019-01-20,6.85,6.85,6.85,0.0,0.0,6.85,6.85,6.85,0.0,0.0,6.78,6.78,6.78,0.0,0.0,6.8,6.8,6.8,0.0,0.0
2019-01-27,6.94,6.94,6.94,0.0,0.0,7.12,7.12,7.12,0.0,0.0,6.94,6.94,6.94,0.0,0.0,7.12,7.12,7.12,0.0,0.0
2019-02-03,6.72,6.72,6.72,0.0,0.0,6.91,6.91,6.91,0.0,0.0,6.72,6.72,6.72,0.0,0.0,6.91,6.91,6.91,0.0,0.0
2019-02-10,7.11,7.11,7.11,0.0,0.0,7.27,7.27,7.27,0.0,0.0,7.11,7.11,7.11,0.0,0.0,7.27,7.27,7.27,0.0,0.0
2019-02-17,7.18,7.18,7.18,0.0,0.0,7.27,7.27,7.27,0.0,0.0,7.17,7.17,7.17,0.0,0.0,7.2,7.2,7.2,0.0,0.0
2019-02-24,7.27,7.27,7.27,0.0,0.0,7.35,7.35,7.35,0.0,0.0,7.14,7.14,7.14,0.0,0.0,7.23,7.23,7.23,0.0,0.0
