Date,ProShares Short Russell2000_Open_average,ProShares Short Russell2000_Open_max,ProShares Short Russell2000_Open_min,ProShares Short Russell2000_Open_volatility,ProShares Short Russell2000_Open_change,ProShares Short Russell2000_High_average,ProShares Short Russell2000_High_max,ProShares Short Russell2000_High_min,ProShares Short Russell2000_High_volatility,ProShares Short Russell2000_High_change,ProShares Short Russell2000_Low_average,ProShares Short Russell2000_Low_max,ProShares Short Russell2000_Low_min,ProShares Short Russell2000_Low_volatility,ProShares Short Russell2000_Low_change,ProShares Short Russell2000_Close_average,ProShares Short Russell2000_Close_max,ProShares Short Russell2000_Close_min,ProShares Short Russell2000_Close_volatility,ProShares Short Russell2000_Close_change
2018-01-14,40.71,40.71,40.71,0.0,0.0,40.72,40.72,40.72,0.0,0.0,40.44,40.44,40.44,0.0,0.0,40.45,40.45,40.45,0.0,0.0
2018-01-21,40.55,40.55,40.55,0.0,0.0,40.65,40.65,40.65,0.0,0.0,40.36,40.36,40.36,0.0,0.0,40.64,40.64,40.64,0.0,0.0
2018-01-28,42.24,42.24,42.24,0.0,0.0,43.51,43.51,43.51,0.0,0.0,41.92,41.92,41.92,0.0,0.0,43.48,43.48,43.48,0.0,0.0
2018-02-04,43.75,43.75,43.75,0.0,0.0,44.18,44.18,44.18,0.0,0.0,43.17,43.17,43.17,0.0,0.0,43.37,43.37,43.37,0.0,0.0
2018-02-11,42.15,42.15,42.15,0.0,0.0,42.15,42.15,42.15,0.0,0.0,41.66,41.66,41.66,0.0,0.0,41.91,41.91,41.91,0.0,0.0
2018-02-18,41.62,41.62,41.62,0.0,0.0,41.87,41.87,41.87,0.0,0.0,41.4,41.4,41.4,0.0,0.0,41.49,41.49,41.49,0.0,0.0
2018-02-25,42.26,42.26,42.26,0.0,0.0,42.4,42.4,42.4,0.0,0.0,41.64,41.64,41.64,0.0,0.0,41.79,41.79,41.79,0.0,0.0
2018-03-04,40.37,40.37,40.37,0.0,0.0,40.51,40.51,40.51,0.0,0.0,40.24,40.24,40.24,0.0,0.0,40.36,40.36,40.36,0.0,0.0
2018-03-11,40.88,40.88,40.88,0.0,0.0,41.56,41.56,41.56,0.0,0.0,40.88,40.88,40.88,0.0,0.0,41.08,41.08,41.08,0.0,0.0
2018-03-18,42.05,42.05,42.05,0.0,0.0,42.52,42.52,42.52,0.0,0.0,41.7,41.7,41.7,0.0,0.0,41.7,41.7,41.7,0.0,0.0
2018-03-25,42.19,42.19,42.19,0.0,0.0,43.4,43.4,43.4,0.0,0.0,42.06,42.06,42.06,0.0,0.0,43.07,43.07,43.07,0.0,0.0
2018-04-01,42.2,42.2,42.2,0.0,0.0,42.47,42.47,42.47,0.0,0.0,41.88,41.88,41.88,0.0,0.0,42.43,42.43,42.43,0.0,0.0
2018-04-08,41.26,41.26,41.26,0.0,0.0,41.45,41.45,41.45,0.0,0.0,41.01,41.01,41.01,0.0,0.0,41.14,41.14,41.14,0.0,0.0
2018-04-15,41.03,41.03,41.03,0.0,0.0,41.33,41.33,41.33,0.0,0.0,40.89,40.89,40.89,0.0,0.0,41.16,41.16,41.16,0.0,0.0
2018-04-22,41.21,41.21,41.21,0.0,0.0,41.68,41.68,41.68,0.0,0.0,41.08,41.08,41.08,0.0,0.0,41.68,41.68,41.68,0.0,0.0
2018-04-29,40.9,40.9,40.9,0.0,0.0,40.96,40.96,40.96,0.0,0.0,40.52,40.52,40.52,0.0,0.0,40.72,40.72,40.72,0.0,0.0
2018-05-06,39.97,39.97,39.97,0.0,0.0,40.21,40.21,40.21,0.0,0.0,39.81,39.81,39.81,0.0,0.0,40.18,40.18,40.18,0.0,0.0
2018-05-13,39.39,39.39,39.39,0.0,0.0,39.39,39.39,39.39,0.0,0.0,39.19,39.19,39.19,0.0,0.0,39.26,39.26,39.26,0.0,0.0
2018-05-20,39.52,39.52,39.52,0.0,0.0,39.62,39.62,39.62,0.0,0.0,39.46,39.46,39.46,0.0,0.0,39.54,39.54,39.54,0.0,0.0
2018-05-27,38.92,38.92,38.92,0.0,0.0,39.18,39.18,39.18,0.0,0.0,38.85,38.85,38.85,0.0,0.0,38.85,38.85,38.85,0.0,0.0
2018-06-03,38.4,38.4,38.4,0.0,0.0,38.49,38.49,38.49,0.0,0.0,38.32,38.32,38.32,0.0,0.0,38.4,38.4,38.4,0.0,0.0
2018-06-10,38.56,38.56,38.56,0.0,0.0,38.56,38.56,38.56,0.0,0.0,37.99,37.99,37.99,0.0,0.0,37.99,37.99,37.99,0.0,0.0
2018-06-17,38.23,38.23,38.23,0.0,0.0,38.89,38.89,38.89,0.0,0.0,38.18,38.18,38.18,0.0,0.0,38.7,38.7,38.7,0.0,0.0
2018-06-24,39.31,39.31,39.31,0.0,0.0,39.31,39.31,39.31,0.0,0.0,38.73,38.73,38.73,0.0,0.0,38.73,38.73,38.73,0.0,0.0
2018-07-01,37.65,37.65,37.65,0.0,0.0,37.81,37.81,37.81,0.0,0.0,37.61,37.61,37.61,0.0,0.0,37.63,37.63,37.63,0.0,0.0
2018-07-08,37.97,37.97,37.97,0.0,0.0,38.37,38.37,38.37,0.0,0.0,37.92,37.92,37.92,0.0,0.0,38.2,38.2,38.2,0.0,0.0
2018-07-15,37.84,37.84,37.84,0.0,0.0,37.97,37.97,37.97,0.0,0.0,37.69,37.69,37.69,0.0,0.0,37.77,37.77,37.77,0.0,0.0
2018-07-22,38.59,38.59,38.59,0.0,0.0,38.83,38.83,38.83,0.0,0.0,38.4,38.4,38.4,0.0,0.0,38.81,38.81,38.81,0.0,0.0
2018-07-29,38.31,38.31,38.31,0.0,0.0,38.41,38.41,38.41,0.0,0.0,38.06,38.06,38.06,0.0,0.0,38.09,38.09,38.09,0.0,0.0
2018-08-05,38.04,38.04,38.04,0.0,0.0,38.43,38.43,38.43,0.0,0.0,37.95,37.95,37.95,0.0,0.0,38.29,38.29,38.29,0.0,0.0
2018-08-12,37.75,37.75,37.75,0.0,0.0,37.98,37.98,37.98,0.0,0.0,37.7,37.7,37.7,0.0,0.0,37.78,37.78,37.78,0.0,0.0
2018-08-19,37.07,37.07,37.07,0.0,0.0,37.17,37.17,37.17,0.0,0.0,36.9,36.9,36.9,0.0,0.0,37.12,37.12,37.12,0.0,0.0
2018-08-26,37.13,37.13,37.13,0.0,0.0,37.13,37.13,37.13,0.0,0.0,36.82,36.82,36.82,0.0,0.0,36.87,36.87,36.87,0.0,0.0
2018-09-02,37.32,37.32,37.32,0.0,0.0,37.47,37.47,37.47,0.0,0.0,37.22,37.22,37.22,0.0,0.0,37.38,37.38,37.38,0.0,0.0
2018-09-09,37.28,37.28,37.28,0.0,0.0,37.72,37.72,37.72,0.0,0.0,37.21,37.21,37.21,0.0,0.0,37.7,37.7,37.7,0.0,0.0
2018-09-16,37.55,37.55,37.55,0.0,0.0,37.86,37.86,37.86,0.0,0.0,37.49,37.49,37.49,0.0,0.0,37.67,37.67,37.67,0.0,0.0
2018-09-23,37.54,37.54,37.54,0.0,0.0,38.3,38.3,38.3,0.0,0.0,37.54,37.54,37.54,0.0,0.0,38.23,38.23,38.23,0.0,0.0
2018-09-30,39.3,39.3,39.3,0.0,0.0,39.56,39.56,39.56,0.0,0.0,39.13,39.13,39.13,0.0,0.0,39.26,39.26,39.26,0.0,0.0
2018-10-07,41.37,41.37,41.37,0.0,0.0,41.62,41.62,41.62,0.0,0.0,40.89,40.89,40.89,0.0,0.0,41.15,41.15,41.15,0.0,0.0
2018-10-14,41.19,41.19,41.19,0.0,0.0,41.6,41.6,41.6,0.0,0.0,41.08,41.08,41.08,0.0,0.0,41.47,41.47,41.47,0.0,0.0
2018-10-21,42.47,42.47,42.47,0.0,0.0,43.66,43.66,43.66,0.0,0.0,42.04,42.04,42.04,0.0,0.0,43.17,43.17,43.17,0.0,0.0
2018-10-28,41.11,41.11,41.11,0.0,0.0,41.55,41.55,41.55,0.0,0.0,40.95,40.95,40.95,0.0,0.0,41.15,41.15,41.15,0.0,0.0
2018-11-04,41.1,41.1,41.1,0.0,0.0,41.97,41.97,41.97,0.0,0.0,41.08,41.08,41.08,0.0,0.0,41.92,41.92,41.92,0.0,0.0
