Date,iShares MSCI Eurozone_Open_average,iShares MSCI Eurozone_Open_max,iShares MSCI Eurozone_Open_min,iShares MSCI Eurozone_Open_volatility,iShares MSCI Eurozone_Open_change,iShares MSCI Eurozone_High_average,iShares MSCI Eurozone_High_max,iShares MSCI Eurozone_High_min,iShares MSCI Eurozone_High_volatility,iShares MSCI Eurozone_High_change,iShares MSCI Eurozone_Low_average,iShares MSCI Eurozone_Low_max,iShares MSCI Eurozone_Low_min,iShares MSCI Eurozone_Low_volatility,iShares MSCI Eurozone_Low_change,iShares MSCI Eurozone_Close_average,iShares MSCI Eurozone_Close_max,iShares MSCI Eurozone_Close_min,iShares MSCI Eurozone_Close_volatility,iShares MSCI Eurozone_Close_change
2018-01-14,46.52,46.52,46.52,0.0,0.0,46.75,46.75,46.75,0.0,0.0,46.45,46.45,46.45,0.0,0.0,46.72,46.72,46.72,0.0,0.0
2018-01-21,46.69,46.69,46.69,0.0,0.0,46.77,46.77,46.77,0.0,0.0,46.52,46.52,46.52,0.0,0.0,46.66,46.66,46.66,0.0,0.0
2018-01-28,44.92,44.92,44.92,0.0,0.0,45.18,45.18,45.18,0.0,0.0,43.26,43.26,43.26,0.0,0.0,43.5,43.5,43.5,0.0,0.0
2018-02-04,43.16,43.16,43.16,0.0,0.0,43.56,43.56,43.56,0.0,0.0,43.05,43.05,43.05,0.0,0.0,43.51,43.51,43.51,0.0,0.0
2018-02-11,44.47,44.47,44.47,0.0,0.0,44.81,44.81,44.81,0.0,0.0,44.45,44.45,44.45,0.0,0.0,44.56,44.56,44.56,0.0,0.0
2018-02-18,44.51,44.51,44.51,0.0,0.0,44.74,44.74,44.74,0.0,0.0,44.31,44.31,44.31,0.0,0.0,44.7,44.7,44.7,0.0,0.0
2018-02-25,42.91,42.91,42.91,0.0,0.0,43.53,43.53,43.53,0.0,0.0,42.86,42.86,42.86,0.0,0.0,43.47,43.47,43.47,0.0,0.0
2018-03-04,44.25,44.25,44.25,0.0,0.0,44.34,44.34,44.34,0.0,0.0,44.16,44.16,44.16,0.0,0.0,44.3,44.3,44.3,0.0,0.0
2018-03-11,43.95,43.95,43.95,0.0,0.0,44.0,44.0,44.0,0.0,0.0,43.62,43.62,43.62,0.0,0.0,43.83,43.83,43.83,0.0,0.0
2018-03-18,43.13,43.13,43.13,0.0,0.0,43.29,43.29,43.29,0.0,0.0,42.66,42.66,42.66,0.0,0.0,43.26,43.26,43.26,0.0,0.0
2018-03-25,43.29,43.29,43.29,0.0,0.0,43.47,43.47,43.47,0.0,0.0,42.47,42.47,42.47,0.0,0.0,42.75,42.75,42.75,0.0,0.0
2018-04-01,43.91,43.91,43.91,0.0,0.0,44.14,44.14,44.14,0.0,0.0,43.79,43.79,43.79,0.0,0.0,43.85,43.85,43.85,0.0,0.0
2018-04-08,44.58,44.58,44.58,0.0,0.0,44.64,44.64,44.64,0.0,0.0,44.45,44.45,44.45,0.0,0.0,44.58,44.58,44.58,0.0,0.0
2018-04-15,44.71,44.71,44.71,0.0,0.0,44.8,44.8,44.8,0.0,0.0,44.58,44.58,44.58,0.0,0.0,44.68,44.68,44.68,0.0,0.0
2018-04-22,44.46,44.46,44.46,0.0,0.0,44.61,44.61,44.61,0.0,0.0,44.33,44.33,44.33,0.0,0.0,44.33,44.33,44.33,0.0,0.0
2018-04-29,44.49,44.49,44.49,0.0,0.0,44.63,44.63,44.63,0.0,0.0,44.44,44.44,44.44,0.0,0.0,44.52,44.52,44.52,0.0,0.0
2018-05-06,44.96,44.96,44.96,0.0,0.0,45.02,45.02,45.02,0.0,0.0,44.8,44.8,44.8,0.0,0.0,44.85,44.85,44.85,0.0,0.0
2018-05-13,44.61,44.61,44.61,0.0,0.0,44.67,44.67,44.67,0.0,0.0,44.45,44.45,44.45,0.0,0.0,44.6,44.6,44.6,0.0,0.0
2018-05-20,43.33,43.33,43.33,0.0,0.0,43.49,43.49,43.49,0.0,0.0,43.16,43.16,43.16,0.0,0.0,43.43,43.43,43.43,0.0,0.0
2018-05-27,43.37,43.37,43.37,0.0,0.0,43.44,43.44,43.44,0.0,0.0,43.2,43.2,43.2,0.0,0.0,43.24,43.24,43.24,0.0,0.0
2018-06-03,43.65,43.65,43.65,0.0,0.0,43.96,43.96,43.96,0.0,0.0,43.6,43.6,43.6,0.0,0.0,43.85,43.85,43.85,0.0,0.0
2018-06-10,42.83,42.83,42.83,0.0,0.0,43.1,43.1,43.1,0.0,0.0,42.77,42.77,42.77,0.0,0.0,43.06,43.06,43.06,0.0,0.0
2018-06-17,41.37,41.37,41.37,0.0,0.0,41.39,41.39,41.39,0.0,0.0,40.91,40.91,40.91,0.0,0.0,41.05,41.05,41.05,0.0,0.0
2018-06-24,40.56,40.56,40.56,0.0,0.0,40.82,40.82,40.82,0.0,0.0,40.54,40.54,40.54,0.0,0.0,40.8,40.8,40.8,0.0,0.0
2018-07-01,42.17,42.17,42.17,0.0,0.0,42.2,42.2,42.2,0.0,0.0,42.06,42.06,42.06,0.0,0.0,42.17,42.17,42.17,0.0,0.0
