Date,GEF_stock_Open_average,GEF_stock_Open_max,GEF_stock_Open_min,GEF_stock_Open_volatility,GEF_stock_Open_change,GEF_stock_High_average,GEF_stock_High_max,GEF_stock_High_min,GEF_stock_High_volatility,GEF_stock_High_change,GEF_stock_Low_average,GEF_stock_Low_max,GEF_stock_Low_min,GEF_stock_Low_volatility,GEF_stock_Low_change,GEF_stock_Close_average,GEF_stock_Close_max,GEF_stock_Close_min,GEF_stock_Close_volatility,GEF_stock_Close_change,GEF_stock_Volume_average,GEF_stock_Volume_max,GEF_stock_Volume_min,GEF_stock_Volume_volatility,GEF_stock_Volume_change
2018-01-14,60.595,62.03,59.61,2.4200000000000017,-2.4200000000000017,61.2025,62.81,60.4,2.4100000000000037,-1.9500000000000028,59.7175,60.09,59.55,0.5400000000000063,-0.480000000000004,60.177499999999995,60.82,59.69,1.1300000000000026,0.7000000000000028,134584,162222,106511,55711,-55711
2018-01-21,60.658,61.23,60.29,0.9399999999999977,-0.3299999999999983,60.98,61.54,60.5,1.0399999999999991,-0.6799999999999997,59.726,60.05,59.31,0.7399999999999949,-0.7399999999999949,60.406,60.9,59.92,0.9799999999999969,-0.9799999999999969,165130,228243,131223,97020,-97020
2018-01-28,59.328,60.19,58.79,1.3999999999999986,-0.9099999999999966,59.868,60.19,59.41,0.7800000000000011,-0.5400000000000063,58.58,59.23,57.95,1.279999999999994,-1.279999999999994,59.2,59.95,58.3,1.6500000000000057,-1.0400000000000063,181849,204108,145218,58890,-30472
2018-02-04,55.382,57.62,53.96,3.6599999999999966,-3.6599999999999966,56.016,58.26,54.38,3.8799999999999955,-3.8799999999999955,54.086,55.39,52.44,2.950000000000003,-2.8300000000000054,54.754,55.61,53.27,2.3399999999999963,-1.3000000000000043,188539,252396,102838,149558,48341
2018-02-11,55.04,56.43,54.03,2.3999999999999986,2.1700000000000017,56.102,57.4,54.73,2.6700000000000017,1.9699999999999989,54.61,56.01,53.81,2.1999999999999957,2.0700000000000003,55.658,57.05,54.5,2.549999999999997,2.3900000000000006,163064,211239,141173,70066,4695
2018-02-18,57.8775,59.0,56.68,2.3200000000000003,1.9600000000000009,58.8575,59.85,57.53,2.3200000000000003,1.1099999999999994,57.19,57.89,56.44,1.4500000000000028,1.4500000000000028,57.9925,58.75,56.66,2.0900000000000034,1.7000000000000028,204698,303887,117274,186613,-39578
2018-02-25,56.148,59.32,49.22,10.100000000000001,-9.480000000000004,56.82,59.82,50.8,9.020000000000003,-9.020000000000003,54.448,58.56,47.97,10.590000000000003,-10.590000000000003,55.156,59.18,49.95,9.229999999999997,-8.560000000000002,531221,1106185,141551,964634,273485
2018-03-04,51.374,53.21,50.14,3.0700000000000003,3.039999999999999,52.44,53.74,50.88,2.8599999999999994,2.8000000000000043,50.65,52.47,48.96,3.509999999999998,2.8799999999999955,52.1,53.62,50.43,3.1899999999999977,3.1899999999999977,295450,323556,271012,52544,-31595
2018-03-11,54.082,54.88,52.95,1.9299999999999997,-0.8999999999999986,54.458,54.95,53.49,1.4600000000000009,-1.25,53.444,54.36,52.46,1.8999999999999986,-1.3900000000000006,53.764,54.5,52.66,1.8400000000000034,-1.5800000000000054,275640,341502,142140,199362,199362
2018-03-18,51.78,52.55,50.85,1.6999999999999957,-1.6999999999999957,52.112,52.55,51.11,1.4399999999999977,-1.4399999999999977,50.946,51.84,49.74,2.1000000000000014,-1.6199999999999974,51.284,52.08,49.8,2.280000000000001,-2.1200000000000045,197248,264519,150548,113971,-85711
2018-03-25,51.155,51.59,50.79,0.8000000000000043,0.35999999999999943,51.9125,52.64,51.53,1.1099999999999994,1.1099999999999994,50.4875,51.15,49.8,1.3500000000000014,1.3500000000000014,51.3825,52.25,50.75,1.5,0.740000000000002,231298,304895,137914,166981,123431
2018-04-01,53.324,54.38,52.62,1.7600000000000051,1.7000000000000028,54.228,54.83,53.64,1.1899999999999977,1.1799999999999997,52.646,53.76,51.41,2.3500000000000014,2.3300000000000054,53.756,54.7,52.4,2.3000000000000043,1.8500000000000014,254679,396085,126247,269838,-111172
2018-04-08,55.202,56.23,54.54,1.6899999999999977,1.6899999999999977,55.7,56.45,55.18,1.2700000000000031,1.2700000000000031,54.693999999999996,55.33,54.05,1.2800000000000011,1.2800000000000011,55.198,56.1,54.51,1.5900000000000034,1.5900000000000034,145529,200024,103340,96684,-83316
2018-04-15,57.53,58.55,56.64,1.9099999999999966,1.9099999999999966,58.059999999999995,58.97,57.05,1.9200000000000017,1.6799999999999997,57.124,58.02,55.94,2.0800000000000054,2.0800000000000054,57.808,58.66,56.89,1.769999999999996,1.769999999999996,142131,186372,108269,78103,4072
2018-04-22,59.33,60.15,58.72,1.4299999999999997,1.2199999999999989,59.778,60.24,59.13,1.1099999999999994,0.8599999999999994,58.716,59.1,58.35,0.75,0.5200000000000031,59.416,60.01,58.8,1.2100000000000009,0.46000000000000085,221780,367154,123227,243927,-41621
2018-04-29,58.642,59.39,58.36,1.0300000000000011,-0.9100000000000037,59.294000000000004,59.85,58.77,1.0799999999999983,0.44000000000000483,58.104,58.43,57.8,0.6300000000000026,-0.04999999999999716,58.784,59.33,58.52,0.8099999999999952,0.8099999999999952,253247,374914,189480,185434,-170944
2018-05-06,59.736,60.17,59.34,0.8299999999999983,0.8100000000000023,60.172,60.58,59.89,0.6899999999999977,0.6899999999999977,59.269999999999996,59.75,58.9,0.8500000000000014,0.8400000000000034,59.76,60.03,59.06,0.9699999999999989,0.9399999999999977,151931,223300,83633,139667,-65379
2018-05-13,59.33,59.98,58.61,1.3699999999999974,-0.19999999999999574,59.846,60.27,59.19,1.0800000000000054,-0.12000000000000455,58.94,59.68,58.23,1.4500000000000028,0.5899999999999963,59.258,59.9,58.54,1.3599999999999994,0.7899999999999991,192322,245075,144582,100493,-897
2018-05-20,60.04,61.33,58.76,2.5700000000000003,-1.1700000000000017,60.486,61.86,59.23,2.6300000000000026,-1.8100000000000023,59.275999999999996,60.95,58.32,2.6300000000000026,-1.8900000000000006,59.8,61.47,58.69,2.780000000000001,-2.240000000000002,238645,444260,151745,292515,37529
2018-05-27,59.0075,59.42,58.43,0.990000000000002,0.490000000000002,59.46,59.79,58.85,0.9399999999999977,0.6099999999999994,58.5475,58.92,58.18,0.740000000000002,0.6700000000000017,58.89,59.37,58.31,1.0599999999999952,0.6600000000000037,172641,201169,140762,60407,-31460
2018-06-03,59.994,61.35,57.66,3.690000000000005,-1.8600000000000065,60.896,62.75,58.32,4.43,-1.759999999999998,58.815999999999995,60.44,57.05,3.3900000000000006,-2.190000000000005,59.682,61.83,57.3,4.530000000000001,-1.7999999999999972,411877,725326,155806,569520,382089
2018-06-10,57.314,58.72,54.85,3.8699999999999974,-3.8699999999999974,57.698,59.48,55.33,4.149999999999999,-3.8999999999999986,56.168,58.13,54.15,3.980000000000004,-3.980000000000004,56.696,58.42,55.2,3.219999999999999,-3.219999999999999,322988,370185,293516,76669,68855
2018-06-17,55.275999999999996,56.0,54.7,1.2999999999999972,0.8200000000000003,55.61,56.0,55.27,0.7299999999999969,0.27999999999999403,54.698,54.98,54.12,0.8599999999999994,0.6200000000000045,55.278,55.91,54.84,1.0699999999999932,-0.3999999999999986,283562,550643,182381,368262,259843
2018-06-24,54.312,54.78,53.67,1.1099999999999994,-1.1099999999999994,54.602,55.06,53.93,1.1300000000000026,-1.0799999999999983,53.646,54.1,52.82,1.2800000000000011,-1.0600000000000023,53.87,54.46,52.89,1.5700000000000003,-1.5499999999999972,193566,264406,133638,130768,94635
2018-07-01,52.555,52.9,52.39,0.509999999999998,0.509999999999998,52.945,53.29,52.56,0.7299999999999969,0.7299999999999969,51.7725,52.52,51.36,1.1600000000000037,1.1000000000000014,52.6425,53.12,52.12,1.0,0.8200000000000003,157055,195394,106110,89284,-51070
2018-07-08,53.954,54.5,53.31,1.1899999999999977,1.1899999999999977,54.502,55.2,54.14,1.0600000000000023,1.0100000000000051,53.68,54.5,53.22,1.2800000000000011,1.2800000000000011,54.184,54.55,53.88,0.6699999999999946,0.5700000000000003,137551,156732,118436,38296,-27165
2018-07-15,53.03,53.86,51.98,1.8800000000000026,-0.04999999999999716,53.516,54.17,52.41,1.7600000000000051,-0.259999999999998,52.394,53.08,51.78,1.2999999999999972,1.1300000000000026,52.92,54.01,52.14,1.8699999999999974,1.0899999999999963,197230,531225,80422,450803,-450803
2018-07-22,52.910000000000004,53.22,52.56,0.6599999999999966,0.00999999999999801,53.25,53.55,52.65,0.8999999999999986,0.00999999999999801,52.314,52.59,51.97,0.6200000000000045,0.1600000000000037,52.748,53.17,52.46,0.7100000000000009,0.09999999999999432,108559,133475,85430,48045,-21747
2018-07-29,53.62,54.45,53.1,1.3500000000000014,0.6099999999999994,54.246,54.63,53.86,0.7700000000000031,0.3400000000000034,53.096000000000004,53.42,52.81,0.6099999999999994,0.39000000000000057,53.742,54.45,53.08,1.3700000000000045,0.7899999999999991,96604,135659,69457,66202,-19299
2018-08-05,53.948,54.71,53.15,1.5600000000000023,-0.5900000000000034,54.514,55.25,53.92,1.3299999999999983,-0.769999999999996,53.642,54.67,53.04,1.6300000000000026,-0.7000000000000028,53.866,54.8,53.18,1.6199999999999974,-1.2800000000000011,100833,126852,83122,43730,-43730
