Date,NX_Open_average,NX_Open_max,NX_Open_min,NX_Open_volatility,NX_Open_change,NX_High_average,NX_High_max,NX_High_min,NX_High_volatility,NX_High_change,NX_Low_average,NX_Low_max,NX_Low_min,NX_Low_volatility,NX_Low_change,NX_Close_average,NX_Close_max,NX_Close_min,NX_Close_volatility,NX_Close_change,NX_Volume_average,NX_Volume_max,NX_Volume_min,NX_Volume_volatility,NX_Volume_change
2018-01-14,22.09,22.65,21.55,1.0999999999999979,-0.8499999999999979,22.31,22.8,21.8,1.0,-1.0,21.69,22.05,21.35,0.6999999999999993,-0.6999999999999993,21.93,22.45,21.6,0.8499999999999979,-0.4499999999999993,116230,223817,63965,159852,-21579
2018-01-21,21.11,21.55,20.55,1.0,-1.0,21.240000000000002,21.6,20.85,0.75,-0.6999999999999993,20.64,20.95,20.25,0.6999999999999993,-0.6999999999999993,20.87,21.2,20.45,0.75,-0.75,219798,564822,88692,476130,476130
2018-01-28,20.419999999999998,20.65,19.95,0.6999999999999993,-0.4499999999999993,20.644000000000002,20.85,20.2,0.6500000000000021,-0.5,20.136,20.45,19.55,0.8999999999999986,-0.6499999999999986,20.34,20.75,19.6,1.1499999999999986,-0.8999999999999986,204111,319316,142750,176566,82957
2018-02-04,19.4,19.75,19.05,0.6999999999999993,-0.14999999999999858,19.596,19.93,19.05,0.879999999999999,-0.8499999999999979,18.91,19.45,18.5,0.9499999999999993,-0.6000000000000014,19.23,19.85,18.5,1.3500000000000014,-1.3500000000000014,181379,210803,155322,55481,-26912
2018-02-11,18.3625,18.55,18.05,0.5,-0.05000000000000071,18.6375,18.85,18.5,0.3500000000000014,0.3500000000000014,18.1875,18.4,18.05,0.34999999999999787,0.29999999999999716,18.4375,18.6,18.25,0.3500000000000014,0.3500000000000014,145682,246314,95512,150802,-150802
2018-02-18,18.560000000000002,18.85,18.35,0.5,-0.1999999999999993,18.81,19.15,18.6,0.5499999999999972,-0.1999999999999993,18.306,18.55,18.2,0.3500000000000014,-0.3200000000000003,18.47,18.75,18.35,0.3999999999999986,-0.3000000000000007,156593,221326,83223,138103,49222
2018-02-25,17.22,18.45,16.6,1.8499999999999979,-1.5,17.616,18.7,17.05,1.6499999999999986,-0.9699999999999989,16.78,17.3,16.5,0.8000000000000007,-0.5500000000000007,17.05,17.45,16.7,0.75,0.09999999999999787,275213,397511,221295,176216,149273
2018-03-04,18.0,19.0,17.3,1.6999999999999993,-1.0,18.45,19.55,17.5,2.0500000000000007,-0.6999999999999993,17.34,18.1,16.7,1.4000000000000021,-0.20000000000000284,17.91,18.75,17.15,1.6000000000000014,0.25,372247,598368,205371,392997,-392997
2018-03-11,18.2,18.85,17.7,1.1500000000000021,-0.8000000000000007,18.45,18.9,18.05,0.8499999999999979,-0.8499999999999979,17.65,17.85,17.4,0.45000000000000284,-0.45000000000000284,18.0,18.2,17.7,0.5,-0.25,445673,623293,225635,397658,14152
2018-03-18,17.81,18.15,17.4,0.75,-0.5500000000000007,18.119999999999997,18.45,17.7,0.75,-0.4499999999999993,17.48,17.9,17.1,0.7999999999999972,-0.5,17.72,18.25,17.1,1.1499999999999986,-0.25,294010,586862,203977,382885,-37988
