Date,AMRC_Open_average,AMRC_Open_max,AMRC_Open_min,AMRC_Open_volatility,AMRC_Open_change,AMRC_High_average,AMRC_High_max,AMRC_High_min,AMRC_High_volatility,AMRC_High_change,AMRC_Low_average,AMRC_Low_max,AMRC_Low_min,AMRC_Low_volatility,AMRC_Low_change,AMRC_Close_average,AMRC_Close_max,AMRC_Close_min,AMRC_Close_volatility,AMRC_Close_change,AMRC_Volume_average,AMRC_Volume_max,AMRC_Volume_min,AMRC_Volume_volatility,AMRC_Volume_change
2018-01-14,8.9125,8.95,8.85,0.09999999999999964,0.0,9.2125,9.3,9.1,0.20000000000000107,0.0,8.8875,8.95,8.85,0.09999999999999964,0.09999999999999964,9.025,9.25,8.9,0.34999999999999964,0.34999999999999964,89194,139570,62771,76799,-76799
2018-01-21,9.23,9.4,9.0,0.40000000000000036,0.20000000000000107,9.35,9.45,9.25,0.1999999999999993,0.15000000000000036,9.13,9.25,9.0,0.25,0.25,9.28,9.4,9.1,0.3000000000000007,0.3000000000000007,50760,78575,27906,50669,-31404
2018-01-28,8.93,9.35,8.55,0.7999999999999989,-0.7999999999999989,9.08,9.5,8.79,0.7100000000000009,-0.7100000000000009,8.69,9.2,8.2,1.0,-1.0,8.77,9.2,8.35,0.8499999999999996,-0.8499999999999996,75353,118930,51230,67700,-46481
2018-02-04,8.25,8.35,8.05,0.29999999999999893,-0.25,8.41,8.6,8.15,0.4499999999999993,-0.29999999999999893,8.064,8.25,7.75,0.5,-0.5,8.21,8.35,8.05,0.29999999999999893,-0.25,64251,79551,41140,38411,-11786
2018-02-11,8.28,8.55,8.05,0.5,0.29999999999999893,8.5,8.6,8.3,0.29999999999999893,0.29999999999999893,8.202,8.35,7.95,0.39999999999999947,0.39999999999999947,8.39,8.5,8.2,0.3000000000000007,0.3000000000000007,39244,54357,30790,23567,7742
2018-02-18,8.4375,8.5,8.3,0.1999999999999993,0.0,8.625,8.7,8.5,0.1999999999999993,-0.15000000000000036,8.2875,8.35,8.2,0.15000000000000036,-0.10000000000000142,8.35,8.45,8.2,0.25,-0.10000000000000142,43237,49957,36737,13220,1346
2018-02-25,8.24,8.4,8.1,0.3000000000000007,-0.15000000000000036,8.45,8.55,8.35,0.20000000000000107,-0.15000000000000036,8.138,8.25,8.05,0.1999999999999993,-0.1399999999999988,8.26,8.4,8.15,0.25,-0.09999999999999964,38515,47810,30497,17313,-10519
2018-03-04,9.540000000000001,10.2,8.3,1.8999999999999986,1.8999999999999986,9.89,10.8,8.45,2.3500000000000014,2.3500000000000014,9.41,10.05,8.25,1.8000000000000007,1.8000000000000007,9.8,10.75,8.35,2.4000000000000004,2.4000000000000004,236393,489228,53535,435693,188277
2018-03-11,11.19,11.6,10.75,0.8499999999999996,0.8499999999999996,11.44,11.8,10.85,0.9500000000000011,0.9000000000000004,11.0,11.4,10.45,0.9500000000000011,0.8000000000000007,11.27,11.6,10.7,0.9000000000000004,0.75,244791,281212,214185,67027,33740
2018-03-18,11.83,12.1,11.45,0.6500000000000004,0.6500000000000004,12.22,12.55,11.75,0.8000000000000007,0.5999999999999996,11.7,11.9,11.35,0.5500000000000007,0.5500000000000007,11.93,12.1,11.7,0.40000000000000036,0.25,214776,325996,122174,203822,-84091
2018-03-25,11.975,12.05,11.95,0.10000000000000142,-0.10000000000000142,12.425,13.2,12.05,1.1499999999999986,1.049999999999999,11.7875,11.95,11.7,0.25,0.1999999999999993,12.1625,13.0,11.85,1.1500000000000004,1.0500000000000007,308458,421229,167029,254200,114389
2018-04-01,12.67,13.0,12.3,0.6999999999999993,-0.15000000000000036,12.926,13.15,12.65,0.5,0.040000000000000924,12.4,12.8,12.25,0.5500000000000007,0.0,12.63,12.95,12.4,0.5499999999999989,0.15000000000000036,221557,439386,131356,308030,-57934
2018-04-08,12.32,12.6,12.1,0.5,-0.5,12.5,12.7,12.25,0.4499999999999993,-0.4499999999999993,12.020000000000001,12.05,11.9,0.15000000000000036,-0.15000000000000036,12.219999999999999,12.45,12.1,0.34999999999999964,-0.09999999999999964,135600,164598,97319,67279,-53563
2018-04-15,12.36,12.65,12.15,0.5,0.5,12.546000000000001,12.8,12.15,0.6500000000000004,0.5800000000000001,12.092,12.21,11.95,0.26000000000000156,0.1999999999999993,12.38,12.65,12.1,0.5500000000000007,0.3000000000000007,191431,317917,103345,214572,214572
2018-04-22,12.22,12.5,12.0,0.5,-0.40000000000000036,12.33,12.65,12.05,0.5999999999999996,-0.25,11.96,12.15,11.75,0.40000000000000036,-0.20000000000000107,12.06,12.25,11.9,0.34999999999999964,-0.25,98881,123924,71419,52505,-15529
2018-04-29,11.85,12.65,11.3,1.3499999999999996,-0.5500000000000007,11.98,12.65,11.6,1.0500000000000007,-0.5500000000000007,11.33,11.75,11.1,0.6500000000000004,-0.40000000000000036,11.55,11.85,11.3,0.5499999999999989,-0.40000000000000036,195962,276566,114678,161888,7160
2018-05-06,11.28,11.6,11.1,0.5,-0.3000000000000007,11.469999999999999,11.7,11.25,0.4499999999999993,-0.09999999999999964,11.040000000000001,11.1,11.0,0.09999999999999964,0.049999999999998934,11.25,11.6,11.05,0.5499999999999989,0.0,123236,161647,77460,84187,-84187
2018-05-13,11.2,11.3,11.15,0.15000000000000036,-0.15000000000000036,11.494,11.95,11.25,0.6999999999999993,0.3999999999999986,11.06,11.1,11.05,0.049999999999998934,-0.049999999999998934,11.27,11.65,11.1,0.5500000000000007,0.40000000000000036,116860,234621,72276,162345,135833
2018-05-20,11.540000000000001,11.7,11.3,0.3999999999999986,-0.14999999999999858,11.65,11.85,11.45,0.40000000000000036,-0.1999999999999993,11.3,11.35,11.25,0.09999999999999964,-0.09999999999999964,11.48,11.65,11.4,0.25,-0.25,68214,101326,35572,65754,24363
2018-05-27,11.8875,12.25,11.35,0.9000000000000004,0.7000000000000011,12.1875,12.35,12.0,0.34999999999999964,0.09999999999999964,11.705,11.85,11.35,0.5,0.45000000000000107,12.025,12.25,11.9,0.34999999999999964,0.09999999999999964,123458,160971,106451,54520,-54520
