Date,PowerShares Cleantech_Open_average,PowerShares Cleantech_Open_max,PowerShares Cleantech_Open_min,PowerShares Cleantech_Open_volatility,PowerShares Cleantech_Open_change,PowerShares Cleantech_High_average,PowerShares Cleantech_High_max,PowerShares Cleantech_High_min,PowerShares Cleantech_High_volatility,PowerShares Cleantech_High_change,PowerShares Cleantech_Low_average,PowerShares Cleantech_Low_max,PowerShares Cleantech_Low_min,PowerShares Cleantech_Low_volatility,PowerShares Cleantech_Low_change,PowerShares Cleantech_Close_average,PowerShares Cleantech_Close_max,PowerShares Cleantech_Close_min,PowerShares Cleantech_Close_volatility,PowerShares Cleantech_Close_change
2018-01-14,45.06,45.06,45.06,0.0,0.0,45.22,45.22,45.22,0.0,0.0,44.96,44.96,44.96,0.0,0.0,45.07,45.07,45.07,0.0,0.0
2018-01-21,45.09,45.09,45.09,0.0,0.0,45.09,45.09,45.09,0.0,0.0,44.83,44.83,44.83,0.0,0.0,44.94,44.94,44.94,0.0,0.0
2018-01-28,43.57,43.57,43.57,0.0,0.0,43.64,43.64,43.64,0.0,0.0,41.84,41.84,41.84,0.0,0.0,42.79,42.79,42.79,0.0,0.0
2018-02-04,41.92,41.92,41.92,0.0,0.0,42.43,42.43,42.43,0.0,0.0,41.92,41.92,41.92,0.0,0.0,42.09,42.09,42.09,0.0,0.0
2018-02-11,43.7,43.7,43.7,0.0,0.0,44.0,44.0,44.0,0.0,0.0,43.68,43.68,43.68,0.0,0.0,43.9,43.9,43.9,0.0,0.0
2018-02-18,43.62,43.62,43.62,0.0,0.0,44.12,44.12,44.12,0.0,0.0,43.62,43.62,43.62,0.0,0.0,43.97,43.97,43.97,0.0,0.0
2018-02-25,42.36,42.36,42.36,0.0,0.0,42.95,42.95,42.95,0.0,0.0,42.36,42.36,42.36,0.0,0.0,42.95,42.95,42.95,0.0,0.0
2018-03-04,44.57,44.57,44.57,0.0,0.0,44.79,44.79,44.79,0.0,0.0,44.48,44.48,44.48,0.0,0.0,44.54,44.54,44.54,0.0,0.0
2018-03-11,44.05,44.05,44.05,0.0,0.0,44.05,44.05,44.05,0.0,0.0,43.49,43.49,43.49,0.0,0.0,43.91,43.91,43.91,0.0,0.0
2018-03-18,42.88,42.88,42.88,0.0,0.0,43.42,43.42,43.42,0.0,0.0,42.73,42.73,42.73,0.0,0.0,43.42,43.42,43.42,0.0,0.0
2018-03-25,42.69,42.69,42.69,0.0,0.0,42.69,42.69,42.69,0.0,0.0,41.66,41.66,41.66,0.0,0.0,41.75,41.75,41.75,0.0,0.0
2018-04-01,42.31,42.31,42.31,0.0,0.0,42.75,42.75,42.75,0.0,0.0,42.28,42.28,42.28,0.0,0.0,42.62,42.62,42.62,0.0,0.0
2018-04-08,43.2,43.2,43.2,0.0,0.0,43.28,43.28,43.28,0.0,0.0,42.98,42.98,42.98,0.0,0.0,43.05,43.05,43.05,0.0,0.0
2018-04-15,43.46,43.46,43.46,0.0,0.0,43.54,43.54,43.54,0.0,0.0,43.15,43.15,43.15,0.0,0.0,43.27,43.27,43.27,0.0,0.0
2018-04-22,42.53,42.53,42.53,0.0,0.0,42.59,42.59,42.59,0.0,0.0,42.27,42.27,42.27,0.0,0.0,42.41,42.41,42.41,0.0,0.0
2018-04-29,43.18,43.18,43.18,0.0,0.0,43.53,43.53,43.53,0.0,0.0,42.96,42.96,42.96,0.0,0.0,43.34,43.34,43.34,0.0,0.0
2018-05-06,44.23,44.23,44.23,0.0,0.0,44.48,44.48,44.48,0.0,0.0,44.17,44.17,44.17,0.0,0.0,44.17,44.17,44.17,0.0,0.0
2018-05-13,44.59,44.59,44.59,0.0,0.0,44.98,44.98,44.98,0.0,0.0,44.59,44.59,44.59,0.0,0.0,44.78,44.78,44.78,0.0,0.0
2018-05-20,43.83,43.83,43.83,0.0,0.0,44.08,44.08,44.08,0.0,0.0,43.83,43.83,43.83,0.0,0.0,43.98,43.98,43.98,0.0,0.0
2018-05-27,44.03,44.03,44.03,0.0,0.0,44.14,44.14,44.14,0.0,0.0,43.85,43.85,43.85,0.0,0.0,44.14,44.14,44.14,0.0,0.0
2018-06-03,44.22,44.22,44.22,0.0,0.0,44.45,44.45,44.45,0.0,0.0,44.17,44.17,44.17,0.0,0.0,44.38,44.38,44.38,0.0,0.0
2018-06-10,43.22,43.22,43.22,0.0,0.0,43.62,43.62,43.62,0.0,0.0,43.15,43.15,43.15,0.0,0.0,43.48,43.48,43.48,0.0,0.0
2018-06-17,42.53,42.53,42.53,0.0,0.0,42.53,42.53,42.53,0.0,0.0,41.86,41.86,41.86,0.0,0.0,42.01,42.01,42.01,0.0,0.0
2018-06-24,41.61,41.61,41.61,0.0,0.0,41.86,41.86,41.86,0.0,0.0,41.4,41.4,41.4,0.0,0.0,41.75,41.75,41.75,0.0,0.0
2018-07-01,42.71,42.71,42.71,0.0,0.0,43.0,43.0,43.0,0.0,0.0,42.71,42.71,42.71,0.0,0.0,42.98,42.98,42.98,0.0,0.0
2018-07-08,42.78,42.78,42.78,0.0,0.0,42.8,42.8,42.8,0.0,0.0,42.57,42.57,42.57,0.0,0.0,42.62,42.62,42.62,0.0,0.0
2018-07-15,42.99,42.99,42.99,0.0,0.0,43.23,43.23,43.23,0.0,0.0,42.91,42.91,42.91,0.0,0.0,42.91,42.91,42.91,0.0,0.0
2018-07-22,43.26,43.26,43.26,0.0,0.0,43.44,43.44,43.44,0.0,0.0,43.11,43.11,43.11,0.0,0.0,43.25,43.25,43.25,0.0,0.0
2018-07-29,42.94,42.94,42.94,0.0,0.0,43.17,43.17,43.17,0.0,0.0,42.94,42.94,42.94,0.0,0.0,43.07,43.07,43.07,0.0,0.0
2018-08-05,42.56,42.56,42.56,0.0,0.0,42.83,42.83,42.83,0.0,0.0,42.41,42.41,42.41,0.0,0.0,42.51,42.51,42.51,0.0,0.0
2018-08-12,42.7,42.7,42.7,0.0,0.0,42.97,42.97,42.97,0.0,0.0,42.7,42.7,42.7,0.0,0.0,42.88,42.88,42.88,0.0,0.0
2018-08-19,44.18,44.18,44.18,0.0,0.0,44.66,44.66,44.66,0.0,0.0,44.18,44.18,44.18,0.0,0.0,44.43,44.43,44.43,0.0,0.0
2018-08-26,44.12,44.12,44.12,0.0,0.0,44.36,44.36,44.36,0.0,0.0,44.12,44.12,44.12,0.0,0.0,44.36,44.36,44.36,0.0,0.0
2018-09-02,43.61,43.61,43.61,0.0,0.0,43.85,43.85,43.85,0.0,0.0,43.56,43.56,43.56,0.0,0.0,43.82,43.82,43.82,0.0,0.0
2018-09-09,44.02,44.02,44.02,0.0,0.0,44.16,44.16,44.16,0.0,0.0,43.66,43.66,43.66,0.0,0.0,43.68,43.68,43.68,0.0,0.0
2018-09-16,44.01,44.01,44.01,0.0,0.0,44.25,44.25,44.25,0.0,0.0,43.73,43.73,43.73,0.0,0.0,43.76,43.76,43.76,0.0,0.0
2018-09-23,43.35,43.35,43.35,0.0,0.0,43.6,43.6,43.6,0.0,0.0,42.97,42.97,42.97,0.0,0.0,42.97,42.97,42.97,0.0,0.0
2018-09-30,41.16,41.16,41.16,0.0,0.0,41.37,41.37,41.37,0.0,0.0,40.9,40.9,40.9,0.0,0.0,41.18,41.18,41.18,0.0,0.0
2018-10-07,38.84,38.84,38.84,0.0,0.0,39.48,39.48,39.48,0.0,0.0,38.84,38.84,38.84,0.0,0.0,39.17,39.17,39.17,0.0,0.0
2018-10-14,39.03,39.03,39.03,0.0,0.0,39.25,39.25,39.25,0.0,0.0,38.9,38.9,38.9,0.0,0.0,39.07,39.07,39.07,0.0,0.0
2018-10-21,38.51,38.51,38.51,0.0,0.0,38.65,38.65,38.65,0.0,0.0,37.6,37.6,37.6,0.0,0.0,37.7,37.7,37.7,0.0,0.0
2018-10-28,39.84,39.84,39.84,0.0,0.0,39.87,39.87,39.87,0.0,0.0,39.61,39.61,39.61,0.0,0.0,39.83,39.83,39.83,0.0,0.0
2018-11-04,40.39,40.39,40.39,0.0,0.0,40.39,40.39,40.39,0.0,0.0,39.79,39.79,39.79,0.0,0.0,39.95,39.95,39.95,0.0,0.0
2018-11-11,40.09,40.09,40.09,0.0,0.0,40.09,40.09,40.09,0.0,0.0,39.61,39.61,39.61,0.0,0.0,39.74,39.74,39.74,0.0,0.0
2018-11-18,39.69,39.69,39.69,0.0,0.0,40.08,40.08,40.08,0.0,0.0,39.69,39.69,39.69,0.0,0.0,39.86,39.86,39.86,0.0,0.0
2018-11-25,41.42,41.42,41.42,0.0,0.0,41.7,41.7,41.7,0.0,0.0,41.27,41.27,41.27,0.0,0.0,41.32,41.32,41.32,0.0,0.0
2018-12-02,38.15,38.15,38.15,0.0,0.0,38.27,38.27,38.27,0.0,0.0,37.84,37.84,37.84,0.0,0.0,38.1,38.1,38.1,0.0,0.0
2018-12-09,37.7,37.7,37.7,0.0,0.0,37.84,37.84,37.84,0.0,0.0,37.13,37.13,37.13,0.0,0.0,37.15,37.15,37.15,0.0,0.0
2018-12-16,35.27,35.27,35.27,0.0,0.0,35.65,35.65,35.65,0.0,0.0,34.98,34.98,34.98,0.0,0.0,35.15,35.15,35.15,0.0,0.0
2018-12-23,36.85,36.85,36.85,0.0,0.0,36.85,36.85,36.85,0.0,0.0,36.57,36.57,36.57,0.0,0.0,36.8,36.8,36.8,0.0,0.0
2018-12-30,37.33,37.33,37.33,0.0,0.0,37.9,37.9,37.9,0.0,0.0,37.31,37.31,37.31,0.0,0.0,37.64,37.64,37.64,0.0,0.0
2019-01-06,38.53,38.53,38.53,0.0,0.0,38.75,38.75,38.75,0.0,0.0,38.41,38.41,38.41,0.0,0.0,38.41,38.41,38.41,0.0,0.0
2019-01-13,39.57,39.57,39.57,0.0,0.0,39.8,39.8,39.8,0.0,0.0,39.57,39.57,39.57,0.0,0.0,39.78,39.78,39.78,0.0,0.0
2019-01-20,39.75,39.75,39.75,0.0,0.0,39.75,39.75,39.75,0.0,0.0,39.6,39.6,39.6,0.0,0.0,39.66,39.66,39.66,0.0,0.0
2019-01-27,40.75,40.75,40.75,0.0,0.0,40.97,40.97,40.97,0.0,0.0,40.7,40.7,40.7,0.0,0.0,40.92,40.92,40.92,0.0,0.0
2019-02-03,40.48,40.48,40.48,0.0,0.0,40.53,40.53,40.53,0.0,0.0,40.38,40.38,40.38,0.0,0.0,40.48,40.48,40.48,0.0,0.0
2019-02-10,41.95,41.95,41.95,0.0,0.0,42.14,42.14,42.14,0.0,0.0,41.91,41.91,41.91,0.0,0.0,42.14,42.14,42.14,0.0,0.0
2019-02-17,42.93,42.93,42.93,0.0,0.0,43.2,43.2,43.2,0.0,0.0,42.78,42.78,42.78,0.0,0.0,42.78,42.78,42.78,0.0,0.0
2019-02-24,42.98,42.98,42.98,0.0,0.0,42.98,42.98,42.98,0.0,0.0,42.56,42.56,42.56,0.0,0.0,42.67,42.67,42.67,0.0,0.0
2019-03-03,41.26,41.26,41.26,0.0,0.0,41.76,41.76,41.76,0.0,0.0,41.26,41.26,41.26,0.0,0.0,41.76,41.76,41.76,0.0,0.0
2019-03-10,42.33,42.33,42.33,0.0,0.0,42.64,42.64,42.64,0.0,0.0,42.33,42.33,42.33,0.0,0.0,42.56,42.56,42.56,0.0,0.0
2019-03-17,41.26,41.26,41.26,0.0,0.0,41.62,41.62,41.62,0.0,0.0,41.18,41.18,41.18,0.0,0.0,41.38,41.38,41.38,0.0,0.0
2019-03-24,42.51,42.51,42.51,0.0,0.0,42.92,42.92,42.92,0.0,0.0,42.51,42.51,42.51,0.0,0.0,42.91,42.91,42.91,0.0,0.0
2019-03-31,43.86,43.86,43.86,0.0,0.0,43.94,43.94,43.94,0.0,0.0,43.7,43.7,43.7,0.0,0.0,43.94,43.94,43.94,0.0,0.0
2019-04-07,44.35,44.35,44.35,0.0,0.0,44.46,44.46,44.46,0.0,0.0,44.29,44.29,44.29,0.0,0.0,44.41,44.41,44.41,0.0,0.0
2019-04-14,44.93,44.93,44.93,0.0,0.0,45.02,45.02,45.02,0.0,0.0,44.93,44.93,44.93,0.0,0.0,45.02,45.02,45.02,0.0,0.0
