Date,NICK_Open_average,NICK_Open_max,NICK_Open_min,NICK_Open_volatility,NICK_Open_change,NICK_High_average,NICK_High_max,NICK_High_min,NICK_High_volatility,NICK_High_change,NICK_Low_average,NICK_Low_max,NICK_Low_min,NICK_Low_volatility,NICK_Low_change,NICK_Close_average,NICK_Close_max,NICK_Close_min,NICK_Close_volatility,NICK_Close_change,NICK_Volume_average,NICK_Volume_max,NICK_Volume_min,NICK_Volume_volatility,NICK_Volume_change
2018-10-28,11.656,12.01,11.24,0.7699999999999996,0.3600000000000012,12.044,12.11,11.9,0.20999999999999908,-0.20999999999999908,11.442,11.64,11.24,0.40000000000000036,0.08999999999999986,11.57,11.67,11.4,0.2699999999999996,-0.10999999999999943,15553,27975,7256,20719,-17929
2018-11-04,11.632,11.82,11.51,0.3100000000000005,-0.16000000000000014,11.692,11.89,11.53,0.3600000000000012,-0.21000000000000085,11.438,11.5,11.4,0.09999999999999964,-0.0600000000000005,11.502,11.69,11.4,0.28999999999999915,-0.05000000000000071,6813,15302,1186,14116,-14116
2018-11-11,11.604,11.73,11.45,0.28000000000000114,0.16000000000000014,11.706,11.73,11.67,0.0600000000000005,-0.0600000000000005,11.522,11.61,11.45,0.16000000000000014,0.10000000000000142,11.646,11.73,11.55,0.17999999999999972,-0.09999999999999964,4374,6907,894,6013,-2583
2018-11-18,11.5075,11.59,11.4,0.1899999999999995,-0.05000000000000071,11.5875,11.63,11.53,0.10000000000000142,0.009999999999999787,11.34,11.4,11.16,0.2400000000000002,-0.2400000000000002,11.395,11.61,11.16,0.4499999999999993,-0.2400000000000002,2627,4782,904,3878,1700
2018-11-25,10.8225,11.05,10.66,0.39000000000000057,-0.25,11.02,11.07,10.98,0.08999999999999986,0.019999999999999574,10.5125,10.71,10.3,0.41000000000000014,-0.20999999999999908,10.57,10.71,10.52,0.19000000000000128,0.0,9511,18419,2589,15830,-6191
2018-12-02,10.535,10.65,10.39,0.2599999999999998,0.2599999999999998,10.735,10.83,10.63,0.1999999999999993,0.14000000000000057,10.4125,10.5,10.28,0.22000000000000064,0.19000000000000128,10.504999999999999,10.79,10.28,0.5099999999999998,0.27000000000000135,3873,8536,1787,6749,5404
2018-12-09,10.636000000000001,10.85,10.42,0.4299999999999997,0.29999999999999893,10.794,10.95,10.68,0.2699999999999996,0.19000000000000128,10.574,10.7,10.42,0.27999999999999936,0.0,10.706,10.88,10.55,0.33000000000000007,0.1999999999999993,6508,11721,2690,9031,5647
2018-12-16,10.258,10.92,10.0,0.9199999999999999,-0.7699999999999996,10.5,10.92,10.18,0.7400000000000002,-0.7400000000000002,9.984,10.65,9.07,1.58,-0.6500000000000004,10.288,10.65,10.09,0.5600000000000005,-0.5600000000000005,11105,27254,3032,24222,7214
2018-12-23,10.3,10.93,10.0,0.9299999999999997,0.8399999999999999,10.627500000000001,10.93,10.39,0.5399999999999991,0.5399999999999991,10.105,10.4,9.84,0.5600000000000005,0.5600000000000005,10.275,10.5,10.06,0.4399999999999995,0.2599999999999998,9283,19788,3825,15963,-15963
2018-12-30,10.48,10.59,10.35,0.2400000000000002,0.15000000000000036,10.583333333333334,10.59,10.57,0.019999999999999574,-0.019999999999999574,10.45,10.59,10.35,0.2400000000000002,0.0600000000000005,10.53,10.59,10.41,0.17999999999999972,-0.17999999999999972,1657,3797,555,3242,3242
2019-01-06,10.5075,10.65,10.4,0.25,0.16000000000000014,10.5775,10.77,10.49,0.27999999999999936,0.27999999999999936,10.43,10.65,10.31,0.33999999999999986,0.33999999999999986,10.4775,10.7,10.31,0.3899999999999988,0.3899999999999988,2916,5940,1094,4846,-4358
2019-01-13,10.775,10.92,10.67,0.25,-0.07000000000000028,10.864999999999998,10.95,10.77,0.17999999999999972,0.019999999999999574,10.7075,10.76,10.67,0.08999999999999986,-0.02999999999999936,10.799999999999999,10.95,10.7,0.25,0.02999999999999936,3516,6850,1433,5417,-1987
2019-01-20,10.808,10.91,10.73,0.17999999999999972,-0.05999999999999872,10.808,10.91,10.73,0.17999999999999972,-0.05999999999999872,10.726,10.8,10.51,0.2900000000000009,-0.05999999999999872,10.752,10.8,10.64,0.16000000000000014,-0.05999999999999872,325,1071,0,1071,0
2019-01-27,10.668,10.92,10.5,0.41999999999999993,-0.08000000000000007,10.69,10.92,10.5,0.41999999999999993,-0.019999999999999574,10.634,10.92,10.5,0.41999999999999993,0.05000000000000071,10.648,10.92,10.5,0.41999999999999993,0.09999999999999964,2747,5544,313,5231,2394
2019-02-03,10.708,10.79,10.62,0.16999999999999993,0.08999999999999986,10.764,10.85,10.62,0.23000000000000043,0.0,10.6,10.65,10.55,0.09999999999999964,0.0,10.654,10.77,10.55,0.21999999999999886,-0.14999999999999858,2337,4111,1461,2650,-1058
2019-02-10,10.503333333333334,10.55,10.41,0.14000000000000057,-0.14000000000000057,10.620000000000001,10.65,10.56,0.08999999999999986,0.0,10.173333333333334,10.55,9.94,0.6100000000000012,-0.6100000000000012,10.276666666666667,10.55,10.12,0.4300000000000015,-0.4300000000000015,12179,24885,1269,23616,23616
