Date,Direxion Daily Energy Bear 3X Shares_Open_average,Direxion Daily Energy Bear 3X Shares_Open_max,Direxion Daily Energy Bear 3X Shares_Open_min,Direxion Daily Energy Bear 3X Shares_Open_volatility,Direxion Daily Energy Bear 3X Shares_Open_change,Direxion Daily Energy Bear 3X Shares_High_average,Direxion Daily Energy Bear 3X Shares_High_max,Direxion Daily Energy Bear 3X Shares_High_min,Direxion Daily Energy Bear 3X Shares_High_volatility,Direxion Daily Energy Bear 3X Shares_High_change,Direxion Daily Energy Bear 3X Shares_Low_average,Direxion Daily Energy Bear 3X Shares_Low_max,Direxion Daily Energy Bear 3X Shares_Low_min,Direxion Daily Energy Bear 3X Shares_Low_volatility,Direxion Daily Energy Bear 3X Shares_Low_change,Direxion Daily Energy Bear 3X Shares_Close_average,Direxion Daily Energy Bear 3X Shares_Close_max,Direxion Daily Energy Bear 3X Shares_Close_min,Direxion Daily Energy Bear 3X Shares_Close_volatility,Direxion Daily Energy Bear 3X Shares_Close_change
2018-01-14,37.65,37.65,37.65,0.0,0.0,37.65,37.65,37.65,0.0,0.0,35.3,35.3,35.3,0.0,0.0,35.3,35.3,35.3,0.0,0.0
2018-01-21,36.6,36.6,36.6,0.0,0.0,37.83,37.83,37.83,0.0,0.0,36.15,36.15,36.15,0.0,0.0,37.7,37.7,37.7,0.0,0.0
2018-01-28,45.2,45.2,45.2,0.0,0.0,51.05,51.05,51.05,0.0,0.0,43.7,43.7,43.7,0.0,0.0,49.2,49.2,49.2,0.0,0.0
2018-02-04,53.05,53.05,53.05,0.0,0.0,53.65,53.65,53.65,0.0,0.0,50.45,50.45,50.45,0.0,0.0,52.3,52.3,52.3,0.0,0.0
2018-02-11,51.55,51.55,51.55,0.0,0.0,52.3,52.3,52.3,0.0,0.0,49.95,49.95,49.95,0.0,0.0,51.5,51.5,51.5,0.0,0.0
2018-02-18,48.95,48.95,48.95,0.0,0.0,49.7,49.7,49.7,0.0,0.0,48.52,48.52,48.52,0.0,0.0,48.75,48.75,48.75,0.0,0.0
2018-02-25,54.4,54.4,54.4,0.0,0.0,54.7,54.7,54.7,0.0,0.0,51.55,51.55,51.55,0.0,0.0,52.05,52.05,52.05,0.0,0.0
2018-03-04,50.05,50.05,50.05,0.0,0.0,50.95,50.95,50.95,0.0,0.0,49.1,49.1,49.1,0.0,0.0,50.25,50.25,50.25,0.0,0.0
2018-03-11,52.1,52.1,52.1,0.0,0.0,54.85,54.85,54.85,0.0,0.0,52.09,52.09,52.09,0.0,0.0,54.0,54.0,54.0,0.0,0.0
2018-03-18,50.9,50.9,50.9,0.0,0.0,52.35,52.35,52.35,0.0,0.0,49.35,49.35,49.35,0.0,0.0,49.6,49.6,49.6,0.0,0.0
