Date,PowerShares FTSE RAFI Developed Markets ex-US Smal_Open_average,PowerShares FTSE RAFI Developed Markets ex-US Smal_Open_max,PowerShares FTSE RAFI Developed Markets ex-US Smal_Open_min,PowerShares FTSE RAFI Developed Markets ex-US Smal_Open_volatility,PowerShares FTSE RAFI Developed Markets ex-US Smal_Open_change,PowerShares FTSE RAFI Developed Markets ex-US Smal_High_average,PowerShares FTSE RAFI Developed Markets ex-US Smal_High_max,PowerShares FTSE RAFI Developed Markets ex-US Smal_High_min,PowerShares FTSE RAFI Developed Markets ex-US Smal_High_volatility,PowerShares FTSE RAFI Developed Markets ex-US Smal_High_change,PowerShares FTSE RAFI Developed Markets ex-US Smal_Low_average,PowerShares FTSE RAFI Developed Markets ex-US Smal_Low_max,PowerShares FTSE RAFI Developed Markets ex-US Smal_Low_min,PowerShares FTSE RAFI Developed Markets ex-US Smal_Low_volatility,PowerShares FTSE RAFI Developed Markets ex-US Smal_Low_change,PowerShares FTSE RAFI Developed Markets ex-US Smal_Close_average,PowerShares FTSE RAFI Developed Markets ex-US Smal_Close_max,PowerShares FTSE RAFI Developed Markets ex-US Smal_Close_min,PowerShares FTSE RAFI Developed Markets ex-US Smal_Close_volatility,PowerShares FTSE RAFI Developed Markets ex-US Smal_Close_change
2018-01-14,35.95,35.95,35.95,0.0,0.0,36.07,36.07,36.07,0.0,0.0,35.85,35.85,35.85,0.0,0.0,36.04,36.04,36.04,0.0,0.0
2018-01-21,36.33,36.33,36.33,0.0,0.0,36.37,36.37,36.37,0.0,0.0,36.15,36.15,36.15,0.0,0.0,36.29,36.29,36.29,0.0,0.0
2018-01-28,35.0,35.0,35.0,0.0,0.0,35.12,35.12,35.12,0.0,0.0,33.82,33.82,33.82,0.0,0.0,34.0,34.0,34.0,0.0,0.0
2018-02-04,34.12,34.12,34.12,0.0,0.0,34.12,34.12,34.12,0.0,0.0,33.5,33.5,33.5,0.0,0.0,33.73,33.73,33.73,0.0,0.0
2018-02-11,34.59,34.59,34.59,0.0,0.0,34.94,34.94,34.94,0.0,0.0,34.48,34.48,34.48,0.0,0.0,34.67,34.67,34.67,0.0,0.0
2018-02-18,34.93,34.93,34.93,0.0,0.0,35.21,35.21,35.21,0.0,0.0,34.87,34.87,34.87,0.0,0.0,35.18,35.18,35.18,0.0,0.0
2018-02-25,33.77,33.77,33.77,0.0,0.0,34.09,34.09,34.09,0.0,0.0,33.61,33.61,33.61,0.0,0.0,34.05,34.05,34.05,0.0,0.0
2018-03-04,34.76,34.76,34.76,0.0,0.0,34.97,34.97,34.97,0.0,0.0,34.71,34.71,34.71,0.0,0.0,34.93,34.93,34.93,0.0,0.0
2018-03-11,34.31,34.31,34.31,0.0,0.0,34.44,34.44,34.44,0.0,0.0,34.2,34.2,34.2,0.0,0.0,34.41,34.41,34.41,0.0,0.0
2018-03-18,33.85,33.85,33.85,0.0,0.0,33.85,33.85,33.85,0.0,0.0,33.13,33.13,33.13,0.0,0.0,33.71,33.71,33.71,0.0,0.0
2018-03-25,33.99,33.99,33.99,0.0,0.0,33.99,33.99,33.99,0.0,0.0,33.55,33.55,33.55,0.0,0.0,33.66,33.66,33.66,0.0,0.0
2018-04-01,34.15,34.15,34.15,0.0,0.0,34.34,34.34,34.34,0.0,0.0,34.14,34.14,34.14,0.0,0.0,34.23,34.23,34.23,0.0,0.0
2018-04-08,34.51,34.51,34.51,0.0,0.0,34.67,34.67,34.67,0.0,0.0,34.51,34.51,34.51,0.0,0.0,34.65,34.65,34.65,0.0,0.0
2018-04-15,34.69,34.69,34.69,0.0,0.0,34.72,34.72,34.72,0.0,0.0,34.5,34.5,34.5,0.0,0.0,34.52,34.52,34.52,0.0,0.0
2018-04-22,34.69,34.69,34.69,0.0,0.0,34.8,34.8,34.8,0.0,0.0,34.57,34.57,34.57,0.0,0.0,34.68,34.68,34.68,0.0,0.0
2018-04-29,34.75,34.75,34.75,0.0,0.0,34.82,34.82,34.82,0.0,0.0,34.58,34.58,34.58,0.0,0.0,34.71,34.71,34.71,0.0,0.0
2018-05-06,35.42,35.42,35.42,0.0,0.0,35.47,35.47,35.47,0.0,0.0,35.18,35.18,35.18,0.0,0.0,35.19,35.19,35.19,0.0,0.0
2018-05-13,35.2,35.2,35.2,0.0,0.0,35.42,35.42,35.42,0.0,0.0,34.99,34.99,34.99,0.0,0.0,35.15,35.15,35.15,0.0,0.0
2018-05-20,34.68,34.68,34.68,0.0,0.0,34.98,34.98,34.98,0.0,0.0,34.55,34.55,34.55,0.0,0.0,34.57,34.57,34.57,0.0,0.0
2018-05-27,34.86,34.86,34.86,0.0,0.0,34.88,34.88,34.88,0.0,0.0,34.56,34.56,34.56,0.0,0.0,34.69,34.69,34.69,0.0,0.0
2018-06-03,35.0,35.0,35.0,0.0,0.0,35.1,35.1,35.1,0.0,0.0,34.9,34.9,34.9,0.0,0.0,34.98,34.98,34.98,0.0,0.0
2018-06-10,33.9,33.9,33.9,0.0,0.0,34.04,34.04,34.04,0.0,0.0,33.72,33.72,33.72,0.0,0.0,33.72,33.72,33.72,0.0,0.0
2018-06-17,33.13,33.13,33.13,0.0,0.0,33.13,33.13,33.13,0.0,0.0,32.95,32.95,32.95,0.0,0.0,33.04,33.04,33.04,0.0,0.0
2018-06-24,32.54,32.54,32.54,0.0,0.0,32.71,32.71,32.71,0.0,0.0,32.46,32.46,32.46,0.0,0.0,32.56,32.56,32.56,0.0,0.0
2018-07-01,33.2,33.2,33.2,0.0,0.0,33.4,33.4,33.4,0.0,0.0,33.09,33.09,33.09,0.0,0.0,33.2,33.2,33.2,0.0,0.0
2018-07-08,32.98,32.98,32.98,0.0,0.0,32.98,32.98,32.98,0.0,0.0,32.8,32.8,32.8,0.0,0.0,32.93,32.93,32.93,0.0,0.0
2018-07-15,32.85,32.85,32.85,0.0,0.0,33.0,33.0,33.0,0.0,0.0,32.78,32.78,32.78,0.0,0.0,32.9,32.9,32.9,0.0,0.0
