Date,FORM_Open_average,FORM_Open_max,FORM_Open_min,FORM_Open_volatility,FORM_Open_change,FORM_High_average,FORM_High_max,FORM_High_min,FORM_High_volatility,FORM_High_change,FORM_Low_average,FORM_Low_max,FORM_Low_min,FORM_Low_volatility,FORM_Low_change,FORM_Close_average,FORM_Close_max,FORM_Close_min,FORM_Close_volatility,FORM_Close_change,FORM_Volume_average,FORM_Volume_max,FORM_Volume_min,FORM_Volume_volatility,FORM_Volume_change
2018-01-14,15.92,16.9,15.15,1.7499999999999982,-1.4000000000000004,16.222,17.15,15.6,1.549999999999999,-1.4899999999999984,15.299999999999999,16.65,14.75,1.8999999999999986,-1.799999999999999,15.57,16.65,15.0,1.6499999999999986,-1.6499999999999986,1050550,2243101,447903,1795198,364242
2018-01-21,15.07,15.25,14.9,0.34999999999999964,0.09999999999999964,15.27,15.5,15.15,0.34999999999999964,-0.09999999999999964,14.744,14.9,14.55,0.34999999999999964,-0.34999999999999964,15.04,15.2,14.85,0.34999999999999964,-0.15000000000000036,570090,698087,387772,310315,105192
2018-01-28,14.34,15.1,13.6,1.5,-1.0500000000000007,14.64,15.2,13.85,1.3499999999999996,-1.3499999999999996,13.95,14.65,13.25,1.4000000000000004,-1.4000000000000004,14.19,15.0,13.35,1.6500000000000004,-1.6500000000000004,766237,1009942,621408,388534,334134
2018-02-04,12.83,13.6,12.45,1.1500000000000004,-0.5,13.07,13.75,12.6,1.1500000000000004,-1.0500000000000007,12.26,13.15,11.3,1.8499999999999996,-0.6999999999999993,12.78,13.6,12.25,1.3499999999999996,-1.1999999999999993,1197057,2223948,762588,1461360,-114335
2018-02-11,12.6375,12.95,12.3,0.6499999999999986,0.5499999999999989,13.012500000000001,13.3,12.55,0.75,0.5999999999999996,12.4025,12.75,12.11,0.6400000000000006,0.5500000000000007,12.7875,13.05,12.35,0.7000000000000011,0.5,786734,901592,584714,316878,-294131
2018-02-18,13.0,13.3,12.85,0.45000000000000107,0.0,13.35,13.6,12.9,0.6999999999999993,0.0,12.708,12.9,12.49,0.41000000000000014,-0.29999999999999893,13.1,13.55,12.75,0.8000000000000007,0.3500000000000014,720546,831322,635733,195589,-161861
2018-02-25,13.26,13.6,12.95,0.6500000000000004,-0.29999999999999893,13.5,13.65,13.4,0.25,-0.15000000000000036,12.99,13.15,12.8,0.34999999999999964,0.05000000000000071,13.23,13.4,13.05,0.34999999999999964,0.20000000000000107,715612,1607724,384337,1223387,-1223387
2018-03-04,14.72,15.3,13.45,1.8500000000000014,1.8500000000000014,15.184000000000001,15.65,13.72,1.9299999999999997,1.9299999999999997,14.602,15.25,13.35,1.9000000000000004,1.9000000000000004,14.9,15.45,13.6,1.8499999999999996,1.700000000000001,4914723,14323222,427600,13895622,786518
2018-03-11,15.12,15.4,14.9,0.5,-0.5,15.236,15.45,15.05,0.3999999999999986,-0.3999999999999986,14.844,15.1,14.45,0.6500000000000004,-0.620000000000001,15.06,15.3,14.9,0.40000000000000036,-0.25,1164748,1641879,829219,812660,-298270
2018-03-18,14.66,15.1,13.95,1.1500000000000004,-1.1500000000000004,14.84,15.3,14.25,1.0500000000000007,-0.8499999999999996,14.266,14.7,13.68,1.0199999999999996,-0.9799999999999986,14.48,15.1,13.7,1.4000000000000004,-0.5500000000000007,687124,850153,548393,301760,25308
2018-03-25,13.7875,14.25,13.55,0.6999999999999993,-0.6500000000000004,14.032499999999999,14.35,13.8,0.5499999999999989,-0.5499999999999989,13.4,13.7,13.15,0.5499999999999989,-0.5499999999999989,13.525,13.8,13.15,0.6500000000000004,-0.6500000000000004,903618,1131893,790192,341701,-299627
2018-04-01,13.48,13.9,13.3,0.5999999999999996,-0.05000000000000071,13.72,14.0,13.55,0.4499999999999993,-0.049999999999998934,13.13,13.35,13.05,0.29999999999999893,0.0,13.45,13.75,13.1,0.6500000000000004,-0.5,701146,967801,469486,498315,-307193
2018-04-08,13.85,14.3,13.25,1.0500000000000007,1.0500000000000007,14.278,14.64,13.65,0.9900000000000002,0.9900000000000002,13.69,14.03,13.25,0.7799999999999994,0.7799999999999994,14.08,14.55,13.5,1.0500000000000007,1.0500000000000007,530083,624205,312512,311693,-57591
2018-04-15,14.55,14.9,14.2,0.7000000000000011,-0.3000000000000007,14.77,15.1,14.3,0.7999999999999989,-0.7999999999999989,14.23,14.6,13.9,0.6999999999999993,-0.5999999999999996,14.49,15.05,13.95,1.1000000000000014,-1.0500000000000007,649265,909011,429481,479530,-399439
2018-04-22,13.21,14.05,11.55,2.5,-2.5,13.402,14.2,11.74,2.459999999999999,-2.459999999999999,12.648,13.62,11.25,2.369999999999999,-2.1500000000000004,12.854000000000001,14.0,11.47,2.5299999999999994,-2.5299999999999994,1041308,1930711,594283,1336428,-42676
