Date,Direxion Daily Technology Bull 3X SharesEtf_Open_average,Direxion Daily Technology Bull 3X SharesEtf_Open_max,Direxion Daily Technology Bull 3X SharesEtf_Open_min,Direxion Daily Technology Bull 3X SharesEtf_Open_volatility,Direxion Daily Technology Bull 3X SharesEtf_Open_change,Direxion Daily Technology Bull 3X SharesEtf_High_average,Direxion Daily Technology Bull 3X SharesEtf_High_max,Direxion Daily Technology Bull 3X SharesEtf_High_min,Direxion Daily Technology Bull 3X SharesEtf_High_volatility,Direxion Daily Technology Bull 3X SharesEtf_High_change,Direxion Daily Technology Bull 3X SharesEtf_Low_average,Direxion Daily Technology Bull 3X SharesEtf_Low_max,Direxion Daily Technology Bull 3X SharesEtf_Low_min,Direxion Daily Technology Bull 3X SharesEtf_Low_volatility,Direxion Daily Technology Bull 3X SharesEtf_Low_change,Direxion Daily Technology Bull 3X SharesEtf_Close_average,Direxion Daily Technology Bull 3X SharesEtf_Close_max,Direxion Daily Technology Bull 3X SharesEtf_Close_min,Direxion Daily Technology Bull 3X SharesEtf_Close_volatility,Direxion Daily Technology Bull 3X SharesEtf_Close_change
2018-01-14,133.49,133.49,133.49,0.0,0.0,133.95,133.95,133.95,0.0,0.0,131.16,131.16,131.16,0.0,0.0,133.14,133.14,133.14,0.0,0.0
2018-01-21,137.23,137.23,137.23,0.0,0.0,141.15,141.15,141.15,0.0,0.0,136.99,136.99,136.99,0.0,0.0,141.15,141.15,141.15,0.0,0.0
2018-01-28,132.85,132.85,132.85,0.0,0.0,132.85,132.85,132.85,0.0,0.0,124.76,124.76,124.76,0.0,0.0,124.76,124.76,124.76,0.0,0.0
2018-02-04,104.5,104.5,104.5,0.0,0.0,109.15,109.15,109.15,0.0,0.0,94.87,94.87,94.87,0.0,0.0,107.03,107.03,107.03,0.0,0.0
2018-02-11,125.93,125.93,125.93,0.0,0.0,130.2,130.2,130.2,0.0,0.0,124.46,124.46,124.46,0.0,0.0,125.89,125.89,125.89,0.0,0.0
2018-02-18,127.25,127.25,127.25,0.0,0.0,131.97,131.97,131.97,0.0,0.0,126.55,126.55,126.55,0.0,0.0,131.95,131.95,131.95,0.0,0.0
2018-02-25,120.31,120.31,120.31,0.0,0.0,129.01,129.01,129.01,0.0,0.0,119.34,119.34,119.34,0.0,0.0,128.29,128.29,128.29,0.0,0.0
2018-03-04,139.76,139.76,139.76,0.0,0.0,144.58,144.58,144.58,0.0,0.0,139.24,139.24,139.24,0.0,0.0,144.58,144.58,144.58,0.0,0.0
2018-03-11,141.59,141.59,141.59,0.0,0.0,142.93,142.93,142.93,0.0,0.0,139.92,139.92,139.92,0.0,0.0,140.25,140.25,140.25,0.0,0.0
2018-03-18,119.0,119.0,119.0,0.0,0.0,120.64,120.64,120.64,0.0,0.0,109.66,109.66,109.66,0.0,0.0,109.74,109.74,109.74,0.0,0.0
