Date,iShares North American Natural Resources_etf_Open_average,iShares North American Natural Resources_etf_Open_max,iShares North American Natural Resources_etf_Open_min,iShares North American Natural Resources_etf_Open_volatility,iShares North American Natural Resources_etf_Open_change,iShares North American Natural Resources_etf_High_average,iShares North American Natural Resources_etf_High_max,iShares North American Natural Resources_etf_High_min,iShares North American Natural Resources_etf_High_volatility,iShares North American Natural Resources_etf_High_change,iShares North American Natural Resources_etf_Low_average,iShares North American Natural Resources_etf_Low_max,iShares North American Natural Resources_etf_Low_min,iShares North American Natural Resources_etf_Low_volatility,iShares North American Natural Resources_etf_Low_change,iShares North American Natural Resources_etf_Close_average,iShares North American Natural Resources_etf_Close_max,iShares North American Natural Resources_etf_Close_min,iShares North American Natural Resources_etf_Close_volatility,iShares North American Natural Resources_etf_Close_change
2018-01-14,37.03,37.03,37.03,0.0,0.0,37.14,37.14,37.14,0.0,0.0,36.95,36.95,36.95,0.0,0.0,37.14,37.14,37.14,0.0,0.0
2018-01-21,37.41,37.41,37.41,0.0,0.0,37.59,37.59,37.59,0.0,0.0,37.34,37.34,37.34,0.0,0.0,37.53,37.53,37.53,0.0,0.0
2018-01-28,35.94,35.94,35.94,0.0,0.0,35.96,35.96,35.96,0.0,0.0,35.03,35.03,35.03,0.0,0.0,35.12,35.12,35.12,0.0,0.0
2018-02-04,32.83,32.83,32.83,0.0,0.0,32.85,32.85,32.85,0.0,0.0,31.49,31.49,31.49,0.0,0.0,32.49,32.49,32.49,0.0,0.0
2018-02-11,33.72,33.72,33.72,0.0,0.0,33.92,33.92,33.92,0.0,0.0,33.39,33.39,33.39,0.0,0.0,33.59,33.59,33.59,0.0,0.0
2018-02-18,33.23,33.23,33.23,0.0,0.0,33.78,33.78,33.78,0.0,0.0,33.23,33.23,33.23,0.0,0.0,33.77,33.77,33.77,0.0,0.0
2018-02-25,32.43,32.43,32.43,0.0,0.0,32.81,32.81,32.81,0.0,0.0,32.16,32.16,32.16,0.0,0.0,32.73,32.73,32.73,0.0,0.0
2018-03-04,33.08,33.08,33.08,0.0,0.0,33.42,33.42,33.42,0.0,0.0,33.08,33.08,33.08,0.0,0.0,33.4,33.4,33.4,0.0,0.0
2018-03-11,32.87,32.87,32.87,0.0,0.0,33.27,33.27,33.27,0.0,0.0,32.86,32.86,32.86,0.0,0.0,33.11,33.11,33.11,0.0,0.0
2018-03-18,32.84,32.84,32.84,0.0,0.0,33.37,33.37,33.37,0.0,0.0,32.61,32.61,32.61,0.0,0.0,32.65,32.65,32.65,0.0,0.0
2018-03-25,32.56,32.56,32.56,0.0,0.0,33.17,33.17,33.17,0.0,0.0,32.56,32.56,32.56,0.0,0.0,33.1,33.1,33.1,0.0,0.0
2018-04-01,33.52,33.52,33.52,0.0,0.0,33.56,33.56,33.56,0.0,0.0,32.66,32.66,32.66,0.0,0.0,33.05,33.05,33.05,0.0,0.0
2018-04-08,34.66,34.66,34.66,0.0,0.0,35.08,35.08,35.08,0.0,0.0,34.66,34.66,34.66,0.0,0.0,34.95,34.95,34.95,0.0,0.0
2018-04-15,35.73,35.73,35.73,0.0,0.0,35.91,35.91,35.91,0.0,0.0,35.6,35.6,35.6,0.0,0.0,35.78,35.78,35.78,0.0,0.0
2018-04-22,36.12,36.12,36.12,0.0,0.0,36.12,36.12,36.12,0.0,0.0,35.59,35.59,35.59,0.0,0.0,35.67,35.67,35.67,0.0,0.0
2018-04-29,35.46,35.46,35.46,0.0,0.0,35.96,35.96,35.96,0.0,0.0,35.41,35.41,35.41,0.0,0.0,35.9,35.9,35.9,0.0,0.0
2018-05-06,37.1,37.1,37.1,0.0,0.0,37.26,37.26,37.26,0.0,0.0,37.01,37.01,37.01,0.0,0.0,37.07,37.07,37.07,0.0,0.0
2018-05-13,37.86,37.86,37.86,0.0,0.0,37.91,37.91,37.91,0.0,0.0,37.69,37.69,37.69,0.0,0.0,37.73,37.73,37.73,0.0,0.0
2018-05-20,36.55,36.55,36.55,0.0,0.0,36.67,36.67,36.67,0.0,0.0,35.93,35.93,35.93,0.0,0.0,36.23,36.23,36.23,0.0,0.0
2018-05-27,36.86,36.86,36.86,0.0,0.0,37.09,37.09,37.09,0.0,0.0,36.7,36.7,36.7,0.0,0.0,36.86,36.86,36.86,0.0,0.0
