Date,iShares Edge MSCI USA Momentum Factor_Open_average,iShares Edge MSCI USA Momentum Factor_Open_max,iShares Edge MSCI USA Momentum Factor_Open_min,iShares Edge MSCI USA Momentum Factor_Open_volatility,iShares Edge MSCI USA Momentum Factor_Open_change,iShares Edge MSCI USA Momentum Factor_High_average,iShares Edge MSCI USA Momentum Factor_High_max,iShares Edge MSCI USA Momentum Factor_High_min,iShares Edge MSCI USA Momentum Factor_High_volatility,iShares Edge MSCI USA Momentum Factor_High_change,iShares Edge MSCI USA Momentum Factor_Low_average,iShares Edge MSCI USA Momentum Factor_Low_max,iShares Edge MSCI USA Momentum Factor_Low_min,iShares Edge MSCI USA Momentum Factor_Low_volatility,iShares Edge MSCI USA Momentum Factor_Low_change,iShares Edge MSCI USA Momentum Factor_Close_average,iShares Edge MSCI USA Momentum Factor_Close_max,iShares Edge MSCI USA Momentum Factor_Close_min,iShares Edge MSCI USA Momentum Factor_Close_volatility,iShares Edge MSCI USA Momentum Factor_Close_change
2018-01-14,111.14,111.14,111.14,0.0,0.0,111.84,111.84,111.84,0.0,0.0,110.8,110.8,110.8,0.0,0.0,111.84,111.84,111.84,0.0,0.0
2018-01-21,113.42,113.42,113.42,0.0,0.0,113.6,113.6,113.6,0.0,0.0,112.57,112.57,112.57,0.0,0.0,112.7,112.7,112.7,0.0,0.0
2018-01-28,107.5,107.5,107.5,0.0,0.0,109.46,109.46,109.46,0.0,0.0,103.2,103.2,103.2,0.0,0.0,104.27,104.27,104.27,0.0,0.0
2018-02-04,105.13,105.13,105.13,0.0,0.0,106.52,106.52,106.52,0.0,0.0,104.32,104.32,104.32,0.0,0.0,105.79,105.79,105.79,0.0,0.0
2018-02-11,109.42,109.42,109.42,0.0,0.0,110.38,110.38,110.38,0.0,0.0,109.2,109.2,109.2,0.0,0.0,109.43,109.43,109.43,0.0,0.0
2018-02-18,111.33,111.33,111.33,0.0,0.0,112.12,112.12,112.12,0.0,0.0,111.01,111.01,111.01,0.0,0.0,112.08,112.08,112.08,0.0,0.0
2018-02-25,107.79,107.79,107.79,0.0,0.0,109.97,109.97,109.97,0.0,0.0,107.35,107.35,107.35,0.0,0.0,109.65,109.65,109.65,0.0,0.0
2018-03-04,113.28,113.28,113.28,0.0,0.0,113.35,113.35,113.35,0.0,0.0,112.61,112.61,112.61,0.0,0.0,112.81,112.81,112.81,0.0,0.0
2018-03-11,111.3,111.3,111.3,0.0,0.0,111.3,111.3,111.3,0.0,0.0,109.4,109.4,109.4,0.0,0.0,110.32,110.32,110.32,0.0,0.0
2018-03-18,106.3,106.3,106.3,0.0,0.0,107.82,107.82,107.82,0.0,0.0,105.23,105.23,105.23,0.0,0.0,107.74,107.74,107.74,0.0,0.0
2018-03-25,104.69,104.69,104.69,0.0,0.0,105.24,105.24,105.24,0.0,0.0,101.26,101.26,101.26,0.0,0.0,102.58,102.58,102.58,0.0,0.0
2018-04-01,103.76,103.76,103.76,0.0,0.0,105.46,105.46,105.46,0.0,0.0,103.41,103.41,103.41,0.0,0.0,103.55,103.55,103.55,0.0,0.0
2018-04-08,106.72,106.72,106.72,0.0,0.0,106.88,106.88,106.88,0.0,0.0,105.99,105.99,105.99,0.0,0.0,106.45,106.45,106.45,0.0,0.0
2018-04-15,107.91,107.91,107.91,0.0,0.0,108.2,108.2,108.2,0.0,0.0,106.7,106.7,106.7,0.0,0.0,107.26,107.26,107.26,0.0,0.0
2018-04-22,107.68,107.68,107.68,0.0,0.0,108.0,108.0,108.0,0.0,0.0,106.45,106.45,106.45,0.0,0.0,106.45,106.45,106.45,0.0,0.0
2018-04-29,108.02,108.02,108.02,0.0,0.0,108.76,108.76,108.76,0.0,0.0,107.82,107.82,107.82,0.0,0.0,108.37,108.37,108.37,0.0,0.0
2018-05-06,111.51,111.51,111.51,0.0,0.0,111.73,111.73,111.73,0.0,0.0,110.9,110.9,110.9,0.0,0.0,111.12,111.12,111.12,0.0,0.0
2018-05-13,111.36,111.36,111.36,0.0,0.0,111.88,111.88,111.88,0.0,0.0,111.11,111.11,111.11,0.0,0.0,111.5,111.5,111.5,0.0,0.0
2018-05-20,111.27,111.27,111.27,0.0,0.0,111.46,111.46,111.46,0.0,0.0,110.92,110.92,110.92,0.0,0.0,111.15,111.15,111.15,0.0,0.0
2018-05-27,112.19,112.19,112.19,0.0,0.0,112.68,112.68,112.68,0.0,0.0,111.96,111.96,111.96,0.0,0.0,112.67,112.67,112.67,0.0,0.0
2018-06-03,113.82,113.82,113.82,0.0,0.0,114.02,114.02,114.02,0.0,0.0,113.53,113.53,113.53,0.0,0.0,113.58,113.58,113.58,0.0,0.0
2018-06-10,113.34,113.34,113.34,0.0,0.0,114.2,114.2,114.2,0.0,0.0,113.05,113.05,113.05,0.0,0.0,114.15,114.15,114.15,0.0,0.0
2018-06-17,111.51,111.51,111.51,0.0,0.0,111.51,111.51,111.51,0.0,0.0,108.83,108.83,108.83,0.0,0.0,109.63,109.63,109.63,0.0,0.0
2018-06-24,108.73,108.73,108.73,0.0,0.0,110.19,110.19,110.19,0.0,0.0,108.49,108.49,108.49,0.0,0.0,110.17,110.17,110.17,0.0,0.0
2018-07-01,111.74,111.74,111.74,0.0,0.0,112.31,112.31,112.31,0.0,0.0,111.4,111.4,111.4,0.0,0.0,112.28,112.28,112.28,0.0,0.0
2018-07-08,113.58,113.58,113.58,0.0,0.0,113.74,113.74,113.74,0.0,0.0,113.26,113.26,113.26,0.0,0.0,113.43,113.43,113.43,0.0,0.0
2018-07-15,113.44,113.44,113.44,0.0,0.0,113.91,113.91,113.91,0.0,0.0,113.07,113.07,113.07,0.0,0.0,113.86,113.86,113.86,0.0,0.0
2018-07-22,113.24,113.24,113.24,0.0,0.0,113.27,113.27,113.27,0.0,0.0,110.82,110.82,110.82,0.0,0.0,111.22,111.22,111.22,0.0,0.0
2018-07-29,112.74,112.74,112.74,0.0,0.0,113.64,113.64,113.64,0.0,0.0,112.74,112.74,112.74,0.0,0.0,113.64,113.64,113.64,0.0,0.0
2018-08-05,114.07,114.07,114.07,0.0,0.0,114.56,114.56,114.56,0.0,0.0,113.29,113.29,113.29,0.0,0.0,113.31,113.31,113.31,0.0,0.0
2018-08-12,113.8,113.8,113.8,0.0,0.0,114.33,114.33,114.33,0.0,0.0,113.43,113.43,113.43,0.0,0.0,114.12,114.12,114.12,0.0,0.0
2018-08-19,117.16,117.16,117.16,0.0,0.0,117.46,117.46,117.46,0.0,0.0,116.86,116.86,116.86,0.0,0.0,117.35,117.35,117.35,0.0,0.0
2018-08-26,117.9,117.9,117.9,0.0,0.0,118.37,118.37,118.37,0.0,0.0,117.75,117.75,117.75,0.0,0.0,118.18,118.18,118.18,0.0,0.0
2018-09-02,117.07,117.07,117.07,0.0,0.0,117.07,117.07,117.07,0.0,0.0,116.33,116.33,116.33,0.0,0.0,116.68,116.68,116.68,0.0,0.0
2018-09-09,118.45,118.45,118.45,0.0,0.0,118.46,118.46,118.46,0.0,0.0,116.76,116.76,116.76,0.0,0.0,116.91,116.91,116.91,0.0,0.0
2018-09-16,118.18,118.18,118.18,0.0,0.0,118.67,118.67,118.67,0.0,0.0,117.47,117.47,117.47,0.0,0.0,118.56,118.56,118.56,0.0,0.0
2018-09-23,119.78,119.78,119.78,0.0,0.0,120.05,120.05,120.05,0.0,0.0,119.25,119.25,119.25,0.0,0.0,119.62,119.62,119.62,0.0,0.0
2018-09-30,115.99,115.99,115.99,0.0,0.0,116.29,116.29,116.29,0.0,0.0,113.93,113.93,113.93,0.0,0.0,115.31,115.31,115.31,0.0,0.0
2018-10-07,110.64,110.64,110.64,0.0,0.0,110.78,110.78,110.78,0.0,0.0,109.26,109.26,109.26,0.0,0.0,109.41,109.41,109.41,0.0,0.0
2018-10-14,109.5,109.5,109.5,0.0,0.0,110.03,110.03,110.03,0.0,0.0,108.53,108.53,108.53,0.0,0.0,109.49,109.49,109.49,0.0,0.0
2018-10-21,106.64,106.64,106.64,0.0,0.0,107.13,107.13,107.13,0.0,0.0,101.52,101.52,101.52,0.0,0.0,103.41,103.41,103.41,0.0,0.0
2018-10-28,108.4,108.4,108.4,0.0,0.0,109.23,109.23,109.23,0.0,0.0,107.52,107.52,107.52,0.0,0.0,109.0,109.0,109.0,0.0,0.0
2018-11-04,110.43,110.43,110.43,0.0,0.0,110.67,110.67,110.67,0.0,0.0,107.58,107.58,107.58,0.0,0.0,107.79,107.79,107.79,0.0,0.0
2018-11-11,107.19,107.19,107.19,0.0,0.0,107.25,107.25,107.25,0.0,0.0,103.54,103.54,103.54,0.0,0.0,103.97,103.97,103.97,0.0,0.0
2018-11-18,103.07,103.07,103.07,0.0,0.0,104.22,104.22,104.22,0.0,0.0,102.89,102.89,102.89,0.0,0.0,104.13,104.13,104.13,0.0,0.0
2018-11-25,111.59,111.59,111.59,0.0,0.0,111.59,111.59,111.59,0.0,0.0,109.34,109.34,109.34,0.0,0.0,110.17,110.17,110.17,0.0,0.0
2018-12-02,103.87,103.87,103.87,0.0,0.0,105.31,105.31,105.31,0.0,0.0,102.61,102.61,102.61,0.0,0.0,104.89,104.89,104.89,0.0,0.0
2018-12-09,102.45,102.45,102.45,0.0,0.0,102.77,102.77,102.77,0.0,0.0,99.84,99.84,99.84,0.0,0.0,100.5,100.5,100.5,0.0,0.0
2018-12-16,94.63,94.63,94.63,0.0,0.0,95.2,95.2,95.2,0.0,0.0,92.8,92.8,92.8,0.0,0.0,92.8,92.8,92.8,0.0,0.0
2018-12-23,99.55,99.55,99.55,0.0,0.0,100.27,100.27,100.27,0.0,0.0,99.07,99.07,99.07,0.0,0.0,100.23,100.23,100.23,0.0,0.0
2018-12-30,100.17,100.17,100.17,0.0,0.0,101.65,101.65,101.65,0.0,0.0,100.01,100.01,100.01,0.0,0.0,101.01,101.01,101.01,0.0,0.0
2019-01-06,102.15,102.15,102.15,0.0,0.0,102.68,102.68,102.68,0.0,0.0,102.04,102.04,102.04,0.0,0.0,102.17,102.17,102.17,0.0,0.0
