Date,iShares Emerging Markets High Yield Bond_Open_average,iShares Emerging Markets High Yield Bond_Open_max,iShares Emerging Markets High Yield Bond_Open_min,iShares Emerging Markets High Yield Bond_Open_volatility,iShares Emerging Markets High Yield Bond_Open_change,iShares Emerging Markets High Yield Bond_High_average,iShares Emerging Markets High Yield Bond_High_max,iShares Emerging Markets High Yield Bond_High_min,iShares Emerging Markets High Yield Bond_High_volatility,iShares Emerging Markets High Yield Bond_High_change,iShares Emerging Markets High Yield Bond_Low_average,iShares Emerging Markets High Yield Bond_Low_max,iShares Emerging Markets High Yield Bond_Low_min,iShares Emerging Markets High Yield Bond_Low_volatility,iShares Emerging Markets High Yield Bond_Low_change,iShares Emerging Markets High Yield Bond_Close_average,iShares Emerging Markets High Yield Bond_Close_max,iShares Emerging Markets High Yield Bond_Close_min,iShares Emerging Markets High Yield Bond_Close_volatility,iShares Emerging Markets High Yield Bond_Close_change
2018-01-14,50.0,50.0,50.0,0.0,0.0,50.12,50.12,50.12,0.0,0.0,50.0,50.0,50.0,0.0,0.0,50.12,50.12,50.12,0.0,0.0
2018-01-21,50.17,50.17,50.17,0.0,0.0,50.17,50.17,50.17,0.0,0.0,50.05,50.05,50.05,0.0,0.0,50.13,50.13,50.13,0.0,0.0
2018-01-28,49.63,49.63,49.63,0.0,0.0,49.66,49.66,49.66,0.0,0.0,49.33,49.33,49.33,0.0,0.0,49.33,49.33,49.33,0.0,0.0
2018-02-04,48.92,48.92,48.92,0.0,0.0,48.93,48.93,48.93,0.0,0.0,48.8,48.8,48.8,0.0,0.0,48.9,48.9,48.9,0.0,0.0
2018-02-11,49.08,49.08,49.08,0.0,0.0,49.22,49.22,49.22,0.0,0.0,48.96,48.96,48.96,0.0,0.0,49.16,49.16,49.16,0.0,0.0
2018-02-18,49.14,49.14,49.14,0.0,0.0,49.24,49.24,49.24,0.0,0.0,49.09,49.09,49.09,0.0,0.0,49.18,49.18,49.18,0.0,0.0
2018-02-25,48.78,48.78,48.78,0.0,0.0,48.97,48.97,48.97,0.0,0.0,48.77,48.77,48.77,0.0,0.0,48.93,48.93,48.93,0.0,0.0
2018-03-04,49.1,49.1,49.1,0.0,0.0,49.1,49.1,49.1,0.0,0.0,48.97,48.97,48.97,0.0,0.0,49.07,49.07,49.07,0.0,0.0
2018-03-11,48.89,48.89,48.89,0.0,0.0,48.89,48.89,48.89,0.0,0.0,48.71,48.71,48.71,0.0,0.0,48.78,48.78,48.78,0.0,0.0
2018-03-18,48.64,48.64,48.64,0.0,0.0,48.7,48.7,48.7,0.0,0.0,48.55,48.55,48.55,0.0,0.0,48.67,48.67,48.67,0.0,0.0
2018-03-25,48.86,48.86,48.86,0.0,0.0,48.86,48.86,48.86,0.0,0.0,48.67,48.67,48.67,0.0,0.0,48.84,48.84,48.84,0.0,0.0
2018-04-01,48.93,48.93,48.93,0.0,0.0,49.0,49.0,49.0,0.0,0.0,48.85,48.85,48.85,0.0,0.0,48.9,48.9,48.9,0.0,0.0
2018-04-08,48.78,48.78,48.78,0.0,0.0,48.83,48.83,48.83,0.0,0.0,48.72,48.72,48.72,0.0,0.0,48.74,48.74,48.74,0.0,0.0
2018-04-15,48.37,48.37,48.37,0.0,0.0,48.43,48.43,48.43,0.0,0.0,48.34,48.34,48.34,0.0,0.0,48.41,48.41,48.41,0.0,0.0
2018-04-22,48.2,48.2,48.2,0.0,0.0,48.29,48.29,48.29,0.0,0.0,48.04,48.04,48.04,0.0,0.0,48.11,48.11,48.11,0.0,0.0
2018-04-29,47.25,47.25,47.25,0.0,0.0,47.3,47.3,47.3,0.0,0.0,47.07,47.07,47.07,0.0,0.0,47.13,47.13,47.13,0.0,0.0
2018-05-06,47.34,47.34,47.34,0.0,0.0,47.43,47.43,47.43,0.0,0.0,47.26,47.26,47.26,0.0,0.0,47.34,47.34,47.34,0.0,0.0
2018-05-13,46.69,46.69,46.69,0.0,0.0,46.84,46.84,46.84,0.0,0.0,46.69,46.69,46.69,0.0,0.0,46.76,46.76,46.76,0.0,0.0
2018-05-20,47.46,47.46,47.46,0.0,0.0,47.48,47.48,47.48,0.0,0.0,47.36,47.36,47.36,0.0,0.0,47.44,47.44,47.44,0.0,0.0
2018-05-27,46.59,46.59,46.59,0.0,0.0,46.66,46.66,46.66,0.0,0.0,46.54,46.54,46.54,0.0,0.0,46.58,46.58,46.58,0.0,0.0
2018-06-03,46.54,46.54,46.54,0.0,0.0,46.54,46.54,46.54,0.0,0.0,46.42,46.42,46.42,0.0,0.0,46.49,46.49,46.49,0.0,0.0
2018-06-10,45.89,45.89,45.89,0.0,0.0,45.89,45.89,45.89,0.0,0.0,45.6,45.6,45.6,0.0,0.0,45.62,45.62,45.62,0.0,0.0
2018-06-17,46.26,46.26,46.26,0.0,0.0,46.26,46.26,46.26,0.0,0.0,46.02,46.02,46.02,0.0,0.0,46.05,46.05,46.05,0.0,0.0
2018-06-24,45.63,45.63,45.63,0.0,0.0,45.73,45.73,45.73,0.0,0.0,45.58,45.58,45.58,0.0,0.0,45.71,45.71,45.71,0.0,0.0
2018-07-01,46.63,46.63,46.63,0.0,0.0,46.63,46.63,46.63,0.0,0.0,46.53,46.53,46.53,0.0,0.0,46.53,46.53,46.53,0.0,0.0
2018-07-08,46.71,46.71,46.71,0.0,0.0,46.71,46.71,46.71,0.0,0.0,46.47,46.47,46.47,0.0,0.0,46.55,46.55,46.55,0.0,0.0
2018-07-15,46.8,46.8,46.8,0.0,0.0,46.8,46.8,46.8,0.0,0.0,46.64,46.64,46.64,0.0,0.0,46.7,46.7,46.7,0.0,0.0
2018-07-22,47.16,47.16,47.16,0.0,0.0,47.16,47.16,47.16,0.0,0.0,47.01,47.01,47.01,0.0,0.0,47.03,47.03,47.03,0.0,0.0
2018-07-29,46.57,46.57,46.57,0.0,0.0,46.57,46.57,46.57,0.0,0.0,46.37,46.37,46.37,0.0,0.0,46.41,46.41,46.41,0.0,0.0
2018-08-05,44.63,44.63,44.63,0.0,0.0,44.64,44.64,44.64,0.0,0.0,44.35,44.35,44.35,0.0,0.0,44.39,44.39,44.39,0.0,0.0
2018-08-12,45.33,45.33,45.33,0.0,0.0,45.33,45.33,45.33,0.0,0.0,45.17,45.17,45.17,0.0,0.0,45.25,45.25,45.25,0.0,0.0
2018-08-19,45.51,45.51,45.51,0.0,0.0,45.56,45.56,45.56,0.0,0.0,45.41,45.41,45.41,0.0,0.0,45.53,45.53,45.53,0.0,0.0
2018-08-26,44.7,44.7,44.7,0.0,0.0,44.81,44.81,44.81,0.0,0.0,44.66,44.66,44.66,0.0,0.0,44.7,44.7,44.7,0.0,0.0
