Date,AdvisorShares Pacific Asset Enhanced Fl Rate_Open_average,AdvisorShares Pacific Asset Enhanced Fl Rate_Open_max,AdvisorShares Pacific Asset Enhanced Fl Rate_Open_min,AdvisorShares Pacific Asset Enhanced Fl Rate_Open_volatility,AdvisorShares Pacific Asset Enhanced Fl Rate_Open_change,AdvisorShares Pacific Asset Enhanced Fl Rate_High_average,AdvisorShares Pacific Asset Enhanced Fl Rate_High_max,AdvisorShares Pacific Asset Enhanced Fl Rate_High_min,AdvisorShares Pacific Asset Enhanced Fl Rate_High_volatility,AdvisorShares Pacific Asset Enhanced Fl Rate_High_change,AdvisorShares Pacific Asset Enhanced Fl Rate_Low_average,AdvisorShares Pacific Asset Enhanced Fl Rate_Low_max,AdvisorShares Pacific Asset Enhanced Fl Rate_Low_min,AdvisorShares Pacific Asset Enhanced Fl Rate_Low_volatility,AdvisorShares Pacific Asset Enhanced Fl Rate_Low_change,AdvisorShares Pacific Asset Enhanced Fl Rate_Close_average,AdvisorShares Pacific Asset Enhanced Fl Rate_Close_max,AdvisorShares Pacific Asset Enhanced Fl Rate_Close_min,AdvisorShares Pacific Asset Enhanced Fl Rate_Close_volatility,AdvisorShares Pacific Asset Enhanced Fl Rate_Close_change
2018-01-14,49.59,49.59,49.59,0.0,0.0,49.59,49.59,49.59,0.0,0.0,49.53,49.53,49.53,0.0,0.0,49.53,49.53,49.53,0.0,0.0
2018-01-21,49.49,49.49,49.49,0.0,0.0,49.49,49.49,49.49,0.0,0.0,49.49,49.49,49.49,0.0,0.0,49.49,49.49,49.49,0.0,0.0
2018-01-28,49.58,49.58,49.58,0.0,0.0,49.58,49.58,49.58,0.0,0.0,49.4,49.4,49.4,0.0,0.0,49.4,49.4,49.4,0.0,0.0
2018-02-04,49.13,49.13,49.13,0.0,0.0,49.67,49.67,49.67,0.0,0.0,49.13,49.13,49.13,0.0,0.0,49.67,49.67,49.67,0.0,0.0
2018-02-11,49.61,49.61,49.61,0.0,0.0,49.61,49.61,49.61,0.0,0.0,49.61,49.61,49.61,0.0,0.0,49.61,49.61,49.61,0.0,0.0
2018-02-18,49.36,49.36,49.36,0.0,0.0,49.36,49.36,49.36,0.0,0.0,49.32,49.32,49.32,0.0,0.0,49.34,49.34,49.34,0.0,0.0
2018-02-25,49.26,49.26,49.26,0.0,0.0,49.26,49.26,49.26,0.0,0.0,49.25,49.25,49.25,0.0,0.0,49.25,49.25,49.25,0.0,0.0
2018-03-04,49.35,49.35,49.35,0.0,0.0,49.35,49.35,49.35,0.0,0.0,49.35,49.35,49.35,0.0,0.0,49.35,49.35,49.35,0.0,0.0
2018-03-11,49.35,49.35,49.35,0.0,0.0,49.35,49.35,49.35,0.0,0.0,49.35,49.35,49.35,0.0,0.0,49.35,49.35,49.35,0.0,0.0
2018-03-18,49.39,49.39,49.39,0.0,0.0,49.39,49.39,49.39,0.0,0.0,49.24,49.24,49.24,0.0,0.0,49.24,49.24,49.24,0.0,0.0
