Date,PowerShares DWA Utilities Momentum Portfolio_etf_Open_average,PowerShares DWA Utilities Momentum Portfolio_etf_Open_max,PowerShares DWA Utilities Momentum Portfolio_etf_Open_min,PowerShares DWA Utilities Momentum Portfolio_etf_Open_volatility,PowerShares DWA Utilities Momentum Portfolio_etf_Open_change,PowerShares DWA Utilities Momentum Portfolio_etf_High_average,PowerShares DWA Utilities Momentum Portfolio_etf_High_max,PowerShares DWA Utilities Momentum Portfolio_etf_High_min,PowerShares DWA Utilities Momentum Portfolio_etf_High_volatility,PowerShares DWA Utilities Momentum Portfolio_etf_High_change,PowerShares DWA Utilities Momentum Portfolio_etf_Low_average,PowerShares DWA Utilities Momentum Portfolio_etf_Low_max,PowerShares DWA Utilities Momentum Portfolio_etf_Low_min,PowerShares DWA Utilities Momentum Portfolio_etf_Low_volatility,PowerShares DWA Utilities Momentum Portfolio_etf_Low_change,PowerShares DWA Utilities Momentum Portfolio_etf_Close_average,PowerShares DWA Utilities Momentum Portfolio_etf_Close_max,PowerShares DWA Utilities Momentum Portfolio_etf_Close_min,PowerShares DWA Utilities Momentum Portfolio_etf_Close_volatility,PowerShares DWA Utilities Momentum Portfolio_etf_Close_change
2018-01-14,26.02,26.02,26.02,0.0,0.0,26.2,26.2,26.2,0.0,0.0,26.02,26.02,26.02,0.0,0.0,26.06,26.06,26.06,0.0,0.0
2018-01-21,26.76,26.76,26.76,0.0,0.0,26.76,26.76,26.76,0.0,0.0,26.5,26.5,26.5,0.0,0.0,26.64,26.64,26.64,0.0,0.0
2018-01-28,25.98,25.98,25.98,0.0,0.0,26.04,26.04,26.04,0.0,0.0,25.87,25.87,25.87,0.0,0.0,25.93,25.93,25.93,0.0,0.0
2018-02-04,24.8,24.8,24.8,0.0,0.0,25.07,25.07,25.07,0.0,0.0,24.75,24.75,24.75,0.0,0.0,25.03,25.03,25.03,0.0,0.0
2018-02-11,25.69,25.69,25.69,0.0,0.0,25.93,25.93,25.93,0.0,0.0,25.61,25.61,25.61,0.0,0.0,25.93,25.93,25.93,0.0,0.0
2018-02-18,25.51,25.51,25.51,0.0,0.0,26.07,26.07,26.07,0.0,0.0,25.51,25.51,25.51,0.0,0.0,26.07,26.07,26.07,0.0,0.0
2018-02-25,25.05,25.05,25.05,0.0,0.0,25.31,25.31,25.31,0.0,0.0,24.92,24.92,24.92,0.0,0.0,24.92,24.92,24.92,0.0,0.0
2018-03-04,25.16,25.16,25.16,0.0,0.0,25.41,25.41,25.41,0.0,0.0,25.16,25.16,25.16,0.0,0.0,25.39,25.39,25.39,0.0,0.0
2018-03-11,25.75,25.75,25.75,0.0,0.0,26.07,26.07,26.07,0.0,0.0,25.75,25.75,25.75,0.0,0.0,26.07,26.07,26.07,0.0,0.0
2018-03-18,25.89,25.89,25.89,0.0,0.0,25.99,25.99,25.99,0.0,0.0,25.36,25.36,25.36,0.0,0.0,25.36,25.36,25.36,0.0,0.0
2018-03-25,26.23,26.23,26.23,0.0,0.0,26.37,26.37,26.37,0.0,0.0,26.23,26.23,26.23,0.0,0.0,26.27,26.27,26.27,0.0,0.0
2018-04-01,26.24,26.24,26.24,0.0,0.0,26.3,26.3,26.3,0.0,0.0,26.24,26.24,26.24,0.0,0.0,26.3,26.3,26.3,0.0,0.0
2018-04-08,25.76,25.76,25.76,0.0,0.0,26.02,26.02,26.02,0.0,0.0,25.76,25.76,25.76,0.0,0.0,25.94,25.94,25.94,0.0,0.0
2018-04-15,26.48,26.48,26.48,0.0,0.0,26.48,26.48,26.48,0.0,0.0,26.31,26.31,26.31,0.0,0.0,26.31,26.31,26.31,0.0,0.0
2018-04-22,27.1,27.1,27.1,0.0,0.0,27.24,27.24,27.24,0.0,0.0,27.1,27.1,27.1,0.0,0.0,27.18,27.18,27.18,0.0,0.0
2018-04-29,27.26,27.26,27.26,0.0,0.0,27.59,27.59,27.59,0.0,0.0,27.26,27.26,27.26,0.0,0.0,27.59,27.59,27.59,0.0,0.0
2018-05-06,27.11,27.11,27.11,0.0,0.0,27.16,27.16,27.16,0.0,0.0,27.11,27.11,27.11,0.0,0.0,27.11,27.11,27.11,0.0,0.0
2018-05-13,26.41,26.41,26.41,0.0,0.0,26.46,26.46,26.46,0.0,0.0,26.37,26.37,26.37,0.0,0.0,26.46,26.46,26.46,0.0,0.0
2018-05-20,27.03,27.03,27.03,0.0,0.0,27.17,27.17,27.17,0.0,0.0,27.03,27.03,27.03,0.0,0.0,27.14,27.14,27.14,0.0,0.0
2018-05-27,27.35,27.35,27.35,0.0,0.0,27.35,27.35,27.35,0.0,0.0,27.12,27.12,27.12,0.0,0.0,27.17,27.17,27.17,0.0,0.0
2018-06-03,26.17,26.17,26.17,0.0,0.0,26.2,26.2,26.2,0.0,0.0,26.1,26.1,26.1,0.0,0.0,26.12,26.12,26.12,0.0,0.0
2018-06-10,26.44,26.44,26.44,0.0,0.0,26.64,26.64,26.64,0.0,0.0,26.44,26.44,26.44,0.0,0.0,26.64,26.64,26.64,0.0,0.0
2018-06-17,27.07,27.07,27.07,0.0,0.0,27.18,27.18,27.18,0.0,0.0,27.07,27.07,27.07,0.0,0.0,27.13,27.13,27.13,0.0,0.0
2018-06-24,27.69,27.69,27.69,0.0,0.0,27.75,27.75,27.75,0.0,0.0,27.56,27.56,27.56,0.0,0.0,27.71,27.71,27.71,0.0,0.0
2018-07-01,28.31,28.31,28.31,0.0,0.0,28.47,28.47,28.47,0.0,0.0,28.31,28.31,28.31,0.0,0.0,28.44,28.44,28.44,0.0,0.0
2018-07-08,27.9,27.9,27.9,0.0,0.0,28.03,28.03,28.03,0.0,0.0,27.9,27.9,27.9,0.0,0.0,27.97,27.97,27.97,0.0,0.0
2018-07-15,28.07,28.07,28.07,0.0,0.0,28.07,28.07,28.07,0.0,0.0,27.9,27.9,27.9,0.0,0.0,27.96,27.96,27.96,0.0,0.0
2018-07-22,28.19,28.19,28.19,0.0,0.0,28.22,28.22,28.22,0.0,0.0,28.04,28.04,28.04,0.0,0.0,28.06,28.06,28.06,0.0,0.0
2018-07-29,28.34,28.34,28.34,0.0,0.0,28.38,28.38,28.38,0.0,0.0,28.32,28.32,28.32,0.0,0.0,28.32,28.32,28.32,0.0,0.0
2018-08-05,28.47,28.47,28.47,0.0,0.0,28.75,28.75,28.75,0.0,0.0,28.47,28.47,28.47,0.0,0.0,28.54,28.54,28.54,0.0,0.0
2018-08-12,29.1,29.1,29.1,0.0,0.0,29.25,29.25,29.25,0.0,0.0,29.1,29.1,29.1,0.0,0.0,29.25,29.25,29.25,0.0,0.0
2018-08-19,28.86,28.86,28.86,0.0,0.0,28.94,28.94,28.94,0.0,0.0,28.86,28.86,28.86,0.0,0.0,28.94,28.94,28.94,0.0,0.0
2018-08-26,28.75,28.75,28.75,0.0,0.0,28.75,28.75,28.75,0.0,0.0,28.66,28.66,28.66,0.0,0.0,28.67,28.67,28.67,0.0,0.0
2018-09-02,29.02,29.02,29.02,0.0,0.0,29.02,29.02,29.02,0.0,0.0,28.9,28.9,28.9,0.0,0.0,28.91,28.91,28.91,0.0,0.0
2018-09-09,29.17,29.17,29.17,0.0,0.0,29.17,29.17,29.17,0.0,0.0,29.17,29.17,29.17,0.0,0.0,29.17,29.17,29.17,0.0,0.0
2018-09-16,28.86,28.86,28.86,0.0,0.0,29.1,29.1,29.1,0.0,0.0,28.86,28.86,28.86,0.0,0.0,29.1,29.1,29.1,0.0,0.0
2018-09-23,28.36,28.36,28.36,0.0,0.0,28.65,28.65,28.65,0.0,0.0,28.36,28.36,28.36,0.0,0.0,28.61,28.61,28.61,0.0,0.0
2018-09-30,28.93,28.93,28.93,0.0,0.0,29.08,29.08,29.08,0.0,0.0,28.92,28.92,28.92,0.0,0.0,29.08,29.08,29.08,0.0,0.0
2018-10-07,28.46,28.46,28.46,0.0,0.0,28.46,28.46,28.46,0.0,0.0,28.24,28.24,28.24,0.0,0.0,28.34,28.34,28.34,0.0,0.0
2018-10-14,29.23,29.23,29.23,0.0,0.0,29.54,29.54,29.54,0.0,0.0,29.21,29.21,29.21,0.0,0.0,29.52,29.52,29.52,0.0,0.0
2018-10-21,28.69,28.69,28.69,0.0,0.0,28.69,28.69,28.69,0.0,0.0,28.41,28.41,28.41,0.0,0.0,28.46,28.46,28.46,0.0,0.0
2018-10-28,28.73,28.73,28.73,0.0,0.0,28.73,28.73,28.73,0.0,0.0,28.21,28.21,28.21,0.0,0.0,28.32,28.32,28.32,0.0,0.0
2018-11-04,29.46,29.46,29.46,0.0,0.0,29.7,29.7,29.7,0.0,0.0,29.46,29.46,29.46,0.0,0.0,29.66,29.66,29.66,0.0,0.0
2018-11-11,30.33,30.33,30.33,0.0,0.0,30.33,30.33,30.33,0.0,0.0,30.04,30.04,30.04,0.0,0.0,30.21,30.21,30.21,0.0,0.0
2018-11-18,29.71,29.71,29.71,0.0,0.0,29.89,29.89,29.89,0.0,0.0,29.69,29.69,29.69,0.0,0.0,29.76,29.76,29.76,0.0,0.0
2018-11-25,30.0,30.0,30.0,0.0,0.0,30.42,30.42,30.42,0.0,0.0,29.94,29.94,29.94,0.0,0.0,30.42,30.42,30.42,0.0,0.0
2018-12-02,30.86,30.86,30.86,0.0,0.0,30.96,30.96,30.96,0.0,0.0,30.73,30.73,30.73,0.0,0.0,30.89,30.89,30.89,0.0,0.0
2018-12-09,31.26,31.26,31.26,0.0,0.0,31.26,31.26,31.26,0.0,0.0,30.95,30.95,30.95,0.0,0.0,31.05,31.05,31.05,0.0,0.0
2018-12-16,29.96,29.96,29.96,0.0,0.0,30.32,30.32,30.32,0.0,0.0,29.51,29.51,29.51,0.0,0.0,29.57,29.57,29.57,0.0,0.0
2018-12-23,28.68,28.68,28.68,0.0,0.0,29.0,29.0,29.0,0.0,0.0,28.57,28.57,28.57,0.0,0.0,28.7,28.7,28.7,0.0,0.0
2018-12-30,28.49,28.49,28.49,0.0,0.0,28.76,28.76,28.76,0.0,0.0,28.49,28.49,28.49,0.0,0.0,28.76,28.76,28.76,0.0,0.0
2019-01-06,29.21,29.21,29.21,0.0,0.0,29.37,29.37,29.37,0.0,0.0,29.12,29.12,29.12,0.0,0.0,29.21,29.21,29.21,0.0,0.0
2019-01-13,29.73,29.73,29.73,0.0,0.0,29.79,29.79,29.79,0.0,0.0,29.58,29.58,29.58,0.0,0.0,29.73,29.73,29.73,0.0,0.0
2019-01-20,30.37,30.37,30.37,0.0,0.0,30.37,30.37,30.37,0.0,0.0,29.82,29.82,29.82,0.0,0.0,29.88,29.88,29.88,0.0,0.0
2019-01-27,30.6,30.6,30.6,0.0,0.0,30.7,30.7,30.7,0.0,0.0,30.22,30.22,30.22,0.0,0.0,30.4,30.4,30.4,0.0,0.0
2019-02-03,30.61,30.61,30.61,0.0,0.0,30.83,30.83,30.83,0.0,0.0,30.61,30.61,30.61,0.0,0.0,30.83,30.83,30.83,0.0,0.0
2019-02-10,30.83,30.83,30.83,0.0,0.0,30.98,30.98,30.98,0.0,0.0,30.83,30.83,30.83,0.0,0.0,30.94,30.94,30.94,0.0,0.0
2019-02-17,31.45,31.45,31.45,0.0,0.0,31.69,31.69,31.69,0.0,0.0,31.4,31.4,31.4,0.0,0.0,31.67,31.67,31.67,0.0,0.0
2019-02-24,31.52,31.52,31.52,0.0,0.0,31.58,31.58,31.58,0.0,0.0,31.28,31.28,31.28,0.0,0.0,31.55,31.55,31.55,0.0,0.0
2019-03-03,31.69,31.69,31.69,0.0,0.0,31.8,31.8,31.8,0.0,0.0,31.58,31.58,31.58,0.0,0.0,31.8,31.8,31.8,0.0,0.0
2019-03-10,32.22,32.22,32.22,0.0,0.0,32.5,32.5,32.5,0.0,0.0,32.17,32.17,32.17,0.0,0.0,32.42,32.42,32.42,0.0,0.0
2019-03-17,32.68,32.68,32.68,0.0,0.0,32.73,32.73,32.73,0.0,0.0,32.43,32.43,32.43,0.0,0.0,32.46,32.46,32.46,0.0,0.0
2019-03-24,32.25,32.25,32.25,0.0,0.0,32.37,32.37,32.37,0.0,0.0,32.19,32.19,32.19,0.0,0.0,32.33,32.33,32.33,0.0,0.0
