Date,ProShares Ultra Consumer Goods_etf_Open_average,ProShares Ultra Consumer Goods_etf_Open_max,ProShares Ultra Consumer Goods_etf_Open_min,ProShares Ultra Consumer Goods_etf_Open_volatility,ProShares Ultra Consumer Goods_etf_Open_change,ProShares Ultra Consumer Goods_etf_High_average,ProShares Ultra Consumer Goods_etf_High_max,ProShares Ultra Consumer Goods_etf_High_min,ProShares Ultra Consumer Goods_etf_High_volatility,ProShares Ultra Consumer Goods_etf_High_change,ProShares Ultra Consumer Goods_etf_Low_average,ProShares Ultra Consumer Goods_etf_Low_max,ProShares Ultra Consumer Goods_etf_Low_min,ProShares Ultra Consumer Goods_etf_Low_volatility,ProShares Ultra Consumer Goods_etf_Low_change,ProShares Ultra Consumer Goods_etf_Close_average,ProShares Ultra Consumer Goods_etf_Close_max,ProShares Ultra Consumer Goods_etf_Close_min,ProShares Ultra Consumer Goods_etf_Close_volatility,ProShares Ultra Consumer Goods_etf_Close_change
2018-01-14,50.69,50.69,50.69,0.0,0.0,51.01,51.01,51.01,0.0,0.0,50.69,50.69,50.69,0.0,0.0,51.01,51.01,51.01,0.0,0.0
2018-01-21,51.18,51.18,51.18,0.0,0.0,51.27,51.27,51.27,0.0,0.0,51.18,51.18,51.18,0.0,0.0,51.27,51.27,51.27,0.0,0.0
2018-01-28,49.34,49.34,49.34,0.0,0.0,49.34,49.34,49.34,0.0,0.0,48.34,48.34,48.34,0.0,0.0,48.34,48.34,48.34,0.0,0.0
2018-02-04,44.0,44.0,44.0,0.0,0.0,44.47,44.47,44.47,0.0,0.0,42.78,42.78,42.78,0.0,0.0,44.47,44.47,44.47,0.0,0.0
2018-02-11,47.1,47.1,47.1,0.0,0.0,47.1,47.1,47.1,0.0,0.0,46.54,46.54,46.54,0.0,0.0,46.94,46.94,46.94,0.0,0.0
2018-02-18,45.39,45.39,45.39,0.0,0.0,45.43,45.43,45.43,0.0,0.0,45.39,45.39,45.39,0.0,0.0,45.43,45.43,45.43,0.0,0.0
2018-02-25,42.64,42.64,42.64,0.0,0.0,43.82,43.82,43.82,0.0,0.0,42.64,42.64,42.64,0.0,0.0,43.69,43.69,43.69,0.0,0.0
2018-03-04,46.06,46.06,46.06,0.0,0.0,46.1,46.1,46.1,0.0,0.0,46.05,46.05,46.05,0.0,0.0,46.1,46.1,46.1,0.0,0.0
2018-03-11,44.97,44.97,44.97,0.0,0.0,44.97,44.97,44.97,0.0,0.0,44.97,44.97,44.97,0.0,0.0,44.97,44.97,44.97,0.0,0.0
2018-03-18,41.6,41.6,41.6,0.0,0.0,41.6,41.6,41.6,0.0,0.0,41.6,41.6,41.6,0.0,0.0,41.6,41.6,41.6,0.0,0.0
2018-03-25,42.88,42.88,42.88,0.0,0.0,43.13,43.13,43.13,0.0,0.0,42.78,42.78,42.78,0.0,0.0,42.95,42.95,42.95,0.0,0.0
2018-04-01,43.66,43.66,43.66,0.0,0.0,43.95,43.95,43.95,0.0,0.0,43.12,43.12,43.12,0.0,0.0,43.21,43.21,43.21,0.0,0.0
2018-04-08,43.51,43.51,43.51,0.0,0.0,43.51,43.51,43.51,0.0,0.0,43.51,43.51,43.51,0.0,0.0,43.51,43.51,43.51,0.0,0.0
2018-04-15,40.7,40.7,40.7,0.0,0.0,40.7,40.7,40.7,0.0,0.0,40.66,40.66,40.66,0.0,0.0,40.66,40.66,40.66,0.0,0.0
2018-04-22,39.66,39.66,39.66,0.0,0.0,39.74,39.74,39.74,0.0,0.0,39.41,39.41,39.41,0.0,0.0,39.41,39.41,39.41,0.0,0.0
2018-04-29,38.4,38.4,38.4,0.0,0.0,38.4,38.4,38.4,0.0,0.0,38.4,38.4,38.4,0.0,0.0,38.4,38.4,38.4,0.0,0.0
2018-05-06,39.11,39.11,39.11,0.0,0.0,39.11,39.11,39.11,0.0,0.0,38.99,38.99,38.99,0.0,0.0,39.08,39.08,39.08,0.0,0.0
2018-05-13,38.96,38.96,38.96,0.0,0.0,39.13,39.13,39.13,0.0,0.0,38.96,38.96,38.96,0.0,0.0,39.05,39.05,39.05,0.0,0.0
2018-05-20,39.62,39.62,39.62,0.0,0.0,39.62,39.62,39.62,0.0,0.0,39.39,39.39,39.39,0.0,0.0,39.62,39.62,39.62,0.0,0.0
2018-05-27,39.69,39.69,39.69,0.0,0.0,39.69,39.69,39.69,0.0,0.0,39.69,39.69,39.69,0.0,0.0,39.69,39.69,39.69,0.0,0.0
2018-06-03,41.88,41.88,41.88,0.0,0.0,42.2,42.2,42.2,0.0,0.0,41.87,41.87,41.87,0.0,0.0,41.99,41.99,41.99,0.0,0.0
2018-06-10,43.61,43.61,43.61,0.0,0.0,43.61,43.61,43.61,0.0,0.0,43.42,43.42,43.42,0.0,0.0,43.42,43.42,43.42,0.0,0.0
2018-06-17,42.39,42.39,42.39,0.0,0.0,42.39,42.39,42.39,0.0,0.0,42.39,42.39,42.39,0.0,0.0,42.39,42.39,42.39,0.0,0.0
2018-06-24,42.8,42.8,42.8,0.0,0.0,42.99,42.99,42.99,0.0,0.0,42.73,42.73,42.73,0.0,0.0,42.85,42.85,42.85,0.0,0.0
2018-07-01,43.27,43.27,43.27,0.0,0.0,43.46,43.46,43.46,0.0,0.0,43.27,43.27,43.27,0.0,0.0,43.43,43.43,43.43,0.0,0.0
2018-07-08,43.82,43.82,43.82,0.0,0.0,43.82,43.82,43.82,0.0,0.0,43.73,43.73,43.73,0.0,0.0,43.73,43.73,43.73,0.0,0.0
2018-07-15,43.43,43.43,43.43,0.0,0.0,43.96,43.96,43.96,0.0,0.0,43.43,43.43,43.43,0.0,0.0,43.78,43.78,43.78,0.0,0.0
2018-07-22,43.63,43.63,43.63,0.0,0.0,43.63,43.63,43.63,0.0,0.0,43.63,43.63,43.63,0.0,0.0,43.63,43.63,43.63,0.0,0.0
2018-07-29,43.87,43.87,43.87,0.0,0.0,43.87,43.87,43.87,0.0,0.0,43.87,43.87,43.87,0.0,0.0,43.87,43.87,43.87,0.0,0.0
2018-08-05,43.38,43.38,43.38,0.0,0.0,43.38,43.38,43.38,0.0,0.0,43.21,43.21,43.21,0.0,0.0,43.21,43.21,43.21,0.0,0.0
2018-08-12,43.8,43.8,43.8,0.0,0.0,44.3,44.3,44.3,0.0,0.0,43.8,43.8,43.8,0.0,0.0,44.3,44.3,44.3,0.0,0.0
2018-08-19,44.94,44.94,44.94,0.0,0.0,44.94,44.94,44.94,0.0,0.0,44.94,44.94,44.94,0.0,0.0,44.94,44.94,44.94,0.0,0.0
2018-08-26,42.17,42.17,42.17,0.0,0.0,42.61,42.61,42.61,0.0,0.0,42.17,42.17,42.17,0.0,0.0,42.51,42.51,42.51,0.0,0.0
2018-09-02,42.46,42.46,42.46,0.0,0.0,42.46,42.46,42.46,0.0,0.0,42.46,42.46,42.46,0.0,0.0,42.46,42.46,42.46,0.0,0.0
