Date,iShares North American Tech-Software_Open_average,iShares North American Tech-Software_Open_max,iShares North American Tech-Software_Open_min,iShares North American Tech-Software_Open_volatility,iShares North American Tech-Software_Open_change,iShares North American Tech-Software_High_average,iShares North American Tech-Software_High_max,iShares North American Tech-Software_High_min,iShares North American Tech-Software_High_volatility,iShares North American Tech-Software_High_change,iShares North American Tech-Software_Low_average,iShares North American Tech-Software_Low_max,iShares North American Tech-Software_Low_min,iShares North American Tech-Software_Low_volatility,iShares North American Tech-Software_Low_change,iShares North American Tech-Software_Close_average,iShares North American Tech-Software_Close_max,iShares North American Tech-Software_Close_min,iShares North American Tech-Software_Close_volatility,iShares North American Tech-Software_Close_change
2018-01-14,167.15,167.15,167.15,0.0,0.0,168.37,168.37,168.37,0.0,0.0,166.29,166.29,166.29,0.0,0.0,168.37,168.37,168.37,0.0,0.0
2018-01-21,170.96,170.96,170.96,0.0,0.0,171.19,171.19,171.19,0.0,0.0,168.81,168.81,168.81,0.0,0.0,169.03,169.03,169.03,0.0,0.0
2018-01-28,164.39,164.39,164.39,0.0,0.0,168.14,168.14,168.14,0.0,0.0,161.01,161.01,161.01,0.0,0.0,161.11,161.11,161.11,0.0,0.0
2018-02-04,160.76,160.76,160.76,0.0,0.0,162.67,162.67,162.67,0.0,0.0,159.72,159.72,159.72,0.0,0.0,161.61,161.61,161.61,0.0,0.0
2018-02-11,169.22,169.22,169.22,0.0,0.0,170.89,170.89,170.89,0.0,0.0,169.06,169.06,169.06,0.0,0.0,169.42,169.42,169.42,0.0,0.0
2018-02-18,172.67,172.67,172.67,0.0,0.0,173.76,173.76,173.76,0.0,0.0,172.34,172.34,172.34,0.0,0.0,173.63,173.63,173.63,0.0,0.0
2018-02-25,172.72,172.72,172.72,0.0,0.0,175.79,175.79,175.79,0.0,0.0,172.07,172.07,172.07,0.0,0.0,175.21,175.21,175.21,0.0,0.0
2018-03-04,183.01,183.01,183.01,0.0,0.0,183.1,183.1,183.1,0.0,0.0,181.7,181.7,181.7,0.0,0.0,181.99,181.99,181.99,0.0,0.0
2018-03-11,178.89,178.89,178.89,0.0,0.0,179.02,179.02,179.02,0.0,0.0,175.5,175.5,175.5,0.0,0.0,177.37,177.37,177.37,0.0,0.0
2018-03-18,172.07,172.07,172.07,0.0,0.0,175.07,175.07,175.07,0.0,0.0,170.75,170.75,170.75,0.0,0.0,174.85,174.85,174.85,0.0,0.0
2018-03-25,168.73,168.73,168.73,0.0,0.0,169.84,169.84,169.84,0.0,0.0,163.95,163.95,163.95,0.0,0.0,165.85,165.85,165.85,0.0,0.0
2018-04-01,168.68,168.68,168.68,0.0,0.0,171.28,171.28,171.28,0.0,0.0,168.14,168.14,168.14,0.0,0.0,168.27,168.27,168.27,0.0,0.0
2018-04-08,173.6,173.6,173.6,0.0,0.0,174.66,174.66,174.66,0.0,0.0,172.24,172.24,172.24,0.0,0.0,173.96,173.96,173.96,0.0,0.0
2018-04-15,175.22,175.22,175.22,0.0,0.0,176.93,176.93,176.93,0.0,0.0,173.87,173.87,173.87,0.0,0.0,174.66,174.66,174.66,0.0,0.0
