Date,PureFunds ISE Junior Silver_Open_average,PureFunds ISE Junior Silver_Open_max,PureFunds ISE Junior Silver_Open_min,PureFunds ISE Junior Silver_Open_volatility,PureFunds ISE Junior Silver_Open_change,PureFunds ISE Junior Silver_High_average,PureFunds ISE Junior Silver_High_max,PureFunds ISE Junior Silver_High_min,PureFunds ISE Junior Silver_High_volatility,PureFunds ISE Junior Silver_High_change,PureFunds ISE Junior Silver_Low_average,PureFunds ISE Junior Silver_Low_max,PureFunds ISE Junior Silver_Low_min,PureFunds ISE Junior Silver_Low_volatility,PureFunds ISE Junior Silver_Low_change,PureFunds ISE Junior Silver_Close_average,PureFunds ISE Junior Silver_Close_max,PureFunds ISE Junior Silver_Close_min,PureFunds ISE Junior Silver_Close_volatility,PureFunds ISE Junior Silver_Close_change
2018-01-14,11.94,11.94,11.94,0.0,0.0,11.94,11.94,11.94,0.0,0.0,11.78,11.78,11.78,0.0,0.0,11.79,11.79,11.79,0.0,0.0
2018-01-21,11.8,11.8,11.8,0.0,0.0,11.9,11.9,11.9,0.0,0.0,11.37,11.37,11.37,0.0,0.0,11.39,11.39,11.39,0.0,0.0
2018-01-28,10.8,10.8,10.8,0.0,0.0,11.04,11.04,11.04,0.0,0.0,10.69,10.69,10.69,0.0,0.0,10.85,10.85,10.85,0.0,0.0
2018-02-04,10.27,10.27,10.27,0.0,0.0,10.72,10.72,10.72,0.0,0.0,10.27,10.27,10.27,0.0,0.0,10.69,10.69,10.69,0.0,0.0
2018-02-11,11.42,11.42,11.42,0.0,0.0,11.42,11.42,11.42,0.0,0.0,11.04,11.04,11.04,0.0,0.0,11.1,11.1,11.1,0.0,0.0
2018-02-18,10.75,10.75,10.75,0.0,0.0,10.93,10.93,10.93,0.0,0.0,10.75,10.75,10.75,0.0,0.0,10.9,10.9,10.9,0.0,0.0
2018-02-25,10.56,10.56,10.56,0.0,0.0,10.67,10.67,10.67,0.0,0.0,10.48,10.48,10.48,0.0,0.0,10.53,10.53,10.53,0.0,0.0
2018-03-04,10.71,10.71,10.71,0.0,0.0,10.9,10.9,10.9,0.0,0.0,10.64,10.64,10.64,0.0,0.0,10.9,10.9,10.9,0.0,0.0
2018-03-11,10.56,10.56,10.56,0.0,0.0,10.56,10.56,10.56,0.0,0.0,10.35,10.35,10.35,0.0,0.0,10.4,10.4,10.4,0.0,0.0
2018-03-18,11.0,11.0,11.0,0.0,0.0,11.0,11.0,11.0,0.0,0.0,10.74,10.74,10.74,0.0,0.0,10.8,10.8,10.8,0.0,0.0
2018-03-25,10.69,10.69,10.69,0.0,0.0,10.89,10.89,10.89,0.0,0.0,10.64,10.64,10.64,0.0,0.0,10.69,10.69,10.69,0.0,0.0
2018-04-01,10.6,10.6,10.6,0.0,0.0,10.91,10.91,10.91,0.0,0.0,10.55,10.55,10.55,0.0,0.0,10.68,10.68,10.68,0.0,0.0
2018-04-08,11.32,11.32,11.32,0.0,0.0,11.32,11.32,11.32,0.0,0.0,11.13,11.13,11.13,0.0,0.0,11.17,11.17,11.17,0.0,0.0
2018-04-15,11.66,11.66,11.66,0.0,0.0,11.66,11.66,11.66,0.0,0.0,11.16,11.16,11.16,0.0,0.0,11.25,11.25,11.25,0.0,0.0
2018-04-22,11.0,11.0,11.0,0.0,0.0,11.13,11.13,11.13,0.0,0.0,10.94,10.94,10.94,0.0,0.0,11.05,11.05,11.05,0.0,0.0
2018-04-29,11.25,11.25,11.25,0.0,0.0,11.37,11.37,11.37,0.0,0.0,11.21,11.21,11.21,0.0,0.0,11.21,11.21,11.21,0.0,0.0
2018-05-06,11.6,11.6,11.6,0.0,0.0,11.66,11.66,11.66,0.0,0.0,11.35,11.35,11.35,0.0,0.0,11.36,11.36,11.36,0.0,0.0
2018-05-13,11.38,11.38,11.38,0.0,0.0,11.51,11.51,11.51,0.0,0.0,11.23,11.23,11.23,0.0,0.0,11.5,11.5,11.5,0.0,0.0
2018-05-20,11.63,11.63,11.63,0.0,0.0,11.64,11.64,11.64,0.0,0.0,11.34,11.34,11.34,0.0,0.0,11.39,11.39,11.39,0.0,0.0
2018-05-27,11.13,11.13,11.13,0.0,0.0,11.21,11.21,11.21,0.0,0.0,11.0,11.0,11.0,0.0,0.0,11.03,11.03,11.03,0.0,0.0
2018-06-03,11.09,11.09,11.09,0.0,0.0,11.27,11.27,11.27,0.0,0.0,11.09,11.09,11.09,0.0,0.0,11.2,11.2,11.2,0.0,0.0
2018-06-10,11.01,11.01,11.01,0.0,0.0,11.14,11.14,11.14,0.0,0.0,11.01,11.01,11.01,0.0,0.0,11.13,11.13,11.13,0.0,0.0
2018-06-17,11.2,11.2,11.2,0.0,0.0,11.2,11.2,11.2,0.0,0.0,10.87,10.87,10.87,0.0,0.0,10.96,10.96,10.96,0.0,0.0
2018-06-24,10.76,10.76,10.76,0.0,0.0,10.76,10.76,10.76,0.0,0.0,10.64,10.64,10.64,0.0,0.0,10.7,10.7,10.7,0.0,0.0
2018-07-01,11.24,11.24,11.24,0.0,0.0,11.25,11.25,11.25,0.0,0.0,11.12,11.12,11.12,0.0,0.0,11.16,11.16,11.16,0.0,0.0
2018-07-08,10.59,10.59,10.59,0.0,0.0,10.59,10.59,10.59,0.0,0.0,10.43,10.43,10.43,0.0,0.0,10.5,10.5,10.5,0.0,0.0
2018-07-15,10.48,10.48,10.48,0.0,0.0,10.48,10.48,10.48,0.0,0.0,10.3,10.3,10.3,0.0,0.0,10.38,10.38,10.38,0.0,0.0
2018-07-22,10.25,10.25,10.25,0.0,0.0,10.26,10.26,10.26,0.0,0.0,10.15,10.15,10.15,0.0,0.0,10.15,10.15,10.15,0.0,0.0
2018-07-29,9.82,9.82,9.82,0.0,0.0,9.93,9.93,9.93,0.0,0.0,9.82,9.82,9.82,0.0,0.0,9.85,9.85,9.85,0.0,0.0
2018-08-05,9.7,9.7,9.7,0.0,0.0,9.76,9.76,9.76,0.0,0.0,9.3,9.3,9.3,0.0,0.0,9.35,9.35,9.35,0.0,0.0
2018-08-12,9.05,9.05,9.05,0.0,0.0,9.05,9.05,9.05,0.0,0.0,8.9,8.9,8.9,0.0,0.0,8.97,8.97,8.97,0.0,0.0
2018-08-19,9.23,9.23,9.23,0.0,0.0,9.44,9.44,9.44,0.0,0.0,9.23,9.23,9.23,0.0,0.0,9.41,9.41,9.41,0.0,0.0
2018-08-26,9.0,9.0,9.0,0.0,0.0,9.2,9.2,9.2,0.0,0.0,8.88,8.88,8.88,0.0,0.0,8.99,8.99,8.99,0.0,0.0
2018-09-02,8.51,8.51,8.51,0.0,0.0,8.6,8.6,8.6,0.0,0.0,8.39,8.39,8.39,0.0,0.0,8.39,8.39,8.39,0.0,0.0
2018-09-09,8.66,8.66,8.66,0.0,0.0,8.84,8.84,8.84,0.0,0.0,8.66,8.66,8.66,0.0,0.0,8.8,8.8,8.8,0.0,0.0
2018-09-16,9.03,9.03,9.03,0.0,0.0,9.08,9.08,9.08,0.0,0.0,8.83,8.83,8.83,0.0,0.0,8.85,8.85,8.85,0.0,0.0
2018-09-23,8.68,8.68,8.68,0.0,0.0,8.82,8.82,8.82,0.0,0.0,8.61,8.61,8.61,0.0,0.0,8.82,8.82,8.82,0.0,0.0
2018-09-30,8.5,8.5,8.5,0.0,0.0,8.7,8.7,8.7,0.0,0.0,8.47,8.47,8.47,0.0,0.0,8.7,8.7,8.7,0.0,0.0
2018-10-07,9.23,9.23,9.23,0.0,0.0,9.6,9.6,9.6,0.0,0.0,9.12,9.12,9.12,0.0,0.0,9.15,9.15,9.15,0.0,0.0
2018-10-14,9.0,9.0,9.0,0.0,0.0,9.0,9.0,9.0,0.0,0.0,8.86,8.86,8.86,0.0,0.0,8.95,8.95,8.95,0.0,0.0
2018-10-21,8.3,8.3,8.3,0.0,0.0,8.4,8.4,8.4,0.0,0.0,8.13,8.13,8.13,0.0,0.0,8.17,8.17,8.17,0.0,0.0
2018-10-28,8.48,8.48,8.48,0.0,0.0,8.61,8.61,8.61,0.0,0.0,8.23,8.23,8.23,0.0,0.0,8.52,8.52,8.52,0.0,0.0
2018-11-04,8.03,8.03,8.03,0.0,0.0,8.13,8.13,8.13,0.0,0.0,7.7,7.7,7.7,0.0,0.0,7.7,7.7,7.7,0.0,0.0
