Date,PowerShares S&P SmallCap Consumer Staples_Open_average,PowerShares S&P SmallCap Consumer Staples_Open_max,PowerShares S&P SmallCap Consumer Staples_Open_min,PowerShares S&P SmallCap Consumer Staples_Open_volatility,PowerShares S&P SmallCap Consumer Staples_Open_change,PowerShares S&P SmallCap Consumer Staples_High_average,PowerShares S&P SmallCap Consumer Staples_High_max,PowerShares S&P SmallCap Consumer Staples_High_min,PowerShares S&P SmallCap Consumer Staples_High_volatility,PowerShares S&P SmallCap Consumer Staples_High_change,PowerShares S&P SmallCap Consumer Staples_Low_average,PowerShares S&P SmallCap Consumer Staples_Low_max,PowerShares S&P SmallCap Consumer Staples_Low_min,PowerShares S&P SmallCap Consumer Staples_Low_volatility,PowerShares S&P SmallCap Consumer Staples_Low_change,PowerShares S&P SmallCap Consumer Staples_Close_average,PowerShares S&P SmallCap Consumer Staples_Close_max,PowerShares S&P SmallCap Consumer Staples_Close_min,PowerShares S&P SmallCap Consumer Staples_Close_volatility,PowerShares S&P SmallCap Consumer Staples_Close_change
2018-01-14,74.3,74.3,74.3,0.0,0.0,74.77,74.77,74.77,0.0,0.0,74.3,74.3,74.3,0.0,0.0,74.42,74.42,74.42,0.0,0.0
2018-01-21,74.83,74.83,74.83,0.0,0.0,74.83,74.83,74.83,0.0,0.0,74.22,74.22,74.22,0.0,0.0,74.29,74.29,74.29,0.0,0.0
2018-01-28,70.36,70.36,70.36,0.0,0.0,70.83,70.83,70.83,0.0,0.0,68.6,68.6,68.6,0.0,0.0,68.6,68.6,68.6,0.0,0.0
2018-02-04,70.02,70.02,70.02,0.0,0.0,70.23,70.23,70.23,0.0,0.0,69.05,69.05,69.05,0.0,0.0,69.64,69.64,69.64,0.0,0.0
2018-02-11,71.17,71.17,71.17,0.0,0.0,72.09,72.09,72.09,0.0,0.0,71.17,71.17,71.17,0.0,0.0,71.98,71.98,71.98,0.0,0.0
2018-02-18,69.27,69.27,69.27,0.0,0.0,70.17,70.17,70.17,0.0,0.0,69.27,69.27,69.27,0.0,0.0,70.17,70.17,70.17,0.0,0.0
2018-02-25,69.56,69.56,69.56,0.0,0.0,70.26,70.26,70.26,0.0,0.0,69.56,69.56,69.56,0.0,0.0,70.08,70.08,70.08,0.0,0.0
2018-03-04,71.83,71.83,71.83,0.0,0.0,72.0,72.0,72.0,0.0,0.0,71.75,71.75,71.75,0.0,0.0,71.94,71.94,71.94,0.0,0.0
2018-03-11,71.0,71.0,71.0,0.0,0.0,71.0,71.0,71.0,0.0,0.0,70.58,70.58,70.58,0.0,0.0,70.58,70.58,70.58,0.0,0.0
2018-03-18,69.54,69.54,69.54,0.0,0.0,69.54,69.54,69.54,0.0,0.0,68.41,68.41,68.41,0.0,0.0,69.32,69.32,69.32,0.0,0.0
2018-03-25,68.69,68.69,68.69,0.0,0.0,68.78,68.78,68.78,0.0,0.0,68.24,68.24,68.24,0.0,0.0,68.26,68.26,68.26,0.0,0.0
2018-04-01,70.5,70.5,70.5,0.0,0.0,71.01,71.01,71.01,0.0,0.0,70.5,70.5,70.5,0.0,0.0,70.93,70.93,70.93,0.0,0.0
2018-04-08,70.63,70.63,70.63,0.0,0.0,71.63,71.63,71.63,0.0,0.0,70.6,70.6,70.6,0.0,0.0,71.63,71.63,71.63,0.0,0.0
2018-04-15,69.75,69.75,69.75,0.0,0.0,69.75,69.75,69.75,0.0,0.0,69.75,69.75,69.75,0.0,0.0,69.75,69.75,69.75,0.0,0.0
2018-04-22,70.88,70.88,70.88,0.0,0.0,70.88,70.88,70.88,0.0,0.0,70.88,70.88,70.88,0.0,0.0,70.88,70.88,70.88,0.0,0.0
2018-04-29,70.11,70.11,70.11,0.0,0.0,70.4,70.4,70.4,0.0,0.0,70.11,70.11,70.11,0.0,0.0,70.11,70.11,70.11,0.0,0.0
2018-05-06,70.59,70.59,70.59,0.0,0.0,70.87,70.87,70.87,0.0,0.0,70.52,70.52,70.52,0.0,0.0,70.52,70.52,70.52,0.0,0.0
2018-05-13,73.06,73.06,73.06,0.0,0.0,73.17,73.17,73.17,0.0,0.0,73.02,73.02,73.02,0.0,0.0,73.07,73.07,73.07,0.0,0.0
2018-05-20,73.76,73.76,73.76,0.0,0.0,74.77,74.77,74.77,0.0,0.0,73.76,73.76,73.76,0.0,0.0,74.77,74.77,74.77,0.0,0.0
2018-05-27,76.53,76.53,76.53,0.0,0.0,76.88,76.88,76.88,0.0,0.0,76.52,76.52,76.52,0.0,0.0,76.88,76.88,76.88,0.0,0.0
2018-06-03,78.21,78.21,78.21,0.0,0.0,78.22,78.22,78.22,0.0,0.0,77.55,77.55,77.55,0.0,0.0,77.69,77.69,77.69,0.0,0.0
2018-06-10,80.0,80.0,80.0,0.0,0.0,80.43,80.43,80.43,0.0,0.0,79.68,79.68,79.68,0.0,0.0,80.42,80.42,80.42,0.0,0.0
2018-06-17,80.86,80.86,80.86,0.0,0.0,81.01,81.01,81.01,0.0,0.0,80.42,80.42,80.42,0.0,0.0,81.01,81.01,81.01,0.0,0.0
2018-06-24,79.78,79.78,79.78,0.0,0.0,80.54,80.54,80.54,0.0,0.0,79.64,79.64,79.64,0.0,0.0,80.54,80.54,80.54,0.0,0.0
2018-07-01,83.51,83.51,83.51,0.0,0.0,83.51,83.51,83.51,0.0,0.0,82.1,82.1,82.1,0.0,0.0,82.1,82.1,82.1,0.0,0.0
2018-07-08,81.86,81.86,81.86,0.0,0.0,81.86,81.86,81.86,0.0,0.0,80.78,80.78,80.78,0.0,0.0,81.07,81.07,81.07,0.0,0.0
2018-07-15,80.89,80.89,80.89,0.0,0.0,81.12,81.12,81.12,0.0,0.0,80.8,80.8,80.8,0.0,0.0,81.1,81.1,81.1,0.0,0.0
2018-07-22,82.49,82.49,82.49,0.0,0.0,82.79,82.79,82.79,0.0,0.0,82.22,82.22,82.22,0.0,0.0,82.79,82.79,82.79,0.0,0.0
