Date,Direxion Daily Developed Markets Bull 3X_Open_average,Direxion Daily Developed Markets Bull 3X_Open_max,Direxion Daily Developed Markets Bull 3X_Open_min,Direxion Daily Developed Markets Bull 3X_Open_volatility,Direxion Daily Developed Markets Bull 3X_Open_change,Direxion Daily Developed Markets Bull 3X_High_average,Direxion Daily Developed Markets Bull 3X_High_max,Direxion Daily Developed Markets Bull 3X_High_min,Direxion Daily Developed Markets Bull 3X_High_volatility,Direxion Daily Developed Markets Bull 3X_High_change,Direxion Daily Developed Markets Bull 3X_Low_average,Direxion Daily Developed Markets Bull 3X_Low_max,Direxion Daily Developed Markets Bull 3X_Low_min,Direxion Daily Developed Markets Bull 3X_Low_volatility,Direxion Daily Developed Markets Bull 3X_Low_change,Direxion Daily Developed Markets Bull 3X_Close_average,Direxion Daily Developed Markets Bull 3X_Close_max,Direxion Daily Developed Markets Bull 3X_Close_min,Direxion Daily Developed Markets Bull 3X_Close_volatility,Direxion Daily Developed Markets Bull 3X_Close_change
2018-01-14,96.51,96.51,96.51,0.0,0.0,97.8,97.8,97.8,0.0,0.0,96.49,96.49,96.49,0.0,0.0,97.72,97.72,97.72,0.0,0.0
2018-01-21,98.07,98.07,98.07,0.0,0.0,98.4,98.4,98.4,0.0,0.0,97.35,97.35,97.35,0.0,0.0,97.65,97.65,97.65,0.0,0.0
2018-01-28,86.21,86.21,86.21,0.0,0.0,87.46,87.46,87.46,0.0,0.0,78.2,78.2,78.2,0.0,0.0,78.2,78.2,78.2,0.0,0.0
2018-02-04,76.85,76.85,76.85,0.0,0.0,78.62,78.62,78.62,0.0,0.0,76.54,76.54,76.54,0.0,0.0,78.49,78.49,78.49,0.0,0.0
2018-02-11,83.83,83.83,83.83,0.0,0.0,85.53,85.53,85.53,0.0,0.0,83.83,83.83,83.83,0.0,0.0,84.81,84.81,84.81,0.0,0.0
2018-02-18,85.1,85.1,85.1,0.0,0.0,86.46,86.46,86.46,0.0,0.0,84.57,84.57,84.57,0.0,0.0,86.19,86.19,86.19,0.0,0.0
2018-02-25,76.0,76.0,76.0,0.0,0.0,78.52,78.52,78.52,0.0,0.0,75.99,75.99,75.99,0.0,0.0,78.31,78.31,78.31,0.0,0.0
2018-03-04,82.0,82.0,82.0,0.0,0.0,82.38,82.38,82.38,0.0,0.0,81.91,81.91,81.91,0.0,0.0,82.15,82.15,82.15,0.0,0.0
2018-03-11,78.91,78.91,78.91,0.0,0.0,79.07,79.07,79.07,0.0,0.0,77.5,77.5,77.5,0.0,0.0,78.21,78.21,78.21,0.0,0.0
2018-03-18,75.62,75.62,75.62,0.0,0.0,75.96,75.96,75.96,0.0,0.0,73.08,73.08,73.08,0.0,0.0,75.96,75.96,75.96,0.0,0.0
2018-03-25,76.86,76.86,76.86,0.0,0.0,76.86,76.86,76.86,0.0,0.0,72.94,72.94,72.94,0.0,0.0,73.37,73.37,73.37,0.0,0.0
2018-04-01,78.31,78.31,78.31,0.0,0.0,79.77,79.77,79.77,0.0,0.0,78.31,78.31,78.31,0.0,0.0,78.61,78.61,78.61,0.0,0.0
2018-04-08,81.33,81.33,81.33,0.0,0.0,81.62,81.62,81.62,0.0,0.0,81.19,81.19,81.19,0.0,0.0,81.39,81.39,81.39,0.0,0.0
2018-04-15,80.99,80.99,80.99,0.0,0.0,81.65,81.65,81.65,0.0,0.0,80.86,80.86,80.86,0.0,0.0,81.33,81.33,81.33,0.0,0.0
2018-04-22,81.07,81.07,81.07,0.0,0.0,81.07,81.07,81.07,0.0,0.0,80.5,80.5,80.5,0.0,0.0,80.55,80.55,80.55,0.0,0.0
2018-04-29,81.16,81.16,81.16,0.0,0.0,81.5,81.5,81.5,0.0,0.0,80.95,80.95,80.95,0.0,0.0,81.17,81.17,81.17,0.0,0.0
