Date,VanEck Vectors BDC Income_Open_average,VanEck Vectors BDC Income_Open_max,VanEck Vectors BDC Income_Open_min,VanEck Vectors BDC Income_Open_volatility,VanEck Vectors BDC Income_Open_change,VanEck Vectors BDC Income_High_average,VanEck Vectors BDC Income_High_max,VanEck Vectors BDC Income_High_min,VanEck Vectors BDC Income_High_volatility,VanEck Vectors BDC Income_High_change,VanEck Vectors BDC Income_Low_average,VanEck Vectors BDC Income_Low_max,VanEck Vectors BDC Income_Low_min,VanEck Vectors BDC Income_Low_volatility,VanEck Vectors BDC Income_Low_change,VanEck Vectors BDC Income_Close_average,VanEck Vectors BDC Income_Close_max,VanEck Vectors BDC Income_Close_min,VanEck Vectors BDC Income_Close_volatility,VanEck Vectors BDC Income_Close_change
2018-01-14,16.62,16.62,16.62,0.0,0.0,16.69,16.69,16.69,0.0,0.0,16.6,16.6,16.6,0.0,0.0,16.68,16.68,16.68,0.0,0.0
2018-01-21,16.79,16.79,16.79,0.0,0.0,16.79,16.79,16.79,0.0,0.0,16.68,16.68,16.68,0.0,0.0,16.75,16.75,16.75,0.0,0.0
2018-01-28,16.43,16.43,16.43,0.0,0.0,16.43,16.43,16.43,0.0,0.0,16.22,16.22,16.22,0.0,0.0,16.23,16.23,16.23,0.0,0.0
2018-02-04,15.98,15.98,15.98,0.0,0.0,16.09,16.09,16.09,0.0,0.0,15.7,15.7,15.7,0.0,0.0,15.87,15.87,15.87,0.0,0.0
2018-02-11,16.09,16.09,16.09,0.0,0.0,16.23,16.23,16.23,0.0,0.0,16.09,16.09,16.09,0.0,0.0,16.22,16.22,16.22,0.0,0.0
2018-02-18,16.01,16.01,16.01,0.0,0.0,16.04,16.04,16.04,0.0,0.0,15.94,15.94,15.94,0.0,0.0,15.95,15.95,15.95,0.0,0.0
2018-02-25,15.73,15.73,15.73,0.0,0.0,15.84,15.84,15.84,0.0,0.0,15.67,15.67,15.67,0.0,0.0,15.83,15.83,15.83,0.0,0.0
2018-03-04,16.2,16.2,16.2,0.0,0.0,16.22,16.22,16.22,0.0,0.0,16.15,16.15,16.15,0.0,0.0,16.17,16.17,16.17,0.0,0.0
2018-03-11,16.05,16.05,16.05,0.0,0.0,16.15,16.15,16.15,0.0,0.0,16.05,16.05,16.05,0.0,0.0,16.13,16.13,16.13,0.0,0.0
2018-03-18,16.46,16.46,16.46,0.0,0.0,16.46,16.46,16.46,0.0,0.0,16.1,16.1,16.1,0.0,0.0,16.1,16.1,16.1,0.0,0.0
2018-03-25,16.21,16.21,16.21,0.0,0.0,16.31,16.31,16.31,0.0,0.0,16.2,16.2,16.2,0.0,0.0,16.26,16.26,16.26,0.0,0.0
2018-04-01,16.07,16.07,16.07,0.0,0.0,16.14,16.14,16.14,0.0,0.0,16.0,16.0,16.0,0.0,0.0,16.04,16.04,16.04,0.0,0.0
2018-04-08,16.02,16.02,16.02,0.0,0.0,16.02,16.02,16.02,0.0,0.0,15.93,15.93,15.93,0.0,0.0,15.97,15.97,15.97,0.0,0.0
2018-04-15,16.0,16.0,16.0,0.0,0.0,16.04,16.04,16.04,0.0,0.0,15.97,15.97,15.97,0.0,0.0,16.01,16.01,16.01,0.0,0.0
2018-04-22,15.95,15.95,15.95,0.0,0.0,16.12,16.12,16.12,0.0,0.0,15.95,15.95,15.95,0.0,0.0,16.06,16.06,16.06,0.0,0.0
2018-04-29,16.01,16.01,16.01,0.0,0.0,16.21,16.21,16.21,0.0,0.0,16.01,16.01,16.01,0.0,0.0,16.19,16.19,16.19,0.0,0.0
2018-05-06,16.5,16.5,16.5,0.0,0.0,16.55,16.55,16.55,0.0,0.0,16.5,16.5,16.5,0.0,0.0,16.53,16.53,16.53,0.0,0.0
2018-05-13,16.55,16.55,16.55,0.0,0.0,16.67,16.67,16.67,0.0,0.0,16.55,16.55,16.55,0.0,0.0,16.67,16.67,16.67,0.0,0.0
2018-05-20,16.73,16.73,16.73,0.0,0.0,16.75,16.75,16.75,0.0,0.0,16.69,16.69,16.69,0.0,0.0,16.75,16.75,16.75,0.0,0.0
2018-05-27,16.7,16.7,16.7,0.0,0.0,16.81,16.81,16.81,0.0,0.0,16.7,16.7,16.7,0.0,0.0,16.79,16.79,16.79,0.0,0.0
2018-06-03,16.85,16.85,16.85,0.0,0.0,16.95,16.95,16.95,0.0,0.0,16.83,16.83,16.83,0.0,0.0,16.95,16.95,16.95,0.0,0.0
2018-06-10,16.84,16.84,16.84,0.0,0.0,16.9,16.9,16.9,0.0,0.0,16.84,16.84,16.84,0.0,0.0,16.88,16.88,16.88,0.0,0.0
2018-06-17,16.88,16.88,16.88,0.0,0.0,16.91,16.91,16.91,0.0,0.0,16.73,16.73,16.73,0.0,0.0,16.73,16.73,16.73,0.0,0.0
2018-06-24,16.65,16.65,16.65,0.0,0.0,16.72,16.72,16.72,0.0,0.0,16.62,16.62,16.62,0.0,0.0,16.64,16.64,16.64,0.0,0.0
2018-07-01,16.51,16.51,16.51,0.0,0.0,16.6,16.6,16.6,0.0,0.0,16.51,16.51,16.51,0.0,0.0,16.58,16.58,16.58,0.0,0.0
2018-07-08,16.51,16.51,16.51,0.0,0.0,16.61,16.61,16.61,0.0,0.0,16.3,16.3,16.3,0.0,0.0,16.61,16.61,16.61,0.0,0.0
2018-07-15,16.97,16.97,16.97,0.0,0.0,17.01,17.01,17.01,0.0,0.0,16.93,16.93,16.93,0.0,0.0,16.93,16.93,16.93,0.0,0.0
2018-07-22,16.99,16.99,16.99,0.0,0.0,17.08,17.08,17.08,0.0,0.0,16.99,16.99,16.99,0.0,0.0,17.0,17.0,17.0,0.0,0.0
2018-07-29,17.19,17.19,17.19,0.0,0.0,17.24,17.24,17.24,0.0,0.0,17.17,17.17,17.17,0.0,0.0,17.23,17.23,17.23,0.0,0.0
2018-08-05,17.2,17.2,17.2,0.0,0.0,17.22,17.22,17.22,0.0,0.0,17.12,17.12,17.12,0.0,0.0,17.12,17.12,17.12,0.0,0.0
2018-08-12,17.2,17.2,17.2,0.0,0.0,17.2,17.2,17.2,0.0,0.0,17.11,17.11,17.11,0.0,0.0,17.15,17.15,17.15,0.0,0.0
2018-08-19,17.19,17.19,17.19,0.0,0.0,17.29,17.29,17.29,0.0,0.0,17.16,17.16,17.16,0.0,0.0,17.23,17.23,17.23,0.0,0.0
2018-08-26,17.36,17.36,17.36,0.0,0.0,17.39,17.39,17.39,0.0,0.0,17.3,17.3,17.3,0.0,0.0,17.34,17.34,17.34,0.0,0.0
2018-09-02,17.22,17.22,17.22,0.0,0.0,17.25,17.25,17.25,0.0,0.0,17.15,17.15,17.15,0.0,0.0,17.15,17.15,17.15,0.0,0.0
2018-09-09,17.25,17.25,17.25,0.0,0.0,17.29,17.29,17.29,0.0,0.0,17.17,17.17,17.17,0.0,0.0,17.19,17.19,17.19,0.0,0.0
2018-09-16,17.23,17.23,17.23,0.0,0.0,17.28,17.28,17.28,0.0,0.0,17.23,17.23,17.23,0.0,0.0,17.26,17.26,17.26,0.0,0.0
2018-09-23,17.15,17.15,17.15,0.0,0.0,17.2,17.2,17.2,0.0,0.0,17.08,17.08,17.08,0.0,0.0,17.08,17.08,17.08,0.0,0.0
2018-09-30,16.46,16.46,16.46,0.0,0.0,16.5,16.5,16.5,0.0,0.0,16.39,16.39,16.39,0.0,0.0,16.44,16.44,16.44,0.0,0.0
2018-10-07,16.15,16.15,16.15,0.0,0.0,16.19,16.19,16.19,0.0,0.0,15.96,15.96,15.96,0.0,0.0,16.01,16.01,16.01,0.0,0.0
2018-10-14,16.01,16.01,16.01,0.0,0.0,16.07,16.07,16.07,0.0,0.0,15.95,15.95,15.95,0.0,0.0,15.98,15.98,15.98,0.0,0.0
2018-10-21,15.55,15.55,15.55,0.0,0.0,15.6,15.6,15.6,0.0,0.0,15.45,15.45,15.45,0.0,0.0,15.52,15.52,15.52,0.0,0.0
2018-10-28,16.2,16.2,16.2,0.0,0.0,16.24,16.24,16.24,0.0,0.0,16.03,16.03,16.03,0.0,0.0,16.05,16.05,16.05,0.0,0.0
2018-11-04,16.3,16.3,16.3,0.0,0.0,16.47,16.47,16.47,0.0,0.0,16.3,16.3,16.3,0.0,0.0,16.47,16.47,16.47,0.0,0.0
2018-11-11,16.09,16.09,16.09,0.0,0.0,16.16,16.16,16.16,0.0,0.0,16.07,16.07,16.07,0.0,0.0,16.12,16.12,16.12,0.0,0.0
2018-11-18,15.92,15.92,15.92,0.0,0.0,16.0,16.0,16.0,0.0,0.0,15.89,15.89,15.89,0.0,0.0,15.97,15.97,15.97,0.0,0.0
2018-11-25,16.14,16.14,16.14,0.0,0.0,16.14,16.14,16.14,0.0,0.0,16.03,16.03,16.03,0.0,0.0,16.06,16.06,16.06,0.0,0.0
2018-12-02,15.82,15.82,15.82,0.0,0.0,15.9,15.9,15.9,0.0,0.0,15.76,15.76,15.76,0.0,0.0,15.77,15.77,15.77,0.0,0.0
2018-12-09,15.5,15.5,15.5,0.0,0.0,15.54,15.54,15.54,0.0,0.0,15.33,15.33,15.33,0.0,0.0,15.36,15.36,15.36,0.0,0.0
