Date,United States Oil_Open_average,United States Oil_Open_max,United States Oil_Open_min,United States Oil_Open_volatility,United States Oil_Open_change,United States Oil_High_average,United States Oil_High_max,United States Oil_High_min,United States Oil_High_volatility,United States Oil_High_change,United States Oil_Low_average,United States Oil_Low_max,United States Oil_Low_min,United States Oil_Low_volatility,United States Oil_Low_change,United States Oil_Close_average,United States Oil_Close_max,United States Oil_Close_min,United States Oil_Close_volatility,United States Oil_Close_change
2018-01-14,101.44,101.44,101.44,0.0,0.0,102.72,102.72,102.72,0.0,0.0,101.04,101.04,101.04,0.0,0.0,102.24,102.24,102.24,0.0,0.0
2018-01-21,104.88,104.88,104.88,0.0,0.0,105.2,105.2,105.2,0.0,0.0,104.08,104.08,104.08,0.0,0.0,104.88,104.88,104.88,0.0,0.0
2018-01-28,104.24,104.24,104.24,0.0,0.0,104.56,104.56,104.56,0.0,0.0,101.84,101.84,101.84,0.0,0.0,102.16,102.16,102.16,0.0,0.0
2018-02-04,95.84,95.84,95.84,0.0,0.0,96.76,96.76,96.76,0.0,0.0,94.92,94.92,94.92,0.0,0.0,95.12,95.12,95.12,0.0,0.0
2018-02-11,98.16,98.16,98.16,0.0,0.0,99.52,99.52,99.52,0.0,0.0,97.76,97.76,97.76,0.0,0.0,99.04,99.04,99.04,0.0,0.0
2018-02-18,101.84,101.84,101.84,0.0,0.0,103.32,103.32,103.32,0.0,0.0,101.45,101.45,101.45,0.0,0.0,102.88,102.88,102.88,0.0,0.0
2018-02-25,98.64,98.64,98.64,0.0,0.0,101.04,101.04,101.04,0.0,0.0,98.55,98.55,98.55,0.0,0.0,100.72,100.72,100.72,0.0,0.0
2018-03-04,99.28,99.28,99.28,0.0,0.0,99.52,99.52,99.52,0.0,0.0,97.76,97.76,97.76,0.0,0.0,98.96,98.96,98.96,0.0,0.0
2018-03-11,100.56,100.56,100.56,0.0,0.0,100.63,100.63,100.63,0.0,0.0,99.12,99.12,99.12,0.0,0.0,100.4,100.4,100.4,0.0,0.0
2018-03-18,105.84,105.84,105.84,0.0,0.0,106.24,106.24,106.24,0.0,0.0,104.96,104.96,104.96,0.0,0.0,105.68,105.68,105.68,0.0,0.0
2018-03-25,103.84,103.84,103.84,0.0,0.0,103.84,103.84,103.84,0.0,0.0,101.6,101.6,101.6,0.0,0.0,101.92,101.92,101.92,0.0,0.0
2018-04-01,101.52,101.52,101.52,0.0,0.0,102.64,102.64,102.64,0.0,0.0,101.36,101.36,101.36,0.0,0.0,102.16,102.16,102.16,0.0,0.0
2018-04-08,107.92,107.92,107.92,0.0,0.0,107.99,107.99,107.99,0.0,0.0,106.72,106.72,106.72,0.0,0.0,107.04,107.04,107.04,0.0,0.0
2018-04-15,108.88,108.88,108.88,0.0,0.0,111.52,111.52,111.52,0.0,0.0,108.4,108.4,108.4,0.0,0.0,111.36,111.36,111.36,0.0,0.0
2018-04-22,108.96,108.96,108.96,0.0,0.0,112.0,112.0,112.0,0.0,0.0,108.8,108.8,108.8,0.0,0.0,110.4,110.4,110.4,0.0,0.0
2018-04-29,113.52,113.52,113.52,0.0,0.0,114.4,114.4,114.4,0.0,0.0,112.24,112.24,112.24,0.0,0.0,112.8,112.8,112.8,0.0,0.0
2018-05-06,114.4,114.4,114.4,0.0,0.0,115.2,115.2,115.2,0.0,0.0,114.28,114.28,114.28,0.0,0.0,115.04,115.04,115.04,0.0,0.0
2018-05-13,115.84,115.84,115.84,0.0,0.0,117.36,117.36,117.36,0.0,0.0,115.72,115.72,115.72,0.0,0.0,117.36,117.36,117.36,0.0,0.0
2018-05-20,111.44,111.44,111.44,0.0,0.0,111.44,111.44,111.44,0.0,0.0,109.2,109.2,109.2,0.0,0.0,109.44,109.44,109.44,0.0,0.0
2018-05-27,106.4,106.4,106.4,0.0,0.0,106.67,106.67,106.67,0.0,0.0,104.48,104.48,104.48,0.0,0.0,104.96,104.96,104.96,0.0,0.0
2018-06-03,105.36,105.36,105.36,0.0,0.0,107.32,107.32,107.32,0.0,0.0,105.16,105.16,105.16,0.0,0.0,106.88,106.88,106.88,0.0,0.0
2018-06-10,105.36,105.36,105.36,0.0,0.0,106.64,106.64,106.64,0.0,0.0,104.96,104.96,104.96,0.0,0.0,106.32,106.32,106.32,0.0,0.0
2018-06-17,112.08,112.08,112.08,0.0,0.0,112.4,112.4,112.4,0.0,0.0,109.84,109.84,109.84,0.0,0.0,110.16,110.16,110.16,0.0,0.0
2018-06-24,120.0,120.0,120.0,0.0,0.0,120.48,120.48,120.48,0.0,0.0,118.97,118.97,118.97,0.0,0.0,119.68,119.68,119.68,0.0,0.0
2018-07-01,119.76,119.76,119.76,0.0,0.0,120.24,120.24,120.24,0.0,0.0,118.48,118.48,118.48,0.0,0.0,120.24,120.24,120.24,0.0,0.0
2018-07-08,113.6,113.6,113.6,0.0,0.0,113.84,113.84,113.84,0.0,0.0,110.88,110.88,110.88,0.0,0.0,111.52,111.52,111.52,0.0,0.0
2018-07-15,114.56,114.56,114.56,0.0,0.0,115.2,115.2,115.2,0.0,0.0,112.4,112.4,112.4,0.0,0.0,112.72,112.72,112.72,0.0,0.0
2018-07-22,116.72,116.72,116.72,0.0,0.0,117.12,117.12,117.12,0.0,0.0,116.16,116.16,116.16,0.0,0.0,116.32,116.32,116.32,0.0,0.0
2018-07-29,115.2,115.2,115.2,0.0,0.0,116.32,116.32,116.32,0.0,0.0,114.4,114.4,114.4,0.0,0.0,114.48,114.48,114.48,0.0,0.0
2018-08-05,112.08,112.08,112.08,0.0,0.0,112.4,112.4,112.4,0.0,0.0,109.44,109.44,109.44,0.0,0.0,112.08,112.08,112.08,0.0,0.0
2018-08-12,109.52,109.52,109.52,0.0,0.0,110.4,110.4,110.4,0.0,0.0,109.24,109.24,109.24,0.0,0.0,110.08,110.08,110.08,0.0,0.0
2018-08-19,115.84,115.84,115.84,0.0,0.0,116.04,116.04,116.04,0.0,0.0,115.28,115.28,115.28,0.0,0.0,116.0,116.0,116.0,0.0,0.0
2018-08-26,117.84,117.84,117.84,0.0,0.0,118.24,118.24,118.24,0.0,0.0,117.2,117.2,117.2,0.0,0.0,117.68,117.68,117.68,0.0,0.0
2018-09-02,115.04,115.04,115.04,0.0,0.0,115.36,115.36,115.36,0.0,0.0,113.38,113.38,113.38,0.0,0.0,113.68,113.68,113.68,0.0,0.0
2018-09-09,116.88,116.88,116.88,0.0,0.0,117.28,117.28,117.28,0.0,0.0,115.36,115.36,115.36,0.0,0.0,115.76,115.76,115.76,0.0,0.0
2018-09-16,121.76,121.76,121.76,0.0,0.0,122.85,122.85,122.85,0.0,0.0,121.36,121.36,121.36,0.0,0.0,122.0,122.0,122.0,0.0,0.0
