Date,ProShares Long Online Short Stores_Open_average,ProShares Long Online Short Stores_Open_max,ProShares Long Online Short Stores_Open_min,ProShares Long Online Short Stores_Open_volatility,ProShares Long Online Short Stores_Open_change,ProShares Long Online Short Stores_High_average,ProShares Long Online Short Stores_High_max,ProShares Long Online Short Stores_High_min,ProShares Long Online Short Stores_High_volatility,ProShares Long Online Short Stores_High_change,ProShares Long Online Short Stores_Low_average,ProShares Long Online Short Stores_Low_max,ProShares Long Online Short Stores_Low_min,ProShares Long Online Short Stores_Low_volatility,ProShares Long Online Short Stores_Low_change,ProShares Long Online Short Stores_Close_average,ProShares Long Online Short Stores_Close_max,ProShares Long Online Short Stores_Close_min,ProShares Long Online Short Stores_Close_volatility,ProShares Long Online Short Stores_Close_change
2018-01-14,41.43,41.43,41.43,0.0,0.0,41.55,41.55,41.55,0.0,0.0,41.42,41.42,41.42,0.0,0.0,41.54,41.54,41.54,0.0,0.0
2018-01-21,44.59,44.59,44.59,0.0,0.0,44.59,44.59,44.59,0.0,0.0,44.24,44.24,44.24,0.0,0.0,44.37,44.37,44.37,0.0,0.0
2018-01-28,45.16,45.16,45.16,0.0,0.0,45.84,45.84,45.84,0.0,0.0,43.88,43.88,43.88,0.0,0.0,44.87,44.87,44.87,0.0,0.0
2018-02-04,43.28,43.28,43.28,0.0,0.0,44.5,44.5,44.5,0.0,0.0,42.14,42.14,42.14,0.0,0.0,44.5,44.5,44.5,0.0,0.0
2018-02-11,45.94,45.94,45.94,0.0,0.0,45.94,45.94,45.94,0.0,0.0,45.52,45.52,45.52,0.0,0.0,45.66,45.66,45.66,0.0,0.0
2018-02-18,48.5,48.5,48.5,0.0,0.0,48.5,48.5,48.5,0.0,0.0,45.48,45.48,45.48,0.0,0.0,46.69,46.69,46.69,0.0,0.0
2018-02-25,46.05,46.05,46.05,0.0,0.0,46.89,46.89,46.89,0.0,0.0,45.88,45.88,45.88,0.0,0.0,46.85,46.85,46.85,0.0,0.0
2018-03-04,50.04,50.04,50.04,0.0,0.0,50.04,50.04,50.04,0.0,0.0,49.16,49.16,49.16,0.0,0.0,49.24,49.24,49.24,0.0,0.0
2018-03-11,48.72,48.72,48.72,0.0,0.0,48.72,48.72,48.72,0.0,0.0,47.81,47.81,47.81,0.0,0.0,48.1,48.1,48.1,0.0,0.0
2018-03-18,47.0,47.0,47.0,0.0,0.0,47.35,47.35,47.35,0.0,0.0,46.42,46.42,46.42,0.0,0.0,47.34,47.34,47.34,0.0,0.0
2018-03-25,45.14,45.14,45.14,0.0,0.0,45.14,45.14,45.14,0.0,0.0,43.56,43.56,43.56,0.0,0.0,44.21,44.21,44.21,0.0,0.0
2018-04-01,44.94,44.94,44.94,0.0,0.0,44.94,44.94,44.94,0.0,0.0,44.42,44.42,44.42,0.0,0.0,44.42,44.42,44.42,0.0,0.0
