Date,iShares MSCI Emerging Markets_Open_average,iShares MSCI Emerging Markets_Open_max,iShares MSCI Emerging Markets_Open_min,iShares MSCI Emerging Markets_Open_volatility,iShares MSCI Emerging Markets_Open_change,iShares MSCI Emerging Markets_High_average,iShares MSCI Emerging Markets_High_max,iShares MSCI Emerging Markets_High_min,iShares MSCI Emerging Markets_High_volatility,iShares MSCI Emerging Markets_High_change,iShares MSCI Emerging Markets_Low_average,iShares MSCI Emerging Markets_Low_max,iShares MSCI Emerging Markets_Low_min,iShares MSCI Emerging Markets_Low_volatility,iShares MSCI Emerging Markets_Low_change,iShares MSCI Emerging Markets_Close_average,iShares MSCI Emerging Markets_Close_max,iShares MSCI Emerging Markets_Close_min,iShares MSCI Emerging Markets_Close_volatility,iShares MSCI Emerging Markets_Close_change
2018-01-14,50.11,50.11,50.11,0.0,0.0,50.43,50.43,50.43,0.0,0.0,50.0,50.0,50.0,0.0,0.0,50.43,50.43,50.43,0.0,0.0
2018-01-21,51.14,51.14,51.14,0.0,0.0,51.2,51.2,51.2,0.0,0.0,50.91,50.91,50.91,0.0,0.0,50.98,50.98,50.98,0.0,0.0
2018-01-28,48.69,48.69,48.69,0.0,0.0,49.18,49.18,49.18,0.0,0.0,47.05,47.05,47.05,0.0,0.0,47.05,47.05,47.05,0.0,0.0
2018-02-04,46.79,46.79,46.79,0.0,0.0,47.21,47.21,47.21,0.0,0.0,46.38,46.38,46.38,0.0,0.0,46.87,46.87,46.87,0.0,0.0
2018-02-11,49.04,49.04,49.04,0.0,0.0,49.69,49.69,49.69,0.0,0.0,49.03,49.03,49.03,0.0,0.0,49.24,49.24,49.24,0.0,0.0
2018-02-18,49.55,49.55,49.55,0.0,0.0,49.88,49.88,49.88,0.0,0.0,49.27,49.27,49.27,0.0,0.0,49.88,49.88,49.88,0.0,0.0
2018-02-25,47.32,47.32,47.32,0.0,0.0,48.0,48.0,48.0,0.0,0.0,47.26,47.26,47.26,0.0,0.0,47.91,47.91,47.91,0.0,0.0
2018-03-04,49.51,49.51,49.51,0.0,0.0,49.67,49.67,49.67,0.0,0.0,49.31,49.31,49.31,0.0,0.0,49.57,49.57,49.57,0.0,0.0
2018-03-11,48.6,48.6,48.6,0.0,0.0,48.71,48.71,48.71,0.0,0.0,48.1,48.1,48.1,0.0,0.0,48.39,48.39,48.39,0.0,0.0
2018-03-18,47.81,47.81,47.81,0.0,0.0,48.18,48.18,48.18,0.0,0.0,47.26,47.26,47.26,0.0,0.0,48.12,48.12,48.12,0.0,0.0
2018-03-25,47.66,47.66,47.66,0.0,0.0,47.88,47.88,47.88,0.0,0.0,46.68,46.68,46.68,0.0,0.0,47.13,47.13,47.13,0.0,0.0
2018-04-01,47.14,47.14,47.14,0.0,0.0,47.37,47.37,47.37,0.0,0.0,46.84,46.84,46.84,0.0,0.0,46.85,46.85,46.85,0.0,0.0
2018-04-08,47.22,47.22,47.22,0.0,0.0,47.38,47.38,47.38,0.0,0.0,47.07,47.07,47.07,0.0,0.0,47.34,47.34,47.34,0.0,0.0
2018-04-15,46.89,46.89,46.89,0.0,0.0,47.02,47.02,47.02,0.0,0.0,46.49,46.49,46.49,0.0,0.0,46.6,46.6,46.6,0.0,0.0
2018-04-22,47.15,47.15,47.15,0.0,0.0,47.21,47.21,47.21,0.0,0.0,46.63,46.63,46.63,0.0,0.0,46.64,46.64,46.64,0.0,0.0
2018-04-29,45.77,45.77,45.77,0.0,0.0,46.07,46.07,46.07,0.0,0.0,45.74,45.74,45.74,0.0,0.0,45.88,45.88,45.88,0.0,0.0
2018-05-06,47.37,47.37,47.37,0.0,0.0,47.49,47.49,47.49,0.0,0.0,47.11,47.11,47.11,0.0,0.0,47.18,47.18,47.18,0.0,0.0
2018-05-13,46.17,46.17,46.17,0.0,0.0,46.26,46.26,46.26,0.0,0.0,45.88,45.88,45.88,0.0,0.0,46.07,46.07,46.07,0.0,0.0
2018-05-20,45.95,45.95,45.95,0.0,0.0,46.22,46.22,46.22,0.0,0.0,45.91,45.91,45.91,0.0,0.0,46.15,46.15,46.15,0.0,0.0
2018-05-27,46.44,46.44,46.44,0.0,0.0,46.63,46.63,46.63,0.0,0.0,46.42,46.42,46.42,0.0,0.0,46.52,46.52,46.52,0.0,0.0
2018-06-03,46.1,46.1,46.1,0.0,0.0,46.22,46.22,46.22,0.0,0.0,45.98,45.98,45.98,0.0,0.0,46.05,46.05,46.05,0.0,0.0
2018-06-10,44.32,44.32,44.32,0.0,0.0,44.47,44.47,44.47,0.0,0.0,44.07,44.07,44.07,0.0,0.0,44.41,44.41,44.41,0.0,0.0
2018-06-17,43.25,43.25,43.25,0.0,0.0,43.29,43.29,43.29,0.0,0.0,42.64,42.64,42.64,0.0,0.0,43.07,43.07,43.07,0.0,0.0
2018-06-24,42.36,42.36,42.36,0.0,0.0,42.71,42.71,42.71,0.0,0.0,42.27,42.27,42.27,0.0,0.0,42.64,42.64,42.64,0.0,0.0
2018-07-01,43.75,43.75,43.75,0.0,0.0,43.94,43.94,43.94,0.0,0.0,43.53,43.53,43.53,0.0,0.0,43.92,43.92,43.92,0.0,0.0
2018-07-08,43.38,43.38,43.38,0.0,0.0,43.44,43.44,43.44,0.0,0.0,43.19,43.19,43.19,0.0,0.0,43.35,43.35,43.35,0.0,0.0
2018-07-15,43.5,43.5,43.5,0.0,0.0,43.51,43.51,43.51,0.0,0.0,43.27,43.27,43.27,0.0,0.0,43.41,43.41,43.41,0.0,0.0
