Date,Global X Longevity Thematic_etf_Open_average,Global X Longevity Thematic_etf_Open_max,Global X Longevity Thematic_etf_Open_min,Global X Longevity Thematic_etf_Open_volatility,Global X Longevity Thematic_etf_Open_change,Global X Longevity Thematic_etf_High_average,Global X Longevity Thematic_etf_High_max,Global X Longevity Thematic_etf_High_min,Global X Longevity Thematic_etf_High_volatility,Global X Longevity Thematic_etf_High_change,Global X Longevity Thematic_etf_Low_average,Global X Longevity Thematic_etf_Low_max,Global X Longevity Thematic_etf_Low_min,Global X Longevity Thematic_etf_Low_volatility,Global X Longevity Thematic_etf_Low_change,Global X Longevity Thematic_etf_Close_average,Global X Longevity Thematic_etf_Close_max,Global X Longevity Thematic_etf_Close_min,Global X Longevity Thematic_etf_Close_volatility,Global X Longevity Thematic_etf_Close_change
2018-01-14,20.39,20.39,20.39,0.0,0.0,20.39,20.39,20.39,0.0,0.0,20.35,20.35,20.35,0.0,0.0,20.36,20.36,20.36,0.0,0.0
2018-01-21,21.12,21.12,21.12,0.0,0.0,21.32,21.32,21.32,0.0,0.0,21.12,21.12,21.12,0.0,0.0,21.31,21.31,21.31,0.0,0.0
2018-01-28,20.62,20.62,20.62,0.0,0.0,20.62,20.62,20.62,0.0,0.0,20.35,20.35,20.35,0.0,0.0,20.35,20.35,20.35,0.0,0.0
2018-02-04,19.15,19.15,19.15,0.0,0.0,19.3,19.3,19.3,0.0,0.0,18.69,18.69,18.69,0.0,0.0,19.3,19.3,19.3,0.0,0.0
2018-02-11,20.32,20.32,20.32,0.0,0.0,20.39,20.39,20.39,0.0,0.0,20.23,20.23,20.23,0.0,0.0,20.34,20.34,20.34,0.0,0.0
2018-02-18,20.12,20.12,20.12,0.0,0.0,20.32,20.32,20.32,0.0,0.0,20.07,20.07,20.07,0.0,0.0,20.32,20.32,20.32,0.0,0.0
2018-02-25,19.87,19.87,19.87,0.0,0.0,19.87,19.87,19.87,0.0,0.0,19.87,19.87,19.87,0.0,0.0,19.87,19.87,19.87,0.0,0.0
2018-03-04,20.57,20.57,20.57,0.0,0.0,20.67,20.67,20.67,0.0,0.0,20.57,20.57,20.57,0.0,0.0,20.67,20.67,20.67,0.0,0.0
2018-03-11,20.55,20.55,20.55,0.0,0.0,20.59,20.59,20.59,0.0,0.0,20.49,20.49,20.49,0.0,0.0,20.56,20.56,20.56,0.0,0.0
2018-03-18,19.76,19.76,19.76,0.0,0.0,19.76,19.76,19.76,0.0,0.0,19.35,19.35,19.35,0.0,0.0,19.35,19.35,19.35,0.0,0.0
