Date,Direxion Daily Technology Bear 3X Shares_Open_average,Direxion Daily Technology Bear 3X Shares_Open_max,Direxion Daily Technology Bear 3X Shares_Open_min,Direxion Daily Technology Bear 3X Shares_Open_volatility,Direxion Daily Technology Bear 3X Shares_Open_change,Direxion Daily Technology Bear 3X Shares_High_average,Direxion Daily Technology Bear 3X Shares_High_max,Direxion Daily Technology Bear 3X Shares_High_min,Direxion Daily Technology Bear 3X Shares_High_volatility,Direxion Daily Technology Bear 3X Shares_High_change,Direxion Daily Technology Bear 3X Shares_Low_average,Direxion Daily Technology Bear 3X Shares_Low_max,Direxion Daily Technology Bear 3X Shares_Low_min,Direxion Daily Technology Bear 3X Shares_Low_volatility,Direxion Daily Technology Bear 3X Shares_Low_change,Direxion Daily Technology Bear 3X Shares_Close_average,Direxion Daily Technology Bear 3X Shares_Close_max,Direxion Daily Technology Bear 3X Shares_Close_min,Direxion Daily Technology Bear 3X Shares_Close_volatility,Direxion Daily Technology Bear 3X Shares_Close_change
2018-01-14,28.95,28.95,28.95,0.0,0.0,29.05,29.05,29.05,0.0,0.0,28.05,28.05,28.05,0.0,0.0,28.05,28.05,28.05,0.0,0.0
2018-01-21,27.45,27.45,27.45,0.0,0.0,27.98,27.98,27.98,0.0,0.0,27.4,27.4,27.4,0.0,0.0,27.8,27.8,27.8,0.0,0.0
2018-01-28,31.35,31.35,31.35,0.0,0.0,34.0,34.0,34.0,0.0,0.0,29.66,29.66,29.66,0.0,0.0,33.7,33.7,33.7,0.0,0.0
2018-02-04,32.75,32.75,32.75,0.0,0.0,33.55,33.55,33.55,0.0,0.0,31.45,31.45,31.45,0.0,0.0,32.1,32.1,32.1,0.0,0.0
2018-02-11,28.65,28.65,28.65,0.0,0.0,28.65,28.65,28.65,0.0,0.0,27.64,27.64,27.64,0.0,0.0,28.55,28.55,28.55,0.0,0.0
2018-02-18,26.65,26.65,26.65,0.0,0.0,26.75,26.75,26.75,0.0,0.0,25.81,25.81,25.81,0.0,0.0,25.85,25.85,25.85,0.0,0.0
2018-02-25,28.1,28.1,28.1,0.0,0.0,28.27,28.27,28.27,0.0,0.0,26.6,26.6,26.6,0.0,0.0,26.85,26.85,26.85,0.0,0.0
2018-03-04,24.3,24.3,24.3,0.0,0.0,24.45,24.45,24.45,0.0,0.0,23.95,23.95,23.95,0.0,0.0,24.25,24.25,24.25,0.0,0.0
2018-03-11,25.9,25.9,25.9,0.0,0.0,27.27,27.27,27.27,0.0,0.0,25.85,25.85,25.85,0.0,0.0,26.7,26.7,26.7,0.0,0.0
2018-03-18,29.7,29.7,29.7,0.0,0.0,31.0,31.0,31.0,0.0,0.0,27.93,27.93,27.93,0.0,0.0,28.0,28.0,28.0,0.0,0.0
