Date,FlexShares Morningstar US Market Factor Tilt_Open_average,FlexShares Morningstar US Market Factor Tilt_Open_max,FlexShares Morningstar US Market Factor Tilt_Open_min,FlexShares Morningstar US Market Factor Tilt_Open_volatility,FlexShares Morningstar US Market Factor Tilt_Open_change,FlexShares Morningstar US Market Factor Tilt_High_average,FlexShares Morningstar US Market Factor Tilt_High_max,FlexShares Morningstar US Market Factor Tilt_High_min,FlexShares Morningstar US Market Factor Tilt_High_volatility,FlexShares Morningstar US Market Factor Tilt_High_change,FlexShares Morningstar US Market Factor Tilt_Low_average,FlexShares Morningstar US Market Factor Tilt_Low_max,FlexShares Morningstar US Market Factor Tilt_Low_min,FlexShares Morningstar US Market Factor Tilt_Low_volatility,FlexShares Morningstar US Market Factor Tilt_Low_change,FlexShares Morningstar US Market Factor Tilt_Close_average,FlexShares Morningstar US Market Factor Tilt_Close_max,FlexShares Morningstar US Market Factor Tilt_Close_min,FlexShares Morningstar US Market Factor Tilt_Close_volatility,FlexShares Morningstar US Market Factor Tilt_Close_change
2018-01-14,117.43,117.43,117.43,0.0,0.0,117.66,117.66,117.66,0.0,0.0,116.99,116.99,116.99,0.0,0.0,117.66,117.66,117.66,0.0,0.0
2018-01-21,118.54,118.54,118.54,0.0,0.0,118.7,118.7,118.7,0.0,0.0,118.12,118.12,118.12,0.0,0.0,118.23,118.23,118.23,0.0,0.0
2018-01-28,113.33,113.33,113.33,0.0,0.0,114.03,114.03,114.03,0.0,0.0,109.97,109.97,109.97,0.0,0.0,110.14,110.14,110.14,0.0,0.0
2018-02-04,109.28,109.28,109.28,0.0,0.0,110.44,110.44,110.44,0.0,0.0,109.1,109.1,109.1,0.0,0.0,110.06,110.06,110.06,0.0,0.0
2018-02-11,112.55,112.55,112.55,0.0,0.0,113.74,113.74,113.74,0.0,0.0,112.55,112.55,112.55,0.0,0.0,113.33,113.33,113.33,0.0,0.0
2018-02-18,114.35,114.35,114.35,0.0,0.0,114.91,114.91,114.91,0.0,0.0,114.07,114.07,114.07,0.0,0.0,114.77,114.77,114.77,0.0,0.0
2018-02-25,110.95,110.95,110.95,0.0,0.0,112.92,112.92,112.92,0.0,0.0,110.95,110.95,110.95,0.0,0.0,112.8,112.8,112.8,0.0,0.0
2018-03-04,115.54,115.54,115.54,0.0,0.0,115.82,115.82,115.82,0.0,0.0,115.36,115.36,115.36,0.0,0.0,115.56,115.56,115.56,0.0,0.0
2018-03-11,113.51,113.51,113.51,0.0,0.0,113.51,113.51,113.51,0.0,0.0,111.83,111.83,111.83,0.0,0.0,112.15,112.15,112.15,0.0,0.0
2018-03-18,109.16,109.16,109.16,0.0,0.0,109.85,109.85,109.85,0.0,0.0,108.59,108.59,108.59,0.0,0.0,109.85,109.85,109.85,0.0,0.0
2018-03-25,109.22,109.22,109.22,0.0,0.0,109.22,109.22,109.22,0.0,0.0,106.07,106.07,106.07,0.0,0.0,106.7,106.7,106.7,0.0,0.0
2018-04-01,108.96,108.96,108.96,0.0,0.0,110.0,110.0,110.0,0.0,0.0,108.96,108.96,108.96,0.0,0.0,109.28,109.28,109.28,0.0,0.0
2018-04-08,110.67,110.67,110.67,0.0,0.0,111.67,111.67,111.67,0.0,0.0,110.67,110.67,110.67,0.0,0.0,111.56,111.56,111.56,0.0,0.0
2018-04-15,111.08,111.08,111.08,0.0,0.0,111.55,111.55,111.55,0.0,0.0,110.89,110.89,110.89,0.0,0.0,111.07,111.07,111.07,0.0,0.0
2018-04-22,111.13,111.13,111.13,0.0,0.0,111.17,111.17,111.17,0.0,0.0,110.18,110.18,110.18,0.0,0.0,110.22,110.22,110.22,0.0,0.0
2018-04-29,111.14,111.14,111.14,0.0,0.0,111.36,111.36,111.36,0.0,0.0,110.96,110.96,110.96,0.0,0.0,111.04,111.04,111.04,0.0,0.0
2018-05-06,113.77,113.77,113.77,0.0,0.0,113.77,113.77,113.77,0.0,0.0,113.35,113.35,113.35,0.0,0.0,113.39,113.39,113.39,0.0,0.0
2018-05-13,114.3,114.3,114.3,0.0,0.0,114.51,114.51,114.51,0.0,0.0,114.16,114.16,114.16,0.0,0.0,114.23,114.23,114.23,0.0,0.0
2018-05-20,113.84,113.84,113.84,0.0,0.0,113.93,113.93,113.93,0.0,0.0,113.65,113.65,113.65,0.0,0.0,113.75,113.75,113.75,0.0,0.0
2018-05-27,114.65,114.65,114.65,0.0,0.0,114.92,114.92,114.92,0.0,0.0,114.6,114.6,114.6,0.0,0.0,114.92,114.92,114.92,0.0,0.0
2018-06-03,116.49,116.49,116.49,0.0,0.0,116.94,116.94,116.94,0.0,0.0,116.49,116.49,116.49,0.0,0.0,116.8,116.8,116.8,0.0,0.0
2018-06-10,115.75,115.75,115.75,0.0,0.0,116.03,116.03,116.03,0.0,0.0,115.36,115.36,115.36,0.0,0.0,116.01,116.01,116.01,0.0,0.0
2018-06-17,114.19,114.19,114.19,0.0,0.0,114.19,114.19,114.19,0.0,0.0,113.23,113.23,113.23,0.0,0.0,113.84,113.84,113.84,0.0,0.0
2018-06-24,112.83,112.83,112.83,0.0,0.0,113.79,113.79,113.79,0.0,0.0,112.83,112.83,112.83,0.0,0.0,113.79,113.79,113.79,0.0,0.0
2018-07-01,115.99,115.99,115.99,0.0,0.0,116.61,116.61,116.61,0.0,0.0,115.99,115.99,115.99,0.0,0.0,116.61,116.61,116.61,0.0,0.0
2018-07-08,116.53,116.53,116.53,0.0,0.0,116.54,116.54,116.54,0.0,0.0,116.1,116.1,116.1,0.0,0.0,116.23,116.23,116.23,0.0,0.0
2018-07-15,116.57,116.57,116.57,0.0,0.0,117.01,117.01,117.01,0.0,0.0,116.54,116.54,116.54,0.0,0.0,116.92,116.92,116.92,0.0,0.0
2018-07-22,116.39,116.39,116.39,0.0,0.0,116.6,116.6,116.6,0.0,0.0,116.24,116.24,116.24,0.0,0.0,116.28,116.28,116.28,0.0,0.0
2018-07-29,117.94,117.94,117.94,0.0,0.0,118.34,118.34,118.34,0.0,0.0,117.94,117.94,117.94,0.0,0.0,118.18,118.18,118.18,0.0,0.0
2018-08-05,118.02,118.02,118.02,0.0,0.0,118.02,118.02,118.02,0.0,0.0,117.12,117.12,117.12,0.0,0.0,117.3,117.3,117.3,0.0,0.0
2018-08-12,118.81,118.81,118.81,0.0,0.0,118.94,118.94,118.94,0.0,0.0,118.57,118.57,118.57,0.0,0.0,118.79,118.79,118.79,0.0,0.0
2018-08-19,120.33,120.33,120.33,0.0,0.0,120.67,120.67,120.67,0.0,0.0,120.33,120.33,120.33,0.0,0.0,120.44,120.44,120.44,0.0,0.0
2018-08-26,120.11,120.11,120.11,0.0,0.0,120.54,120.54,120.54,0.0,0.0,120.11,120.11,120.11,0.0,0.0,120.39,120.39,120.39,0.0,0.0
2018-09-02,119.62,119.62,119.62,0.0,0.0,119.62,119.62,119.62,0.0,0.0,119.34,119.34,119.34,0.0,0.0,119.36,119.36,119.36,0.0,0.0
2018-09-09,120.21,120.21,120.21,0.0,0.0,120.21,120.21,120.21,0.0,0.0,119.53,119.53,119.53,0.0,0.0,119.53,119.53,119.53,0.0,0.0
2018-09-16,119.78,119.78,119.78,0.0,0.0,120.07,120.07,120.07,0.0,0.0,119.78,119.78,119.78,0.0,0.0,120.0,120.0,120.0,0.0,0.0
2018-09-23,119.89,119.89,119.89,0.0,0.0,120.1,120.1,120.1,0.0,0.0,119.41,119.41,119.41,0.0,0.0,119.41,119.41,119.41,0.0,0.0
2018-09-30,117.17,117.17,117.17,0.0,0.0,117.79,117.79,117.79,0.0,0.0,117.02,117.02,117.02,0.0,0.0,117.79,117.79,117.79,0.0,0.0
2018-10-07,112.43,112.43,112.43,0.0,0.0,113.12,113.12,113.12,0.0,0.0,112.02,112.02,112.02,0.0,0.0,112.43,112.43,112.43,0.0,0.0
2018-10-14,112.93,112.93,112.93,0.0,0.0,112.93,112.93,112.93,0.0,0.0,111.81,111.81,111.81,0.0,0.0,112.14,112.14,112.14,0.0,0.0
2018-10-21,109.19,109.19,109.19,0.0,0.0,109.7,109.7,109.7,0.0,0.0,106.27,106.27,106.27,0.0,0.0,106.27,106.27,106.27,0.0,0.0
2018-10-28,111.7,111.7,111.7,0.0,0.0,112.04,112.04,112.04,0.0,0.0,111.36,111.36,111.36,0.0,0.0,112.04,112.04,112.04,0.0,0.0
2018-11-04,112.44,112.44,112.44,0.0,0.0,112.44,112.44,112.44,0.0,0.0,111.27,111.27,111.27,0.0,0.0,111.27,111.27,111.27,0.0,0.0
2018-11-11,110.97,110.97,110.97,0.0,0.0,110.97,110.97,110.97,0.0,0.0,109.48,109.48,109.48,0.0,0.0,109.52,109.52,109.52,0.0,0.0
2018-11-18,108.72,108.72,108.72,0.0,0.0,109.11,109.11,109.11,0.0,0.0,108.39,108.39,108.39,0.0,0.0,109.09,109.09,109.09,0.0,0.0
2018-11-25,113.77,113.77,113.77,0.0,0.0,113.77,113.77,113.77,0.0,0.0,112.34,112.34,112.34,0.0,0.0,113.13,113.13,113.13,0.0,0.0
2018-12-02,106.5,106.5,106.5,0.0,0.0,106.62,106.62,106.62,0.0,0.0,104.96,104.96,104.96,0.0,0.0,106.43,106.43,106.43,0.0,0.0
2018-12-09,104.17,104.17,104.17,0.0,0.0,104.66,104.66,104.66,0.0,0.0,102.03,102.03,102.03,0.0,0.0,102.36,102.36,102.36,0.0,0.0
2018-12-16,95.85,95.85,95.85,0.0,0.0,95.97,95.97,95.97,0.0,0.0,94.13,94.13,94.13,0.0,0.0,94.13,94.13,94.13,0.0,0.0
