Date,Vanguard Mid-Cap_Open_average,Vanguard Mid-Cap_Open_max,Vanguard Mid-Cap_Open_min,Vanguard Mid-Cap_Open_volatility,Vanguard Mid-Cap_Open_change,Vanguard Mid-Cap_High_average,Vanguard Mid-Cap_High_max,Vanguard Mid-Cap_High_min,Vanguard Mid-Cap_High_volatility,Vanguard Mid-Cap_High_change,Vanguard Mid-Cap_Low_average,Vanguard Mid-Cap_Low_max,Vanguard Mid-Cap_Low_min,Vanguard Mid-Cap_Low_volatility,Vanguard Mid-Cap_Low_change,Vanguard Mid-Cap_Close_average,Vanguard Mid-Cap_Close_max,Vanguard Mid-Cap_Close_min,Vanguard Mid-Cap_Close_volatility,Vanguard Mid-Cap_Close_change
2018-01-14,160.52,160.52,160.52,0.0,0.0,161.44,161.44,161.44,0.0,0.0,160.38,160.38,160.38,0.0,0.0,161.41,161.41,161.41,0.0,0.0
2018-01-21,163.22,163.22,163.22,0.0,0.0,164.16,164.16,164.16,0.0,0.0,162.88,162.88,162.88,0.0,0.0,164.16,164.16,164.16,0.0,0.0
2018-01-28,160.19,160.19,160.19,0.0,0.0,160.31,160.31,160.31,0.0,0.0,157.8,157.8,157.8,0.0,0.0,157.89,157.89,157.89,0.0,0.0
2018-02-04,150.09,150.09,150.09,0.0,0.0,151.54,151.54,151.54,0.0,0.0,145.9,145.9,145.9,0.0,0.0,150.51,150.51,150.51,0.0,0.0
2018-02-11,156.57,156.57,156.57,0.0,0.0,158.09,158.09,158.09,0.0,0.0,156.48,156.48,156.48,0.0,0.0,156.99,156.99,156.99,0.0,0.0
2018-02-18,156.05,156.05,156.05,0.0,0.0,157.48,157.48,157.48,0.0,0.0,155.55,155.55,155.55,0.0,0.0,157.48,157.48,157.48,0.0,0.0
2018-02-25,152.56,152.56,152.56,0.0,0.0,155.1,155.1,155.1,0.0,0.0,152.18,152.18,152.18,0.0,0.0,154.85,154.85,154.85,0.0,0.0
2018-03-04,159.49,159.49,159.49,0.0,0.0,161.01,161.01,161.01,0.0,0.0,159.13,159.13,159.13,0.0,0.0,161.0,161.0,161.0,0.0,0.0
2018-03-11,159.04,159.04,159.04,0.0,0.0,160.01,160.01,160.01,0.0,0.0,159.04,159.04,159.04,0.0,0.0,159.64,159.64,159.64,0.0,0.0
2018-03-18,154.42,154.42,154.42,0.0,0.0,155.12,155.12,155.12,0.0,0.0,151.19,151.19,151.19,0.0,0.0,151.36,151.36,151.36,0.0,0.0
2018-03-25,152.86,152.86,152.86,0.0,0.0,155.01,155.01,155.01,0.0,0.0,152.75,152.75,152.75,0.0,0.0,154.21,154.21,154.21,0.0,0.0
2018-04-01,153.93,153.93,153.93,0.0,0.0,154.66,154.66,154.66,0.0,0.0,150.7,150.7,150.7,0.0,0.0,151.76,151.76,151.76,0.0,0.0
2018-04-08,155.43,155.43,155.43,0.0,0.0,155.51,155.51,155.51,0.0,0.0,153.53,153.53,153.53,0.0,0.0,154.11,154.11,154.11,0.0,0.0
2018-04-15,156.47,156.47,156.47,0.0,0.0,156.53,156.53,156.53,0.0,0.0,154.88,154.88,154.88,0.0,0.0,155.41,155.41,155.41,0.0,0.0
2018-04-22,155.0,155.0,155.0,0.0,0.0,155.35,155.35,155.35,0.0,0.0,154.3,154.3,154.3,0.0,0.0,155.16,155.16,155.16,0.0,0.0
2018-04-29,152.22,152.22,152.22,0.0,0.0,155.12,155.12,155.12,0.0,0.0,151.82,151.82,151.82,0.0,0.0,154.6,154.6,154.6,0.0,0.0
