Date,iShares Interest Rate Hedged High Yield Bond_Open_average,iShares Interest Rate Hedged High Yield Bond_Open_max,iShares Interest Rate Hedged High Yield Bond_Open_min,iShares Interest Rate Hedged High Yield Bond_Open_volatility,iShares Interest Rate Hedged High Yield Bond_Open_change,iShares Interest Rate Hedged High Yield Bond_High_average,iShares Interest Rate Hedged High Yield Bond_High_max,iShares Interest Rate Hedged High Yield Bond_High_min,iShares Interest Rate Hedged High Yield Bond_High_volatility,iShares Interest Rate Hedged High Yield Bond_High_change,iShares Interest Rate Hedged High Yield Bond_Low_average,iShares Interest Rate Hedged High Yield Bond_Low_max,iShares Interest Rate Hedged High Yield Bond_Low_min,iShares Interest Rate Hedged High Yield Bond_Low_volatility,iShares Interest Rate Hedged High Yield Bond_Low_change,iShares Interest Rate Hedged High Yield Bond_Close_average,iShares Interest Rate Hedged High Yield Bond_Close_max,iShares Interest Rate Hedged High Yield Bond_Close_min,iShares Interest Rate Hedged High Yield Bond_Close_volatility,iShares Interest Rate Hedged High Yield Bond_Close_change
2018-01-14,92.02,92.02,92.02,0.0,0.0,92.16,92.16,92.16,0.0,0.0,92.02,92.02,92.02,0.0,0.0,92.09,92.09,92.09,0.0,0.0
2018-01-21,92.31,92.31,92.31,0.0,0.0,92.31,92.31,92.31,0.0,0.0,92.1,92.1,92.1,0.0,0.0,92.1,92.1,92.1,0.0,0.0
2018-01-28,91.17,91.17,91.17,0.0,0.0,91.51,91.51,91.51,0.0,0.0,90.47,90.47,90.47,0.0,0.0,90.52,90.52,90.52,0.0,0.0
2018-02-04,90.05,90.05,90.05,0.0,0.0,90.54,90.54,90.54,0.0,0.0,90.0,90.0,90.0,0.0,0.0,90.41,90.41,90.41,0.0,0.0
2018-02-11,91.26,91.26,91.26,0.0,0.0,91.6,91.6,91.6,0.0,0.0,91.24,91.24,91.24,0.0,0.0,91.6,91.6,91.6,0.0,0.0
2018-02-18,91.59,91.59,91.59,0.0,0.0,91.78,91.78,91.78,0.0,0.0,91.5,91.5,91.5,0.0,0.0,91.67,91.67,91.67,0.0,0.0
2018-02-25,90.61,90.61,90.61,0.0,0.0,90.95,90.95,90.95,0.0,0.0,90.61,90.61,90.61,0.0,0.0,90.86,90.86,90.86,0.0,0.0
2018-03-04,91.45,91.45,91.45,0.0,0.0,91.45,91.45,91.45,0.0,0.0,91.17,91.17,91.17,0.0,0.0,91.24,91.24,91.24,0.0,0.0
2018-03-11,91.07,91.07,91.07,0.0,0.0,91.07,91.07,91.07,0.0,0.0,90.73,90.73,90.73,0.0,0.0,90.82,90.82,90.82,0.0,0.0
2018-03-18,90.69,90.69,90.69,0.0,0.0,90.8,90.8,90.8,0.0,0.0,90.35,90.35,90.35,0.0,0.0,90.75,90.75,90.75,0.0,0.0
2018-03-25,90.63,90.63,90.63,0.0,0.0,90.63,90.63,90.63,0.0,0.0,90.13,90.13,90.13,0.0,0.0,90.36,90.36,90.36,0.0,0.0
2018-04-01,90.6,90.6,90.6,0.0,0.0,90.8,90.8,90.8,0.0,0.0,90.6,90.6,90.6,0.0,0.0,90.68,90.68,90.68,0.0,0.0
2018-04-08,91.86,91.86,91.86,0.0,0.0,91.94,91.94,91.94,0.0,0.0,91.76,91.76,91.76,0.0,0.0,91.88,91.88,91.88,0.0,0.0
2018-04-15,91.53,91.53,91.53,0.0,0.0,91.58,91.58,91.58,0.0,0.0,91.36,91.36,91.36,0.0,0.0,91.41,91.41,91.41,0.0,0.0
2018-04-22,91.39,91.39,91.39,0.0,0.0,91.52,91.52,91.52,0.0,0.0,91.37,91.37,91.37,0.0,0.0,91.42,91.42,91.42,0.0,0.0
2018-04-29,91.04,91.04,91.04,0.0,0.0,91.18,91.18,91.18,0.0,0.0,91.04,91.04,91.04,0.0,0.0,91.09,91.09,91.09,0.0,0.0
2018-05-06,91.52,91.52,91.52,0.0,0.0,92.0,92.0,92.0,0.0,0.0,91.37,91.37,91.37,0.0,0.0,91.5,91.5,91.5,0.0,0.0
2018-05-13,91.56,91.56,91.56,0.0,0.0,91.56,91.56,91.56,0.0,0.0,91.36,91.36,91.36,0.0,0.0,91.43,91.43,91.43,0.0,0.0
2018-05-20,91.15,91.15,91.15,0.0,0.0,91.17,91.17,91.17,0.0,0.0,91.0,91.0,91.0,0.0,0.0,91.07,91.07,91.07,0.0,0.0
2018-05-27,90.87,90.87,90.87,0.0,0.0,91.01,91.01,91.01,0.0,0.0,90.83,90.83,90.83,0.0,0.0,91.0,91.0,91.0,0.0,0.0
2018-06-03,91.46,91.46,91.46,0.0,0.0,91.55,91.55,91.55,0.0,0.0,91.44,91.44,91.44,0.0,0.0,91.53,91.53,91.53,0.0,0.0
2018-06-10,91.79,91.79,91.79,0.0,0.0,91.81,91.81,91.81,0.0,0.0,91.7,91.7,91.7,0.0,0.0,91.78,91.78,91.78,0.0,0.0
2018-06-17,91.5,91.5,91.5,0.0,0.0,91.5,91.5,91.5,0.0,0.0,91.18,91.18,91.18,0.0,0.0,91.36,91.36,91.36,0.0,0.0
2018-06-24,90.41,90.41,90.41,0.0,0.0,90.66,90.66,90.66,0.0,0.0,90.41,90.41,90.41,0.0,0.0,90.66,90.66,90.66,0.0,0.0
2018-07-01,91.0,91.0,91.0,0.0,0.0,91.03,91.03,91.03,0.0,0.0,90.97,90.97,90.97,0.0,0.0,90.98,90.98,90.98,0.0,0.0
2018-07-08,91.15,91.15,91.15,0.0,0.0,91.15,91.15,91.15,0.0,0.0,91.09,91.09,91.09,0.0,0.0,91.12,91.12,91.12,0.0,0.0
2018-07-15,91.32,91.32,91.32,0.0,0.0,91.41,91.41,91.41,0.0,0.0,91.3,91.3,91.3,0.0,0.0,91.39,91.39,91.39,0.0,0.0
2018-07-22,91.83,91.83,91.83,0.0,0.0,91.83,91.83,91.83,0.0,0.0,91.66,91.66,91.66,0.0,0.0,91.79,91.79,91.79,0.0,0.0
2018-07-29,91.67,91.67,91.67,0.0,0.0,91.81,91.81,91.81,0.0,0.0,91.65,91.65,91.65,0.0,0.0,91.81,91.81,91.81,0.0,0.0
2018-08-05,91.32,91.32,91.32,0.0,0.0,91.4,91.4,91.4,0.0,0.0,91.19,91.19,91.19,0.0,0.0,91.23,91.23,91.23,0.0,0.0
2018-08-12,91.47,91.47,91.47,0.0,0.0,91.51,91.51,91.51,0.0,0.0,91.43,91.43,91.43,0.0,0.0,91.45,91.45,91.45,0.0,0.0
2018-08-19,91.8,91.8,91.8,0.0,0.0,91.86,91.86,91.86,0.0,0.0,91.77,91.77,91.77,0.0,0.0,91.77,91.77,91.77,0.0,0.0
2018-08-26,91.78,91.78,91.78,0.0,0.0,92.0,92.0,92.0,0.0,0.0,91.78,91.78,91.78,0.0,0.0,92.0,92.0,92.0,0.0,0.0
2018-09-02,91.43,91.43,91.43,0.0,0.0,91.5,91.5,91.5,0.0,0.0,91.34,91.34,91.34,0.0,0.0,91.5,91.5,91.5,0.0,0.0
2018-09-09,92.27,92.27,92.27,0.0,0.0,92.27,92.27,92.27,0.0,0.0,92.04,92.04,92.04,0.0,0.0,92.1,92.1,92.1,0.0,0.0
2018-09-16,92.24,92.24,92.24,0.0,0.0,92.24,92.24,92.24,0.0,0.0,92.07,92.07,92.07,0.0,0.0,92.22,92.22,92.22,0.0,0.0
2018-09-23,92.59,92.59,92.59,0.0,0.0,92.72,92.72,92.72,0.0,0.0,92.56,92.56,92.56,0.0,0.0,92.71,92.71,92.71,0.0,0.0
2018-09-30,91.52,91.52,91.52,0.0,0.0,91.52,91.52,91.52,0.0,0.0,91.29,91.29,91.29,0.0,0.0,91.35,91.35,91.35,0.0,0.0
2018-10-07,91.13,91.13,91.13,0.0,0.0,91.31,91.31,91.31,0.0,0.0,91.08,91.08,91.08,0.0,0.0,91.08,91.08,91.08,0.0,0.0
2018-10-14,91.4,91.4,91.4,0.0,0.0,91.4,91.4,91.4,0.0,0.0,91.15,91.15,91.15,0.0,0.0,91.29,91.29,91.29,0.0,0.0
2018-10-21,90.75,90.75,90.75,0.0,0.0,90.75,90.75,90.75,0.0,0.0,90.32,90.32,90.32,0.0,0.0,90.36,90.36,90.36,0.0,0.0
2018-10-28,90.5,90.5,90.5,0.0,0.0,90.64,90.64,90.64,0.0,0.0,90.36,90.36,90.36,0.0,0.0,90.56,90.56,90.56,0.0,0.0
2018-11-04,90.45,90.45,90.45,0.0,0.0,90.54,90.54,90.54,0.0,0.0,89.8,89.8,89.8,0.0,0.0,89.8,89.8,89.8,0.0,0.0
2018-11-11,88.73,88.73,88.73,0.0,0.0,88.86,88.86,88.86,0.0,0.0,88.48,88.48,88.48,0.0,0.0,88.59,88.59,88.59,0.0,0.0
2018-11-18,88.86,88.86,88.86,0.0,0.0,88.86,88.86,88.86,0.0,0.0,88.55,88.55,88.55,0.0,0.0,88.73,88.73,88.73,0.0,0.0
2018-11-25,89.56,89.56,89.56,0.0,0.0,89.86,89.86,89.86,0.0,0.0,89.1,89.1,89.1,0.0,0.0,89.61,89.61,89.61,0.0,0.0
2018-12-02,87.73,87.73,87.73,0.0,0.0,87.88,87.88,87.88,0.0,0.0,87.38,87.38,87.38,0.0,0.0,87.74,87.74,87.74,0.0,0.0
2018-12-09,87.49,87.49,87.49,0.0,0.0,88.06,88.06,88.06,0.0,0.0,87.42,87.42,87.42,0.0,0.0,87.42,87.42,87.42,0.0,0.0
2018-12-16,84.91,84.91,84.91,0.0,0.0,84.92,84.92,84.92,0.0,0.0,84.39,84.39,84.39,0.0,0.0,84.42,84.42,84.42,0.0,0.0
2018-12-23,85.0,85.0,85.0,0.0,0.0,85.04,85.04,85.04,0.0,0.0,84.61,84.61,84.61,0.0,0.0,84.77,84.77,84.77,0.0,0.0
