Date,Vanguard Tax-Exempt BondEtf_Open_average,Vanguard Tax-Exempt BondEtf_Open_max,Vanguard Tax-Exempt BondEtf_Open_min,Vanguard Tax-Exempt BondEtf_Open_volatility,Vanguard Tax-Exempt BondEtf_Open_change,Vanguard Tax-Exempt BondEtf_High_average,Vanguard Tax-Exempt BondEtf_High_max,Vanguard Tax-Exempt BondEtf_High_min,Vanguard Tax-Exempt BondEtf_High_volatility,Vanguard Tax-Exempt BondEtf_High_change,Vanguard Tax-Exempt BondEtf_Low_average,Vanguard Tax-Exempt BondEtf_Low_max,Vanguard Tax-Exempt BondEtf_Low_min,Vanguard Tax-Exempt BondEtf_Low_volatility,Vanguard Tax-Exempt BondEtf_Low_change,Vanguard Tax-Exempt BondEtf_Close_average,Vanguard Tax-Exempt BondEtf_Close_max,Vanguard Tax-Exempt BondEtf_Close_min,Vanguard Tax-Exempt BondEtf_Close_volatility,Vanguard Tax-Exempt BondEtf_Close_change
2018-01-14,51.45,51.45,51.45,0.0,0.0,51.47,51.47,51.47,0.0,0.0,51.38,51.38,51.38,0.0,0.0,51.43,51.43,51.43,0.0,0.0
2018-01-21,51.28,51.28,51.28,0.0,0.0,51.31,51.31,51.31,0.0,0.0,51.23,51.23,51.23,0.0,0.0,51.25,51.25,51.25,0.0,0.0
2018-01-28,50.8,50.8,50.8,0.0,0.0,50.81,50.81,50.81,0.0,0.0,50.69,50.69,50.69,0.0,0.0,50.72,50.72,50.72,0.0,0.0
2018-02-04,50.74,50.74,50.74,0.0,0.0,50.87,50.87,50.87,0.0,0.0,50.74,50.74,50.74,0.0,0.0,50.76,50.76,50.76,0.0,0.0
2018-02-11,50.8,50.8,50.8,0.0,0.0,50.84,50.84,50.84,0.0,0.0,50.77,50.77,50.77,0.0,0.0,50.77,50.77,50.77,0.0,0.0
2018-02-18,50.78,50.78,50.78,0.0,0.0,50.8,50.8,50.8,0.0,0.0,50.74,50.74,50.74,0.0,0.0,50.76,50.76,50.76,0.0,0.0
2018-02-25,50.69,50.69,50.69,0.0,0.0,50.74,50.74,50.74,0.0,0.0,50.62,50.62,50.62,0.0,0.0,50.67,50.67,50.67,0.0,0.0
2018-03-04,50.66,50.66,50.66,0.0,0.0,50.67,50.67,50.67,0.0,0.0,50.61,50.61,50.61,0.0,0.0,50.66,50.66,50.66,0.0,0.0
2018-03-11,50.67,50.67,50.67,0.0,0.0,50.72,50.72,50.72,0.0,0.0,50.65,50.65,50.65,0.0,0.0,50.68,50.68,50.68,0.0,0.0
2018-03-18,50.69,50.69,50.69,0.0,0.0,50.72,50.72,50.72,0.0,0.0,50.65,50.65,50.65,0.0,0.0,50.72,50.72,50.72,0.0,0.0
