Date,RRTS_Open_average,RRTS_Open_max,RRTS_Open_min,RRTS_Open_volatility,RRTS_Open_change,RRTS_High_average,RRTS_High_max,RRTS_High_min,RRTS_High_volatility,RRTS_High_change,RRTS_Low_average,RRTS_Low_max,RRTS_Low_min,RRTS_Low_volatility,RRTS_Low_change,RRTS_Close_average,RRTS_Close_max,RRTS_Close_min,RRTS_Close_volatility,RRTS_Close_change,RRTS_Volume_average,RRTS_Volume_max,RRTS_Volume_min,RRTS_Volume_volatility,RRTS_Volume_change
2018-01-14,197.75,206.75,193.5,13.25,-9.5,199.6,207.0,197.12,9.879999999999995,-9.5,192.904,195.5,190.05,5.449999999999989,-2.75,195.75,197.0,193.25,3.75,1.0,2979,4262,1646,2616,-1129
2018-01-21,189.75,195.0,183.25,11.75,-10.5,190.55,196.25,184.75,11.5,-11.5,184.6,190.5,180.75,9.75,-9.0,186.5,194.25,180.75,13.5,-13.5,3716,6254,2358,3896,-1727
2018-01-28,150.15,179.25,124.5,54.75,-54.75,151.7,181.5,124.5,57.0,-57.0,135.788,174.44,116.5,57.94,-57.94,140.2,178.5,122.5,56.0,-55.75,17071,30485,4571,25914,12132
2018-02-04,108.75,119.0,100.75,18.25,-18.25,111.044,123.75,104.72,19.03,-17.75,103.05,111.5,97.5,14.0,-13.75,105.4,111.75,101.0,10.75,-7.25,12159,13401,10376,3025,-691
2018-02-11,101.0,104.0,99.25,4.75,-4.75,102.3125,105.0,101.25,3.75,-3.5,97.125,100.25,94.25,6.0,-6.0,98.9375,100.75,94.5,6.25,-6.0,9821,13688,6859,6829,4872
2018-02-18,93.2,96.75,88.0,8.75,1.75,99.894,109.0,95.75,13.25,13.25,90.8,94.75,88.0,6.75,6.75,95.85,108.5,88.0,20.5,20.5,19783,44465,5952,38513,23997
2018-02-25,98.7,109.5,92.0,17.5,-13.5,101.708,110.25,97.38,12.870000000000005,-12.870000000000005,94.05,98.75,90.25,8.5,-6.25,96.3,100.25,94.0,6.25,-5.0,15322,24523,9686,14837,-7814
2018-03-04,96.6,98.0,94.25,3.75,2.25,99.05,100.25,96.75,3.5,3.5,94.6,97.5,92.75,4.75,4.75,97.5,99.25,95.75,3.5,3.5,8177,9446,6468,2978,-2125
2018-03-11,98.75,102.75,96.0,6.75,3.0,101.0,104.25,98.25,6.0,2.25,94.658,96.5,89.27,7.230000000000004,-7.230000000000004,97.45,103.5,92.25,11.25,-5.0,18380,38388,5946,32442,28036
2018-03-18,87.95,92.0,82.0,10.0,-10.0,89.638,94.69,84.0,10.689999999999998,-10.689999999999998,83.45,90.25,71.5,18.75,-18.75,84.15,92.0,72.5,19.5,-19.5,16754,31559,11682,19877,19877
2018-03-25,70.625,74.25,67.0,7.25,-3.75,74.1875,76.25,69.75,6.5,-0.75,63.8775,69.88,57.0,12.879999999999995,-12.879999999999995,65.6875,74.0,59.75,14.25,-14.25,32502,48649,15131,33518,33518
2018-04-01,60.3,62.25,58.0,4.25,-1.0,63.15,67.5,58.0,9.5,-6.25,56.7,60.0,53.75,6.25,1.0,59.7,63.0,54.75,8.25,-8.25,19684,30334,13910,16424,-16424
2018-04-08,56.95,57.75,55.5,2.25,1.5,58.1,58.75,57.5,1.25,-1.0,54.9,56.25,53.5,2.75,-0.75,56.7,57.75,55.5,2.25,-1.5,15002,19188,9027,10161,4926
