Date,iShares Currency Hedged MSCI EAFE Small CapEtf_Open_average,iShares Currency Hedged MSCI EAFE Small CapEtf_Open_max,iShares Currency Hedged MSCI EAFE Small CapEtf_Open_min,iShares Currency Hedged MSCI EAFE Small CapEtf_Open_volatility,iShares Currency Hedged MSCI EAFE Small CapEtf_Open_change,iShares Currency Hedged MSCI EAFE Small CapEtf_High_average,iShares Currency Hedged MSCI EAFE Small CapEtf_High_max,iShares Currency Hedged MSCI EAFE Small CapEtf_High_min,iShares Currency Hedged MSCI EAFE Small CapEtf_High_volatility,iShares Currency Hedged MSCI EAFE Small CapEtf_High_change,iShares Currency Hedged MSCI EAFE Small CapEtf_Low_average,iShares Currency Hedged MSCI EAFE Small CapEtf_Low_max,iShares Currency Hedged MSCI EAFE Small CapEtf_Low_min,iShares Currency Hedged MSCI EAFE Small CapEtf_Low_volatility,iShares Currency Hedged MSCI EAFE Small CapEtf_Low_change,iShares Currency Hedged MSCI EAFE Small CapEtf_Close_average,iShares Currency Hedged MSCI EAFE Small CapEtf_Close_max,iShares Currency Hedged MSCI EAFE Small CapEtf_Close_min,iShares Currency Hedged MSCI EAFE Small CapEtf_Close_volatility,iShares Currency Hedged MSCI EAFE Small CapEtf_Close_change
2018-01-14,31.83,31.83,31.83,0.0,0.0,31.87,31.87,31.87,0.0,0.0,31.83,31.83,31.83,0.0,0.0,31.87,31.87,31.87,0.0,0.0
2018-01-21,31.97,31.97,31.97,0.0,0.0,31.97,31.97,31.97,0.0,0.0,31.97,31.97,31.97,0.0,0.0,31.97,31.97,31.97,0.0,0.0
2018-01-28,31.23,31.23,31.23,0.0,0.0,31.23,31.23,31.23,0.0,0.0,31.17,31.17,31.17,0.0,0.0,31.17,31.17,31.17,0.0,0.0
2018-02-04,29.34,29.34,29.34,0.0,0.0,29.64,29.64,29.64,0.0,0.0,29.34,29.34,29.34,0.0,0.0,29.64,29.64,29.64,0.0,0.0
2018-02-11,30.39,30.39,30.39,0.0,0.0,30.44,30.44,30.44,0.0,0.0,30.39,30.39,30.39,0.0,0.0,30.44,30.44,30.44,0.0,0.0
2018-02-18,30.79,30.79,30.79,0.0,0.0,30.86,30.86,30.86,0.0,0.0,30.79,30.79,30.79,0.0,0.0,30.86,30.86,30.86,0.0,0.0
2018-02-25,29.74,29.74,29.74,0.0,0.0,30.01,30.01,30.01,0.0,0.0,29.74,29.74,29.74,0.0,0.0,30.01,30.01,30.01,0.0,0.0
2018-03-04,30.82,30.82,30.82,0.0,0.0,30.82,30.82,30.82,0.0,0.0,30.82,30.82,30.82,0.0,0.0,30.82,30.82,30.82,0.0,0.0
2018-03-11,30.76,30.76,30.76,0.0,0.0,30.77,30.77,30.77,0.0,0.0,30.76,30.76,30.76,0.0,0.0,30.77,30.77,30.77,0.0,0.0
2018-03-18,30.53,30.53,30.53,0.0,0.0,30.53,30.53,30.53,0.0,0.0,30.53,30.53,30.53,0.0,0.0,30.53,30.53,30.53,0.0,0.0
