Date,DIT_Open_average,DIT_Open_max,DIT_Open_volatility,DIT_Open_change,DIT_High_average,DIT_High_max,DIT_High_volatility,DIT_High_change,DIT_Low_average,DIT_Low_max,DIT_Low_volatility,DIT_Low_change,DIT_Close_average,DIT_Close_max,DIT_Close_volatility,DIT_Close_change,DIT_Volume_average,DIT_Volume_max,DIT_Volume_volatility,DIT_Volume_change
2016-01-03,78.606,80.75,4.739999999999995,-2.8700000000000045,79.346,80.75,2.9399999999999977,-2.8700000000000045,77.258,79.5,4.400000000000006,-1.6200000000000045,78.316,80.5,4.0,-2.6200000000000045,2156,4710,4541,-953
2016-01-10,78.07666666666667,78.6,1.3599999999999994,-1.1500000000000057,78.07666666666667,78.6,1.3599999999999994,-1.1500000000000057,78.04666666666667,78.6,1.4499999999999886,-1.2399999999999949,78.04666666666667,78.6,1.4499999999999886,-1.2399999999999949,401,1002,901,901
2016-01-17,72.806,75.0,4.569999999999993,-4.569999999999993,73.49799999999999,77.0,6.200000000000003,-6.200000000000003,71.356,75.0,5.200000000000003,-4.569999999999993,71.89,75.0,5.0,-4.200000000000003,1267,2674,2094,-501
2016-01-24,72.66666666666667,72.93,0.6800000000000068,-0.5699999999999932,72.66666666666667,72.93,0.6800000000000068,-0.5699999999999932,71.71,72.28,1.6800000000000068,-0.030000000000001137,71.71,72.28,1.6800000000000068,-0.030000000000001137,412,827,627,-617
2016-01-31,75.86,75.86,0.0,0.0,75.86,75.86,0.0,0.0,75.86,75.86,0.0,0.0,75.86,75.86,0.0,0.0,127,127,0,0
2016-02-07,77.91,77.91,0.0,0.0,77.91,77.91,0.0,0.0,77.91,77.91,0.0,0.0,77.91,77.91,0.0,0.0,226,226,0,0
2016-02-14,78.72,80.26,2.3100000000000023,2.3100000000000023,78.72,80.26,2.3100000000000023,2.3100000000000023,78.72,80.26,2.3100000000000023,2.3100000000000023,78.72,80.26,2.3100000000000023,2.3100000000000023,810,1738,1638,-493
2016-02-21,80.26,81.0,1.2199999999999989,1.2199999999999989,80.26,81.0,1.2199999999999989,1.2199999999999989,80.26,81.0,1.2199999999999989,1.2199999999999989,80.26,81.0,1.2199999999999989,1.2199999999999989,203,208,8,7
2016-02-28,81.0,81.0,0.0,0.0,81.0,81.0,0.0,0.0,81.0,81.0,0.0,0.0,81.0,81.0,0.0,0.0,179,179,0,0
2016-03-06,79.58,79.58,0.0,0.0,79.58,79.58,0.0,0.0,79.58,79.58,0.0,0.0,79.58,79.58,0.0,0.0,143,143,0,0
