Date,First Trust RBA American Industrial Renaissance_Open_average,First Trust RBA American Industrial Renaissance_Open_max,First Trust RBA American Industrial Renaissance_Open_min,First Trust RBA American Industrial Renaissance_Open_volatility,First Trust RBA American Industrial Renaissance_Open_change,First Trust RBA American Industrial Renaissance_High_average,First Trust RBA American Industrial Renaissance_High_max,First Trust RBA American Industrial Renaissance_High_min,First Trust RBA American Industrial Renaissance_High_volatility,First Trust RBA American Industrial Renaissance_High_change,First Trust RBA American Industrial Renaissance_Low_average,First Trust RBA American Industrial Renaissance_Low_max,First Trust RBA American Industrial Renaissance_Low_min,First Trust RBA American Industrial Renaissance_Low_volatility,First Trust RBA American Industrial Renaissance_Low_change,First Trust RBA American Industrial Renaissance_Close_average,First Trust RBA American Industrial Renaissance_Close_max,First Trust RBA American Industrial Renaissance_Close_min,First Trust RBA American Industrial Renaissance_Close_volatility,First Trust RBA American Industrial Renaissance_Close_change
2018-01-14,27.7,27.7,27.7,0.0,0.0,28.07,28.07,28.07,0.0,0.0,27.7,27.7,27.7,0.0,0.0,28.07,28.07,28.07,0.0,0.0
2018-01-21,28.01,28.01,28.01,0.0,0.0,28.01,28.01,28.01,0.0,0.0,27.78,27.78,27.78,0.0,0.0,27.95,27.95,27.95,0.0,0.0
2018-01-28,27.36,27.36,27.36,0.0,0.0,27.37,27.37,27.37,0.0,0.0,27.03,27.03,27.03,0.0,0.0,27.03,27.03,27.03,0.0,0.0
2018-02-04,25.56,25.56,25.56,0.0,0.0,25.86,25.86,25.86,0.0,0.0,24.99,24.99,24.99,0.0,0.0,25.68,25.68,25.68,0.0,0.0
2018-02-11,26.14,26.14,26.14,0.0,0.0,26.67,26.67,26.67,0.0,0.0,26.14,26.14,26.14,0.0,0.0,26.57,26.57,26.57,0.0,0.0
2018-02-18,26.7,26.7,26.7,0.0,0.0,26.7,26.7,26.7,0.0,0.0,26.29,26.29,26.29,0.0,0.0,26.42,26.42,26.42,0.0,0.0
2018-02-25,25.55,25.55,25.55,0.0,0.0,25.98,25.98,25.98,0.0,0.0,25.48,25.48,25.48,0.0,0.0,25.89,25.89,25.89,0.0,0.0
2018-03-04,26.62,26.62,26.62,0.0,0.0,27.11,27.11,27.11,0.0,0.0,26.62,26.62,26.62,0.0,0.0,27.09,27.09,27.09,0.0,0.0
2018-03-11,26.75,26.75,26.75,0.0,0.0,27.03,27.03,27.03,0.0,0.0,26.63,26.63,26.63,0.0,0.0,26.92,26.92,26.92,0.0,0.0
2018-03-18,26.06,26.06,26.06,0.0,0.0,26.06,26.06,26.06,0.0,0.0,25.22,25.22,25.22,0.0,0.0,25.22,25.22,25.22,0.0,0.0
2018-03-25,25.85,25.85,25.85,0.0,0.0,26.15,26.15,26.15,0.0,0.0,25.85,25.85,25.85,0.0,0.0,25.98,25.98,25.98,0.0,0.0
2018-04-01,26.09,26.09,26.09,0.0,0.0,26.12,26.12,26.12,0.0,0.0,25.3,25.3,25.3,0.0,0.0,25.61,25.61,25.61,0.0,0.0
2018-04-08,25.83,25.83,25.83,0.0,0.0,25.91,25.91,25.91,0.0,0.0,25.66,25.66,25.66,0.0,0.0,25.72,25.72,25.72,0.0,0.0
2018-04-15,26.1,26.1,26.1,0.0,0.0,26.26,26.26,26.26,0.0,0.0,25.94,25.94,25.94,0.0,0.0,25.97,25.97,25.97,0.0,0.0
2018-04-22,25.67,25.67,25.67,0.0,0.0,25.67,25.67,25.67,0.0,0.0,25.35,25.35,25.35,0.0,0.0,25.4,25.4,25.4,0.0,0.0
2018-04-29,25.01,25.01,25.01,0.0,0.0,25.45,25.45,25.45,0.0,0.0,24.99,24.99,24.99,0.0,0.0,25.3,25.3,25.3,0.0,0.0
2018-05-06,26.27,26.27,26.27,0.0,0.0,26.37,26.37,26.37,0.0,0.0,26.15,26.15,26.15,0.0,0.0,26.2,26.2,26.2,0.0,0.0
2018-05-13,26.5,26.5,26.5,0.0,0.0,26.68,26.68,26.68,0.0,0.0,26.5,26.5,26.5,0.0,0.0,26.56,26.56,26.56,0.0,0.0
2018-05-20,26.33,26.33,26.33,0.0,0.0,26.44,26.44,26.44,0.0,0.0,26.3,26.3,26.3,0.0,0.0,26.43,26.43,26.43,0.0,0.0
2018-05-27,26.68,26.68,26.68,0.0,0.0,26.76,26.76,26.76,0.0,0.0,26.6,26.6,26.6,0.0,0.0,26.64,26.64,26.64,0.0,0.0
2018-06-03,27.2,27.2,27.2,0.0,0.0,27.2,27.2,27.2,0.0,0.0,27.04,27.04,27.04,0.0,0.0,27.14,27.14,27.14,0.0,0.0
2018-06-10,26.99,26.99,26.99,0.0,0.0,27.08,27.08,27.08,0.0,0.0,26.84,26.84,26.84,0.0,0.0,27.08,27.08,27.08,0.0,0.0
2018-06-17,26.9,26.9,26.9,0.0,0.0,27.11,27.11,27.11,0.0,0.0,26.86,26.86,26.86,0.0,0.0,26.96,26.96,26.96,0.0,0.0
2018-06-24,26.68,26.68,26.68,0.0,0.0,26.85,26.85,26.85,0.0,0.0,26.68,26.68,26.68,0.0,0.0,26.81,26.81,26.81,0.0,0.0
2018-07-01,27.34,27.34,27.34,0.0,0.0,27.41,27.41,27.41,0.0,0.0,27.33,27.33,27.33,0.0,0.0,27.36,27.36,27.36,0.0,0.0
2018-07-08,27.58,27.58,27.58,0.0,0.0,27.65,27.65,27.65,0.0,0.0,27.48,27.48,27.48,0.0,0.0,27.48,27.48,27.48,0.0,0.0
2018-07-15,27.47,27.47,27.47,0.0,0.0,27.72,27.72,27.72,0.0,0.0,27.47,27.47,27.47,0.0,0.0,27.61,27.61,27.61,0.0,0.0
2018-07-22,27.75,27.75,27.75,0.0,0.0,27.87,27.87,27.87,0.0,0.0,27.25,27.25,27.25,0.0,0.0,27.25,27.25,27.25,0.0,0.0
2018-07-29,27.67,27.67,27.67,0.0,0.0,27.78,27.78,27.78,0.0,0.0,27.41,27.41,27.41,0.0,0.0,27.52,27.52,27.52,0.0,0.0
