Date,ProShares MSCI Europe Dividend Growers_Open_average,ProShares MSCI Europe Dividend Growers_Open_max,ProShares MSCI Europe Dividend Growers_Open_min,ProShares MSCI Europe Dividend Growers_Open_volatility,ProShares MSCI Europe Dividend Growers_Open_change,ProShares MSCI Europe Dividend Growers_High_average,ProShares MSCI Europe Dividend Growers_High_max,ProShares MSCI Europe Dividend Growers_High_min,ProShares MSCI Europe Dividend Growers_High_volatility,ProShares MSCI Europe Dividend Growers_High_change,ProShares MSCI Europe Dividend Growers_Low_average,ProShares MSCI Europe Dividend Growers_Low_max,ProShares MSCI Europe Dividend Growers_Low_min,ProShares MSCI Europe Dividend Growers_Low_volatility,ProShares MSCI Europe Dividend Growers_Low_change,ProShares MSCI Europe Dividend Growers_Close_average,ProShares MSCI Europe Dividend Growers_Close_max,ProShares MSCI Europe Dividend Growers_Close_min,ProShares MSCI Europe Dividend Growers_Close_volatility,ProShares MSCI Europe Dividend Growers_Close_change
2018-07-22,43.07,43.07,43.07,0.0,0.0,43.07,43.07,43.07,0.0,0.0,43.07,43.07,43.07,0.0,0.0,43.07,43.07,43.07,0.0,0.0
2018-07-29,42.69,42.69,42.69,0.0,0.0,42.83,42.83,42.83,0.0,0.0,42.69,42.69,42.69,0.0,0.0,42.83,42.83,42.83,0.0,0.0
2018-08-05,41.94,41.94,41.94,0.0,0.0,41.94,41.94,41.94,0.0,0.0,41.94,41.94,41.94,0.0,0.0,41.94,41.94,41.94,0.0,0.0
2018-08-12,42.06,42.06,42.06,0.0,0.0,42.06,42.06,42.06,0.0,0.0,41.97,41.97,41.97,0.0,0.0,41.97,41.97,41.97,0.0,0.0
2018-08-19,42.96,42.96,42.96,0.0,0.0,42.96,42.96,42.96,0.0,0.0,42.96,42.96,42.96,0.0,0.0,42.96,42.96,42.96,0.0,0.0
2018-08-26,42.91,42.91,42.91,0.0,0.0,42.91,42.91,42.91,0.0,0.0,42.91,42.91,42.91,0.0,0.0,42.91,42.91,42.91,0.0,0.0
2018-09-02,41.75,41.75,41.75,0.0,0.0,41.75,41.75,41.75,0.0,0.0,41.61,41.61,41.61,0.0,0.0,41.62,41.62,41.62,0.0,0.0
2018-09-09,42.11,42.11,42.11,0.0,0.0,42.11,42.11,42.11,0.0,0.0,42.11,42.11,42.11,0.0,0.0,42.11,42.11,42.11,0.0,0.0
2018-09-16,41.94,41.94,41.94,0.0,0.0,41.94,41.94,41.94,0.0,0.0,41.94,41.94,41.94,0.0,0.0,41.94,41.94,41.94,0.0,0.0
2018-09-23,41.76,41.76,41.76,0.0,0.0,41.77,41.77,41.77,0.0,0.0,41.75,41.75,41.75,0.0,0.0,41.75,41.75,41.75,0.0,0.0
2018-09-30,40.37,40.37,40.37,0.0,0.0,40.55,40.55,40.55,0.0,0.0,40.25,40.25,40.25,0.0,0.0,40.36,40.36,40.36,0.0,0.0
2018-10-07,38.9,38.9,38.9,0.0,0.0,38.9,38.9,38.9,0.0,0.0,38.9,38.9,38.9,0.0,0.0,38.9,38.9,38.9,0.0,0.0
2018-10-14,39.13,39.13,39.13,0.0,0.0,39.13,39.13,39.13,0.0,0.0,38.87,38.87,38.87,0.0,0.0,38.87,38.87,38.87,0.0,0.0
2018-10-21,38.53,38.53,38.53,0.0,0.0,38.53,38.53,38.53,0.0,0.0,38.53,38.53,38.53,0.0,0.0,38.53,38.53,38.53,0.0,0.0
2018-10-28,38.92,38.92,38.92,0.0,0.0,38.92,38.92,38.92,0.0,0.0,38.91,38.91,38.91,0.0,0.0,38.91,38.91,38.91,0.0,0.0
2018-11-04,38.86,38.86,38.86,0.0,0.0,38.9,38.9,38.9,0.0,0.0,38.86,38.86,38.86,0.0,0.0,38.9,38.9,38.9,0.0,0.0
2018-11-11,38.73,38.73,38.73,0.0,0.0,38.73,38.73,38.73,0.0,0.0,38.58,38.58,38.58,0.0,0.0,38.63,38.63,38.63,0.0,0.0
2018-11-18,38.7,38.7,38.7,0.0,0.0,38.7,38.7,38.7,0.0,0.0,38.7,38.7,38.7,0.0,0.0,38.7,38.7,38.7,0.0,0.0
2018-11-25,38.89,38.89,38.89,0.0,0.0,38.89,38.89,38.89,0.0,0.0,38.58,38.58,38.58,0.0,0.0,38.68,38.68,38.68,0.0,0.0
2018-12-02,36.76,36.76,36.76,0.0,0.0,36.76,36.76,36.76,0.0,0.0,36.62,36.62,36.62,0.0,0.0,36.62,36.62,36.62,0.0,0.0
2018-12-09,36.46,36.46,36.46,0.0,0.0,36.46,36.46,36.46,0.0,0.0,36.46,36.46,36.46,0.0,0.0,36.46,36.46,36.46,0.0,0.0
2018-12-16,35.87,35.87,35.87,0.0,0.0,35.87,35.87,35.87,0.0,0.0,35.69,35.69,35.69,0.0,0.0,35.69,35.69,35.69,0.0,0.0
2018-12-23,36.34,36.34,36.34,0.0,0.0,36.4,36.4,36.4,0.0,0.0,36.25,36.25,36.25,0.0,0.0,36.4,36.4,36.4,0.0,0.0
2018-12-30,36.87,36.87,36.87,0.0,0.0,37.09,37.09,37.09,0.0,0.0,36.87,36.87,36.87,0.0,0.0,37.09,37.09,37.09,0.0,0.0
2019-01-06,37.73,37.73,37.73,0.0,0.0,37.75,37.75,37.75,0.0,0.0,37.69,37.69,37.69,0.0,0.0,37.75,37.75,37.75,0.0,0.0
2019-01-13,38.35,38.35,38.35,0.0,0.0,38.39,38.39,38.39,0.0,0.0,38.35,38.35,38.35,0.0,0.0,38.39,38.39,38.39,0.0,0.0
2019-01-20,38.1,38.1,38.1,0.0,0.0,38.22,38.22,38.22,0.0,0.0,38.09,38.09,38.09,0.0,0.0,38.22,38.22,38.22,0.0,0.0
2019-01-27,38.8,38.8,38.8,0.0,0.0,38.99,38.99,38.99,0.0,0.0,38.8,38.8,38.8,0.0,0.0,38.99,38.99,38.99,0.0,0.0
2019-02-03,38.55,38.55,38.55,0.0,0.0,38.55,38.55,38.55,0.0,0.0,38.55,38.55,38.55,0.0,0.0,38.55,38.55,38.55,0.0,0.0
2019-02-10,39.09,39.09,39.09,0.0,0.0,39.24,39.24,39.24,0.0,0.0,39.09,39.09,39.09,0.0,0.0,39.24,39.24,39.24,0.0,0.0
2019-02-17,39.39,39.39,39.39,0.0,0.0,39.39,39.39,39.39,0.0,0.0,39.39,39.39,39.39,0.0,0.0,39.39,39.39,39.39,0.0,0.0
2019-02-24,39.56,39.56,39.56,0.0,0.0,39.65,39.65,39.65,0.0,0.0,39.55,39.55,39.55,0.0,0.0,39.55,39.55,39.55,0.0,0.0
2019-03-03,39.13,39.13,39.13,0.0,0.0,39.13,39.13,39.13,0.0,0.0,39.13,39.13,39.13,0.0,0.0,39.13,39.13,39.13,0.0,0.0
2019-03-10,40.52,40.52,40.52,0.0,0.0,40.53,40.53,40.53,0.0,0.0,40.52,40.52,40.52,0.0,0.0,40.53,40.53,40.53,0.0,0.0
2019-03-17,39.66,39.66,39.66,0.0,0.0,39.66,39.66,39.66,0.0,0.0,39.66,39.66,39.66,0.0,0.0,39.66,39.66,39.66,0.0,0.0
2019-03-24,40.36,40.36,40.36,0.0,0.0,40.36,40.36,40.36,0.0,0.0,40.36,40.36,40.36,0.0,0.0,40.36,40.36,40.36,0.0,0.0
2019-03-31,40.65,40.65,40.65,0.0,0.0,40.66,40.66,40.66,0.0,0.0,40.56,40.56,40.56,0.0,0.0,40.56,40.56,40.56,0.0,0.0
2019-04-07,40.63,40.63,40.63,0.0,0.0,40.63,40.63,40.63,0.0,0.0,40.63,40.63,40.63,0.0,0.0,40.63,40.63,40.63,0.0,0.0
2019-04-14,40.7,40.7,40.7,0.0,0.0,40.7,40.7,40.7,0.0,0.0,40.53,40.53,40.53,0.0,0.0,40.53,40.53,40.53,0.0,0.0
2019-04-21,40.53,40.53,40.53,0.0,0.0,40.72,40.72,40.72,0.0,0.0,40.53,40.53,40.53,0.0,0.0,40.72,40.72,40.72,0.0,0.0
2019-04-28,40.62,40.62,40.62,0.0,0.0,40.62,40.62,40.62,0.0,0.0,40.62,40.62,40.62,0.0,0.0,40.62,40.62,40.62,0.0,0.0
2019-05-05,39.55,39.55,39.55,0.0,0.0,39.55,39.55,39.55,0.0,0.0,39.55,39.55,39.55,0.0,0.0,39.55,39.55,39.55,0.0,0.0
2019-05-12,39.58,39.58,39.58,0.0,0.0,39.58,39.58,39.58,0.0,0.0,39.58,39.58,39.58,0.0,0.0,39.58,39.58,39.58,0.0,0.0
2019-05-19,39.46,39.46,39.46,0.0,0.0,39.49,39.49,39.49,0.0,0.0,39.46,39.46,39.46,0.0,0.0,39.48,39.48,39.48,0.0,0.0
2019-05-26,39.0,39.0,39.0,0.0,0.0,39.11,39.11,39.11,0.0,0.0,38.88,38.88,38.88,0.0,0.0,39.11,39.11,39.11,0.0,0.0
2019-06-02,40.49,40.49,40.49,0.0,0.0,40.63,40.63,40.63,0.0,0.0,40.46,40.46,40.46,0.0,0.0,40.46,40.46,40.46,0.0,0.0
2019-06-09,40.0,40.0,40.0,0.0,0.0,40.0,40.0,40.0,0.0,0.0,40.0,40.0,40.0,0.0,0.0,40.0,40.0,40.0,0.0,0.0
2019-06-16,41.05,41.05,41.05,0.0,0.0,41.05,41.05,41.05,0.0,0.0,41.05,41.05,41.05,0.0,0.0,41.05,41.05,41.05,0.0,0.0
2019-06-23,40.64,40.64,40.64,0.0,0.0,40.66,40.66,40.66,0.0,0.0,40.44,40.44,40.44,0.0,0.0,40.66,40.66,40.66,0.0,0.0
2019-06-30,40.45,40.45,40.45,0.0,0.0,40.45,40.45,40.45,0.0,0.0,40.23,40.23,40.23,0.0,0.0,40.31,40.31,40.31,0.0,0.0
2019-07-07,40.32,40.32,40.32,0.0,0.0,40.32,40.32,40.32,0.0,0.0,40.24,40.24,40.24,0.0,0.0,40.26,40.26,40.26,0.0,0.0
2019-07-14,40.23,40.23,40.23,0.0,0.0,40.23,40.23,40.23,0.0,0.0,40.07,40.07,40.07,0.0,0.0,40.07,40.07,40.07,0.0,0.0
2019-07-21,40.28,40.28,40.28,0.0,0.0,40.28,40.28,40.28,0.0,0.0,40.28,40.28,40.28,0.0,0.0,40.28,40.28,40.28,0.0,0.0
2019-07-28,38.51,38.51,38.51,0.0,0.0,38.51,38.51,38.51,0.0,0.0,38.51,38.51,38.51,0.0,0.0,38.51,38.51,38.51,0.0,0.0
2019-08-04,39.03,39.03,39.03,0.0,0.0,39.17,39.17,39.17,0.0,0.0,38.96,38.96,38.96,0.0,0.0,38.96,38.96,38.96,0.0,0.0
2019-08-11,38.99,38.99,38.99,0.0,0.0,39.0,39.0,39.0,0.0,0.0,38.92,38.92,38.92,0.0,0.0,38.92,38.92,38.92,0.0,0.0
2019-08-18,38.98,38.98,38.98,0.0,0.0,39.0,39.0,39.0,0.0,0.0,38.96,38.96,38.96,0.0,0.0,39.0,39.0,39.0,0.0,0.0
2019-08-25,39.43,39.43,39.43,0.0,0.0,39.43,39.43,39.43,0.0,0.0,39.4,39.4,39.4,0.0,0.0,39.4,39.4,39.4,0.0,0.0
2019-09-01,40.14,40.14,40.14,0.0,0.0,40.14,40.14,40.14,0.0,0.0,40.07,40.07,40.07,0.0,0.0,40.07,40.07,40.07,0.0,0.0
2019-09-08,40.26,40.26,40.26,0.0,0.0,40.26,40.26,40.26,0.0,0.0,40.26,40.26,40.26,0.0,0.0,40.26,40.26,40.26,0.0,0.0
2019-09-15,40.5,40.5,40.5,0.0,0.0,40.5,40.5,40.5,0.0,0.0,40.5,40.5,40.5,0.0,0.0,40.5,40.5,40.5,0.0,0.0
2019-09-22,40.38,40.38,40.38,0.0,0.0,40.38,40.38,40.38,0.0,0.0,40.3,40.3,40.3,0.0,0.0,40.3,40.3,40.3,0.0,0.0
2019-09-29,39.56,39.56,39.56,0.0,0.0,39.56,39.56,39.56,0.0,0.0,39.56,39.56,39.56,0.0,0.0,39.56,39.56,39.56,0.0,0.0
2019-10-06,39.98,39.98,39.98,0.0,0.0,39.98,39.98,39.98,0.0,0.0,39.98,39.98,39.98,0.0,0.0,39.98,39.98,39.98,0.0,0.0
2019-10-13,40.76,40.76,40.76,0.0,0.0,40.83,40.83,40.83,0.0,0.0,40.76,40.76,40.76,0.0,0.0,40.83,40.83,40.83,0.0,0.0
2019-10-20,41.19,41.19,41.19,0.0,0.0,41.24,41.24,41.24,0.0,0.0,41.17,41.17,41.17,0.0,0.0,41.23,41.23,41.23,0.0,0.0
2019-10-27,42.33,42.33,42.33,0.0,0.0,42.42,42.42,42.42,0.0,0.0,42.33,42.33,42.33,0.0,0.0,42.36,42.36,42.36,0.0,0.0
2019-11-03,42.19,42.19,42.19,0.0,0.0,42.35,42.35,42.35,0.0,0.0,42.19,42.19,42.19,0.0,0.0,42.33,42.33,42.33,0.0,0.0
2019-11-10,42.68,42.68,42.68,0.0,0.0,42.74,42.74,42.74,0.0,0.0,42.66,42.66,42.66,0.0,0.0,42.74,42.74,42.74,0.0,0.0
2019-11-17,42.66,42.66,42.66,0.0,0.0,42.84,42.84,42.84,0.0,0.0,42.66,42.66,42.66,0.0,0.0,42.84,42.84,42.84,0.0,0.0
2019-11-24,42.45,42.45,42.45,0.0,0.0,42.45,42.45,42.45,0.0,0.0,42.42,42.42,42.42,0.0,0.0,42.42,42.42,42.42,0.0,0.0
2019-12-01,43.08,43.08,43.08,0.0,0.0,43.08,43.08,43.08,0.0,0.0,43.08,43.08,43.08,0.0,0.0,43.08,43.08,43.08,0.0,0.0
2019-12-08,44.75,44.75,44.75,0.0,0.0,44.75,44.75,44.75,0.0,0.0,44.48,44.48,44.48,0.0,0.0,44.48,44.48,44.48,0.0,0.0
2019-12-15,44.3,44.3,44.3,0.0,0.0,44.3,44.3,44.3,0.0,0.0,44.28,44.28,44.28,0.0,0.0,44.28,44.28,44.28,0.0,0.0
2019-12-22,44.58,44.58,44.58,0.0,0.0,44.59,44.59,44.59,0.0,0.0,44.39,44.39,44.39,0.0,0.0,44.39,44.39,44.39,0.0,0.0
2019-12-29,44.47,44.47,44.47,0.0,0.0,44.47,44.47,44.47,0.0,0.0,44.33,44.33,44.33,0.0,0.0,44.33,44.33,44.33,0.0,0.0
