Date,First Trust ISE Global Engineering & Construction_etf_Open_average,First Trust ISE Global Engineering & Construction_etf_Open_max,First Trust ISE Global Engineering & Construction_etf_Open_min,First Trust ISE Global Engineering & Construction_etf_Open_volatility,First Trust ISE Global Engineering & Construction_etf_Open_change,First Trust ISE Global Engineering & Construction_etf_High_average,First Trust ISE Global Engineering & Construction_etf_High_max,First Trust ISE Global Engineering & Construction_etf_High_min,First Trust ISE Global Engineering & Construction_etf_High_volatility,First Trust ISE Global Engineering & Construction_etf_High_change,First Trust ISE Global Engineering & Construction_etf_Low_average,First Trust ISE Global Engineering & Construction_etf_Low_max,First Trust ISE Global Engineering & Construction_etf_Low_min,First Trust ISE Global Engineering & Construction_etf_Low_volatility,First Trust ISE Global Engineering & Construction_etf_Low_change,First Trust ISE Global Engineering & Construction_etf_Close_average,First Trust ISE Global Engineering & Construction_etf_Close_max,First Trust ISE Global Engineering & Construction_etf_Close_min,First Trust ISE Global Engineering & Construction_etf_Close_volatility,First Trust ISE Global Engineering & Construction_etf_Close_change
2018-01-14,62.32,62.32,62.32,0.0,0.0,62.4,62.4,62.4,0.0,0.0,62.3,62.3,62.3,0.0,0.0,62.4,62.4,62.4,0.0,0.0
2018-01-21,63.78,63.78,63.78,0.0,0.0,63.91,63.91,63.91,0.0,0.0,63.64,63.64,63.64,0.0,0.0,63.84,63.84,63.84,0.0,0.0
2018-01-28,61.54,61.54,61.54,0.0,0.0,61.6,61.6,61.6,0.0,0.0,60.83,60.83,60.83,0.0,0.0,61.02,61.02,61.02,0.0,0.0
2018-02-04,56.44,56.44,56.44,0.0,0.0,57.03,57.03,57.03,0.0,0.0,55.39,55.39,55.39,0.0,0.0,56.9,56.9,56.9,0.0,0.0
2018-02-11,58.37,58.37,58.37,0.0,0.0,59.11,59.11,59.11,0.0,0.0,58.2,58.2,58.2,0.0,0.0,59.11,59.11,59.11,0.0,0.0
2018-02-18,58.62,58.62,58.62,0.0,0.0,59.11,59.11,59.11,0.0,0.0,58.62,58.62,58.62,0.0,0.0,59.11,59.11,59.11,0.0,0.0
2018-02-25,56.01,56.01,56.01,0.0,0.0,56.69,56.69,56.69,0.0,0.0,55.66,55.66,55.66,0.0,0.0,56.69,56.69,56.69,0.0,0.0
2018-03-04,57.91,57.91,57.91,0.0,0.0,58.56,58.56,58.56,0.0,0.0,57.91,57.91,57.91,0.0,0.0,58.49,58.49,58.49,0.0,0.0
2018-03-11,57.91,57.91,57.91,0.0,0.0,57.99,57.99,57.99,0.0,0.0,57.82,57.82,57.82,0.0,0.0,57.85,57.85,57.85,0.0,0.0
2018-03-18,56.21,56.21,56.21,0.0,0.0,56.25,56.25,56.25,0.0,0.0,55.49,55.49,55.49,0.0,0.0,55.49,55.49,55.49,0.0,0.0
2018-03-25,56.04,56.04,56.04,0.0,0.0,56.84,56.84,56.84,0.0,0.0,56.03,56.03,56.03,0.0,0.0,56.84,56.84,56.84,0.0,0.0
2018-04-01,56.47,56.47,56.47,0.0,0.0,56.71,56.71,56.71,0.0,0.0,55.96,55.96,55.96,0.0,0.0,56.23,56.23,56.23,0.0,0.0
2018-04-08,57.46,57.46,57.46,0.0,0.0,57.52,57.52,57.52,0.0,0.0,57.46,57.46,57.46,0.0,0.0,57.52,57.52,57.52,0.0,0.0
2018-04-15,58.75,58.75,58.75,0.0,0.0,58.87,58.87,58.87,0.0,0.0,58.48,58.48,58.48,0.0,0.0,58.53,58.53,58.53,0.0,0.0
2018-04-22,58.96,58.96,58.96,0.0,0.0,58.96,58.96,58.96,0.0,0.0,58.77,58.77,58.77,0.0,0.0,58.95,58.95,58.95,0.0,0.0
2018-04-29,58.23,58.23,58.23,0.0,0.0,58.79,58.79,58.79,0.0,0.0,58.23,58.23,58.23,0.0,0.0,58.77,58.77,58.77,0.0,0.0
2018-05-06,59.36,59.36,59.36,0.0,0.0,59.49,59.49,59.49,0.0,0.0,59.36,59.36,59.36,0.0,0.0,59.47,59.47,59.47,0.0,0.0
2018-05-13,58.8,58.8,58.8,0.0,0.0,58.87,58.87,58.87,0.0,0.0,58.68,58.68,58.68,0.0,0.0,58.86,58.86,58.86,0.0,0.0
