Date,Vanguard Total Bond Market_Open_average,Vanguard Total Bond Market_Open_max,Vanguard Total Bond Market_Open_min,Vanguard Total Bond Market_Open_volatility,Vanguard Total Bond Market_Open_change,Vanguard Total Bond Market_High_average,Vanguard Total Bond Market_High_max,Vanguard Total Bond Market_High_min,Vanguard Total Bond Market_High_volatility,Vanguard Total Bond Market_High_change,Vanguard Total Bond Market_Low_average,Vanguard Total Bond Market_Low_max,Vanguard Total Bond Market_Low_min,Vanguard Total Bond Market_Low_volatility,Vanguard Total Bond Market_Low_change,Vanguard Total Bond Market_Close_average,Vanguard Total Bond Market_Close_max,Vanguard Total Bond Market_Close_min,Vanguard Total Bond Market_Close_volatility,Vanguard Total Bond Market_Close_change
2018-01-14,80.73,80.73,80.73,0.0,0.0,80.76,80.76,80.76,0.0,0.0,80.61,80.61,80.61,0.0,0.0,80.61,80.61,80.61,0.0,0.0
2018-01-21,80.66,80.66,80.66,0.0,0.0,80.73,80.73,80.73,0.0,0.0,80.54,80.54,80.54,0.0,0.0,80.69,80.69,80.69,0.0,0.0
2018-01-28,79.87,79.87,79.87,0.0,0.0,80.43,80.43,80.43,0.0,0.0,79.8,79.8,79.8,0.0,0.0,80.27,80.27,80.27,0.0,0.0
2018-02-04,79.68,79.68,79.68,0.0,0.0,79.74,79.74,79.74,0.0,0.0,79.55,79.55,79.55,0.0,0.0,79.59,79.59,79.59,0.0,0.0
2018-02-11,79.68,79.68,79.68,0.0,0.0,79.72,79.72,79.72,0.0,0.0,79.59,79.59,79.59,0.0,0.0,79.65,79.65,79.65,0.0,0.0
2018-02-18,79.7,79.7,79.7,0.0,0.0,79.76,79.76,79.76,0.0,0.0,79.61,79.61,79.61,0.0,0.0,79.62,79.62,79.62,0.0,0.0
2018-02-25,79.46,79.46,79.46,0.0,0.0,79.5,79.5,79.5,0.0,0.0,79.26,79.26,79.26,0.0,0.0,79.32,79.32,79.32,0.0,0.0
2018-03-04,79.33,79.33,79.33,0.0,0.0,79.4,79.4,79.4,0.0,0.0,79.3,79.3,79.3,0.0,0.0,79.4,79.4,79.4,0.0,0.0
2018-03-11,79.45,79.45,79.45,0.0,0.0,79.56,79.56,79.56,0.0,0.0,79.42,79.42,79.42,0.0,0.0,79.47,79.47,79.47,0.0,0.0
2018-03-18,79.5,79.5,79.5,0.0,0.0,79.57,79.57,79.57,0.0,0.0,79.45,79.45,79.45,0.0,0.0,79.47,79.47,79.47,0.0,0.0
2018-03-25,79.63,79.63,79.63,0.0,0.0,79.78,79.78,79.78,0.0,0.0,79.59,79.59,79.59,0.0,0.0,79.72,79.72,79.72,0.0,0.0
2018-04-01,79.66,79.66,79.66,0.0,0.0,79.8,79.8,79.8,0.0,0.0,79.59,79.59,79.59,0.0,0.0,79.8,79.8,79.8,0.0,0.0
2018-04-08,79.5,79.5,79.5,0.0,0.0,79.64,79.64,79.64,0.0,0.0,79.5,79.5,79.5,0.0,0.0,79.64,79.64,79.64,0.0,0.0
2018-04-15,78.99,78.99,78.99,0.0,0.0,79.02,79.02,79.02,0.0,0.0,78.93,78.93,78.93,0.0,0.0,78.98,78.98,78.98,0.0,0.0
2018-04-22,79.03,79.03,79.03,0.0,0.0,79.1,79.1,79.1,0.0,0.0,79.01,79.01,79.01,0.0,0.0,79.05,79.05,79.05,0.0,0.0
2018-04-29,78.89,78.89,78.89,0.0,0.0,78.9,78.9,78.9,0.0,0.0,78.81,78.81,78.81,0.0,0.0,78.84,78.84,78.84,0.0,0.0
2018-05-06,78.85,78.85,78.85,0.0,0.0,78.89,78.89,78.89,0.0,0.0,78.82,78.82,78.82,0.0,0.0,78.83,78.83,78.83,0.0,0.0
2018-05-13,78.48,78.48,78.48,0.0,0.0,78.56,78.56,78.56,0.0,0.0,78.45,78.45,78.45,0.0,0.0,78.54,78.54,78.54,0.0,0.0
2018-05-20,79.06,79.06,79.06,0.0,0.0,79.15,79.15,79.15,0.0,0.0,79.05,79.05,79.05,0.0,0.0,79.13,79.13,79.13,0.0,0.0
2018-05-27,79.06,79.06,79.06,0.0,0.0,79.06,79.06,79.06,0.0,0.0,78.91,78.91,78.91,0.0,0.0,78.92,78.92,78.92,0.0,0.0
2018-06-03,78.78,78.78,78.78,0.0,0.0,78.83,78.83,78.83,0.0,0.0,78.74,78.74,78.74,0.0,0.0,78.8,78.8,78.8,0.0,0.0
2018-06-10,78.96,78.96,78.96,0.0,0.0,78.96,78.96,78.96,0.0,0.0,78.86,78.86,78.86,0.0,0.0,78.92,78.92,78.92,0.0,0.0
2018-06-17,79.0,79.0,79.0,0.0,0.0,79.06,79.06,79.06,0.0,0.0,78.94,78.94,78.94,0.0,0.0,78.95,78.95,78.95,0.0,0.0
2018-06-24,79.03,79.03,79.03,0.0,0.0,79.07,79.07,79.07,0.0,0.0,78.92,78.92,78.92,0.0,0.0,78.96,78.96,78.96,0.0,0.0
2018-07-01,79.22,79.22,79.22,0.0,0.0,79.27,79.27,79.27,0.0,0.0,79.2,79.2,79.2,0.0,0.0,79.25,79.25,79.25,0.0,0.0
2018-07-08,79.27,79.27,79.27,0.0,0.0,79.32,79.32,79.32,0.0,0.0,79.15,79.15,79.15,0.0,0.0,79.26,79.26,79.26,0.0,0.0
2018-07-15,79.11,79.11,79.11,0.0,0.0,79.13,79.13,79.13,0.0,0.0,78.87,78.87,78.87,0.0,0.0,78.91,78.91,78.91,0.0,0.0
2018-07-22,78.94,78.94,78.94,0.0,0.0,79.0,79.0,79.0,0.0,0.0,78.92,78.92,78.92,0.0,0.0,78.92,78.92,78.92,0.0,0.0
2018-07-29,79.07,79.07,79.07,0.0,0.0,79.12,79.12,79.12,0.0,0.0,79.01,79.01,79.01,0.0,0.0,79.03,79.03,79.03,0.0,0.0
2018-08-05,79.17,79.17,79.17,0.0,0.0,79.21,79.21,79.21,0.0,0.0,79.1,79.1,79.1,0.0,0.0,79.19,79.19,79.19,0.0,0.0
2018-08-12,79.43,79.43,79.43,0.0,0.0,79.52,79.52,79.52,0.0,0.0,79.43,79.43,79.43,0.0,0.0,79.46,79.46,79.46,0.0,0.0
2018-08-19,79.44,79.44,79.44,0.0,0.0,79.46,79.46,79.46,0.0,0.0,79.4,79.4,79.4,0.0,0.0,79.41,79.41,79.41,0.0,0.0
2018-08-26,79.42,79.42,79.42,0.0,0.0,79.43,79.43,79.43,0.0,0.0,79.31,79.31,79.31,0.0,0.0,79.32,79.32,79.32,0.0,0.0
2018-09-02,78.91,78.91,78.91,0.0,0.0,78.97,78.97,78.97,0.0,0.0,78.88,78.88,78.88,0.0,0.0,78.95,78.95,78.95,0.0,0.0
2018-09-09,78.7,78.7,78.7,0.0,0.0,78.8,78.8,78.8,0.0,0.0,78.68,78.68,78.68,0.0,0.0,78.75,78.75,78.75,0.0,0.0
2018-09-16,78.49,78.49,78.49,0.0,0.0,78.58,78.58,78.58,0.0,0.0,78.47,78.47,78.47,0.0,0.0,78.5,78.5,78.5,0.0,0.0
2018-09-23,78.42,78.42,78.42,0.0,0.0,78.48,78.48,78.48,0.0,0.0,78.36,78.36,78.36,0.0,0.0,78.37,78.37,78.37,0.0,0.0
2018-09-30,77.79,77.79,77.79,0.0,0.0,77.8,77.8,77.8,0.0,0.0,77.72,77.72,77.72,0.0,0.0,77.74,77.74,77.74,0.0,0.0
2018-10-07,78.11,78.11,78.11,0.0,0.0,78.11,78.11,78.11,0.0,0.0,78.0,78.0,78.0,0.0,0.0,78.01,78.01,78.01,0.0,0.0
2018-10-14,77.88,77.88,77.88,0.0,0.0,77.93,77.93,77.93,0.0,0.0,77.8,77.8,77.8,0.0,0.0,77.81,77.81,77.81,0.0,0.0
2018-10-21,78.15,78.15,78.15,0.0,0.0,78.19,78.19,78.19,0.0,0.0,78.05,78.05,78.05,0.0,0.0,78.11,78.11,78.11,0.0,0.0
2018-10-28,77.57,77.57,77.57,0.0,0.0,77.61,77.61,77.61,0.0,0.0,77.53,77.53,77.53,0.0,0.0,77.56,77.56,77.56,0.0,0.0
