Date,VelocityShares VIX Short Term linked to SP 500 VIX_Open_average,VelocityShares VIX Short Term linked to SP 500 VIX_Open_max,VelocityShares VIX Short Term linked to SP 500 VIX_Open_min,VelocityShares VIX Short Term linked to SP 500 VIX_Open_volatility,VelocityShares VIX Short Term linked to SP 500 VIX_Open_change,VelocityShares VIX Short Term linked to SP 500 VIX_High_average,VelocityShares VIX Short Term linked to SP 500 VIX_High_max,VelocityShares VIX Short Term linked to SP 500 VIX_High_min,VelocityShares VIX Short Term linked to SP 500 VIX_High_volatility,VelocityShares VIX Short Term linked to SP 500 VIX_High_change,VelocityShares VIX Short Term linked to SP 500 VIX_Low_average,VelocityShares VIX Short Term linked to SP 500 VIX_Low_max,VelocityShares VIX Short Term linked to SP 500 VIX_Low_min,VelocityShares VIX Short Term linked to SP 500 VIX_Low_volatility,VelocityShares VIX Short Term linked to SP 500 VIX_Low_change,VelocityShares VIX Short Term linked to SP 500 VIX_Close_average,VelocityShares VIX Short Term linked to SP 500 VIX_Close_max,VelocityShares VIX Short Term linked to SP 500 VIX_Close_min,VelocityShares VIX Short Term linked to SP 500 VIX_Close_volatility,VelocityShares VIX Short Term linked to SP 500 VIX_Close_change
2018-01-14,56.85,56.85,56.85,0.0,0.0,56.9,56.9,56.9,0.0,0.0,55.05,55.05,55.05,0.0,0.0,55.55,55.55,55.55,0.0,0.0
2018-01-21,59.8,59.8,59.8,0.0,0.0,62.8,62.8,62.8,0.0,0.0,55.85,55.85,55.85,0.0,0.0,62.75,62.75,62.75,0.0,0.0
2018-01-28,73.2,73.2,73.2,0.0,0.0,94.0,94.0,94.0,0.0,0.0,68.15,68.15,68.15,0.0,0.0,93.1,93.1,93.1,0.0,0.0
2018-02-04,102.0,102.0,102.0,0.0,0.0,106.95,106.95,106.95,0.0,0.0,99.6,99.6,99.6,0.0,0.0,101.15,101.15,101.15,0.0,0.0
2018-02-11,90.05,90.05,90.05,0.0,0.0,90.45,90.45,90.45,0.0,0.0,85.35,85.35,85.35,0.0,0.0,88.85,88.85,88.85,0.0,0.0
2018-02-18,83.3,83.3,83.3,0.0,0.0,84.3,84.3,84.3,0.0,0.0,81.7,81.7,81.7,0.0,0.0,81.9,81.9,81.9,0.0,0.0
2018-02-25,97.55,97.55,97.55,0.0,0.0,97.75,97.75,97.75,0.0,0.0,91.0,91.0,91.0,0.0,0.0,91.65,91.65,91.65,0.0,0.0
2018-03-04,82.45,82.45,82.45,0.0,0.0,84.9,84.9,84.9,0.0,0.0,81.6,81.6,81.6,0.0,0.0,84.2,84.2,84.2,0.0,0.0
2018-03-11,85.4,85.4,85.4,0.0,0.0,95.35,95.35,95.35,0.0,0.0,85.4,85.4,85.4,0.0,0.0,91.45,91.45,91.45,0.0,0.0
2018-03-18,98.4,98.4,98.4,0.0,0.0,104.45,104.45,104.45,0.0,0.0,97.5,97.5,97.5,0.0,0.0,97.5,97.5,97.5,0.0,0.0
