Date,Fidelity Limited Term Bond_Open_average,Fidelity Limited Term Bond_Open_max,Fidelity Limited Term Bond_Open_min,Fidelity Limited Term Bond_Open_volatility,Fidelity Limited Term Bond_Open_change,Fidelity Limited Term Bond_High_average,Fidelity Limited Term Bond_High_max,Fidelity Limited Term Bond_High_min,Fidelity Limited Term Bond_High_volatility,Fidelity Limited Term Bond_High_change,Fidelity Limited Term Bond_Low_average,Fidelity Limited Term Bond_Low_max,Fidelity Limited Term Bond_Low_min,Fidelity Limited Term Bond_Low_volatility,Fidelity Limited Term Bond_Low_change,Fidelity Limited Term Bond_Close_average,Fidelity Limited Term Bond_Close_max,Fidelity Limited Term Bond_Close_min,Fidelity Limited Term Bond_Close_volatility,Fidelity Limited Term Bond_Close_change
2018-01-14,49.95,49.95,49.95,0.0,0.0,49.95,49.95,49.95,0.0,0.0,49.88,49.88,49.88,0.0,0.0,49.88,49.88,49.88,0.0,0.0
2018-01-21,49.76,49.76,49.76,0.0,0.0,49.82,49.82,49.82,0.0,0.0,49.76,49.76,49.76,0.0,0.0,49.81,49.81,49.81,0.0,0.0
2018-01-28,49.73,49.73,49.73,0.0,0.0,49.88,49.88,49.88,0.0,0.0,49.72,49.72,49.72,0.0,0.0,49.86,49.86,49.86,0.0,0.0
2018-02-04,49.78,49.78,49.78,0.0,0.0,49.78,49.78,49.78,0.0,0.0,49.7,49.7,49.7,0.0,0.0,49.73,49.73,49.73,0.0,0.0
2018-02-11,49.67,49.67,49.67,0.0,0.0,49.67,49.67,49.67,0.0,0.0,49.58,49.58,49.58,0.0,0.0,49.63,49.63,49.63,0.0,0.0
2018-02-18,49.64,49.64,49.64,0.0,0.0,49.66,49.66,49.66,0.0,0.0,49.55,49.55,49.55,0.0,0.0,49.59,49.59,49.59,0.0,0.0
2018-02-25,49.53,49.53,49.53,0.0,0.0,49.59,49.59,49.59,0.0,0.0,49.52,49.52,49.52,0.0,0.0,49.55,49.55,49.55,0.0,0.0
2018-03-04,49.45,49.45,49.45,0.0,0.0,49.54,49.54,49.54,0.0,0.0,49.45,49.45,49.45,0.0,0.0,49.51,49.51,49.51,0.0,0.0
2018-03-11,49.44,49.44,49.44,0.0,0.0,49.56,49.56,49.56,0.0,0.0,49.44,49.44,49.44,0.0,0.0,49.54,49.54,49.54,0.0,0.0
2018-03-18,49.55,49.55,49.55,0.0,0.0,49.57,49.57,49.57,0.0,0.0,49.44,49.44,49.44,0.0,0.0,49.5,49.5,49.5,0.0,0.0
